"CHEM_ID","SUPER_PATHWAY","SUB_PATHWAY","CHEMICAL_NAME","SHORT_NAME","CHEMSPIDER","HMDB","PUBCHEM","KEGG","acrophase","amplitude","p_statistic","amp_ratio","sin_coff","cos_coeff","BHQ","Bonf"
"100000657","Lipid","Phosphatidylcholine (PC)","1,2-dipalmitoyl-GPC (16:0/16:0)","1,2-dipalmitoyl-GPC (16:0/16:0)",398235,"HMDB0000564",452110,"D03585","1.61925391070589","0.0271899268922906","0.519775027231405","0.0268488348602248","0.0271580102957607","-0.00131704258984394",0.67807043966386,1
"100000660","Lipid","Phosphatidylcholine (PC)","1,2-distearoyl-GPC (18:0/18:0)","1,2-distearoyl-GPC (18:0/18:0)",85004,"HMDB0008036",94190,NA,"0.404307658253389","0.034805279189092","0.880931055497374","0.0333458057125636","0.0136917819291219","0.0319991025973544",0.920079506739652,1
"100000665","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","docosahexaenoate (DHA; 22:6n3)","docosahexaenoate (DHA; 22:6n3)",393183,"HMDB0002183",445580,"C06429","2.36997636388807","0.30644046435813","0.027272124482099","0.247349234512736","0.21367930567314","-0.219651798360658",0.133959303273706,1
"100000672","Lipid","Phosphatidylcholine (PC)","1-myristoyl-2-palmitoyl-GPC (14:0/16:0)","1-myristoyl-2-palmitoyl-GPC (14:0/16:0)",114798,"HMDB0007869",129657,NA,"0.200715598963285","0.0283096905713063","0.335450245356949","0.0286666763123833","0.00564412040535837","0.0277413497345195",0.535760003320608,1
"100000707","Lipid","Fatty Acid, Dicarboxylate","maleate","maleate",392248,"HMDB0000176",444266,"C01384","5.46075223201465","0.0693274212246083","0.116202011001245","0.0678994119003053","-0.0508033810393661","0.0471731683123282",0.293213730712234,1
"100000715","Amino Acid","Guanidino and Acetamido Metabolism","1-methylguanidine","1-methylguanidine",28576,"HMDB0001522",10111,"C02294","2.45103100316809","0.027678987721223","0.716987269816058","0.0257822708359745","0.0176306917963631","-0.021337410059641",0.819863920536371,1
"100000773","Lipid","Fatty Acid, Monohydroxy","3-hydroxyoctanoate","3-hydroxyoctanoate",24791,"HMDB0001954",26613,"C20793","4.85070161693493","0.0494139131763772","0.575010198376039","0.0485566898813801","-0.0489420125975249","0.00681279812604639",0.717384928005889,1
"100000774","Amino Acid","Phenylalanine Metabolism","phenyllactate (PLA)","phenyllactate (PLA)",3715,"HMDB0000779,HMDB0000563",3848,"C05607","4.52447797156444","0.319791545800834","0.182965552345466","0.369746320361868","-0.314162132650581","-0.0597393268636796",0.380580543896452,1
"100000776","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)","palmitoylcarnitine (C16)","palmitoylcarnitine (C16)",448,"HMDB0000222",461,"C02990","5.0805850043459","0.170910758992898","0.0168202942382338","0.175172301212447","-0.159456007804023","0.0615164133766911",0.0980347000004522,1
"100000781","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)","hexanoylcarnitine (C6)","hexanoylcarnitine (C6)",4932273,"HMDB0000756",6426853,NA,"5.19182036586277","0.147924430285707","0.123815943752857","0.144519546032976","-0.131247038565477","0.0682338035224721",0.302188287721817,1
"100000787","Amino Acid","Alanine and Aspartate Metabolism","N-acetylaspartate (NAA)","N-acetylaspartate (NAA)",58576,"HMDB0000812",65065,"C01042","1.46267668669879","0.0155724594312167","0.847153173112637","0.015053975497119","0.015481528155515","0.00168041027933232",0.89529990284299,1
"100000802","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Short Chain)","acetylcarnitine (C2)","acetylcarnitine (C2)",5406074,"HMDB0000201",7045767,"C02571","5.1073275673491","0.0866191438457011","0.12273114201197","0.0880441855093401","-0.0799512190311978","0.0333268458751753",0.300479692512064,1
"100000808","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","cysteine s-sulfate","cysteine s-sulfate",102939,"HMDB0000731",115015,"C05824","1.5329518316944","0.170064606655842","0.120750524900593","0.15283625476007","0.169942837431285","0.00643447300174286",0.297495772704616,1
"100000827","Lipid","Monoacylglycerol","1-palmitoylglycerol (16:0)","1-palmitoylglycerol (16:0)",14201,"HMDB0011564",14900,NA,"0.00957109660307759","0.0331054915487618","0.908355411285225","0.0317323708645231","0.000316851020083908","0.0331039752313254",0.934684553641318,1
"100000840","Xenobiotics","Food Component/Plant","tartronate (hydroxymalonate)","tartronate (hydroxymalonate)",44,"HMDB0035227",45,"C02287","0.239633945827944","0.00874760510866627","0.988485861358335","0.00824039921674275","0.00207621825128547","0.0084976416087167",0.992151017673917,1
"100000841","Cofactors and Vitamins","Ascorbate and Aldarate Metabolism","oxalate (ethanedioate)","oxalate (ethanedioate)",946,"HMDB0002329",971,"C00209","2.26303669126282","0.050314089285131","0.388320804940822","0.0473182415149625","0.0387326918556696","-0.0321136444865089",0.583227978189965,1
