"CHEM_ID","SUPER_PATHWAY","SUB_PATHWAY","CHEMICAL_NAME","SHORT_NAME","CHEMSPIDER","HMDB","PUBCHEM","KEGG","p_val","acrophase_AD","acrophase_CTL","amplitude_AD","amplitude_CTL","BHQ","Bonf","Log_AD_CTL_ampRatio"
"100001311","Amino Acid","Glutathione Metabolism","ophthalmate","ophthalmate",7993181,"HMDB0005765",7018721,NA,0.884137926337466,"5.18442615188865","5.36296719568253","0.292521856502725","0.325623489429647",0.996057507306226,1,-0.107202386542703
"100001315","Xenobiotics","Benzoate Metabolism","p-cresol sulfate","p-cresol sulfate",3806480,"HMDB0011635",4615423,NA,0.867316290854323,"5.01818537373601","4.83655055360701","0.261620656158458","0.200016331060429",0.996057507306226,1,0.268496558799605
"100001320","Carbohydrate","Aminosugar Metabolism","erythronate*","erythronate*",2061231,"HMDB0000613",2781043,NA,0.410800815972666,"4.62300226458413","5.23580898676764","0.0299927069063455","0.0667926432859899",0.98096401745197,1,-0.800638695042559
"100001391","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)","stearoylcarnitine (C18)","stearoylcarnitine (C18)",21233653,"HMDB0000848",3006797,NA,0.444201994042706,"5.15643176410546","4.65263874760865","0.148253031441163","0.182353262218318",0.993725761227346,1,-0.207025321129031
"100001392","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)","laurylcarnitine (C12)","laurylcarnitine (C12)",8602997,"HMDB000225",168381,NA,0.876453463137028,"5.24132612980743","5.01454049618408","0.225337585157089","0.234579963159588",0.996057507306226,1,-0.0401968678077818
"100001393","Amino Acid","Leucine, Isoleucine and Valine Metabolism","isovalerylcarnitine (C5)","isovalerylcarnitine (C5)",4932271,"HMDB0000688",169235,"C20826",0.623584136025867,"4.88782766405764","5.39358886460433","0.298926430786757","0.271905144069859",0.996057507306226,1,0.0947442217982808
"100001407","Lipid","Phospholipid Metabolism","cytidine-5'-diphosphoethanolamine","CDP-ethanolamine",287,"HMDB0001564",123727,"C00570",0.768949768213681,"4.84741083825643","4.55822694278461","0.0668384781969158","0.0929405022942867",0.996057507306226,1,-0.32968059252469
"100001409","Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing","N1-methylinosine","N1-methylinosine",513976,"HMDB0002721",650095,NA,0.811434794734078,"4.67568486184242","4.98354823369649","0.173491310977729","0.165785429437398",0.996057507306226,1,0.0454331588267818
"100001412","Nucleotide","Purine Metabolism, Guanine containing","N2,N2-dimethylguanosine","N2,N2-dimethylguanosine",83878,"HMDB0004824",135501639,NA,0.947258219674405,"4.92573441982606","5.09579866978092","0.188687872564362","0.187938045237905",0.996057507306226,1,0.00398182005919699
"100001415","Nucleotide","Purine Metabolism, Adenine containing","N6-carbamoylthreonyladenosine","N6-carbamoylthreonyladenosine",141829,"HMDB0041623",161466,NA,0.388598375724717,"4.81730705429973","5.16769924850229","0.0351482867727543","0.0760082187720459",0.961087054247738,1,-0.771265599570244
