Item ID	Item value	Change in Kuiper test statistic when item removed
IFITM3	16.9205392788327	-0.016483516483516425
C1R	18.3229847386233	-0.016483516483516425
NLRC5	20.0876639827831	0.010204627185198323
NOD1	17.0629035829077	-0.016483516483516425
IFI44L	3.88286581455613	0.06043956043956056
SOCS3	16.919078083822	-0.016483516483516425
PLSCR1	16.535926545095	-5.188690365578452E-4
APOL6	17.2044021133437	-0.016483516483516425
IRF7	17.3654111805892	-0.016483516483516425
SERPING1	18.059378571163	-0.016483516483516425
TXNIP	20.8096540328263	0.013599402268283711
CD38	6.54316406868315	0.06043956043956056
FAS	18.2715089130582	-0.016483516483516425
VAMP5	13.9316287486879	0.06043956043956056
