"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","DEseq_DE_BHQ"
"STAT3 (human)",0.651190762421075,0.924928966651712,0.396750731182836,"['GSDMB', 'EYA4', 'DAB2IP', 'S100B', 'CORO2B', 'RCN1', 'RAB40A', 'POLR1B', 'ETNK1', 'ASXL3', 'NAMPT', 'TMEM19', 'LHPP', 'ZNF134', 'RBM11']",0.992632504434467,0,0,15,"STAT3",0.992632504434467,0.697829666008642,0.0471146514552524,NA,NA,NA,0.591790941410396,0.146144100171511
"TFAP2A (mouse)",0.651974778298656,0.910374515712441,0.389412154141015,"['ANO1', 'KRTCAP2', 'IGDCC4', 'FBXO2', 'MAMDC2', 'DAB2IP', 'TNKS1BP1', 'CPT1B']",0.992632504434467,0,0,8,"TFAP2A",0.992632504434467,NA,NA,NA,NA,NA,NA,NA
"TEAD4 (human)",0.652064334764332,0.912861624259324,0.390350629577355,"['PTPRN2', 'RAB11FIP1', 'TRIM28', 'BAD', 'TRAF3', 'EYA4', 'KSR2', 'LRRC42', 'STK3']",0.992632504434467,0,0,9,"TEAD4",0.992632504434467,NA,NA,NA,NA,NA,NA,NA
"RUNX2 (mouse)",0.655444687926035,0.904324874079814,0.38202423044755,"['IFITM3', 'PTPRN2', 'DEPTOR', 'S100A1', 'DAB2IP', 'PDS5B', 'NF2']",0.992632504434467,0,0,7,"RUNX2",0.992632504434467,9.54297638613825e-10,8.33321721689621e-07,0.583253278634686,0.584659931809367,0.291099677387324,4.68480268446333e-06,0.00213346696213659
"SPI1 (mouse)",0.672481697829043,0.888335873499714,0.352474248120372,"['KRTCAP2', 'RAB4A', 'GRK4', 'EPHX2', 'MEA1', 'XKR4', 'ACVR1B']",0.992632504434467,0,0,7,"SPI1",0.992632504434467,NA,NA,NA,NA,NA,NA,NA
"NR5A1 (human)",0.686284597102308,0.875411068307808,0.329559765575663,"['IFITM3', 'SEC14L2', 'PEX7', 'RAB11FIP1', 'CASP6', 'FRY', 'CORO2B']",0.992632504434467,0,0,7,"NR5A1",0.992632504434467,NA,NA,NA,NA,NA,NA,NA
"SND1 (human)",0.686459533415661,0.879824835783547,0.330997143349404,"['ZNF91', 'TRIM28', 'ERI2', 'RAB24', 'NF2', 'FRY', 'CORO2B', 'PRR14']",0.992632504434467,0,0,8,"SND1",0.992632504434467,0.0921008239200841,0.299758442115873,NA,NA,NA,0.0288622991550895,0.280475783101848
"FOXI1 (human)",0.686520839782532,0.871945561398082,0.327955028991227,"['NTNG1']",0.992632504434467,0,0,1,"FOXI1",0.992632504434467,NA,NA,NA,NA,NA,NA,NA
"CBEPA (human)",0.694390871265723,0.8678238583411,0.316512944932924,"['IQCK', 'TRIM28', 'MAMDC2', 'ATXN7L3B', 'KSR2', 'XKR4', 'SHISA9']",0.992632504434467,0,0,7,"CBEPA",0.992632504434467,NA,NA,NA,NA,NA,NA,NA
"AHR (human)",0.706617414807689,0.861953964194373,0.299327217789814,"['SLC24A4', 'RAB11FIP1', 'CHKA', 'RAB24', 'EYA4', 'SHISA9', 'S100B', 'WDR77']",0.992632504434467,0,0,8,"AHR",0.992632504434467,1.5596867764787e-10,0.00575697917429244,0.715139405512206,0.716153926596011,-0.317537630122562,0.508364865099555,0.66163177394438
"Pdx1 (mouse)",0.707616037610545,0.821875,0.284248470365782,"['LEFTY1', 'DBR1', 'BACH2']",0.992632504434467,0,0,3,"Pdx1",0.992632504434467,NA,NA,NA,NA,NA,NA,NA
"ETS1 (mouse)",0.709078636386454,0.859767299448867,0.2955784084908,"['BTC', 'PTPRN2', 'TRIM28', 'POLR1B', 'NAMPT', 'CISD2', 'MEA1', 'SHISA9']",0.992632504434467,0,0,8,"ETS1",0.992632504434467,0.0277094862463311,0.00364508157153728,0.645169618814241,0.646783083282732,0.586921721259125,0.92349159644547,0.756565992420676
"SP3 (human)",0.711526733546252,0.857590876692801,0.291874441704723,"['B4GALT2', 'PTPRN2', 'RAB11FIP1', 'BAD', 'HNRNPA2B1', 'ACVR1B', 'LRRC42', 'STK3']",0.992632504434467,0,0,8,"SP3",0.992632504434467,0.0670760985687042,0.00945206584004817,NA,NA,NA,0.0785093885259795,0.190497264315216
"FOXF1 (human)",0.715353500985732,0.848180076628352,0.284122048656974,"['SYT4', 'DDX19B', 'GSDMB', 'DEPTOR', 'GCH1', 'SLC7A14', 'ZNF134']",0.992632504434467,0,0,7,"FOXF1",0.992632504434467,NA,NA,NA,NA,NA,NA,NA
"NFYB (mouse)",0.718057455594215,0.838492808005003,0.277713590223074,"['CYLD', 'ANKRD16', 'SCFD2', 'OPA3', 'RBMS2', 'LHPP']",0.992632504434467,0,0,6,"NFYB",0.992632504434467,1.75633598383374e-05,0.203297302239033,0.488317555508378,0.490328599411045,-0.889141432686776,0.683186410497695,0.420344016712901
"HIF1A (human)",0.718101445918486,0.857072368421053,0.283814741196043,"['HEPN1', 'CHKA', 'ERI2', 'RAB24', 'ATXN7L3B', 'NF2', 'ATG7', 'TMEM19', 'MYO19']",0.992632504434467,0,0,9,"HIF1A",0.992632504434467,0.000302344691196479,0.00121092221392744,0.61652393386657,0.617317541563475,0.423643696333801,0.484306763894514,0.564965483098805
"BRCA1 (human)",0.721187270698991,0.848986179763946,0.277496598608945,"['SEC14L2', 'CYLD', 'TMEM115', 'POLR1B', 'FAM185A', 'ADAMTSL3', 'ACVR1B', 'PDIA6']",0.992632504434467,0,0,8,"BRCA1",0.992632504434467,0.560970986442534,0.201425365845495,NA,0.335230369507152,NA,0.628885857284959,0.418874533853189
"NFYA (mouse)",0.723453471779887,0.833100233100233,0.269690411755915,"['CYLD', 'ANKRD16', 'SCFD2', 'OPA3', 'RBMS2', 'LHPP']",0.992632504434467,0,0,6,"NFYA",0.992632504434467,0.775043217150689,0.678386797817695,NA,NA,NA,0.609052322024312,0.289852380605596
"CPEB1 (mouse)",0.723453471779887,0.833100233100233,0.269690411755915,"['CYLD', 'ANKRD16', 'SCFD2', 'OPA3', 'RBMS2', 'LHPP']",0.992632504434467,0,0,6,"CPEB1",0.992632504434467,0.24333371940803,0.0447025096440892,NA,NA,NA,0.257972661609435,0.0729839122219884
"LEF1 (mouse)",0.730635584433772,0.840539730134933,0.263795375587018,"['CYLD', 'ABHD10', 'MC1R', 'DCUN1D3', 'TCEA3', 'DAB2IP', 'SHISA9', 'S100B']",0.992632504434467,0,0,8,"LEF1",0.992632504434467,NA,NA,NA,NA,NA,NA,NA
