first,second
norm_gene_level,true
X_Val_omit_size,0.1
o_dcl,"[[""cond_0"", ""cond_1""]; [""cond_0"", ""cond_1""]]"
out_use_norm_cont_cov,false
eigen_reg_disc_cov,1
train_min_steps,1500
align_base,radians
align_other_covariates,false
plot_correct_batches,true
eigen_max,6
o_svd_cumvar,"Float32[0.30395803, 0.46130636, 0.52259654, 0.56356317, 0.5972911, 0.62601477, 0.6518311, 0.6767212, 0.6966605, 0.71615005, 0.7323663, 0.7470258, 0.7592212, 0.7705659, 0.7815952, 0.7922709, 0.8021196, 0.8117291, 0.82043785, 0.82866335, 0.8366063, 0.8443716, 0.8517589, 0.8589174, 0.86578, 0.87237585, 0.8786503, 0.88472503, 0.89040035, 0.8959418, 0.9011593, 0.90633935, 0.9113493, 0.9160617, 0.9204968, 0.92477095, 0.9290048, 0.9331366, 0.93694484, 0.9406532, 0.94419825, 0.94751894, 0.9506787, 0.9536767, 0.9566673, 0.9594939, 0.96216017, 0.96474123, 0.9672417, 0.9696203, 0.971845, 0.9739884, 0.97610086, 0.9781795, 0.9801967, 0.98213404, 0.9839741, 0.9856385, 0.98727155, 0.98882276, 0.9903437, 0.9917338, 0.99300647, 0.99421555, 0.9953057, 0.99630994, 0.99729, 0.99803567, 0.99876106, 0.99945, 1.0000001]"
eigen_first_var,false
eigen_reg_exclude,false
plot_disc,false
train_β,"(0.9, 0.999)"
