GENE_SYMBOLS,refseq_ids
SUB1,NM_006713
PDXP,NM_020315
SKP1,NM_006930
RPS7,NM_001011
NRGN,NM_001126181
ATP6AP1,NM_001183
ATP1B1,NM_001001787
SERINC3,NM_006811
IFT27,NM_001177701
LRRTM4,NM_001134745
BCL6,NM_001130845
TBC1D10A,NM_001204240
IDS,NM_000202
SUPT4H1,NM_003168
RPL5,NM_000969
SLC25A33,NM_032315
SLC9B1,NM_001100874
MALAT1,NR_002819
HES6,NM_001142853
PNMA8A,NM_001103149
ADHFE1,NM_144650
PTPN12,NM_001131008
APOLD1,NM_001130415
OPLAH,NM_017570
PLEKHB2,NM_001031706
TOMM7,NM_019059
WIF1,NM_007191
RPS23,NM_001025
COBL,NM_001287436
ZNF428,NM_182498
RPS26,NM_001029
RPP21,NM_001199120
COX7A2,NM_001366292
ZNF483,NM_001007169
C6orf118,NM_144980
ATP6V1G2,NM_001204078
CSGALNACT2,NM_001319654
APOC1,NM_001321065
C3orf70,NM_001025266
GPX4,NM_001039847
ELF2,NM_001276457
RPL19,NM_000981
TMCC2,NM_001242925
PLSCR4,NM_001128304
DDR2,NM_001014796
C16orf91,NA
RPS6,NM_001010
SMDT1,NM_033318
SLC5A3,NM_006933
FSIP2,NM_173651
ACTG1,NM_001199954
ENPP3,NM_005021
VWA5A,NM_001130142
RPLP0,NM_001002
TENT5A,NM_017633
TIMM13,NM_012458
EEF1A1,NM_001402
MRPL32,NM_031903
FAM124A,NM_001242312
ATP6V1E1,NM_001039366
MYL6,NM_021019
N4BP2,NM_001318359
FSD2,NM_001007122
RASGEF1A,NM_001282862
SERINC1,NM_020755
MSMO1,NM_001017369
G3BP2,NM_001400004
SLC25A48,NM_001349335
ADGRB1,NM_001391985
NREP,NM_001142474
AKAP10,NM_001330152
SLC25A3,NM_002635
RGS17,NM_012419
RPL24,NM_000986
NUPR1,NM_001042483
ID2,NM_002166
SCN11A,NM_001287223
GPR135,NM_022571
ATP6V0C,NM_001198569
RNASEK,NM_001004333
NT5C,NM_001252377
ELOB,NM_007108
PAK3,NM_001128166
COPS7A,NM_001164093
REEP5,NM_005669
ST6GALNAC5,NM_001320273
PTPRJ,NM_001098503
PLEKHA5,NM_001143821
RPS21,NM_001024
RPL4,NM_000968
NBPF14,NM_001395631
DENND4A,NM_001144823
DDT,NM_001084392
MAP1LC3A,NM_032514
UBXN1,NM_001286077
RPL38,NM_000999
MDH1,NM_001199111
ATP5MC3,NM_001002256
APEX1,NM_001244249
NORAD,NR_027451
RPP25L,NM_148178
EPB41,NM_001166005
LRRC9,NM_001355272
TMEM141,NM_032928
CAMK2N1,NM_018584
MAGEF1,NM_022149
VCAN,NM_001126336
PIP4K2A,NM_001330062
CD99,NM_001122898
NAA38,NM_001320924
LCN12,NM_178536
TRIM66,NM_001388022
SAMD12,NM_001101676
CLTA,NM_001076677
RPL39,NM_001000
RPS8,NM_001012
NDUFA4,NM_002489
COX7A1,NM_001864
RPL32,NM_000994
SERF2,NM_001018108
FIS1,NM_016068
CD38,NM_001775
RAB3C,NM_001317915
SELENOW,NM_003009
ZBTB46,NM_001369741
RNF212B,NM_001282322
NCBP2AS2,NM_001355243
ANKMY1,NM_001282771
PARP9,NM_001146102
TMEM256,NM_152766
ADAMTS17,NM_139057
RPS4X,NM_001007
PDE5A,NM_001083
THAP7,NM_001008695
CCDC196,NM_001004331
MRFAP1,NM_001272053
ST8SIA1,NM_001304450
PEBP1,NM_002567
HKDC1,NM_025130
GABARAPL1,NM_001363598
