"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","edgeR_DE_BHQ","diff_mesor_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"ELK1","ELK1","MA0028.2","13.0654",3.02005e-40,0.836215,0.805366,0.0713924,663,"False",2.3979197e-37,0.00158906358864242,0.00303798375119974,0.574064472595197,0.575660380656649,0.486387404755736,0.879801610123535,0.852046911199861,0.879801610123535,NA,NA,NA,NA
"ELK4","ELK4","MA0076.2","12.3642",3.83536e-36,0.879611,0.852902,0.0609356,663,"False",1.52263792e-33,0.379764053330191,0.180806311354717,NA,NA,NA,0.648036873391849,0.597582024855895,0.648036873391849,NA,NA,NA,NA
"ELK3","ELK3","MA0759.1","12.2962",7.16475e-36,0.854148,0.827514,0.0652263,663,"False",1.8962705e-33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FLI1","FLI1","MA0475.2","11.8087",3.42207e-33,0.85408,0.82927,0.0613296,663,"False",6.79280895e-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FEV","FEV","MA0156.2","11.7882",4.28596e-33,0.864863,0.840666,0.0603487,663,"False",6.80610448e-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZBTB7A","ZBTB7A","MA0750.2","11.7279",1.17196e-32,0.856629,0.829929,0.0611889,663,"False",1.55089373333333e-30,1.02652146461004e-08,4.29478012571766e-07,0.496541238105794,0.499031780348777,0.401455401368414,0.0134068361578396,0.404503886701976,0.0134068361578396,0.243142161949713,0.884405893899267,NA,0.81228887038892
"ETS1","ETS1","MA0098.3","11.4015",4.69791e-31,0.869315,0.846278,0.0580069,663,"False",5.3287722e-29,0.0277094862463311,0.00364508157153728,0.645169618814241,0.646783083282732,0.586921721259125,0.92349159644547,0.756565992420676,0.92349159644547,NA,NA,NA,NA
"ERG","ERG","MA0474.2","11.2786",2.01876e-30,0.870987,0.84857,0.0566305,663,"False",2.0036193e-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETS2","ETS2","MA1484.1","11.1045",1.47281e-29,0.871018,0.848397,0.0584501,663,"False",1.29934571111111e-27,0.44585198642316,0.383108184826108,NA,NA,NA,0.338498973129538,0.576760118198673,0.338498973129538,NA,NA,NA,NA
"ETV5","ETV5","MA0765.2","10.967",6.95373e-29,0.876793,0.853063,0.0623474,663,"False",5.52126162e-27,1.55710763469331e-65,3.92862471590314e-30,0.566279651364164,0.567394843946028,-0.0991789326619443,0.522678906783712,0.403126347872561,0.522678906783712,NA,NA,NA,NA
"ERF","ERF","MA0760.1","10.9214",1.07291e-28,0.852825,0.83128,0.0584688,663,"False",7.74445945454545e-27,0.0300425814501729,0.166927784293228,0.605677040606972,0.606958728307776,0.614180698836712,0.163773530339404,0.119192288847875,0.163773530339404,NA,NA,NA,NA
"YY2","YY2","MA0748.2","10.4067",4.23996e-26,0.847347,0.821895,0.0634639,663,"False",2.8054402e-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gmeb1","Gmeb1","MA0615.1","10.1538",7.42822e-25,0.834601,0.817285,0.0396339,663,"False",4.5325887e-23,0.0242344839257439,0.07399055695837,0.743146246056045,0.745067477059806,0.393481609330756,0.253536387034573,0.409823938626197,0.253536387034573,NA,NA,NA,NA
"ETV3","ETV3","MA0763.1","10.0899",7.99197e-25,0.854978,0.835857,0.058494,663,"False",4.5325887e-23,0.00250706931348498,0.00184111286956937,0.799273361705527,0.799619672407888,0.369060773288238,0.371919648238596,0.329456421841823,0.371919648238596,NA,NA,NA,NA
"ZBTB33","ZBTB33","MA0527.1","10.1184",9.09584e-25,0.794213,0.772676,0.0545147,663,"False",4.81473130666667e-23,0.0393061091653766,0.00595092762497336,0.568551551213686,0.570581068380403,0.725928074085639,0.253906250737912,0.360091955411573,0.253906250737912,NA,NA,NA,NA
"ETV6","ETV6","MA0645.1","10.0369",1.635e-24,0.872463,0.851358,0.060862,663,"False",8.1136875e-23,0.00254558615242309,0.11529977794899,NA,NA,NA,0.0985824253984127,0.459487113852795,0.0985824253984127,NA,NA,NA,NA
"NRF1","NRF1","MA0506.1","10.0297",2.64405e-24,0.871956,0.844252,0.0647754,663,"False",1.23492688235294e-22,3.27021819603819e-06,0.151681117684159,NA,NA,NA,0.291124951068865,0.910530018183984,0.291124951068865,NA,NA,NA,NA
"ELF2","ELF2","MA1483.1","9.7617",2.61626e-23,0.810085,0.790052,0.0604885,663,"False",1.15406135555556e-21,3.67868709383811e-12,0.000550557409944469,NA,NA,NA,0.5868245754344,0.908071014187523,0.5868245754344,NA,NA,NA,NA
"HINFP","HINFP","MA0131.2","9.6025",2.11815e-22,0.84056,0.819262,0.0487695,663,"False",8.85163736842105e-21,0.00552671008612972,0.786868709464686,NA,NA,NA,0.000184101194557793,0.00141924431989144,0.000184101194557793,NA,NA,NA,NA
"ELF4","ELF4","MA0641.1","9.42131",7.60367e-22,0.799548,0.779983,0.0614268,663,"False",3.01865699e-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TCFL5","TCFL5","MA0632.2","9.34973",2.49854e-21,0.859995,0.835763,0.0562554,663,"False",9.44686076190476e-20,0.503071333960818,0.946498457928511,NA,NA,NA,0.773359736245657,0.57996203594556,0.773359736245657,NA,NA,NA,NA
"KLF15","KLF15","MA1513.1","9.25388",6.80334e-21,0.896171,0.860109,0.0775759,663,"False",2.45538725454545e-19,NA,NA,NA,NA,NA,NA,0.946483405777615,NA,NA,NA,NA,NA
"E2F1","E2F1","MA0024.3","9.17759",1.09195e-20,0.786528,0.7698,0.0448836,663,"False",3.76960130434783e-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
