"",matched_features
Fructose and mannose metabolism,cpd:C00794; cpd:C00095; cpd:C00275; cpd:C05345; cpd:C00325; hsa:231; hsa:3795; hsa:5210; hsa:57103; hsa:4351; hsa:5372; hsa:5373; hsa:7264; hsa:2762; hsa:29925; hsa:5211; hsa:5213; hsa:7167; hsa:226; hsa:229; hsa:230; hsa:26007
Purine metabolism,cpd:C00064; cpd:C00020; cpd:C05512; cpd:C00059; cpd:C00301; cpd:C00147; cpd:C00366; cpd:C00086; hsa:50484; hsa:5631; hsa:10606; hsa:10846; hsa:50940; hsa:5136; hsa:5137; hsa:5139; hsa:5140; hsa:27115; hsa:5142; hsa:5144; hsa:5150; hsa:114; hsa:115; hsa:55811; hsa:953; hsa:221264; hsa:4830; hsa:4831; hsa:4832; hsa:271; hsa:115024; hsa:30833; hsa:4907; hsa:132; hsa:1633; hsa:353; hsa:124583; hsa:955; hsa:131870; hsa:2766; hsa:51292; hsa:3615; hsa:2987; hsa:9615; hsa:374659; hsa:5146; hsa:8654; hsa:9060; hsa:9061; hsa:5198; hsa:5167; hsa:318; hsa:2272; hsa:22875; hsa:5315
Glycerolipid metabolism,cpd:C00258; hsa:1056; hsa:84649; hsa:116255; hsa:10554; hsa:10555; hsa:150763; hsa:84803; hsa:26007; hsa:231; hsa:219; hsa:4023; hsa:2717; hsa:1607; hsa:1608; hsa:8527
Lysine degradation,cpd:C00956; cpd:C00487; cpd:C00024; hsa:10157; hsa:8424; hsa:219; hsa:79823; hsa:2146; hsa:58508; hsa:64324; hsa:64754; hsa:6839; hsa:7468; hsa:79813; hsa:93166; hsa:5352; hsa:29072; hsa:1892; hsa:1738; hsa:55526
Glycolysis or Gluconeogenesis,cpd:C00024; cpd:C05345; hsa:219; hsa:220; hsa:128; hsa:5162; hsa:3939; hsa:3945; hsa:5315; hsa:2023; hsa:2026; hsa:5223; hsa:669; hsa:2597; hsa:7167; hsa:226; hsa:229; hsa:230; hsa:5211; hsa:5213; hsa:2645; hsa:1738; hsa:5230
Nitrogen metabolism,cpd:C00064; hsa:377677; hsa:759; hsa:761; hsa:762; hsa:767; hsa:1373
Pyruvate metabolism,cpd:C00024; hsa:5162; hsa:5315; hsa:2739; hsa:10873; hsa:4199; hsa:4190; hsa:4191; hsa:3939; hsa:3945; hsa:219; hsa:31; hsa:32; hsa:9380; hsa:1738; hsa:98
Glutathione metabolism,cpd:C00024; cpd:C00315; cpd:C00750; hsa:2878; hsa:2879; hsa:2539; hsa:2937; hsa:79017; hsa:2947; hsa:2948; hsa:2950; hsa:4257; hsa:4258; hsa:9446; hsa:4953; hsa:6723; hsa:50484; hsa:494143
Mucin type O-glycan biosynthesis,hsa:11226; hsa:114805; hsa:168391; hsa:374378; hsa:55568; hsa:64409; hsa:79623; hsa:79695; hsa:29071
Cysteine and methionine metabolism,cpd:C00170; cpd:C00065; cpd:C00073; cpd:C00021; cpd:C00606; cpd:C21016; hsa:6723; hsa:262; hsa:883; hsa:27430; hsa:191; hsa:23382; hsa:1788; hsa:58478; hsa:2805; hsa:2806; hsa:3939; hsa:3945; hsa:4190; hsa:4191; hsa:2937
Arginine and proline metabolism,cpd:C00062; cpd:C00334; cpd:C00315; cpd:C00750; cpd:C00148; cpd:C01035; hsa:4842; hsa:1152; hsa:219; hsa:6723; hsa:262; hsa:112483; hsa:55748; hsa:2805; hsa:2806; hsa:29920; hsa:65263; hsa:283208; hsa:5033; hsa:8974; hsa:4942; hsa:4953
Phenylalanine metabolism,cpd:C00079; cpd:C00082; hsa:220; hsa:314; hsa:2805; hsa:2806; hsa:4282; hsa:10249
Phosphatidylinositol signaling system,hsa:23236; hsa:5330; hsa:5332; hsa:10423; hsa:5290; hsa:5293; hsa:5296; hsa:8503; hsa:8395; hsa:55300; hsa:1607; hsa:1608; hsa:8527; hsa:8821; hsa:3633; hsa:79837; hsa:3612; hsa:3613; hsa:54928; hsa:3706; hsa:90809
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,hsa:337876; hsa:79586; hsa:26229; hsa:64131; hsa:11285; hsa:126792; hsa:29940
Starch and sucrose metabolism,cpd:C00095; cpd:C00089; cpd:C00029; hsa:2595; hsa:8972; hsa:5167; hsa:283209; hsa:2992; hsa:2997; hsa:2998; hsa:8908; hsa:2645; hsa:2632
