"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"HIF1A (mouse)",0.000702777899946666,1.64525214592275,11.9453032685612,"['PRDM6', 'GMNN', 'SPINT2', 'SRP14', 'ASGR1', 'MYLK', 'NPPC', 'LBH', 'ZXDB', 'SLC16A9', 'FAM81A', 'SOX4', 'PLEKHG1', 'ETV1', 'RRAGA', 'SFRP1', 'B3GNT5', 'RFX4', 'ALDOC', 'COL6A6', 'TTPAL', 'CDH18', 'FREM2', 'FREM3', 'NXPH2', 'NXN', 'USHBP1', 'TCF7', 'COX17', 'ARHGAP18', 'THY1', 'HMGCR', 'PLD1', 'NT5C', 'HRH1', 'TCTEX1D1', 'PCBD1', 'ST8SIA6', 'RHBDL2', 'SAMD3', 'HIPK4', 'MARCKSL1', 'RPH3AL', 'CBX4', 'CDKN2A', 'FN1', 'TDRD6', 'PARP14', 'CORO2B', 'SPATA2L', 'GADD45G', 'DNAJA1', 'FAM131C', 'AQP11', 'CD247', 'SCRG1', 'NOP10', 'HSPA1B']",0.167083326321706,0,0,58,"HIF1A",0.167083326321706,0.000302344691196479,0.00121092221392744,0.61652393386657,0.617317541563475,0.423643696333801,0.484306763894514,0.564965483098805
"NR3C1 (human)",0.0012323393960727,1.4562776957164,9.75537268882671,"['TMEM151A', 'B4GALT3', 'CLIC5', 'CD81', 'MRPS12', 'UBE2L6', 'GPATCH4', 'FGF1', 'ZDHHC4', 'TMEM47', 'DUSP12', 'OPA3', 'SPDYE1', 'LRRTM2', 'C8ORF82', 'PIM1', 'DGCR6L', 'ACP2', 'RGS8', 'IER5', 'SSR2', 'DAPK2', 'CCDC113', 'F2R', 'SLC39A11', 'KCNAB1', 'TMC7', 'ETV1', 'ACYP1', 'BPGM', 'HLA-F', 'CES4A', 'C1QL2', 'GNL3', 'DUSP7', 'FNDC5', 'DALRD3', 'DBF4', 'SDHAF1', 'ARMCX6', 'CRH', 'RPP21', 'COL6A6', 'PLA2R1', 'TRIB2', 'ISCU', 'FKBP5', 'PAPPA2', 'BEX2', 'STOML1', 'SATB2', 'LRTM1', 'PSEN2', 'LYPD1', 'NEDD9', 'A1BG', 'SLC1A6', 'PCDH18', 'IGSF21', 'RBM15B', 'ABI3BP', 'PTK2B', 'TMEM208', 'SLC17A7', 'APOE', 'ATP6V0E2', 'PRNP', 'TGFB1', 'KCNJ10', 'GAD1', 'P2RY14', 'SNAI3', 'LGI2', 'FN1', 'SYVN1', 'SPDYE3', 'SMAD9', 'SPDYE5', 'LHFPL2', 'FRAS1', 'P4HA3', 'SMOC1', 'TACC3', 'ITGBL1', 'MRVI1', 'MKX', 'SERINC3', 'MUC20', 'FGFR2', 'ITM2C']",0.167083326321706,0,0,90,"NR3C1",0.167083326321706,0.0782853965622571,0.178507900003748,NA,NA,NA,0.267978775338528,0.714593055780828
"Sox5 (mouse)",0.00158623411064911,1.7348854056902,11.1837523646036,"['NNMT', 'KDM5D', 'MAML2', 'ANKRD55', 'RGS16', 'SUPT4H1', 'ATXN7L3B', 'ARHGAP6', 'NSDHL', 'LRRTM1', 'SLC16A6', 'PTK2B', 'BANF1', 'CTSF', 'GABRD', 'RPRM', 'BTF3', 'HSP90AA1', 'RPH3AL', 'PRKCH', 'ATP6V1G2', 'GPR12', 'RIPK2', 'S100A1', 'CCDC115', 'KLHL1', 'NR2F2', 'TEX15', 'TUBG1', 'RAB11A', 'LRRC42', 'ANO3', 'GJD2', 'PTP4A3', 'TMX4', 'CYCS', 'KDELR2', 'KLRD1', 'MNS1', 'PPEF1', 'NFE2L1']",0.167083326321706,0,0,41,"Sox5",0.167083326321706,2.16789439224696e-07,0.00129963268601798,0.927182851849774,0.926296090021599,0.0228619629649471,0.00542403824930065,0.156033967697416
"Arnt::Ahr (mouse)",0.00541412261076905,2.23131283500893,11.6446514539752,"['PANK4', 'PPP1R14A', 'PLEKHG1', 'LRRC29', 'PRDM6', 'CCDC106', 'NSG1', 'DEXI', 'TIRAP', 'BBC3', 'RHD', 'ADAMTS20', 'DUOX1', 'ORMDL3', 'TIMP2', 'LDLR']",0.427715686250755,0,0,16,"Arnt::Ahr",0.427715686250755,NA,NA,NA,NA,NA,NA,NA
"NR5A1 (mouse)",0.0146152631413568,1.41856779061044,5.99442613220684,"['ALDH1L1', 'CPNE7', 'PHF23', 'MRPS12', 'MRPL34', 'TOMM22', 'NPPC', 'RPS6KA5', 'LBH', 'SALL1', 'RPL36AL', 'MAF1', 'JAGN1', 'DUSP1', 'PGAM1', 'SLC39A11', 'AIP', 'DUSP26', 'LRRC42', 'PTP4A3', 'FNDC4', 'SDHAF1', 'PDZRN4', 'FREM2', 'SET', 'RPS19BP1', 'ARHGAP18', 'ZDHHC22', 'ART3', 'HRH1', 'TCTEX1D1', 'ST8SIA6', 'SNX8', 'BCL2L14', 'PPP1R14A', 'XBP1', 'TGFB1', 'PMM1', 'ST8SIA2', 'P2RY14', 'VWA3A', 'RAB11A', 'ANLN', 'NSG2', 'CROCC', 'CYCS', 'FXYD6', 'MKX', 'VIM', 'FARSA', 'NFE2L1', 'TOMM5', 'GRINA']",0.890259045989291,0,0,53,"NR5A1",0.890259045989291,NA,NA,NA,NA,NA,NA,NA
"NR4A2 (human)",0.0169036527719486,2.99397761953204,12.216103949571,"['NLGN4Y', 'ACTL6A', 'NEU1', 'MANEAL', 'C1QL2', 'HCRTR2', 'LSM2']",0.890259045989291,0,0,7,"NR4A2",0.890259045989291,NA,NA,NA,NA,NA,NA,NA
"FOXM1 (human)",0.0270030333577378,2.67243133265514,9.65230371617183,"['ZBBX', 'ETV1', 'DNA2', 'A1BG', 'VIP', 'CORIN', 'PPIL6']",0.999988302900483,0,0,7,"FOXM1",0.999988302900483,NA,NA,NA,NA,NA,NA,NA
"FOXA3 (human)",0.0317424622142,1.76786130104363,6.09929826130578,"['CLIC5', 'H3F3B', 'SLC2A12', 'RPSA', 'ARHGAP28', 'HMGCR', 'ETV5', 'RUNX1', 'PSMD8', 'IQCJ-SCHIP1', 'PRPF4', 'ASXL3', 'TMED2', 'RGS8', 'TRPM3', 'LEKR1']",0.999988302900483,0,0,16,"FOXA3",0.999988302900483,NA,NA,NA,NA,NA,NA,NA
"PPARG::RXRA (mouse)",0.0393312723709931,10.6619433198381,34.499226813388,"['TIRAP', 'MYLK']",0.999988302900483,0,0,2,"PPARG::RXRA",0.999988302900483,NA,NA,NA,NA,NA,NA,NA
"JUND (mouse)",0.0407888951051599,1.28211716341213,4.10193566622259,"['EIF4A2', 'IFITM3', 'RAB3B', 'GPSM2', 'ALDH1L1', 'MAML2', 'LOXL3', 'MEA1', 'SRP14', 'CXCL14', 'ARHGAP6', 'ZDHHC4', 'PSMD8', 'RGS2', 'LIPI', 'LRRTM1', 'SEC61G', 'OPA3', 'LRRTM2', 'IQUB', 'ACP2', 'TMPRSS11A', 'ATP6AP1', 'H2AFZ', 'PPP2R5B', 'MUL1', 'ETV1', 'GTPBP2', 'LRRC42', 'PDRG1', 'GJD2', 'MAK', 'B3GNT5', 'CHDH', 'SGK1', 'CFTR', 'IDI1', 'AHCY', 'DCUN1D3', 'GPR85', 'FITM2', 'PLD1', 'DEDD2', 'ZFP36L1', 'RELN', 'GRPEL2', 'APOD', 'RPL17', 'TRPM3', 'MOAP1', 'PRNP', 'NDUFA7', 'LGI4', 'TRAPPC4', 'SNAI3', 'LGI2', 'NAP1L2', 'PEX10', 'NSG1', 'CORO2B', 'MZT1', 'RPS25', 'STAG3', 'POLE2', 'TACC3', 'FARSA']",0.999988302900483,0,0,66,"JUND",0.999988302900483,0.105116966589457,0.0261799615490139,0.667368639048203,0.668247069610718,0.724600956797381,0.939359027733481,0.961870328545092
