"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"RUNX2 (mouse)",0.860989334491656,0.814073712095882,0.121844986575101,"['IFITM3', 'ARL9', 'POP5', 'COX7B', 'RPL32', 'SLC35B1', 'POP4', 'ATP1A3', 'UQCR11', 'RPL6', 'PSMB10', 'TXN2', 'TOMM22', 'RPL7A', 'APOD', 'RPL18', 'MDP1', 'RPS13', 'LRRC47', 'OST4', 'PHYH', 'RPH3AL', 'ATP6AP1', 'S100A1', 'HAUS4', 'AIP', 'RPL35A', 'IMP4', 'VWA3A', 'ATP1B2', 'FIBP', 'TMEM134', 'LYRM2', 'PIK3IP1', 'BOLA3', 'POLE2', 'CDHR2', 'RFX5', 'SCG5', 'RPL29', 'SGK1']",0.999862716124211,0,0,41,"RUNX2",0.999862716124211,9.54297638613825e-10,8.33321721689621e-07,0.583253278634686,0.584659931809367,0.291099677387324,4.68480268446333e-06,0.00213346696213659
"FOXA2 (human)",0.861184915822044,0.591822094691535,0.08844546189485,"['TMEM134', 'COX7A2', 'CLN5']",0.999862716124211,0,0,3,"FOXA2",0.999862716124211,NA,NA,NA,NA,NA,NA,NA
"SP1 (human)",0.8625071355423,0.817653890824623,0.120940705390127,"['NECAB2', 'TSEN34', 'C11ORF95', 'RNH1', 'CHPF', 'DIRAS1', 'ODC1', 'KLHL17', 'MRPL14', 'ATP1A1', 'SEZ6L2', 'JAKMIP1', 'TMEM141', 'BACH2', 'RPL7', 'MRPL40', 'NFIL3', 'GNG4', 'CAMK2N2', 'PDGFC', 'PIM1', 'GABRD', 'HES4', 'POLR2L', 'DUSP4', 'GDF11', 'TRAPPC2L', 'RIPK2', 'DUSP1', 'PGAM1', 'VEGFB', 'CCK', 'LSM5', 'LRRC42', 'RUNX1', 'ARL4C', 'DRAP1', 'VGF', 'ASPHD1', 'TACC3', 'ZNF853', 'PHPT1', 'SGK1', 'C8ORF33']",0.999862716124211,0,0,44,"SP1",0.999862716124211,0.000994485006887694,0.024800432107589,0.854719423344633,0.855329011820536,-0.155203394594898,0.441069173275815,0.748818357339388
"HIF1A (mouse)",0.865530384935459,0.790764931435627,0.114196576452843,"['NXPH2', 'WBP2', 'PRDM6', 'COX17', 'NDUFB2', 'SRP14', 'PLD1', 'ZXDB', 'RPL13', 'PCBD1', 'FAM81A', 'RPH3AL', 'NDUFA6', 'SPRYD4', 'CDKN2A', 'ETV1', 'ATP1B2', 'AMPD3', 'CORO2B', 'GADD45G', 'DNAJA1', 'RRAGA', 'SFRP1', 'MMP16', 'PSMG3', 'RPL24', 'AQP11', 'ALDOC', 'SNRNP25', 'INHA', 'SCRG1']",0.999862716124211,0,0,31,"HIF1A",0.999862716124211,0.000302344691196479,0.00121092221392744,0.61652393386657,0.617317541563475,0.423643696333801,0.484306763894514,0.564965483098805
"NKX2-8 (human)",0.867626127217942,0.644485197799319,0.091513280027365,"['TSTD1', 'CD81', 'ABI3BP', 'USE1', 'EPHB3', 'SCN2B']",0.999862716124211,0,0,6,"NKX2-8",0.999862716124211,NA,NA,NA,NA,NA,NA,NA
"E2F6 (human)",0.874218526699062,0.805720265085455,0.108308869309867,"['TSEN34', 'RNH1', 'PCDH10', 'FRMPD1', 'KLHL17', 'MRPL14', 'RPL8', 'RPL10A', 'ZNF48', 'TXNDC17', 'BANF1', 'HES4', 'POLR2L', 'DUSP4', 'NTNG1', 'GDF11', 'MOAP1', 'SURF1', 'KCNJ10', 'GPX4', 'H3F3B', 'RIPK2', 'PGAM1', 'ATP6AP2', 'NR2F2', 'AMPD3', 'DNAJC14', 'LSM5', 'CORO2B', 'LRRC42', 'RUNX1', 'ARL4C', 'DRAP1', 'SPSB3', 'FABP3', 'C6ORF47', 'PRKAR1A', 'RPL26', 'ZNF853', 'SYNC', 'RPS21', 'FGFR2']",0.999862716124211,0,0,42,"E2F6",0.999862716124211,0.0254386621253323,0.0057825017508549,NA,0.647651659585844,NA,0.544844919818492,0.533628725817631
"AP1 (mouse)",0.877074252054808,0.591235632183908,0.0775486082881531,"['AQP11', 'RPL27', 'NSG1', 'TMEM9B']",0.999862716124211,0,0,4,"AP1",0.999862716124211,NA,NA,NA,NA,NA,NA,NA
"SMAD4 (mouse)",0.879401889877144,0.781437125748503,0.10042504281807,"['FAM89B', 'CD81', 'WIPF1', 'COX4I1', 'KLHL17', 'MRPL14', 'RNF7', 'RPL7', 'CLGN', 'RBM15B', 'MRPL40', 'NFIL3', 'RPL36AL', 'PDGFC', 'EIF4H', 'SLIT3', 'EPHB3', 'LRRC47', 'GDF11', 'HSP90AA1', 'H2AFZ', 'NR2F2', 'AMPD3', 'NSG1', 'CORO2B', 'WDR77', 'RCN1', 'FNDC4', 'ASXL3', 'EIF3I', 'HECA', 'CGGBP1']",0.999862716124211,0,0,32,"SMAD4",0.999862716124211,2.6143173958053e-06,0.000415163766704799,NA,NA,NA,0.987751854577839,0.881859982037229
"IKZF1 (mouse)",0.879401889877144,0.781437125748503,0.10042504281807,"['NECAB2', 'RPL10', 'NXPH2', 'GMPR2', 'DCUN1D3', 'TUSC2', 'POMP', 'RNF7', 'TIMM10', 'MAGT1', 'RPL10A', 'COX7A1', 'CKMT2', 'KRTCAP2', 'RPS15A', 'RPLP2', 'ACP2', 'APOD', 'UTY', 'AAMP', 'SURF1', 'GPX4', 'NME2', 'PPP2R5B', 'NUDT22', 'FABP3', 'COL5A1', 'TRNP1', 'UFC1', 'TACC3', 'MKX', 'PVALB']",0.999862716124211,0,0,32,"IKZF1",0.999862716124211,NA,NA,NA,NA,NA,NA,NA
"ETS2 (human)",0.879996540572121,0.799468892261001,0.102201946767736,"['BEX1', 'DLX5', 'KLHL17', 'MAGEF1', 'TIMM10', 'ATP1A1', 'RPL10A', 'SLC6A1', 'TCEAL6', 'CASP6', 'TMSB4X', 'PIM1', 'TMEM208', 'RPL38', 'CD59', 'SLIT3', 'RPL15', 'SEC62', 'FANCI', 'GABBR1', 'KCNJ10', 'TRPC3', 'TSTD1', 'CDKN2A', 'PCDH20', 'NEK6', 'LSM1', 'CCK', 'LSM3', 'NAP1L5', 'SRP9', 'DCN', 'SCNN1G', 'MRPL50', 'NDUFAF4', 'CARD18', 'CBLN4', 'SGK1', 'SCRG1', 'PVALB', 'BEX5']",0.999862716124211,0,0,41,"ETS2",0.999862716124211,0.44585198642316,0.383108184826108,NA,NA,NA,0.338498973129538,0.576760118198673
"TCF4 (human)",0.883070086516481,0.857773573005361,0.106664751406881,"['DCLRE1C', 'TMEM167A', 'RPL34', 'POP4', 'AQP4', 'PARK7', 'TMEM141', 'CLGN', 'CNDP2', 'TOMM22', 'CDC14B', 'RPS14', 'PIM1', 'PHYH', 'RPL21', 'DDX11', 'HLA-B', 'DEXI', 'TXLNB', 'MRTO4', 'SCG5', 'RPL27', 'HECA', 'NDUFB10', 'UQCRB', 'DLX5', 'COPS7A', 'OAZ1', 'GABARAP', 'EFNB3', 'ERI2', 'WWTR1', 'H3F3B', 'NR2F2', 'CORO2B', 'LSM3', 'MANF', 'FIBP', 'AIMP2', 'C1ORF216', 'RPS28', 'RPL27A', 'NDUFAF4', 'C8ORF33', 'RPS23', 'MCFD2', 'PHF23', 'SLC6A1', 'HAPLN1', 'RPS4X', 'HINT1', 'NUDCD2', 'SUMO1', 'CA3', 'CASP6', 'OPA3', 'UQCRFS1', 'SLC32A1', 'VBP1', 'SLC39A11', 'NDUFC1', 'RPS3A', 'ETV1', 'AMPD3', 'PPRC1', 'MRPS7', 'DUSP26', 'DCN', 'LRRC42', 'MZT2B', 'HAX1', 'RPL37A', 'RBM20', 'LCP2', 'HAP1', 'SLC25A5', 'SGK1', 'PFDN6', 'SEMA3C', 'NDUFB5', 'DCTN3', 'VPS4A', 'TIMM10', 'HSD17B12', 'ATP1A1', 'CLN5', 'PSMB6', 'TCEAL6', 'NRIP2', 'CD59', 'PCBD1', 'ATP6V0E2', 'GABRD', 'POLR2K', 'NLGN4Y', 'NDUFA6', 'SPRYD4', 'PCP4L1', 'USP9Y', 'PDAP1', 'TPD52L1', 'KBTBD4', 'ASXL3', 'POLE2', 'TOMM7', 'PTPN9', 'AQP11', 'FAU', 'OCIAD2', 'LAMTOR1', 'VIP', 'EIF3D']",0.999862716124211,0,0,112,"TCF4",0.999862716124211,3.39495475495189e-10,4.44452075126362e-06,0.642612736584311,0.643784942052899,-0.0975693214872631,0.00152396825101363,0.0349135910955244
"Arnt::Ahr (mouse)",0.884815674349933,0.635586635586636,0.0777805076833182,"['PANK4', 'PPP1R14A', 'LRRC29', 'PRDM6', 'HAUS4', 'NSG1', 'DEXI']",0.999862716124211,0,0,7,"Arnt::Ahr",0.999862716124211,NA,NA,NA,NA,NA,NA,NA
"ATF2 (human)",0.891656884580007,0.791695264241592,0.0907867668928077,"['RNH1', 'SEMA3C', 'NDUFB5', 'PCDH10', 'WBP2', 'MAGEF1', 'TIMM13', 'NDUFB2', 'HSD17B12', 'ATP1A1', 'PPCDC', 'TXN2', 'RPS15', 'SNAPC5', 'C12ORF57', 'LSM10', 'TCEAL6', 'TMED2', 'BANF1', 'SEPHS2', 'BTF3', 'DNAJC19', 'TIMM8B', 'FANCI', 'WWTR1', 'TGFB1', 'VBP1', 'P2RY14', 'PRKCD', 'ENTPD7', 'ETV1', 'AMPD3', 'TPD52L1', 'LSM5', 'TMEM134', 'ASXL3', 'MRTO4', 'PSMG3', 'CBLN4', 'AURKAIP1', 'RPS24', 'C22ORF39']",0.999862716124211,0,0,42,"ATF2",0.999862716124211,3.40925493904069e-05,1.65972962008172e-05,0.345934934102191,0.346003102161616,0.594791792106019,0.707309104613482,0.795019870645477
