"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","DEseq_DE_BHQ"
"MYC (mouse)",0.000149176511991678,2.64898716561002,23.3385843624635,"['BEX4', 'RPL30', 'SET', 'RPLP1', 'COPS7A', 'FGF1', 'PSMB10', 'CPLX3', 'LDHA', 'MRPL40', 'PHKG1', 'RPS19', 'CCDC85B', 'DDT', 'RPL14', 'RPLP2', 'SLC39A7', 'TAF9B', 'RPS12', 'SURF1', 'NDUFA7', 'H2AFZ', 'SURF2', 'SSR2', 'RPSA', 'AMPD3', 'MANF', 'CORT', 'RPS28', 'VGF', 'UQCRQ', 'APEX1', 'TMEM126A', 'BAX', 'CBLN4', 'TOMM5', 'RPS23']",0.0395317756777947,0,0,37,"MYC",0.0395317756777947,NA,NA,NA,NA,NA,NA,NA
"SREBF2 (human)",0.000410267599542582,3.31344183242917,25.840541897942,"['NECAB2', 'OST4', 'NDUFA7', 'ENDOG', 'SLC32A1', 'RPL12', 'TINF2', 'TBCC', 'UQCR10', 'FGF1', 'RPL9', 'ARL4C', 'LDHA', 'DBNDD2', 'HAX1', 'PHKG1', 'VGF', 'DDT', 'DDIT3', 'ACP2', 'RPL38', 'HMGN2', 'C8ORF33']",0.0543604569393922,0,0,23,"SREBF2",0.0543604569393922,0.0400072292907096,0.857774172906381,NA,NA,NA,0.669729197103397,0.484769765369795
"NR1H3 (human)",0.00193581946685872,2.71159096550012,16.9399176358499,"['NECAB2', 'SET', 'RPL3', 'RPL11', 'RPLP0', 'VEGFB', 'TIMM10', 'RPL9', 'RPL6', 'RPS15', 'RPS25', 'MED11', 'RPS27', 'RPL18A', 'RPS19', 'CAMK2N2', 'SPDYE2', 'TMEM126A', 'TMED2', 'BAX', 'RPS21', 'SCN2B', 'RPL19']",0.162371510756869,0,0,23,"NR1H3",0.162371510756869,0.262814860247566,0.0465352974105701,0.652324527234159,0.653707507290102,0.732551910022944,0.881250410367735,0.593880055165205
"IKZF1 (human)",0.00245089072840557,2.35344827586207,14.1472924646749,"['NECAB2', 'RPL30', 'SET', 'RPL10', 'RPL11', 'RPLP0', 'TMEM141', 'C12ORF57', 'RPS15', 'MED11', 'RPS16', 'MAP1LC3A', 'PHKG1', 'RPL18A', 'ZNF428', 'TMED2', 'RPS10', 'ENDOG', 'RPS7', 'TBCC', 'ATP1B2', 'CORT', 'RPS27', 'FNDC4', 'APEX1', 'FAU', 'GRINA', 'SCN2B']",0.162371510756869,0,0,28,"IKZF1",0.162371510756869,NA,NA,NA,NA,NA,NA,NA
"PLAU (human)",0.00406638710134479,2.25965665236052,12.4394106934096,"['COX7B', 'RPL3', 'NDUFB2', 'SEZ6L2', 'RPL9', 'TSPAN31', 'CHCHD2', 'PARD6A', 'MAP1LC3A', 'RPLP2', 'RPL18', 'HES4', 'RPL41', 'RPS9', 'RPL21', 'RPS3A', 'AMPD3', 'RPS27', 'VGF', 'SST', 'RPS29', 'UBE2S', 'APEX1', 'CRH', 'CYCS', 'RPP25', 'SCN2B']",0.175280756920998,0,0,27,"PLAU",0.175280756920998,NA,NA,NA,NA,NA,NA,NA
"SREBF1 (human)",0.00406975902191104,1.90618513906185,10.4919698964306,"['HDDC2', 'SET', 'DCLRE1C', 'RPL32', 'RPL10', 'RPL34', 'TIMM13', 'TIMM10', 'SEZ6L2', 'RPL9', 'RPL7', 'EEF1B2', 'PARD6A', 'MAP1LC3A', 'PHKG1', 'RPL36AL', 'DDT', 'CAMK2N2', 'ZNF428', 'TMED2', 'ACP2', 'RPS27A', 'TAF9B', 'SURF1', 'TSTD1', 'RPL23', 'RPL35A', 'AMPD3', 'MRPL21', 'CORT', 'DPM3', 'RPS28', 'SPCS1', 'COL5A1', 'NDUFS6', 'UBE2S', 'APEX1', 'RPL24', 'FXYD6', 'FAU', 'CBLN4']",0.175280756920998,0,0,41,"SREBF1",0.175280756920998,0.000851165208160392,0.0610422429759088,0.970502389423044,0.969564483519823,0.135667752983109,0.677073128593759,0.772025355353577
"RARA (human)",0.00463005772998863,2.26570048309179,12.1785613861358,"['SET', 'RPL3', 'RPLP0', 'TIMM10', 'RPL10A', 'RPL9', 'RPS15', 'MED11', 'PHKG1', 'KAT5', 'RPL18A', 'RPS19', 'ACP2', 'RPS10', 'RPS12', 'RPL19', 'OST4', 'VEGFB', 'RPS26', 'CORT', 'RPS25', 'SFRP1', 'RPS27', 'CYCS', 'RPS21', 'SCN2B']",0.175280756920998,0,0,26,"RARA",0.175280756920998,0.53769392609247,0.726897350146413,NA,NA,NA,0.707907607608786,0.586107931058805
"NRF1 (mouse)",0.011185612610771,1.99570815450644,8.96697002309066,"['RPL30', 'COX7B', 'CD81', 'COX7A2', 'COX7C', 'RPS15', 'LDHA', 'PARD6A', 'RPS16', 'RPS19', 'RPL35', 'RPL38', 'ATP6V0E2', 'RPS10', 'BTF3', 'TIMM8B', 'RPS9', 'RPL21', 'RPSA', 'RPL23A', 'RPS25', 'RPS28', 'SPCS1', 'UBE2S', 'RPS21', 'TOMM5', 'RPS23']",0.370523417731789,0,0,27,"NRF1",0.370523417731789,3.27021819603819e-06,0.151681117684159,NA,NA,NA,0.291124951068865,0.910530018183984
"HIF1A (human)",0.0154706417185074,1.78771282295511,7.45263712033071,"['BEX4', 'COX7B', 'RPL3', 'RPS19BP1', 'RPL10', 'GMPR2', 'NDUFB3', 'COX7A2', 'COX7A1', 'PSMB10', 'EEF1B2', 'C12ORF57', 'RPS15', 'RPS15A', 'MAP1LC3A', 'KAT5', 'DDT', 'TMED2', 'RPS10', 'RPL17', 'RPL39', 'RPS13', 'TBCC', 'RPSA', 'RPS26', 'CORT', 'TXLNB', 'RPL24', 'FAU', 'RPL29', 'RPP25', 'RPS23', 'BEX5']",0.43802553976218,0,0,33,"HIF1A",0.43802553976218,0.000302344691196479,0.00121092221392744,0.61652393386657,0.617317541563475,0.423643696333801,0.484306763894514,0.564965483098805
"PITX1 (human)",0.0175663239012624,1.85862068965517,7.51212036425986,"['COX7B', 'SET', 'RPL3', 'RPL11', 'COX7A2', 'RPL6', 'MED11', 'RPS15A', 'PHKG1', 'KAT5', 'SPDYE2', 'RPL14', 'RPL35', 'TMED2', 'ACP2', 'RPS10', 'SEPHS2', 'RPL17', 'RPL39', 'ATP6AP1', 'TINF2', 'RPS26', 'BCKDK', 'RPS27', 'RPL24', 'FAU', 'RPL29', 'GRINA']",0.43802553976218,0,0,28,"PITX1",0.43802553976218,NA,NA,NA,NA,NA,NA,NA
