GENE_SYMBOLS,refseq_ids
ETV5,NM_004454
SPRED2,NM_001128210
ANKRD55,NM_001039935
CRH,NM_000756
DUSP4,NM_001394
CBLN4,NM_080617
SPRY4,NM_001127496
CORT,NM_001302
SLC32A1,NM_080552
SHC3,NM_016848
ATP6V0E2,NM_001100592
PGAM1,NM_001317079
ARL4C,NM_001282431
PER2,NM_003894
FXYD6,NM_001164831
TGOLN2,NM_001206840
CAMK2N2,NM_033259
PCP4L1,NM_001102566
VGF,NM_003378
HES4,NM_001142467
TCIM,NM_020130
BTF3,NM_001037637
ATP6AP2,NM_005765
RPS6KA5,NM_001322227
COPS7A,NM_001164093
HMGN1,NM_004965
TPD52L1,NM_001003395
SARAF,NM_001284239
SYNC,NM_001161708
NECAB2,NM_001329748
PNMA8A,NM_001103149
ATP6AP1,NM_001183
SCN2B,NM_004588
CDIPT,NM_001286585
MRPL57,NM_024026
BEX4,NM_001080425
SEZ6L2,NM_001114099
RETREG2,NM_001321109
NCBP2AS2,NM_001355243
SERINC1,NM_020755
HELLPAR,NA
THY1,NM_001311160
HDDC2,NM_016063
GABRD,NM_000815
TRIB2,NM_021643
ATP1B2,NM_001303263
TRPC3,NM_001130698
MOAP1,NM_022151
ITM2C,NM_001012514
ALDOC,NM_005165
ERP29,NM_001034025
TCEAL7,NM_001348258
EMC7,NM_020154
ACP2,NM_001131064
RPS27,NM_001030
ISCU,NM_001301140
SPCS1,NM_014041
CCDC184,NM_001013635
SET,NM_001122821
TOMM5,NM_001001790
SELENOH,NM_001321335
TSPAN31,NM_001330168
RPL15,NM_001253379
LAMP5,NM_001199897
ZNF428,NM_182498
HMGN2,NM_005517
TCEAL8,NM_001006684
RAB11A,NM_001206836
NXPH2,NM_007226
RPL41,NM_001035267
MAP1LC3A,NM_032514
TMED2,NM_001321445
LDHA,NM_001135239
FNDC4,NM_022823
BEX2,NM_001168399
SNHG32,NM_001040437
RPL14,NM_001034996
PRPS1,NM_001204402
SNAPC5,NM_001329613
RPS19BP1,NM_194326
CCN3,NM_002514
CD81,NM_001297649
SELENOM,NM_080430
CHGB,NM_001819
RPS28,NM_001031
ANGPTL1,NM_001376763
PRKCD,NM_001316327
