GENE_SYMBOLS,refseq_ids
ETV5,NM_004454
ANKRD55,NM_001039935
SHC3,NM_016848
SPRED2,NM_001128210
SPRY4,NM_001127496
PGAM1,NM_001317079
ATP6V0E2,NM_001100592
CBLN4,NM_080617
PNMA8A,NM_001103149
DUSP4,NM_001394
GAD1,NM_000817
SERINC1,NM_020755
LRP8,NM_001018054
SPRED1,NM_152594
RND3,NM_001254738
HMGN1,NM_004965
TCIM,NM_020130
CAMK2N2,NM_033259
VGF,NM_003378
PER2,NM_003894
CRH,NM_000756
SLC32A1,NM_080552
ARL4C,NM_001282431
TIMP2,NM_003255
ATP6AP2,NM_005765
MARCKSL1,NM_023009
B3GALNT1,NM_001038628
RETREG2,NM_001321109
THY1,NM_001311160
NSG1,NM_001040101
CCDC144A,NM_001382000
TGOLN2,NM_001206840
WDR77,NM_001317062
TMED2,NM_001321445
CDIPT,NM_001286585
PNMA2,NM_007257
RAB11A,NM_001206836
FRAS1,NM_001166133
ACTG1,NM_001199954
ATP6AP1,NM_001183
RPS6KA5,NM_001322227
ST8SIA2,NM_001330416
PCDH8,NM_002590
CDK5R1,NM_003885
RHOBTB1,NM_001242359
NAP1L5,NM_153757
KBTBD6,NM_152903
SYNC,NM_001161708
PGRMC1,NM_001282621
LGI2,NM_018176
HELLPAR,NA
TRIB2,NM_021643
MOAP1,NM_022151
CCDC184,NM_001013635
ISCU,NM_001301140
KMO,NM_001410944
FAT1,NM_005245
LBH,NM_030915
SCG2,NM_003469
TRPC3,NM_001130698
PRPS1,NM_001204402
SPDYE1,NM_001378423
METAP1D,NM_001322278
LAMP5,NM_001199897
ADAMTS5,NM_007038
HES4,NM_001142467
XBP1,NM_001079539
NDN,NM_002487
RBMS2,NM_001414459
IGSF10,NM_001178145
CXXC4,NM_025212
SPDYE5,NM_001099435
PDE5A,NM_001083
CCN3,NM_002514
HCRTR2,NM_001384272
HERPUD1,NM_001010989
FARSA,NM_004461
BCL2L14,NM_001370268
KBTBD7,NM_032138
EAF1,NM_033083
GPR27,NM_018971
ZPBP,NM_001159878
SALL2,NM_001291446
PNOC,NM_001284244
SLC10A4,NM_152679
POLR1C,NM_001318876
SNHG32,NM_001040437
PCDH18,NM_001300828
HRH1,NM_000861
SYCE1L,NM_001129979
HLA-A,NM_001242758
FILIP1L,NM_001042459
SST,NM_001048
ARF6,NM_001663
PNMA1,NM_006029
NEU1,NM_000434
HSPA5,NM_005347
ERP29,NM_001034025
TCEAL7,NM_001348258
CITED2,NM_001168388
BACH1,NM_001011545
C12orf40,NM_001031748
FSTL4,NM_015082
KBTBD4,NM_001318716
RPL15,NM_001253379
UBXN8,NM_001282189
RRAGA,NM_006570
TH2LCRR,NR_132124
ANKUB1,NM_001144960
GON7,NM_032490
PRKD3,NM_005813
PTPN13,NM_006264
CORT,NM_001302
IRF2BPL,NM_024496
ACP2,NM_001131064
SPDYE3,NM_001004351
PAPSS2,NM_001015880
SPATA2L,NM_152339
HEIH,NR_045680
IGFBP5,NM_000599
DOCK6,NM_001367830
DNAJB9,NM_012328
P2RY14,NM_001081455
APOLD1,NM_001130415
GJD2,NM_020660
SPDYE21P,NA
GGCX,NM_000821
SLC3A1,NM_000341
RPSA,NM_001304288
ARHGAP18,NM_033515
PKD2L2,NM_001258448
TRAF3IP2,NM_001164281
CENPJ,NM_018451
TEX15,NM_001350162
DUSP7,NM_001947
RELN,NM_005045
SDHAF1,NM_001042631
GPR12,NM_005288
SEPHS2,NM_012248
TUNAR,NM_001416131
MKRN2OS,NM_001195279
GPAA1,NM_003801
PNPO,NM_018129
C1orf56,NM_017860
PDXP,NM_020315
C1QTNF7,NM_001135170
GAB1,NM_002039
FGF1,NM_000800
NMBR,NM_001324307
DLX2,NM_004405
CCDC65,NM_001286957
IFITM3,NM_021034
BICC1,NM_001080512
H2AFZ,NA
RNF5,NM_006913
P4HA3,NM_001288748
RPS25,NM_001028
HHIP,NM_022475
WDR1,NM_005112
DDIT3,NM_001195053
MEG9,NR_047664
MAK,NM_001242385
ANGPTL1,NM_001376763
CXCL14,NM_004887
KIF9,NM_001134878
FITM2,NM_001080472
TIMP3,NM_000362
CRLF3,NM_015986
PRKCD,NM_001316327
ENO4,NM_001242699
NFE2L3,NM_004289
HTR5A,NM_024012
ZDHHC4,NM_001134387
CCDC192,NM_001317938
HLA-F,NM_001098478
SCRG1,NM_001329597
AGBL5,NM_001035507
MUC20,NM_001098516
ACSM6,NM_207321
LRRC24,NM_001024678
COL5A2,NM_000393
AHCY,NM_000687
PEG10,NM_001040152
CA1,NM_001128829
SNHG16,NR_038108
PTP4A3,NM_007079
CNPPD1,NM_001321389
ANGPT2,NM_001118887
TSTA3,NA
RARRES1,NM_002888
TMEM115,NM_007024
TCTEX1D1,NA
RGS16,NM_002928
NCBP2AS2,NM_001355243
TINF2,NM_001099274
CALB2,NM_001740
ASCL1,NM_004316
DCUN1D3,NM_173475
CHRM5,NM_001320917
MRPS34,NM_001300900
CLGN,NM_001130675
VIP,NM_003381
SLC16A6,NM_001174166
CLEC11A,NM_002975
NDUFB11,NM_001135998
TAC3,NM_001006667
SHOC1,NM_001080551
FREM3,NM_001168235
STARD4,NM_001308056
CCK,NM_000729
SLC16A9,NM_001323977
IQUB,NM_001282855
SNX31,NM_001363720
TIRAP,NM_001039661
GADD45A,NM_001199741
MYCBP,NM_012333
ACMSD,NM_001307983
JAKMIP1,NM_001099433
CKMT2,NM_001099735
UBE2L6,NM_004223
NEK5,NM_001365552
RAB24,NM_001031677
NCK1-DT,NR_110175
NMNAT1,NM_001297778
ZXDB,NM_007157
MRPS24,NM_032014
SHISA8,NM_001207020
NPTN-IT1,NR_103844
ZDHHC22,NM_001364172
PRSS51,XM_047422509
H1F0,NA
KLRG1,NM_001329099
SCNN1G,NM_001039
MEA1,NM_001318942
TUSC1,NM_001004125
KIAA1211L,NA
ARL4D,NM_001661
DHPS,NM_001206974
LYG2,NM_175735
PEX10,NM_001374425
KRTCAP2,NM_173852
DUOX1,NM_017434
C12orf57,NM_001301834
STAG3,NM_001282716
DEDD2,NM_001270614
DOCK5,NM_001322810
ENDOG,NM_004435
NFIL3,NM_001289999
SLC26A5,NM_001167962
MYADM,NM_001020818
CRYBG1,NM_001371242
PBX3,NM_001134778
RHBDL2,NM_001304746
C6orf226,NM_001008739
RTL6,NM_032287
MAFB,NM_005461
ZCCHC12,NM_001312891
LRRC63,NM_001024609
C16orf91,NA
NR2F2,NM_001145155
RTL9,NM_001385449
TMPRSS11A,NM_001114387
CBR3,NM_001236
RPS26,NM_001029
TMEM255A,NM_001104544
POLQ,NM_006596
IL7,NM_000880
PANK4,NM_018216
TIMM10,NM_012456
TRPC7,NM_001167576
PPEF1,NM_001377986
CFTR,NM_000492
SERHL2,NM_001284334
ORMDL3,NM_001320801
TARID,NR_109982
SFRP4,NM_003014
ADCY10,NM_001167749
EFCAB13,NM_001195192
ANLN,NM_001284301
FN1,NM_001306129
SNHG19,NR_132114
TCF7,NM_001134851
OST4,NM_001134693
FDFT1,NM_001287742
USHBP1,NM_001297703
ARF5,NM_001662
ETV4,NM_001079675
