"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","DEseq_DE_BHQ"
"PLAU (human)",0.00147240781183583,2.48921933085502,16.2318414336202,"['COX7B', 'RPL3', 'DCUN1D3', 'NDUFB2', 'SEZ6L2', 'RPL9', 'TSPAN31', 'CHCHD2', 'PARD6A', 'MAP1LC3A', 'RPLP2', 'RPL18', 'HES4', 'RPL41', 'RPS9', 'RPL21', 'ST8SIA2', 'RPS3A', 'AMPD3', 'RPS27', 'VGF', 'NMNAT1', 'RPS29', 'UBE2S', 'SST', 'APEX1', 'CRH', 'CYCS', 'RPP25', 'CENPQ', 'SCN2B']",0.160977393401027,0,0,31,"PLAU",0.160977393401027,NA,NA,NA,NA,NA,NA,NA
"SREBF1 (human)",0.00168279490880356,2.02392344497608,12.9274046650833,"['PANK4', 'HDDC2', 'DCLRE1C', 'SET', 'RPL32', 'RPL10', 'RPL34', 'TIMM13', 'TIMM10', 'SEZ6L2', 'RPL9', 'RPL7', 'EEF1B2', 'KRTCAP2', 'PARD6A', 'MAP1LC3A', 'PHKG1', 'RPL36AL', 'DDT', 'CAMK2N2', 'ABI3BP', 'RAB24', 'ZNF428', 'TMED2', 'DNAJB9', 'ACP2', 'RPS27A', 'TAF9B', 'NLGN4Y', 'SURF1', 'TSTD1', 'RPL23', 'RPL35A', 'AMPD3', 'MRPL21', 'CORT', 'RPS28', 'DPM3', 'SPCS1', 'COL5A1', 'NDUFS6', 'UBE2S', 'APEX1', 'RPL24', 'FXYD6', 'FAU', 'CBLN4']",0.160977393401027,0,0,47,"SREBF1",0.160977393401027,0.000851165208160392,0.0610422429759088,0.970502389423044,0.969564483519823,0.135667752983109,0.677073128593759,0.772025355353577
"MYC (mouse)",0.00181553451204166,2.19629225736096,13.861624831258,"['BEX4', 'RPL30', 'SET', 'RPLP1', 'COPS7A', 'FGF1', 'PSMB10', 'CLGN', 'CPLX3', 'LDHA', 'MRPL40', 'RPS19', 'PHKG1', 'CCDC85B', 'DDT', 'RPL14', 'RPLP2', 'SLC39A7', 'TAF9B', 'RPS12', 'SURF1', 'NDUFA7', 'H2AFZ', 'SURF2', 'SSR2', 'RPSA', 'AMPD3', 'MANF', 'CORT', 'RPS28', 'VGF', 'UQCRQ', 'APEX1', 'TMEM126A', 'BAX', 'CBLN4', 'TOMM5', 'RPS23']",0.160977393401027,0,0,38,"MYC",0.160977393401027,NA,NA,NA,NA,NA,NA,NA
"RARA (human)",0.00377403041169426,2.31143911439114,12.8969328972073,"['RPL3', 'SET', 'RPLP0', 'TIMM10', 'MEA1', 'RPL10A', 'RPL9', 'RPS15', 'MED11', 'RPL18A', 'RPS19', 'PHKG1', 'KAT5', 'ACP2', 'RPS10', 'RPS12', 'RPL19', 'OST4', 'VEGFB', 'RPS26', 'CORT', 'RPS25', 'SFRP1', 'RPS27', 'CYCS', 'RPS21', 'CENPQ', 'RBMS2', 'SCN2B']",0.221054617086977,0,0,29,"RARA",0.221054617086977,0.53769392609247,0.726897350146413,NA,NA,NA,0.707907607608786,0.586107931058805
"SREBF2 (human)",0.00420888628120476,2.59773078906653,14.2110348914456,"['NECAB2', 'OST4', 'NDUFA7', 'ENDOG', 'SLC32A1', 'RPL12', 'TINF2', 'TBCC', 'UQCR10', 'FGF1', 'RPL9', 'ARL4C', 'LDHA', 'DBNDD2', 'HAX1', 'PHKG1', 'VGF', 'DDT', 'DDIT3', 'ACP2', 'RPL38', 'HMGN2', 'C8ORF33']",0.221054617086977,0,0,23,"SREBF2",0.221054617086977,0.0400072292907096,0.857774172906381,NA,NA,NA,0.669729197103397,0.484769765369795
"NRF1 (mouse)",0.00528083966138442,2.14950703087118,11.2713058918155,"['IFITM3', 'RPL30', 'COX7B', 'CD81', 'COX7A2', 'MEA1', 'COX7C', 'CLGN', 'RPS15', 'LDHA', 'RPS16', 'PARD6A', 'RPS19', 'RPL35', 'RPL38', 'PCBD1', 'ATP6V0E2', 'RPS10', 'BTF3', 'TIMM8B', 'RPS9', 'RPL21', 'RPL23A', 'RPSA', 'RPS25', 'RPS28', 'SPCS1', 'UBE2S', 'RPS21', 'TOMM5', 'RPS23']",0.221054617086977,0,0,31,"NRF1",0.221054617086977,3.27021819603819e-06,0.151681117684159,NA,NA,NA,0.291124951068865,0.910530018183984
"TP53 (mouse)",0.00648757106647094,2.32620320855615,11.7191025568912,"['NDUFB9', 'RPL30', 'SET', 'RPL9', 'COX7A1', 'RPS15', 'PARD6A', 'RPS19', 'RPS18', 'NRIP2', 'ACP2', 'RPS9', 'ENDOG', 'RPL35A', 'ATOX1', 'RPS26', 'TMEM115', 'NMNAT1', 'RPL37A', 'R3HCC1', 'TOMM7', 'BAX', 'RPL26', 'RBMS2', 'GRINA']",0.221054617086977,0,0,25,"TP53",0.221054617086977,NA,NA,NA,NA,NA,NA,NA
"NR1H3 (human)",0.00664825916051059,2.3695652173913,11.8795788270989,"['NECAB2', 'RPL3', 'SET', 'RPL11', 'RPLP0', 'VEGFB', 'TIMM10', 'RPL9', 'RPL6', 'RPS15', 'RPS25', 'MED11', 'RPS27', 'RPL18A', 'RPS19', 'CAMK2N2', 'SPDYE2', 'TMEM126A', 'TMED2', 'BAX', 'RPS21', 'RBMS2', 'RPL19', 'SCN2B']",0.221054617086977,0,0,24,"NR1H3",0.221054617086977,0.262814860247566,0.0465352974105701,0.652324527234159,0.653707507290102,0.732551910022944,0.881250410367735,0.593880055165205
"VDR (human)",0.00990261741259678,Inf,Inf,"['RPS25', 'KAT5', 'RPS19BP1', 'PCP4L1', 'NRIP2']",0.292677359083416,0,0,5,"VDR",0.292677359083416,NA,NA,NA,NA,NA,NA,NA
"CREB1 (human)",0.0206618703689523,1.6031746031746,6.21946022435859,"['RPL12', 'SEZ6L2', 'RPL9', 'MCHR1', 'TSPAN31', 'RPS15', 'SNAPC5', 'EEF1B2', 'CHCHD2', 'PARD6A', 'MAP1LC3A', 'CAMK2N2', 'ABI3BP', 'RPLP2', 'PCBD1', 'RPL18', 'POLR2I', 'ATP6V0E2', 'RPS10', 'RPL39', 'SEPHS2', 'RPS13', 'HES4', 'RPL41', 'RPS9', 'RPL21', 'LRRC29', 'ST8SIA2', 'TBCC', 'HTR5A', 'ATOX1', 'KBTBD4', 'SFRP1', 'SPCS1', 'RPS27', 'HAX1', 'VGF', 'COL5A1', 'UQCRQ', 'UBE2S', 'SST', 'APEX1', 'PSMG3', 'RPL24', 'VIP', 'CENPQ', 'C8ORF33', 'SCN2B']",0.54577644964554,0,0,48,"CREB1",0.54577644964554,0.176459503872099,0.00182583329249674,NA,NA,NA,0.222946314484912,0.739674091175694
