TF_NAME,Pscan_TERM,MATRIX_ID,Z_SCORE,P_VALUE,SAMPLE_AVERAGE,BACKGROUND_AVERAGE,SAMPLE_DEVSTD,SAMPLE_SIZE,In_original_list,FDR
KLF15,KLF15,MA1513.1,27.4378,4.09956e-184,0.898241,0.860109,0.0847312,5727.0,True,3.25505064e-181
NRF1,NRF1,MA0506.1,25.7739,1.12027e-166,0.869898,0.844252,0.0669306,5727.0,True,4.4474719e-164
ZBTB14,ZBTB14,MA1650.1,25.4404,1.86263e-159,0.846579,0.820331,0.0644138,5727.0,True,4.929760733333333e-157
SP9,SP9,MA1564.1,24.3597,2.70691e-146,0.88754,0.865208,0.0570703,5727.0,False,5.37321635e-144
HINFP,HINFP,MA0131.2,23.7091,1.78532e-139,0.838091,0.819262,0.0506218,5727.0,False,2.8350881599999996e-137
TCFL5,TCFL5,MA0632.2,23.5738,2.73559e-139,0.857753,0.835763,0.0618625,5727.0,False,3.6200974333333337e-137
SP3,SP3,MA0746.2,23.2039,5.57166e-134,0.87392,0.852593,0.0591109,5727.0,False,6.319854342857142e-132
KLF14,KLF14,MA0740.1,22.8367,1.21728e-130,0.836954,0.818128,0.0543238,5727.0,False,1.2081504e-128
TFDP1,TFDP1,MA1122.1,22.7391,3.64185e-128,0.87067,0.849665,0.0582747,5727.0,False,3.212921e-126
SP4,SP4,MA0685.1,22.326,2.0218800000000002e-126,0.811424,0.791926,0.0600618,5727.0,False,1.6053727200000001e-124
EGR1,EGR1,MA0162.4,22.3636,7.14869e-124,0.834391,0.812172,0.0623093,5727.0,True,5.160054418181818e-122
SP1,SP1,MA0079.4,22.1004,9.03834e-124,0.83252,0.812589,0.0617496,5727.0,True,5.9803683e-122
KLF16,KLF16,MA0741.1,22.1158,1.00422e-121,0.891416,0.870747,0.0597116,5727.0,True,6.1334667692307695e-120
EGR3,EGR3,MA0732.1,21.8182,7.493420000000001e-119,0.799864,0.780667,0.0568432,5727.0,True,4.249839628571429e-117
SP2,SP2,MA0516.2,21.6644,2.97843e-118,0.806033,0.78945,0.0511844,5727.0,False,1.57658228e-116
KLF11,KLF11,MA1512.1,21.353,1.65042e-113,0.883577,0.865068,0.0551424,5727.0,True,8.19020925e-112
HES1,HES1,MA1099.2,21.1998,3.13744e-113,0.872021,0.85239,0.0617095,5727.0,False,1.4653690352941177e-111
ZBTB33,ZBTB33,MA0527.1,20.6011,5.50409e-108,0.788499,0.772676,0.0528395,5727.0,True,2.427915255555556e-106
KLF5,KLF5,MA0599.1,20.8274,1.2282200000000001e-107,0.945391,0.92756,0.0534696,5727.0,True,5.132666736842105e-106
EGR2,EGR2,MA0472.2,20.4187,1.32897e-104,0.823876,0.808129,0.0502637,5727.0,True,5.2760109e-103
ZNF148,ZNF148,MA1653.1,20.212,4.5802899999999995e-101,0.872698,0.850645,0.0668428,5727.0,False,1.731785838095238e-99
CTCFL,CTCFL,MA1102.2,19.9909,2.0846e-100,0.85849,0.839568,0.0618097,5727.0,False,7.52351090909091e-99
SP8,SP8,MA0747.1,19.818,1.50135e-98,0.884998,0.870403,0.0477675,5727.0,False,5.182921304347826e-97
KLF2,KLF2,MA1515.1,19.8877,6.02336e-98,0.911507,0.894352,0.0529134,5727.0,False,1.992728266666667e-96
KLF3,KLF3,MA1516.1,19.327,7.438080000000001e-94,0.862727,0.846119,0.0557829,5727.0,False,2.3623342080000003e-92
E2F6,E2F6,MA0471.2,19.2404,6.77401e-93,0.867783,0.852237,0.0521283,5727.0,False,2.0686784384615387e-91
ZBTB7A,ZBTB7A,MA0750.2,18.7681,2.4943799999999997e-90,0.845362,0.829929,0.0572861,5727.0,False,7.335324888888888e-89
EGR4,EGR4,MA0733.1,18.7372,4.8364899999999996e-88,0.79344,0.780201,0.0452184,5727.0,True,1.3714903785714285e-86
HES2,HES2,MA0616.2,18.3731,1.34669e-85,0.823948,0.807232,0.0606157,5727.0,False,3.6871443448275864e-84
YY2,YY2,MA0748.2,18.1335,3.46323e-84,0.837897,0.821895,0.0607571,5727.0,False,9.166015399999999e-83
KLF6,KLF6,MA1517.1,18.2175,4.88043e-83,0.895034,0.880258,0.0510987,5727.0,True,1.2500198129032259e-81
ZIC5,ZIC5,MA1584.1,18.0512,6.32085e-82,0.78659,0.774101,0.0444001,5727.0,False,1.56836090625e-80
Gmeb1,Gmeb1,MA0615.1,17.3461,1.7420700000000003e-76,0.827925,0.817285,0.0407697,5727.0,False,4.191526000000001e-75
KLF10,KLF10,MA1511.1,17.346,8.619180000000001e-76,0.874913,0.861439,0.0497788,5727.0,True,2.0128320352941178e-74
ELK1,ELK1,MA0028.2,16.8474,7.40459e-75,0.819862,0.805366,0.0643242,5727.0,True,1.6797841314285714e-73
KLF4,KLF4,MA0039.4,16.9581,4.75144e-72,0.895934,0.879556,0.0601239,5727.0,False,1.0479564888888888e-70
MAZ,MAZ,MA1522.1,16.9335,6.10817e-72,0.895953,0.877914,0.0667012,5727.0,True,1.3107802648648648e-70
TFAP2E,TFAP2E,MA1569.1,16.8438,3.7559e-71,0.891213,0.876258,0.0554133,5727.0,False,7.847854210526315e-70
ZIC3,ZIC3,MA0697.1,16.712,7.70308e-71,0.797348,0.786209,0.0435429,5727.0,False,1.568268082051282e-69
ELK4,ELK4,MA0076.2,16.3443,6.10424e-70,0.865729,0.852902,0.0570727,5727.0,False,1.21169164e-68
TFAP2C,TFAP2C,MA0815.1,16.494,9.54341e-69,0.823455,0.809526,0.0541517,5727.0,False,1.8481628146341463e-67
TFAP2A,TFAP2A,MA0810.1,16.442,9.845920000000001e-68,0.88493,0.873406,0.0432644,5727.0,False,1.8613477333333337e-66
ARNT,ARNT::HIF1A,MA0259.1,16.1804,8.56706e-67,0.904288,0.890666,0.0558315,5727.0,False,1.5459649181818183e-65
HIF1A,ARNT::HIF1A,MA0259.1,16.1804,8.56706e-67,0.904288,0.890666,0.0558315,5727.0,False,1.5459649181818183e-65
TFAP2A,TFAP2A,MA0872.1,16.0985,1.3409099999999999e-65,0.818224,0.804318,0.0554184,5727.0,False,2.3659612e-64
ZNF740,ZNF740,MA0753.2,16.1517,1.4276299999999998e-65,0.818282,0.803708,0.0562164,5727.0,False,2.46421352173913e-64
ZFP57,ZFP57,MA1583.1,15.7753,1.1701e-63,0.834526,0.822293,0.05162,5727.0,False,1.9767221276595746e-62
ELK3,ELK3,MA0759.1,15.4866,1.2252500000000002e-63,0.839744,0.827514,0.059182,5727.0,True,2.0267677083333335e-62
TFAP2B,TFAP2B,MA0813.1,15.5532,1.79632e-61,0.828689,0.816155,0.0520543,5727.0,False,2.9107715918367347e-60
