TF_NAME,Pscan_TERM,MATRIX_ID,Z_SCORE,P_VALUE,SAMPLE_AVERAGE,BACKGROUND_AVERAGE,SAMPLE_DEVSTD,SAMPLE_SIZE,In_original_list,FDR
KLF15,KLF15,MA1513.1,15.5401,9.67815e-57,0.8961,0.860109,0.08529,1927.0,False,7.6844511e-54
NRF1,NRF1,MA0506.1,14.5116,3.67238e-50,0.868129,0.844252,0.0671693,1927.0,False,1.4579348600000002e-47
SP9,SP9,MA1564.1,14.3606,8.6879e-49,0.887103,0.865208,0.0565747,1927.0,False,2.2993975333333334e-46
ZBTB14,ZBTB14,MA1650.1,14.1074,3.53174e-47,0.844535,0.820331,0.0641021,1927.0,False,7.0105039e-45
SP3,SP3,MA0746.2,13.9129,4.96562e-46,0.873803,0.852593,0.0583987,1927.0,False,7.88540456e-44
SP1,SP1,MA0079.4,13.8496,7.2459e-46,0.833188,0.812589,0.0606052,1927.0,False,9.588741e-44
SP4,SP4,MA0685.1,13.8195,1.07525e-45,0.811822,0.791926,0.0589381,1927.0,False,1.2196407142857142e-43
KLF14,KLF14,MA0740.1,13.7594,3.3030299999999996e-45,0.836914,0.818128,0.0543744,1927.0,False,3.278257275e-43
HINFP,HINFP,MA0131.2,13.7254,7.970079999999999e-45,0.837355,0.819262,0.0500866,1927.0,False,7.031381688888889e-43
TCFL5,TCFL5,MA0632.2,13.1994,8.13702e-42,0.856152,0.835763,0.0623768,1927.0,False,6.4607938799999994e-40
ZBTB33,ZBTB33,MA0527.1,12.981,1.1219700000000002e-40,0.789138,0.772676,0.0535639,1927.0,True,8.098583454545455e-39
ZBTB7A,ZBTB7A,MA0750.2,12.9171,2.34846e-40,0.847447,0.829929,0.0581581,1927.0,False,1.5538977e-38
TFDP1,TFDP1,MA1122.1,12.6614,1.80091e-38,0.869109,0.849665,0.058789,1927.0,False,1.0999404153846155e-36
KLF11,KLF11,MA1512.1,12.6295,2.91903e-38,0.883244,0.865068,0.0546066,1927.0,False,1.655507014285714e-36
KLF16,KLF16,MA0741.1,12.563,6.596819999999999e-38,0.890237,0.870747,0.0594034,1927.0,True,3.4919167199999995e-36
KLF2,KLF2,MA1515.1,12.5738,7.53034e-38,0.912413,0.894352,0.0527083,1927.0,False,3.736931225e-36
KLF5,KLF5,MA0599.1,12.4772,2.2979e-37,0.945327,0.92756,0.0535026,1927.0,False,1.0732544705882352e-35
ELK1,ELK1,MA0028.2,11.9467,3.4681599999999996e-35,0.822221,0.805366,0.0667741,1927.0,True,1.529843911111111e-33
SP2,SP2,MA0516.2,12.004,6.52094e-35,0.804643,0.78945,0.050724,1927.0,False,2.725066505263158e-33
KLF3,KLF3,MA1516.1,11.9943,7.834629999999999e-35,0.863221,0.846119,0.0566304,1927.0,False,3.11034811e-33
EGR1,EGR1,MA0162.4,12.012,8.55762e-35,0.832017,0.812172,0.0624684,1927.0,True,3.2355953714285713e-33
SP8,SP8,MA0747.1,11.8626,4.73112e-34,0.884886,0.870403,0.0473793,1927.0,False,1.707504218181818e-32
ZNF148,ZNF148,MA1653.1,11.8588,6.4289300000000005e-34,0.872204,0.850645,0.0675127,1927.0,False,2.219378443478261e-32
HES1,HES1,MA1099.2,11.7896,9.1255e-34,0.870455,0.85239,0.0618229,1927.0,False,3.0190195833333335e-32
KLF6,KLF6,MA1517.1,11.7947,1.2208100000000001e-33,0.896163,0.880258,0.0514198,1927.0,False,3.8772925600000004e-32
CTCFL,CTCFL,MA1102.2,11.7004,2.9719e-33,0.857933,0.839568,0.062575,1927.0,False,9.075725384615385e-32
EGR3,EGR3,MA0732.1,11.3572,2.27937e-31,0.797239,0.780667,0.0564167,1927.0,True,6.703036222222222e-30
ELK3,ELK3,MA0759.1,11.207,3.4850499999999997e-31,0.842016,0.827514,0.0609349,1927.0,False,9.88260607142857e-30
Gmeb1,Gmeb1,MA0615.1,11.2992,3.7567499999999997e-31,0.828753,0.817285,0.0405495,1927.0,False,1.0285722413793103e-29
ELK4,ELK4,MA0076.2,11.1655,8.25957e-31,0.867294,0.852902,0.0579798,1927.0,False,2.1860328599999998e-29
ETV5,ETV5,MA0765.2,10.7933,5.97529e-29,0.866999,0.853063,0.0586776,1927.0,True,1.5304452451612903e-27
HES2,HES2,MA0616.2,10.6253,8.911170000000001e-28,0.823223,0.807232,0.0601993,1927.0,False,2.2110840562500005e-26
KLF10,KLF10,MA1511.1,10.5976,1.5139699999999998e-27,0.875099,0.861439,0.0493564,1927.0,True,3.6427035757575756e-26
ZFP57,ZFP57,MA1583.1,10.5668,1.58049e-27,0.835858,0.822293,0.0521232,1927.0,False,3.6909089999999997e-26
MAZ,MAZ,MA1522.1,10.5618,2.3766e-27,0.896627,0.877914,0.067087,1927.0,False,5.391486857142857e-26
EGR2,EGR2,MA0472.2,10.5334,2.52894e-27,0.821603,0.808129,0.0509875,1927.0,True,5.577717666666667e-26
Klf12,Klf12,MA0742.1,10.4877,3.39619e-27,0.822076,0.809666,0.0490554,1927.0,False,7.288040162162161e-26
YY2,YY2,MA0748.2,10.4625,4.48047e-27,0.837123,0.821895,0.0603608,1927.0,False,9.361824157894737e-26
E2F1,E2F1,MA0024.3,10.3911,9.79186e-27,0.781082,0.7698,0.0450728,1927.0,True,1.9935222666666668e-25
ZIC5,ZIC5,MA1584.1,10.3808,1.48854e-26,0.786027,0.774101,0.0449476,1927.0,False,2.9547519e-25
ETS2,ETS2,MA1484.1,10.2455,2.57256e-26,0.860862,0.848397,0.0560071,1927.0,True,4.981982048780488e-25
FEV,FEV,MA0156.2,10.1302,7.90001e-26,0.853093,0.840666,0.057607,1927.0,False,1.4934780809523811e-24
GLIS2,GLIS2,MA0736.1,10.2076,8.85411e-26,0.799076,0.7882,0.0424997,1927.0,False,1.634921706976744e-24
ARNT,ARNT::HIF1A,MA0259.1,10.028,6.09538e-25,0.904636,0.890666,0.0554027,1927.0,False,1.0754959377777778e-23
HIF1A,ARNT::HIF1A,MA0259.1,10.028,6.09538e-25,0.904636,0.890666,0.0554027,1927.0,False,1.0754959377777778e-23
FLI1,FLI1,MA0475.2,9.88214,1.161e-24,0.841677,0.82927,0.0587268,1927.0,False,2.0039869565217392e-23
KLF4,KLF4,MA0039.4,9.95599,1.69678e-24,0.895551,0.879556,0.0600871,1927.0,False,2.86647514893617e-23
EGR4,EGR4,MA0733.1,9.89267,2.9216e-24,0.791804,0.780201,0.0451158,1927.0,True,4.832813333333334e-23
TFAP2E,TFAP2E,MA1569.1,9.79094,9.3365e-24,0.890716,0.876258,0.055284,1927.0,False,1.512894081632653e-22
ZIC3,ZIC3,MA0697.1,9.68162,2.29371e-23,0.796905,0.786209,0.0436439,1927.0,False,3.64241148e-22
E2F6,E2F6,MA0471.2,9.68142,2.45699e-23,0.865215,0.852237,0.0521251,1927.0,False,3.8251961960784314e-22
E2F2,E2F2,MA0864.2,9.593,4.7183900000000005e-23,0.765366,0.755513,0.042251,1927.0,False,7.204618576923078e-22
ERF,ERF,MA0760.1,9.41909,1.35105e-22,0.842385,0.83128,0.0554876,1927.0,False,2.024025849056604e-21
ETV6,ETV6,MA0645.1,9.3652,3.06494e-22,0.863099,0.851358,0.0561792,1927.0,False,4.506596962962962e-21
