TF_NAME,Pscan_TERM,MATRIX_ID,Z_SCORE,P_VALUE,SAMPLE_AVERAGE,BACKGROUND_AVERAGE,SAMPLE_DEVSTD,SAMPLE_SIZE,In_original_list,FDR
KLF15,KLF15,MA1513.1,25.0307,1.80097e-151,0.89756,0.860109,0.0850569,4871.0,True,1.4299701800000001e-148
NRF1,NRF1,MA0506.1,24.0916,1.5817499999999998e-143,0.870028,0.844252,0.0673851,4871.0,True,6.2795475e-141
ZBTB14,ZBTB14,MA1650.1,23.2888,4.6886e-132,0.846191,0.820331,0.064706,4871.0,True,1.2409161333333334e-129
TCFL5,TCFL5,MA0632.2,21.9049,1.36319e-118,0.857733,0.835763,0.0621065,4871.0,False,2.34242704e-116
HINFP,HINFP,MA0131.2,22.0073,1.47508e-118,0.838057,0.819262,0.0505992,4871.0,False,2.34242704e-116
SP9,SP9,MA1564.1,21.8489,2.17412e-116,0.886762,0.865208,0.0571954,4871.0,False,2.877085466666667e-114
SP3,SP3,MA0746.2,20.5903,2.50579e-104,0.872949,0.852593,0.0592982,4871.0,False,2.8422818e-102
TFDP1,TFDP1,MA1122.1,20.5733,9.76929e-104,0.870112,0.849665,0.0584352,4871.0,False,9.696020325e-102
KLF14,KLF14,MA0740.1,20.3066,4.72587e-102,0.836125,0.818128,0.0544385,4871.0,False,4.1692675333333337e-100
SP4,SP4,MA0685.1,20.0797,7.460809999999999e-101,0.810765,0.791926,0.0602266,4871.0,False,5.923883139999999e-99
EGR1,EGR1,MA0162.4,20.0949,5.806e-99,0.833656,0.812172,0.0625126,4871.0,True,4.1908763636363634e-97
SP1,SP1,MA0079.4,19.8089,3.95195e-98,0.831785,0.812589,0.0619927,4871.0,True,2.614873583333333e-96
EGR3,EGR3,MA0732.1,19.7594,3.0961800000000002e-96,0.799356,0.780667,0.0566776,4871.0,True,1.8910514769230772e-94
HES1,HES1,MA1099.2,19.6452,6.34641e-96,0.871947,0.85239,0.0619227,4871.0,False,3.5993211e-94
KLF16,KLF16,MA0741.1,19.5886,1.76067e-94,0.890438,0.870747,0.059816,4871.0,True,9.319813199999998e-93
SP2,SP2,MA0516.2,19.3878,1.83806e-93,0.805395,0.78945,0.0511027,4871.0,False,9.12137275e-92
ZBTB33,ZBTB33,MA0527.1,19.22,1.15222e-92,0.788542,0.772676,0.0531698,4871.0,False,5.381545176470587e-91
KLF11,KLF11,MA1512.1,19.1478,2.95098e-90,0.882918,0.865068,0.055115,4871.0,False,1.3017100666666666e-88
KLF5,KLF5,MA0599.1,18.6999,5.53827e-86,0.944795,0.92756,0.0538465,4871.0,True,2.314413884210526e-84
EGR2,EGR2,MA0472.2,18.4852,1.00021e-84,0.823457,0.808129,0.0503263,4871.0,True,3.9708336999999996e-83
CTCFL,CTCFL,MA1102.2,18.3565,1.21034e-83,0.858252,0.839568,0.0619892,4871.0,False,4.576237904761905e-82
ZNF148,ZNF148,MA1653.1,18.0825,3.15639e-80,0.871888,0.850645,0.0672453,4871.0,False,1.1391698454545455e-78
ZBTB7A,ZBTB7A,MA0750.2,17.7014,4.58709e-79,0.845558,0.829929,0.057252,4871.0,False,1.5835432434782607e-77
KLF2,KLF2,MA1515.1,17.8098,7.43598e-78,0.910887,0.894352,0.0530111,4871.0,False,2.46007005e-76
