"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","edgeR_DE_BHQ","diff_mesor_BHQ"
"ELK1","ELK1","MA0028.2","16.0254",1.5014e-59,0.841053,0.805366,0.0684593,746,"False",1.1921116e-56,0.00158906358864242,0.00303798375119974,0.574064472595197,0.575660380656649,0.486387404755736,0.879801610123535,0.852046911199861,0.879801610123535
"ELK3","ELK3","MA0759.1","15.6642",5.72661e-57,0.859511,0.827514,0.0623238,746,"False",2.27346417e-54,NA,NA,NA,NA,NA,NA,NA,NA
"ELK4","ELK4","MA0076.2","15.3077",2.51127e-54,0.884082,0.852902,0.0579614,746,"False",6.6464946e-52,0.379764053330191,0.180806311354717,NA,NA,NA,0.648036873391849,0.597582024855895,0.648036873391849
"FEV","FEV","MA0156.2","15.064",8.55809e-53,0.869828,0.840666,0.0578994,746,"False",1.698780865e-50,NA,NA,NA,NA,NA,NA,NA,NA
"FLI1","FLI1","MA0475.2","14.7796",6.6676e-51,0.858561,0.82927,0.05939,746,"False",1.05881488e-48,NA,NA,NA,NA,NA,NA,NA,NA
"ETS1","ETS1","MA0098.3","14.5019",4.96077e-49,0.873913,0.846278,0.0557464,746,"False",6.5647523e-47,0.0277094862463311,0.00364508157153728,0.645169618814241,0.646783083282732,0.586921721259125,0.92349159644547,0.756565992420676,0.92349159644547
"ZBTB7A","ZBTB7A","MA0750.2","14.4279",2.15993e-48,0.860897,0.829929,0.0579427,746,"False",2.44997774285714e-46,1.02652146461004e-08,4.29478012571766e-07,0.496541238105794,0.499031780348777,0.401455401368414,0.0134068361578396,0.404503886701976,0.0134068361578396
"ERG","ERG","MA0474.2","14.3214",7.29011e-48,0.87542,0.84857,0.0547064,746,"False",7.235434175e-46,NA,NA,NA,NA,NA,NA,NA,NA
"ETS2","ETS2","MA1484.1","14.2742",1.35558e-47,0.87583,0.848397,0.0569221,746,"False",1.1959228e-45,0.44585198642316,0.383108184826108,NA,NA,NA,0.338498973129538,0.576760118198673,0.338498973129538
"ETV5","ETV5","MA0765.2","14.2437",2.36053e-47,0.882121,0.853063,0.0590997,746,"False",1.87426082e-45,1.55710763469331e-65,3.92862471590314e-30,0.566279651364164,0.567394843946028,-0.0991789326619443,0.522678906783712,0.403126347872561,0.522678906783712
