"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","edgeR_DE_BHQ","diff_mesor_BHQ"
"ELK1","ELK1","MA0028.2","16.0655",7.58536e-60,0.841097,0.805366,0.0685796,748,"False",6.02277584e-57,0.00158906358864242,0.00303798375119974,0.574064472595197,0.575660380656649,0.486387404755736,0.879801610123535,0.852046911199861,0.879801610123535
"ELK3","ELK3","MA0759.1","15.7578",1.2425e-57,0.859661,0.827514,0.0623705,748,"False",4.932725e-55,NA,NA,NA,NA,NA,NA,NA,NA
"ELK4","ELK4","MA0076.2","15.3979",5.97216e-55,0.884226,0.852902,0.05804,748,"False",1.58063168e-52,0.379764053330191,0.180806311354717,NA,NA,NA,0.648036873391849,0.597582024855895,0.648036873391849
"FEV","FEV","MA0156.2","15.1344",2.82562e-53,0.869927,0.840666,0.0579586,748,"False",5.6088557e-51,NA,NA,NA,NA,NA,NA,NA,NA
"FLI1","FLI1","MA0475.2","14.8161",3.75309e-51,0.858597,0.82927,0.0595144,748,"False",5.95990692e-49,NA,NA,NA,NA,NA,NA,NA,NA
"ETS1","ETS1","MA0098.3","14.5678",1.82482e-49,0.874003,0.846278,0.0558361,748,"False",2.41484513333333e-47,0.0277094862463311,0.00364508157153728,0.645169618814241,0.646783083282732,0.586921721259125,0.92349159644547,0.756565992420676,0.92349159644547
"ZBTB7A","ZBTB7A","MA0750.2","14.5189",5.55189e-49,0.861052,0.829929,0.0579948,748,"False",6.29742951428571e-47,1.02652146461004e-08,4.29478012571766e-07,0.496541238105794,0.499031780348777,0.401455401368414,0.0134068361578396,0.404503886701976,0.0134068361578396
"ERG","ERG","MA0474.2","14.3522",4.55818e-48,0.875443,0.84857,0.0548021,748,"False",4.52399365e-46,NA,NA,NA,NA,NA,NA,NA,NA
"ETS2","ETS2","MA1484.1","14.2914",1.03506e-47,0.875828,0.848397,0.0570269,748,"False",9.0593812e-46,0.44585198642316,0.383108184826108,NA,NA,NA,0.338498973129538,0.576760118198673,0.338498973129538
"ETV5","ETV5","MA0765.2","14.2921",1.14098e-47,0.882183,0.853063,0.0592366,748,"False",9.0593812e-46,1.55710763469331e-65,3.92862471590314e-30,0.566279651364164,0.567394843946028,-0.0991789326619443,0.522678906783712,0.403126347872561,0.522678906783712
"NRF1","NRF1","MA0506.1","14.0519",6.28375e-46,0.88085,0.844252,0.0669579,748,"False",4.535725e-44,3.27021819603819e-06,0.151681117684159,NA,NA,NA,0.291124951068865,0.910530018183984,0.291124951068865
"ELF2","ELF2","MA1483.1","13.8771",3.36262e-45,0.816899,0.790052,0.0600847,748,"False",2.22493356666667e-43,3.67868709383811e-12,0.000550557409944469,NA,NA,NA,0.5868245754344,0.908071014187523,0.5868245754344
"ERF","ERF","MA0760.1","13.7493",2.40639e-44,0.856828,0.83128,0.0560402,748,"False",1.46974896923077e-42,0.0300425814501729,0.166927784293228,0.605677040606972,0.606958728307776,0.614180698836712,0.163773530339404,0.119192288847875,0.163773530339404
"ETV6","ETV6","MA0645.1","13.6337",1.4222e-43,0.878355,0.851358,0.0578637,748,"False",8.06590571428571e-42,0.00254558615242309,0.11529977794899,NA,NA,NA,0.0985824253984127,0.459487113852795,0.0985824253984127
"ELF4","ELF4","MA0641.1","13.363",4.85026e-42,0.806134,0.779983,0.0601547,748,"False",2.5669771875e-40,NA,NA,NA,NA,NA,NA,NA,NA
"YY2","YY2","MA0748.2","13.3869",5.17275e-42,0.852767,0.821895,0.0647664,748,"False",2.5669771875e-40,NA,NA,NA,NA,NA,NA,NA,NA
"Gmeb1","Gmeb1","MA0615.1","13.1058",3.92321e-40,0.838338,0.817285,0.0386257,748,"False",1.83236984705882e-38,0.0242344839257439,0.07399055695837,0.743146246056045,0.745067477059806,0.393481609330756,0.253536387034573,0.409823938626197,0.253536387034573
"ETV3","ETV3","MA0763.1","12.9909",6.75657e-40,0.859048,0.835857,0.0563312,748,"False",2.9803981e-38,0.00250706931348498,0.00184111286956937,0.799273361705527,0.799619672407888,0.369060773288238,0.371919648238596,0.329456421841823,0.371919648238596
"HINFP","HINFP","MA0131.2","12.5008",1.23198e-36,0.845377,0.819262,0.0473832,748,"False",5.14837957894737e-35,0.00552671008612972,0.786868709464686,NA,NA,NA,0.000184101194557793,0.00141924431989144,0.000184101194557793
"TCFL5","TCFL5","MA0632.2","11.4069",7.7498e-31,0.863612,0.835763,0.0552986,748,"False",3.0766706e-29,0.503071333960818,0.946498457928511,NA,NA,NA,0.773359736245657,0.57996203594556,0.773359736245657
"ETV2","ETV2","MA0762.1","11.3209",1.01046e-30,0.825956,0.805106,0.0559258,748,"False",3.82050114285714e-29,NA,NA,NA,NA,NA,NA,NA,NA
"ZBTB33","ZBTB33","MA0527.1","11.1126",1.52621e-29,0.794973,0.772676,0.0549168,748,"False",5.50823063636364e-28,0.0393061091653766,0.00595092762497336,0.568551551213686,0.570581068380403,0.725928074085639,0.253906250737912,0.360091955411573,0.253906250737912
"KLF15","KLF15","MA1513.1","10.9689",1.35613e-28,0.900364,0.860109,0.0750907,748,"False",4.68159660869565e-27,NA,NA,NA,NA,NA,NA,0.946483405777615,NA
"ZBTB14","ZBTB14","MA1650.1","10.8575",4.63631e-28,0.849835,0.820331,0.0559884,748,"False",1.53384589166667e-26,7.75786510956457e-05,0.55090117228194,0.560525784570717,0.561534407478836,-0.888922123687766,0.736621036426304,0.612394195387746,0.736621036426304
"ELF5","ELF5","MA0136.2","10.5861",5.13215e-27,0.881993,0.864397,0.0466152,748,"False",1.56796066153846e-25,NA,NA,NA,NA,NA,NA,NA,NA
"TFDP1","TFDP1","MA1122.1","10.6323",5.13438e-27,0.875516,0.849665,0.0524754,748,"False",1.56796066153846e-25,0.0467095530159475,0.613466894354662,NA,NA,NA,0.261502758518537,0.0998171693916154,0.261502758518537
"Atf1","Atf1","MA0604.1","10.5485",6.50969e-27,0.861194,0.839285,0.0621705,748,"False",1.91433105925926e-25,5.9742164859843e-07,1.16775240718079e-05,0.65991239379855,0.661082812336543,0.285320519749345,0.0102641499516712,0.404057918177016,0.0102641499516712
"SP9","SP9","MA1564.1","10.3723",8.56075e-26,0.890269,0.865208,0.0512038,748,"False",2.42758410714286e-24,7.32924474384911e-10,0.00275317132415032,0.679008224708813,0.679372112688405,-0.210967358919731,0.372032564657556,0.54611810670305,0.372032564657556
"HES1","HES1","MA1099.2","10.3081",1.43563e-25,0.877371,0.85239,0.0572541,748,"False",3.93065593103448e-24,NA,NA,NA,NA,NA,NA,NA,NA
"SP1","SP1","MA0079.4","10.2218",3.09362e-25,0.836655,0.812589,0.0602357,748,"False",8.18778093333333e-24,0.000994485006887694,0.024800432107589,0.854719423344633,0.855329011820536,-0.155203394594898,0.441069173275815,0.748818357339388,0.441069173275815
"SPDEF","SPDEF","MA0686.1","9.82713",1.33959e-23,0.818946,0.801715,0.0518244,748,"False",3.43107890322581e-22,NA,NA,NA,NA,NA,NA,NA,NA
