"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","edgeR_DE_BHQ","diff_mesor_BHQ"
"GCM1","GCM1","MA0646.1","2.06346",0.0194907,0.824047,0.804757,0.0545013,20,"False",0.966644603626943,NA,NA,NA,NA,NA,NA,NA,NA
"SMAD5","SMAD5","MA1557.1","2.02839",0.0212336,0.802173,0.781728,0.0440799,20,"False",0.966644603626943,0.000149032333776356,0.00095632629399809,NA,0.770977531467997,NA,0.397172952216047,0.62473337061323,0.397172952216047
"ZBTB18","ZBTB18","MA0698.1","1.97824",0.0239067,0.815446,0.793457,0.0610882,20,"False",0.966644603626943,0.00963870625958356,0.0537229893066955,NA,NA,NA,0.961715171381858,0.93963273471737,0.961715171381858
"MAX","MAX","MA0058.3","1.96997",0.0243716,0.850314,0.823549,0.0785024,20,"False",0.966644603626943,3.3880737270915e-07,0.0516050647101421,0.415007841632972,0.416317096203809,-0.737430374128988,0.684850696471875,0.748818357339388,0.684850696471875
"SMAD3","SMAD3","MA0795.1","1.96813",0.0244933,0.774861,0.752813,0.0528084,20,"False",0.966644603626943,0.0181139073446255,0.475780171454051,NA,NA,NA,0.971273583680408,0.661591783338844,0.971273583680408
"MYC","MYC","MA0147.3","1.96533",0.0246338,0.833583,0.807524,0.0802065,20,"False",0.966644603626943,NA,NA,NA,NA,NA,NA,NA,NA
"HES5","HES5","MA0821.1","1.94162",0.0260486,0.771213,0.748255,0.0622397,20,"False",0.966644603626943,NA,NA,NA,NA,NA,NA,NA,NA
"TAL1","TAL1::TCF3","MA0091.1","1.93231",0.0266176,0.833461,0.812849,0.0556644,20,"False",0.966644603626943,NA,NA,NA,NA,NA,NA,NA,NA
"TCF3","TAL1::TCF3","MA0091.1","1.93231",0.0266176,0.833461,0.812849,0.0556644,20,"False",0.966644603626943,0.503882104741733,0.547187389709418,NA,NA,NA,0.728503548244294,0.423032320687182,0.728503548244294
"MYCN","MYCN","MA0104.4","1.92675",0.0269406,0.813087,0.788166,0.0831246,20,"False",0.966644603626943,NA,NA,NA,NA,NA,NA,NA,NA
"Ebf2","Ebf2","MA1604.1","1.90804",0.02815,0.823062,0.799487,0.063668,20,"False",0.966644603626943,NA,NA,NA,NA,NA,NA,NA,NA
"MNT","MNT","MA0825.1","1.90447",0.0283731,0.859824,0.83503,0.0730264,20,"False",0.966644603626943,0.111237042478379,0.0321321526844429,0.679008224708813,0.679372112688405,0.695300161812896,0.115317917569863,0.155605586567154,0.115317917569863
"Arnt","Arnt","MA0004.1","1.87734",0.0301792,0.889582,0.86117,0.0877087,20,"False",0.966644603626943,0.0174937797992605,0.116806791524892,NA,NA,NA,0.652439793633765,0.744383070556009,0.652439793633765
"EWSR1-FLI1","EWSR1-FLI1","MA0149.1","1.86319",0.0311822,0.711648,0.688734,0.0556681,20,"False",0.966644603626943,NA,NA,NA,NA,NA,NA,NA,NA
"MAX","MAX::MYC","MA0059.1","1.77827",0.0376355,0.817342,0.797632,0.0529458,20,"False",0.966644603626943,3.3880737270915e-07,0.0516050647101421,0.415007841632972,0.416317096203809,-0.737430374128988,0.684850696471875,0.748818357339388,0.684850696471875
"MYC","MAX::MYC","MA0059.1","1.77827",0.0376355,0.817342,0.797632,0.0529458,20,"False",0.966644603626943,NA,NA,NA,NA,NA,NA,NA,NA
"EBF3","EBF3","MA1637.1","1.75506",0.0395715,0.822002,0.799623,0.0659594,20,"False",0.966644603626943,NA,NA,NA,NA,NA,NA,NA,NA
"ZBTB26","ZBTB26","MA1579.1","1.73724",0.0411232,0.848119,0.826646,0.0610246,20,"False",0.966644603626943,0.0896964803665981,0.489746918615875,NA,NA,NA,0.965372505366034,0.910906338178155,0.965372505366034
"TFAP4","TFAP4","MA1570.1","1.7054",0.0440316,0.878903,0.860875,0.0383631,20,"False",0.966644603626943,0.10981640004857,0.0571317980524257,0.686482465642402,0.687053316565506,0.6618162286102,0.726037587958319,0.540251891352219,0.726037587958319
"ZNF341","ZNF341","MA1655.1","1.67949",0.0465034,0.841114,0.822091,0.037708,20,"False",0.966644603626943,0.0843975679557361,0.291867688417526,NA,NA,NA,0.869502613195606,0.543603028005603,0.869502613195606
"TWIST1","TWIST1","MA1123.2","1.67268",0.0471379,0.836203,0.816578,0.0600277,20,"False",0.966644603626943,NA,NA,NA,NA,NA,NA,NA,NA
"E2F6","E2F6","MA0471.2","1.64054",0.0504286,0.873384,0.852237,0.0349058,20,"False",0.966644603626943,0.0254386621253323,0.0057825017508549,NA,0.647651659585844,NA,0.544844919818492,0.533628725817631,0.544844919818492
"Ptf1a","Ptf1a","MA1618.1","1.63711",0.0507651,0.837426,0.817587,0.0499293,20,"False",0.966644603626943,NA,NA,NA,NA,NA,NA,NA,NA
"HES7","HES7","MA0822.1","1.63515",0.0509535,0.750435,0.730391,0.060264,20,"False",0.966644603626943,NA,NA,NA,NA,NA,NA,NA,NA
"RUNX2","RUNX2","MA0511.2","1.63028",0.0514823,0.848294,0.830783,0.0437742,20,"False",0.966644603626943,9.54297638613825e-10,8.33321721689621e-07,0.583253278634686,0.584659931809367,0.291099677387324,4.68480268446333e-06,0.00213346696213659,4.68480268446333e-06
"Spz1","Spz1","MA0111.1","1.62035",0.0525494,0.877847,0.866532,0.0242511,20,"False",0.966644603626943,NA,NA,NA,NA,NA,NA,NA,NA
"ZBED1","ZBED1","MA0749.1","1.6188",0.0526951,0.716582,0.700738,0.045234,20,"False",0.966644603626943,0.239401141128395,0.0933487363721544,0.270211112837619,0.2703561607753,0.655501603491035,0.513704163324767,0.425912131217035,0.513704163324767
"Npas2","Npas2","MA0626.1","1.60433",0.0542665,0.860868,0.840522,0.0610001,20,"False",0.966644603626943,1.72502955719853e-05,0.015547354246931,NA,NA,NA,0.615235191624403,0.764764733182462,0.615235191624403
