Item ID	Item value	Change in Kuiper test statistic when item removed
COX8A	11.4733734356848	-0.009523809523809712
NDUFA5	9.62716747432382	-0.009523809523809712
COX4I1	11.754003951219	-0.009523809523809712
ITPR1	13.0539581931332	0.00921979656715699
ATP5MC3	11.4745555464881	-0.009523809523809712
UQCRH	12.60411164695	-0.009523809523809712
COX7A2L	8.93939108130108	0.004683860664657646
GRIN2A	2.45680918195187	0.061904761904761685
NDUFS3	7.57189767551489	0.047455082383948244
CYCS	12.5481246986216	-0.009523809523809712
UQCRFS1	10.2766513844696	-0.009523809523809712
FAS	18.0626954585042	0.061904761904761685
CALM3	10.1962843183623	-0.009523809523809712
CDK5R1	10.1137776816517	-0.009523809523809712
SNCA	10.4706121760875	-0.009523809523809712
