"Ensembl","Gene_Symbols","p_val","acrophase_AD","acrophase_CTL","amplitude_AD","amplitude_CTL","BHQ","Bonf","Log_AD_CTL_ampRatio"
"ENSG00000230368","FAM41C",0.181366586023245,"5.3440310316349","5.87144663283027","0.274176803255271","0.244042987154746",0.632571002341643,1,0.116428779008014
"ENSG00000187634","SAMD11",0.475392181851973,"5.07922493216633","5.66675683049434","0.154510657520231","0.16060549637697",0.822697696038409,1,-0.0386879502708261
"ENSG00000188976","NOC2L",0.523473971381657,"3.07589297833071","2.97092081680809","2.37809987823145","1.71363679478093",0.842189252777245,1,0.327683905633032
"ENSG00000187961","KLHL17",0.0105154392781726,"4.94555079300721","6.13235805765389","1.03792890853634","0.834908637688264",0.214110610262078,1,0.217660269572075
"ENSG00000188290","HES4",0.186220592877802,"2.00989229747534","2.24856830486393","5.06188184138826","6.27896065133147",0.637659438581827,1,-0.215466145830506
"ENSG00000131591","C1orf159",0.261809105758407,"0.184497370369671","0.0299521128371898","5.83861298296957","6.30143010246617",0.702596175953682,1,-0.0762833423125699
"ENSG00000186827","TNFRSF4",0.146787452878824,"3.52291809955093","2.57347672166153","0.158583424495736","0.142273300103045",0.6030048265725,1,0.1085309359117
"ENSG00000176022","B3GALT6",0.383626382144001,"2.67550918297644","2.70445239212545","1.38489479729868","1.67939330587302",0.771221425032474,1,-0.192808422611222
"ENSG00000184163","C1QTNF12",0.54042979196982,"2.94396407988334","3.12398777053988","0.0589051841206561","0.136720969235776",0.846534963060195,1,-0.842013025569555
"ENSG00000162572","SCNN1D",0.34381849109572,"6.09699762197489","0.251603090521407","0.783906551588933","1.52208784004794",0.755041714042617,1,-0.663548431478269
"ENSG00000131584","ACAP3",0.223548305312345,"0.349086495265395","0.437647283939393","5.81809181369461","11.0907667661853",0.670282992075223,1,-0.645140598375077
"ENSG00000169972","PUSL1",0.0542655713217576,"2.75696837540712","2.60039433024108","0.510605290700599","0.733702680713487",0.430616762570913,1,-0.362507012918649
"ENSG00000224051","CPTP",0.46618632027418,"3.1155008447429","2.86970616958582","1.16317274940835","1.26100237138345",0.818754921904013,1,-0.0807555372785925
"ENSG00000169962","TAS1R3",0.0201809260165376,"4.35303508282365","5.84881777121817","0.0460245480148118","0.0315198420960873",0.287631643235128,1,0.37855765130792
"ENSG00000162576","MXRA8",0.855762425368068,"0.167694131031354","6.19983628541038","0.155238103394952","0.180768318810519",0.957522575623499,1,-0.152256115604464
"ENSG00000175756","AURKAIP1",0.0167469544648489,"2.94184052391914","2.77008641323596","3.45796850383321","5.91113629996936",0.27250336451596,1,-0.536156801258929
"ENSG00000242485","MRPL20",0.0331232446936004,"2.80001171489792","2.684919275113","1.41440568615584","3.40333576545235",0.356348391812209,1,-0.878046625054188
"ENSG00000235098","ANKRD65",0.000538887365902803,"3.02079892337322","3.02041152392669","1.65146350754453","3.24134171634379",0.0506283144136955,1,-0.674325485014344
"ENSG00000179403","VWA1",0.367054748644102,"0.0783245675825238","6.18333490556246","2.01869680644068","0.846796546188228",0.765955374071974,1,0.8687469762836
"ENSG00000215915","ATAD3C",0.806357885715979,"5.91313925738069","5.76244661906994","0.876562836395414","0.79495468382315",0.943935558302061,1,0.097723280368275
"ENSG00000205090","TMEM240",0.139522461291884,"2.95639730796524","2.74416485555061","3.41157096393414","4.29788997731117",0.591917990007221,1,-0.230951320869837
"ENSG00000160075","SSU72",0.273645275242818,"3.26033109526828","3.04603358560025","11.0929840604231","10.4558768073144",0.709122715504233,1,0.0591486476078551
"ENSG00000228594","FNDC10",0.782773929341653,"2.65020785867955","2.72004812222114","2.27031829340253","2.62671726277334",0.937144503479751,1,-0.1458148384716
"ENSG00000248333","CDK11B",0.425751481341999,"0.182296993110421","0.488094844015904","1.47901994886788","0.862851754917379",0.798152617278467,1,0.538892053145186
"ENSG00000008128","CDK11A",0.727948816946222,"5.91020222173508","5.91823389847411","2.47281953014036","1.92802179758746",0.917834460562359,1,0.248864507863747
"ENSG00000078369","GNB1",0.825044234945508,"2.86078410236503","2.82963266906383","26.8758402843171","28.8509936429991",0.950871238737698,1,-0.070916681707178
"ENSG00000169885","CALML6",0.765971320392283,"6.22734917211166","0.0914788465339807","0.113500168534602","0.091921715693017",0.930985187478372,1,0.210867023372771
"ENSG00000187730","GABRD",0.751155199310672,"2.88887757293106","2.84230577678015","19.6497223959727","18.3817218912802",0.926288034575253,1,0.0667064153674368
"ENSG00000162585","FAAP20",0.0621470901555611,"2.45369791373532","2.45749628862412","0.739341448582386","1.63332920950479",0.447555713420995,1,-0.792615815011013
"ENSG00000157933","SKI",0.0994641856677065,"0.204091500753375","0.0594946914521536","4.1759970584797","7.49899697644941",0.535228102246758,1,-0.585416128932289
"ENSG00000157916","RER1",0.611253117256075,"3.00094557782889","2.86836591318684","2.95951993321695","3.21713025289044",0.876005915722787,1,-0.0834626659094511
"ENSG00000157911","PEX10",0.0038067410464836,"2.47678243709437","2.67217433233195","1.29105173605866","2.02399009134949",0.120539536867896,1,-0.449613670366975
"ENSG00000157881","PANK4",0.213342226454635,"3.48594289446866","3.4750893058233","2.42446915030642","1.70163567844722",0.662572423016104,1,0.354022641063889
"ENSG00000197921","HES5",0.568355270652225,"1.41326243740438","1.60923105565108","1.29398350496529","1.01350873200846",0.858544622896387,1,0.244307146106069
"ENSG00000157870","PRXL2B",0.571701696725456,"3.17595555594176","3.00547255838924","2.67567934515109","2.0060496418064",0.860078216060466,1,0.288035873012769
"ENSG00000142606","MMEL1",0.0965413526227299,"4.54627905037505","5.25780380017476","0.131292124398655","0.0855128358466072",0.527059888332492,1,0.428758306242574
"ENSG00000215912","TTC34",0.170322072552409,"0.862173357645259","0.359702971102023","0.513188738158629","0.503331722586278",0.62673652874063,1,0.0193942471728201
"ENSG00000177133","PRDM16-DT",0.521230546770948,"5.95731204242664","0.103193241039133","1.6596559585885","1.69113738182573",0.840789188207058,1,-0.0187909825387523
"ENSG00000142611","PRDM16",0.910812972904305,"6.1188531241836","6.18935971847492","8.03679105324005","7.85550358524265",0.974505203533338,1,0.0228155009844112
