GENE_SYMBOLS,refseq_ids
ATP5IF1,NM_016311
S100A16,NM_001317007
OST4,NM_001134693
RPS27A,NM_001135592
CHCHD5,NM_001304353
KCNJ13,NM_001172416
RPL15,NM_001253379
RPL14,NM_001034996
RPL22L1,NM_001099645
RPL9,NM_000661
RPS3A,NM_001006
TMEM131L,NM_001131007
PRELID1,NM_001271828
SNHG32,NM_001040437
RPS18,NM_022551
RPS12,NM_001016
ARL4A,NM_001037164
SNHG15,NR_003697
RBIS,NM_001099670
RPL7A,NM_000972
TRMT112,NM_001286082
FAU,NM_001997
POLD4,NM_001256870
A2ML1,NM_001282424
RPL41,NM_001035267
TMED2,NM_001321445
IFI27L2,NM_032036
RPS2,NM_002952
ELOB,NM_007108
RPS15A,NM_001019
RPL13,NM_000977
RPL26,NM_000987
RPL23A,NM_000984
RPL19,NM_000981
COX7A1,NM_001864
SMIM26,NM_001348957
RAB5IF,NM_001199534
SELENOM,NM_080430
BEX3,NM_001282674
