NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
SGF29	1	SGF29	
LUNAR1	1	LUNAR1	
SCG2	1	SCG2	
IMPA2	1	IMPA2	
STAG1	1	STAG1	
PRTFDC1	1	PRTFDC1	
ACSM3	1	ACSM3	
NXN	1	NXN	
TMEM11	1	TMEM11	
LYVE1	1	LYVE1	
RBBP5	1	RBBP5	
SERPINB9P1	1	SERPINB9P1	
PYCR2	1	PYCR2	
SRP72	1	SRP72	
NICN1	1	NICN1	
NKRF	1	NKRF	
FXYD6	1	FXYD6	
BFSP2	1	BFSP2	
SARAF	1	SARAF	
PGRMC1	1	PGRMC1	
PNRC2	1	PNRC2	
PLPP6	1	PLPP6	
PDGFRA	1	PDGFRA	
PBDC1	1	PBDC1	
CCT5	1	CCT5	
ZXDB	1	ZXDB	
ZC3H15	1	ZC3H15	
DNAH17	1	DNAH17	
QDPR	1	QDPR	
SRP9	1	SRP9	
ANOS1	1	ANOS1	
OSBPL2	1	OSBPL2	
AP3M2	1	AP3M2	
PNMA2	1	PNMA2	
TMEM183A	1	TMEM183A	
NORAD	1	NORAD	
CCDC180	1	CCDC180	
NSG2	1	NSG2	
NR2F1	1	NR2F1	
NIF3L1	1	NIF3L1	
CNDP2	1	CNDP2	
VPS37D	1	VPS37D	
RTN4	1	RTN4	
INHA	1	INHA	
C22orf39	1	C22orf39	
IDS	1	IDS	
SLC11A1	1	SLC11A1	
MPND	1	MPND	
SCOC	1	SCOC	
OR6A2	1	OR6A2	
RUVBL2	1	RUVBL2	
YRDC	1	YRDC	
SSTR2	1	SSTR2	
PGAM1	1	PGAM1	
MAT2B	1	MAT2B	
CMAS	1	CMAS	
PRSS48	1	PRSS48	
C14orf132	1	C14orf132	
OLFM1	1	OLFM1	
SLU7	1	SLU7	
ALDH6A1	1	ALDH6A1	
SNX29	1	SNX29	
PAFAH1B2	1	PAFAH1B2	
TSN	1	TSN	
C12orf76	1	C12orf76	
SRI	1	SRI	
RAB22A	1	RAB22A	
DYNLT3	1	DYNLT3	
NAIF1	1	NAIF1	
EIF1AY	1	EIF1AY	
PIK3C2B	1	PIK3C2B	
RTL8A	1	RTL8A	
TGOLN2	1	TGOLN2	
STAT1	1	STAT1	
CCDC71L	1	CCDC71L	
NUP93	1	NUP93	
MEF2D	1	MEF2D	
LDHA	1	LDHA	
PLEKHH1	1	PLEKHH1	
CHST2	1	CHST2	
AMD1	1	AMD1	
PRPS1	1	PRPS1	
SRPRA	1	SRPRA	
ENC1	1	ENC1	
PNMA8A	1	PNMA8A	
SERINC1	1	SERINC1	
CASP6	1	CASP6	
KPNB1	1	KPNB1	
ATG101	1	ATG101	
CCSAP	1	CCSAP	
CABLES2	1	CABLES2	
ATP6V1G1	1	ATP6V1G1	
SLC41A1	1	SLC41A1	
PDIK1L	1	PDIK1L	
PPM1K	1	PPM1K	
ASAH1	1	ASAH1	
DERA	1	DERA	
CCDC47	1	CCDC47	
NAP1L5	1	NAP1L5	
NEFL	1	NEFL	
KLC1	1	KLC1	
SEPHS2	1	SEPHS2	
RRAGA	1	RRAGA	
C1orf115	1	C1orf115	
NAPB	1	NAPB	
FBXO6	1	FBXO6	
TIMP2	1	TIMP2	
EPM2AIP1	1	EPM2AIP1	
ACAN	1	ACAN	
RSL1D1	1	RSL1D1	
WDR1	1	WDR1	
MAD2L1BP	1	MAD2L1BP	
VCP	1	VCP	
SATB1	1	SATB1	
CROCC	1	CROCC	
DAXX	1	DAXX	
DEK	1	DEK	
SVIP	1	SVIP	
MRPS2	1	MRPS2	
GSPT2	1	GSPT2	
ALMS1	1	ALMS1	
BRI3BP	1	BRI3BP	
MRPS36	1	MRPS36	
SPANXA2-OT1	1	SPANXA2-OT1	
EIF4A2	1	EIF4A2	
NFU1	1	NFU1	
ZCCHC3	1	ZCCHC3	
FER1L5	1	FER1L5	
MRPL35	1	MRPL35	
ARFIP2	1	ARFIP2	
SLFNL1	1	SLFNL1	
KDM4D	1	KDM4D	
PRNP	1	PRNP	
PDE1C	1	PDE1C	
CCDC38	1	CCDC38	
SPCS1	1	SPCS1	
KCNA4	1	KCNA4	
MAGEE1	1	MAGEE1	
PRKAR1A	1	PRKAR1A	
AASDHPPT	1	AASDHPPT	
CYCS	1	CYCS	
GHITM	1	GHITM	
GORASP1	1	GORASP1	
MARCKS	1	MARCKS	
HCG11	1	HCG11	
ACSL3	1	ACSL3	
BCL6	1	BCL6	
REEP5	1	REEP5	
RAC1	1	RAC1	
PLAC1	1	PLAC1	
LMF1	1	LMF1	
YWHAG	1	YWHAG	
ABHD8	1	ABHD8	
TM2D3	1	TM2D3	
PNMA1	1	PNMA1	
LIN7C	1	LIN7C	
LCMT2	1	LCMT2	
IFNLR1	1	IFNLR1	
PRELP	1	PRELP	
BAG4	1	BAG4	
ATP2A2	1	ATP2A2	
TMSB4X	1	TMSB4X	
ZNF26	1	ZNF26	
DNAJA1	1	DNAJA1	
TOMM20	1	TOMM20	
RIMS3	1	RIMS3	
SUSD4	1	SUSD4	
PHAX	1	PHAX	
GNPDA1	1	GNPDA1	
CCT4	1	CCT4	
TMEM191B	1	TMEM191B	
PIM2	1	PIM2	
SHISA4	1	SHISA4	
USP22	1	USP22	
CX3CL1	1	CX3CL1	
CD200	1	CD200	
BEX4	1	BEX4	
CDKL3	1	CDKL3	
L1CAM	1	L1CAM	
SMCR5	1	SMCR5	
HPS6	1	HPS6	
ARAP3	1	ARAP3	
TRIM23	1	TRIM23	
PLK2	1	PLK2	
MGAT2	1	MGAT2	
OTOGL	1	OTOGL	
ABCF2	1	ABCF2	
OR2L5	1	OR2L5	
MON1B	1	MON1B	
CCT7	1	CCT7	
TUBB8	1	TUBB8	
GRK4	1	GRK4	
ZNF770	1	ZNF770	
GEMIN6	1	GEMIN6	
SERINC3	1	SERINC3	
SLC6A6	1	SLC6A6	
YWHAH	1	YWHAH	
MKKS	1	MKKS	
CREG2	1	CREG2	
TSPYL5	1	TSPYL5	
RAN	1	RAN	
GLYATL2	1	GLYATL2	
RLIM	1	RLIM	
ZSCAN18	1	ZSCAN18	
SLC39A3	1	SLC39A3	
ABCF1	1	ABCF1	
ABHD10	1	ABHD10	
CLSTN1	1	CLSTN1	
ANKRD40	1	ANKRD40	
GOLGA2	1	GOLGA2	
SAR1A	1	SAR1A	
ZDHHC23	1	ZDHHC23	
TLL2	1	TLL2	
R3HCC1	1	R3HCC1	
H3-3B	1	H3F3B	
KBTBD6	1	KBTBD6	
TMEM106C	1	TMEM106C	
DNAJB5	1	DNAJB5	
ALG10	1	ALG10	
CDIPT	1	CDIPT	
FAAH2	1	FAAH2	
CENATAC	1	CCDC84	
SERF2	1	SERF2	
VSTM2A	1	VSTM2A	
TOLLIP	1	TOLLIP	
CDK5R1	1	CDK5R1	
ZNF487	1	ZNF487	
RCOR2	1	RCOR2	
VTI1B	1	VTI1B	
OAZ1	1	OAZ1	
TRIP4	1	TRIP4	
CENPBD1P	1	CENPBD1	
CCDC3	1	CCDC3	
FAM161B	1	FAM161B	
CD99	1	CD99	
FTSJ1	1	FTSJ1	
C16orf95	1	C16orf95	
MAFIP	1	MAFIP	
CEP41	1	CEP41	
