NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NEU1	neuraminidase 1 [Source:HGNC Symbol;Acc:HGNC:7758]	506	1.1884691715240479	0.18307526	Yes	
row_1	MAN2B1	mannosidase alpha class 2B member 1 [Source:HGNC Symbol;Acc:HGNC:6826]	837	0.9745683073997498	0.3462367	Yes	
row_2	MANBA	mannosidase beta [Source:HGNC Symbol;Acc:HGNC:6831]	1095	0.8540328145027161	0.49415836	Yes	
row_3	FUCA2	alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]	1247	0.7921570539474487	0.64477503	Yes	
row_4	AGA	aspartylglucosaminidase [Source:HGNC Symbol;Acc:HGNC:318]	1940	0.5809482932090759	0.6660148	Yes	
row_5	MAN2B2	mannosidase alpha class 2B member 2 [Source:HGNC Symbol;Acc:HGNC:29623]	4580	0.16784819960594177	0.29777434	No	
