"Gene_Symbols","p_cogdx","p_ceradsc","acrophase_cog4","acrophase_cog5","acrophase_cerad1to2","acrophase_cerad3to5","amplitude_cog4","amplitude_cog5","amplitude_cerad1to2","amplitude_cerad3to5","BHQ_cogdx","Bonf_cogdx","BHQ_cerad","Bonf_cerad"
"HES4","0.883101905185017","0.731368980235118","2.19107938407319","2.47314830634793","2.19104686432459","2.23412061825245","8.10990372356963","9.42577847571251","7.91631819871652","10.1469100656017",0.956518928181396,1,0.997451942291009,1
"PEX10","0.0819343476452141","0.417347528374707","2.64738696541744","3.46877304841056","2.67394366374686","3.17283796318502","1.78755278673698","6.12521580857233","1.82384961609704","2.95739787641782",0.58070276797727,1,0.997451942291009,1
"PANK4","0.648141878711161","0.658234274942374","3.14930569564767","3.42359565821107","3.15448077552208","3.2044823649165","2.50867113606289","4.86378195934088","2.76147645139678","1.47968294447799",0.9205528264611,1,0.997451942291009,1
"NMNAT1","0.387313890754007","0.120615464878481","0.722666735586223","4.22707656198868","0.733319491947067","0.515932687960557","3.46100212528021","0.832442084359232","2.90136479037504","6.236779936847",0.83101518294502,1,0.997451942291009,1
"CORT","0.479452250586405","0.133561766105526","1.79593829744144","1.60061258743583","1.68887606423224","2.45069085666161","2.6233851031979","4.54312723893795","2.70858467017301","4.08363276560956",0.876875024184308,1,0.997451942291009,1
"RCAN3","0.832533108640553","0.934670467837235","2.7609363432064","2.97701323770096","2.87340043706724","2.54764058810513","1.55345705678889","2.65212786962315","1.69276536579478","1.3674558388957",0.956518928181396,1,0.997451942291009,1
"RHD","0.0634734240426995","0.782926618530158","2.81941681241194","3.84858727131894","3.02706181601717","2.502411959502","2.44326252086918","11.0822733928845","2.5816261982434","1.02705573407588",0.58070276797727,1,0.997451942291009,1
"CCDC28B","0.905464509606812","0.775453450548135","3.08600576348791","2.56312580179365","3.05108714240383","2.86248117859229","1.77618374680881","1.43175359114331","1.65937512682934","2.1108593932203",0.963005477908274,1,0.997451942291009,1
"MARCKSL1","0.831885284518338","0.988625429074224","3.05258175149332","3.2396023951853","3.03702678905842","3.06987795101336","13.9815694265925","13.8994814937676","13.6972541798035","14.183729742457",0.956518928181396,1,0.997451942291009,1
"SYNC","0.0775519791553967","0.350972198252326","2.80059370742585","3.37123431686246","2.77143919811295","3.11099109396566","9.82499239992069","24.3102245782396","9.96784199540411","14.4732959395887",0.58070276797727,1,0.997451942291009,1
"LSM10","0.0892446080144725","0.934257316654609","3.00586960522468","5.04151555825466","3.07010778900517","2.98861576098086","2.30582050360416","0.754126333235422","2.11459636528958","1.60398698217263",0.58070276797727,1,0.997451942291009,1
"GRIK3","0.406587977545622","0.0647617855124217","0.597415689448425","3.95967162494622","0.634640274798283","3.58439657505895","11.1996326101131","11.3052721712809","13.3463151740165","7.09376257381226",0.83585211226593,1,0.997451942291009,1
"MYCBP","0.331628320185307","0.940536975496297","2.9643538993074","3.5469835561327","3.02874640689696","3.10711982445267","5.21333764539437","12.397654622941","5.43164834883519","4.73584477571822",0.822939300865799,1,0.997451942291009,1
"RHBDL2","0.0361137839729803","0.647983831710639","2.66372750166591","3.47493611084497","2.6971437137014","3.08943024800717","6.02850492036092","23.5173308949779","6.33759386373801","8.96580102253554",0.58070276797727,1,0.997451942291009,1
"LRP8","0.986558211735085","0.119466678667554","1.36233675213439","1.2991536777377","1.35680338583198","1.64291122594621","16.3200902276729","17.318795692453","16.9713861432102","9.03922051206836",0.993171750265698,1,0.997451942291009,1
"LEPR","0.221499784914373","0.590545380824109","4.72087246830922","4.21186430299398","4.6203932078013","5.04369553863684","6.29994171698782","22.4085279692018","6.6436304696878","9.5407857495301",0.751333350780496,1,0.997451942291009,1
"TCTEX1D1","0.0692254629986622","0.383651251235392","1.94587913665837","0.705149529116712","1.88081230833305","1.84459524886386","3.30593171442477","3.99804293325609","3.18494385660714","1.43525254292299",0.58070276797727,1,0.997451942291009,1
"GADD45A","0.575295846117325","0.915042761529963","3.35394519305739","3.31843827137351","3.32632446695309","3.25986785136389","2.75571645892059","4.62607261374959","2.76942582783652","3.26587478944044",0.889270867218645,1,0.997451942291009,1
"WDR77","0.609261818889615","0.895317284137736","2.24183927613172","2.04747527249254","2.21978453577473","2.23258566599768","2.32650496217113","3.13016199361168","2.3901267253751","2.72045471126104",0.893322795542329,1,0.997451942291009,1
"FMO5","0.46910157629028","0.557791031865271","2.65601915236429","3.16854131414657","2.60648863875913","3.19561111346526","2.31210655190005","5.26435468377811","2.45850216899527","2.99557135836972",0.876875024184308,1,0.997451942291009,1
"C1orf56","0.100662876809942","0.455550227436683","2.69871777556154","3.34751872963146","2.63336282179579","3.08393457358772","2.09004904070279","5.96508014269196","2.19185212774462","3.13707082858104",0.582403320838307,1,0.997451942291009,1
"NUP210L","0.503448760704683","0.841952608173225","3.55421020908635","3.79237220304542","3.58178870562614","3.79749166244753","5.75344758117817","14.8117469381014","6.07289036659395","7.23033593600637",0.876875024184308,1,0.997451942291009,1
"KRTCAP2","0.36411415050681","0.497171045970454","3.21654320085398","3.80336548221691","3.27971503917659","3.14579735822725","3.5175125237376","1.96711658077269","3.61044949776828","1.46510914729349",0.83101518294502,1,0.997451942291009,1
"ACKR1","0.47467334195488","0.977743631656032","3.78597710713641","2.85663100424359","3.68876175919353","3.72341646018206","1.57652346611817","1.28376940726058","1.50050527444474","1.7083523383531",0.876875024184308,1,0.997451942291009,1
"ADCY10","0.295537155076549","0.730498387119449","4.97955754565675","4.24880756693213","4.91406725009027","4.92482418161225","4.75153104481656","13.0325830559505","4.73354837210145","6.61266914310219",0.776198858529432,1,0.997451942291009,1
"PAPPA2","0.586300405821269","0.290794865571029","2.86458778412138","2.31973277703811","2.73817883771906","3.4556864388055","1.60956198464919","2.3938980535519","1.67491000512815","2.78491354263566",0.889345247783651,1,0.997451942291009,1
"ANGPTL1","0.0906039970440359","0.789821746504601","3.17698269061185","3.76878832379149","3.26681443366395","3.08062676991522","4.42154501995274","10.8735086171922","4.59229655582922","3.3144928188027",0.58070276797727,1,0.997451942291009,1
"RGS16","0.123742918736202","0.338881352951303","2.70799813320879","3.73595756818879","2.75765667380829","2.38543563497539","4.72246634818666","2.32181194110025","4.7313256843455","1.63200442320469",0.64858357406561,1,0.997451942291009,1
"TNNT2","0.178180062826539","0.401728605543479","5.88525735436432","0.460318873185933","5.95842725627897","0.564263655006186","1.96925229561631","8.12561066286321","2.39331000353062","0.717436624988863",0.700431971111222,1,0.997451942291009,1
"HHAT","0.281907217158422","0.876959822194201","0.12088419396923","4.62341756994462","0.0639410733135483","6.22088950305343","4.61086336605313","5.11528486189463","4.57432013522102","3.27102835735152",0.776198858529432,1,0.997451942291009,1
