"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"POU2F2 (human)",0.40653561617122,1.30580444098169,1.17533334125854,"['KIAA0319', 'CKLF', 'CAMK1G', 'GALNT10']",0.908748608062266,0,0,4,"POU2F2",0.908748608062266,0.000455303580222102,0.427832083491161,0.927888717061271,0.930297481566641,-0.337553957275542,0.981414067780409,0.977944439927544,NA,NA,NA,NA
"RXRA (human)",0.411638223825558,1.49635627530364,1.32818141136306,"['UFSP2', 'CKLF']",0.908748608062266,0,0,2,"RXRA",0.908748608062266,0.242516644572052,0.135623902826167,NA,NA,NA,0.887170273416331,0.847190140217378,0.903059375070147,0.699804287284229,NA,0.630847161820879
"NR1H2 (human)",0.412390679582516,2.01041666666667,1.78079517304524,"['UFSP2']",0.908748608062266,0,0,1,"NR1H2",0.908748608062266,0.754393895747615,0.119091795326339,NA,NA,NA,0.727159135281989,0.873671189920559,NA,NA,NA,NA
"RARA (human)",0.426667013262565,1.44854673998429,1.2338017114334,"['TEF', 'UFSP2']",0.908748608062266,0,0,2,"RARA",0.908748608062266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FOXF1 (human)",0.426667013262565,1.44854673998429,1.2338017114334,"['TEF', 'KIAA0319']",0.908748608062266,0,0,2,"FOXF1",0.908748608062266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NRF1 (mouse)",0.434117184479556,1.42569659442724,1.18965936547507,"['IRGQ', 'TEF']",0.908748608062266,0,0,2,"NRF1",0.908748608062266,1.74930317265553e-05,0.0145843511041578,NA,NA,NA,0.804086977012358,0.863855289393902,NA,NA,NA,NA
"FOXO3A (mouse)",0.437191429131178,1.85192307692308,1.53225175803404,"['CKLF']",0.908748608062266,0,0,1,"FOXO3A",0.908748608062266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATF4 (human)",0.448881739784686,1.38195488721805,1.10694007663688,"['UFSP2', 'TBC1D17']",0.908748608062266,0,0,2,"ATF4",0.908748608062266,2.37200832826079e-05,0.0504445872110108,0.840255584382166,0.845242102938664,-0.4346164780523,0.983026794541759,0.978522953831165,NA,NA,NA,NA
"POU2F2 (mouse)",0.448881739784686,1.38195488721805,1.10694007663688,"['TEF', 'TUBB3']",0.908748608062266,0,0,2,"POU2F2",0.908748608062266,0.000455303580222102,0.427832083491161,0.927888717061271,0.930297481566641,-0.337553957275542,0.981414067780409,0.977944439927544,NA,NA,NA,NA
"JUN (mouse)",0.456193405680778,1.36100815418829,1.06817149495145,"['IRGQ', 'UFSP2']",0.908748608062266,0,0,2,"JUN",0.908748608062266,0.822919478447995,0.363831433991768,NA,NA,NA,0.923243762725215,0.90535306862315,NA,NA,NA,NA
