"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"HNF1A (human)",0.179259487487307,9.65561224489796,16.5972334206942,"['MIS12']",0.256938598731807,0,0,1,"HNF1A",0.256938598731807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NFYA (human)",0.237172867145503,6.91098484848485,9.94467226833356,"['MIS12']",0.328981718943762,0,0,1,"NFYA",0.328981718943762,0.0960645953753032,0.147143728341376,NA,0.933525168096165,NA,0.910843999367578,0.982373005042031,NA,NA,NA,NA
"JUN (human)",0.279217518118353,5.63015873015873,7.18275475730901,"['NME1']",0.365416715728006,0,0,1,"JUN",0.365416715728006,0.822919478447995,0.363831433991768,NA,NA,NA,0.923243762725215,0.90535306862315,NA,NA,NA,NA
"NFKB1 (mouse)",0.280436084163353,5.59873617693523,7.11828604942566,"['NME1']",0.365416715728006,0,0,1,"NFKB1",0.365416715728006,0.587567475598372,0.727316273007724,NA,NA,NA,0.946033039661953,0.94948959310235,0.651094097430347,0.876243297421722,NA,0.99089712194382
"SRF (human)",0.315722037512174,4.79334257975035,5.52621149324065,"['MIS12']",0.386073299088994,0,0,1,"SRF",0.386073299088994,NA,NA,NA,NA,NA,NA,NA,0.691393788360584,0.81466781313771,NA,0.211672387220166
"HINFP (human)",0.318490787446016,4.73763736263736,5.42062335717913,"['MIS12']",0.386073299088994,0,0,1,"HINFP",0.386073299088994,0.780500587815775,0.376726293521525,NA,NA,NA,0.989382421150606,0.999790090091945,NA,NA,NA,NA
"PITX2 (human)",0.323224157376833,4.64459459459459,5.24564791542493,"['NME1']",0.386073299088994,0,0,1,"PITX2",0.386073299088994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NR5A2 (human)",0.341215934870789,4.31424936386768,4.63885245930103,"['MIS12']",0.390063992790827,0,0,1,"NR5A2",0.390063992790827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUNX1 (human)",0.344707714559335,4.25408805031447,4.53085231955941,"['MIS12']",0.390063992790827,0,0,1,"RUNX1",0.390063992790827,9.64138595963083e-06,0.000167751576128738,0.855383419081688,0.859833571598838,0.257061047819214,0.811921302564796,0.818755589821976,NA,NA,NA,NA
"NFIC (human)",0.373445051697421,3.80114942528736,3.7440728955105,"['MIS12']",0.411747108281772,0,0,1,"NFIC",0.411747108281772,0.04327947729893,0.304483806665833,NA,NA,NA,0.273158069726951,0.244690141119541,0.512555377113181,0.811313715497116,NA,0.274939862818154
"LEF1 (human)",0.412961626770689,3.2797131147541,2.90058025873655,"['MIS12']",0.44393374877849,0,0,1,"LEF1",0.44393374877849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FOXL1 (human)",0.434759049016409,3.03185328185328,2.52542255013656,"['NME1']",0.455966807505015,0,0,1,"FOXL1",0.455966807505015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GATA2 (human)",0.668035033956961,1.35988700564972,0.548598355079751,"['NME1']",0.683940630003555,0,0,1,"GATA2",0.683940630003555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FOXC1 (human)",0.792259201114106,0.837659480862297,0.195062971034384,"['MIS12']",0.792259201114106,0,0,1,"FOXC1",0.792259201114106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
