"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","edgeR_DE_BHQ"
"FEV","FEV","MA0156.2","2.84004",0.00222864,0.85738,0.840666,0.0589182,79,"False",0.154677816666667,NA,NA,NA,NA,NA,NA,NA
"ERG","ERG","MA0474.2","2.825",0.0023377,0.864679,0.84857,0.0556034,79,"False",0.154677816666667,NA,NA,NA,NA,NA,NA,NA
"REL","REL","MA0101.1","2.78946",0.00261875,0.883767,0.869717,0.0419377,79,"False",0.159945192307692,0.896972540245189,0.505396308115061,NA,NA,NA,0.973806278358158,0.842363278575441
"FLI1","FLI1","MA0475.2","2.75607",0.00289267,0.845874,0.82927,0.0598788,79,"False",0.159950241333333,NA,NA,NA,NA,NA,NA,NA
"MTF1","MTF1","MA0863.1","2.74244",0.00302173,0.741282,0.728912,0.0405845,79,"False",0.159950241333333,NA,NA,NA,NA,NA,NA,NA
"ERF","ERF","MA0760.1","2.69511",0.0034806,0.846521,0.83128,0.056443,79,"False",0.172724775,0.0300425814501729,0.166927784293228,0.605677040606972,0.606958728307776,0.614180698836712,0.163773530339404,0.119192288847875
"ZBTB7A","ZBTB7A","MA0750.2","2.66864",0.00376933,0.847381,0.829929,0.0640722,79,"False",0.176049883529412,1.02652146461004e-08,4.29478012571766e-07,0.496541238105794,0.499031780348777,0.401455401368414,0.0134068361578396,0.404503886701976
"ELK3","ELK3","MA0759.1","2.64752",0.00400943,0.843948,0.827514,0.0639781,79,"False",0.176860412222222,NA,NA,NA,NA,NA,NA,NA
"JUNB","JUNB","MA1140.2","2.55249",0.00528828,0.736083,0.719098,0.0711414,79,"False",0.210553714,0.675190526055226,0.351601298971008,NA,NA,NA,0.938704374647668,0.961898088388136
"E2F6","E2F6","MA0471.2","2.55313",0.00530362,0.868809,0.852237,0.0525221,79,"False",0.210553714,0.0254386621253323,0.0057825017508549,NA,0.647651659585844,NA,0.544844919818492,0.533628725817631
"ZBTB33","ZBTB33","MA0527.1","2.51599",0.00588595,0.788071,0.772676,0.0569854,79,"False",0.219464126363636,0.0393061091653766,0.00595092762497336,0.568551551213686,0.570581068380403,0.725928074085639,0.253906250737912,0.360091955411573
"TFDP1","TFDP1","MA1122.1","2.50529",0.00608087,0.868307,0.849665,0.0590841,79,"False",0.219464126363636,0.0467095530159475,0.613466894354662,NA,NA,NA,0.261502758518537,0.0998171693916154
"EHF","EHF","MA0598.3","2.4832",0.00646745,0.817566,0.803084,0.0490215,79,"False",0.222969095,NA,NA,NA,NA,NA,NA,NA
"Spz1","Spz1","MA0111.1","2.46846",0.00673962,0.875212,0.866532,0.0298866,79,"False",0.222969095,NA,NA,NA,NA,NA,NA,NA
"MAZ","MAZ","MA1522.1","2.40925",0.00794497,0.898607,0.877914,0.0705574,79,"False",0.2523322472,0.0980598580763489,0.378813150782559,NA,NA,NA,0.468938457619758,0.4359137964672
"JDP2","JDP2","MA0656.1","2.38887",0.00836623,0.755087,0.738511,0.0743245,79,"False",0.255491793076923,0.0115949704476004,0.378784087245361,NA,NA,NA,0.766617243445059,0.850080875160929
"ETS2","ETS2","MA1484.1","2.36429",0.00895782,0.862213,0.848397,0.0575268,79,"False",0.263426262222222,0.44585198642316,0.383108184826108,NA,NA,NA,0.338498973129538,0.576760118198673
"TFEC","TFEC","MA0871.2","2.29402",0.0107812,0.810911,0.79543,0.0768227,79,"False",0.2961768875,NA,NA,NA,NA,NA,NA,NA
"EGR3","EGR3","MA0732.1","2.28048",0.0112212,0.796786,0.780667,0.0615164,79,"False",0.2961768875,0.931899948885277,0.332811309569395,NA,NA,NA,0.453960487135005,NA
"MZF1","MZF1","MA0057.1","2.26384",0.0117203,0.919771,0.909997,0.0379178,79,"False",0.2961768875,3.19730234362617e-07,0.309330485981304,0.233837622423147,0.235339862494739,-0.844672610786633,0.254434911662061,0.224199455645028
"ELF4","ELF4","MA0641.1","2.25737",0.011887,0.793424,0.779983,0.063151,79,"False",0.2961768875,NA,NA,NA,NA,NA,NA,NA
"ELK1","ELK1","MA0028.2","2.2558",0.0119366,0.820629,0.805366,0.0715241,79,"False",0.2961768875,0.00158906358864242,0.00303798375119974,0.574064472595197,0.575660380656649,0.486387404755736,0.879801610123535,0.852046911199861
"EWSR1-FLI1","EWSR1-FLI1","MA0149.1","2.20836",0.0135396,0.702408,0.688734,0.0510508,79,"False",0.318279570588235,NA,NA,NA,NA,NA,NA,NA
"MNT","MNT","MA0825.1","2.20482",0.0136291,0.849486,0.83503,0.0659255,79,"False",0.318279570588235,0.111237042478379,0.0321321526844429,0.679008224708813,0.679372112688405,0.695300161812896,0.115317917569863,0.155605586567154
"ZNF263","ZNF263","MA0528.2","2.18663",0.0143146,0.872216,0.856546,0.0579999,79,"False",0.319846805405405,0.119039055427212,0.30278161607353,NA,NA,NA,0.653602788471038,0.612004028071349
"MAX","MAX","MA0058.3","2.17451",0.0147185,0.838429,0.823549,0.0704525,79,"False",0.319846805405405,3.3880737270915e-07,0.0516050647101421,0.415007841632972,0.416317096203809,-0.737430374128988,0.684850696471875,0.748818357339388
"YY2","YY2","MA0748.2","2.17004",0.0149047,0.837149,0.821895,0.066177,79,"False",0.319846805405405,NA,NA,NA,NA,NA,NA,NA
"SPDEF","SPDEF","MA0686.1","2.1301",0.0164769,0.813086,0.801715,0.0504531,79,"False",0.341544513636364,NA,NA,NA,NA,NA,NA,NA
"Arntl","Arntl","MA0603.1","2.11011",0.0172899,0.831563,0.817467,0.0704469,79,"False",0.341544513636364,0.694379640861019,0.000823368228762307,NA,NA,NA,0.214997476352131,0.841664983265933
"IKZF1","IKZF1","MA1508.1","2.10615",0.0174989,0.843592,0.831165,0.0524859,79,"False",0.341544513636364,NA,NA,NA,NA,NA,NA,NA
"GLIS2","GLIS2","MA0736.1","2.08459",0.0184679,0.798944,0.7882,0.0422303,79,"False",0.341544513636364,0.0818894312497024,0.617361657347814,0.987229232062437,NA,-0.19636386581106,0.758648691210538,0.552538839505653
"ZNF148","ZNF148","MA1653.1","2.08228",0.0185759,0.869009,0.850645,0.0710026,79,"False",0.341544513636364,2.44981491718035e-09,0.053941903498311,NA,NA,NA,0.0698440925145701,0.653738983977228
"SOHLH2","SOHLH2","MA1560.1","2.0786",0.0187127,0.816259,0.802357,0.0632734,79,"False",0.341544513636364,NA,NA,NA,NA,NA,NA,NA
"CREB3L4","CREB3L4","MA1475.1","2.07349",0.0189269,0.792664,0.780213,0.0618837,79,"False",0.341544513636364,NA,NA,NA,NA,NA,NA,NA
"ATF7","ATF7","MA0834.1","2.05559",0.0197682,0.74168,0.727749,0.070512,79,"False",0.348798906666667,1.42935485121592e-07,0.000178705957551815,0.602301477944029,0.603589821901222,0.107713300067256,0.0486211119826962,0.299346349362899
"ATF3","ATF3","MA0605.2","2.03723",0.0206669,0.752209,0.737623,0.0743764,79,"False",0.351750213793104,NA,NA,NA,NA,NA,NA,NA
"FOSB","FOSB::JUN","MA1127.1","2.00868",0.0221145,0.767297,0.753617,0.0747478,79,"False",0.351750213793104,NA,NA,NA,NA,NA,NA,NA
"JUN","FOSB::JUN","MA1127.1","2.00868",0.0221145,0.767297,0.753617,0.0747478,79,"False",0.351750213793104,8.243298215986e-07,0.034828872650036,0.694164762928851,0.694682526526075,-0.303755421619273,0.0244249520408038,0.287869680210983
"EGR4","EGR4","MA0733.1","2.00887",0.0221924,0.791614,0.780201,0.0432119,79,"False",0.351750213793104,NA,NA,NA,NA,NA,NA,NA
"MYC","MYC","MA0147.3","1.99806",0.0227096,0.820866,0.807524,0.0669885,79,"False",0.351750213793104,NA,NA,NA,NA,NA,NA,NA
"FOSL1","FOSL1::JUN","MA1129.1","1.98763",0.0232793,0.778623,0.765238,0.0673809,79,"False",0.351750213793104,NA,NA,NA,NA,NA,NA,NA
"JUN","FOSL1::JUN","MA1129.1","1.98763",0.0232793,0.778623,0.765238,0.0673809,79,"False",0.351750213793104,8.243298215986e-07,0.034828872650036,0.694164762928851,0.694682526526075,-0.303755421619273,0.0244249520408038,0.287869680210983
"MYCN","MYCN","MA0104.4","1.97693",0.0238821,0.801041,0.788166,0.0637344,79,"False",0.351750213793104,NA,NA,NA,NA,NA,NA,NA
"SPI1","SPI1","MA0080.5","1.97228",0.0241896,0.76209,0.751331,0.0441846,79,"False",0.351750213793104,NA,NA,NA,NA,NA,NA,NA
"Wt1","Wt1","MA1627.1","1.95254",0.0253276,0.842463,0.828844,0.0586505,79,"False",0.351750213793104,NA,NA,NA,NA,NA,NA,NA
"JUN","JUN::JUNB","MA1133.1","1.95067",0.0253681,0.782772,0.770415,0.0683705,79,"False",0.351750213793104,8.243298215986e-07,0.034828872650036,0.694164762928851,0.694682526526075,-0.303755421619273,0.0244249520408038,0.287869680210983
"JUNB","JUN::JUNB","MA1133.1","1.95067",0.0253681,0.782772,0.770415,0.0683705,79,"False",0.351750213793104,0.675190526055226,0.351601298971008,NA,NA,NA,0.938704374647668,0.961898088388136
"ELF3","ELF3","MA0640.2","1.94646",0.0256946,0.831099,0.820002,0.0467606,79,"False",0.351750213793104,NA,NA,NA,NA,NA,NA,NA
"Gmeb1","Gmeb1","MA0615.1","1.93624",0.0263032,0.826791,0.817285,0.0419503,79,"False",0.353978657627119,0.0242344839257439,0.07399055695837,0.743146246056045,0.745067477059806,0.393481609330756,0.253536387034573,0.409823938626197
"RELA","RELA","MA0107.1","1.92391",0.0270571,0.837775,0.826197,0.0531551,79,"False",0.355671649180328,0.316465272781695,0.858330496127523,NA,NA,NA,0.435719451263477,0.77821031152388
"NFATC1","NFATC1","MA0624.1","1.92043",0.0273249,0.890754,0.879874,0.0388089,79,"False",0.355671649180328,NA,NA,NA,NA,NA,NA,NA
"FOSL2","FOSL2::JUN","MA1131.1","1.89251",0.0290174,0.790209,0.777587,0.0717524,79,"False",0.365711358730159,0.261376706033256,0.248725718329522,NA,NA,NA,0.970493389204502,0.701508261376025
"JUN","FOSL2::JUN","MA1131.1","1.89251",0.0290174,0.790209,0.777587,0.0717524,79,"False",0.365711358730159,8.243298215986e-07,0.034828872650036,0.694164762928851,0.694682526526075,-0.303755421619273,0.0244249520408038,0.287869680210983
"PAX6","PAX6","MA0069.1","1.86848",0.0307071,0.776246,0.767996,0.0397303,79,"False",0.378857710769231,NA,NA,NA,NA,NA,NA,NA
"Npas2","Npas2","MA0626.1","1.86413",0.0310148,0.852426,0.840522,0.0565393,79,"False",0.378857710769231,1.72502955719853e-05,0.015547354246931,NA,NA,NA,0.615235191624403,0.764764733182462
"MLX","MLX","MA0663.1","1.84907",0.0320564,0.784896,0.77323,0.0612193,79,"False",0.380664313043478,4.03519585761193e-09,0.000107010699210604,0.689313640510985,0.689910191553051,-0.0876032774033511,0.477332045124646,0.524765679705527
"Creb5","Creb5","MA0840.1","1.83513",0.0330434,0.769287,0.756349,0.0740974,79,"False",0.380664313043478,0.0795366954827995,0.896597822729986,0.643085230294129,NA,-1.26782812785518,0.0459051989238392,0.0630219064864964
"FOSB","FOSB::JUNB","MA1136.1","1.83494",0.0330804,0.792117,0.780211,0.0640369,79,"False",0.380664313043478,NA,NA,NA,NA,NA,NA,NA
"JUNB","FOSB::JUNB","MA1136.1","1.83494",0.0330804,0.792117,0.780211,0.0640369,79,"False",0.380664313043478,0.675190526055226,0.351601298971008,NA,NA,NA,0.938704374647668,0.961898088388136
"Creb3l2","Creb3l2","MA0608.1","1.77983",0.0373733,0.841979,0.831136,0.0584302,79,"False",0.423920002857143,0.0158723034126972,0.206091571611561,NA,0.882434270648127,NA,0.898829011622573,0.705887891545886
"E2F1","E2F1","MA0024.3","1.72319",0.042317,0.778831,0.7698,0.0380018,79,"False",0.469310241666667,NA,NA,NA,NA,NA,NA,NA
"ARNT2","ARNT2","MA1464.1","1.71929",0.0425571,0.815934,0.803892,0.0725089,79,"False",0.469310241666667,0.00354610784125982,1.38599278767853e-05,NA,NA,NA,0.670408312825888,0.208167241223543
"FOSL1","FOSL1::JUND","MA1143.1","1.6593",0.0483222,0.819783,0.80978,0.0578334,79,"False",0.479530501123595,NA,NA,NA,NA,NA,NA,NA
"JUND","FOSL1::JUND","MA1143.1","1.6593",0.0483222,0.819783,0.80978,0.0578334,79,"False",0.479530501123595,0.105116966589457,0.0261799615490139,0.667368639048203,0.668247069610718,0.724600956797381,0.939359027733481,0.961870328545092
"NFATC3","NFATC3","MA0625.1","1.65915",0.0484408,0.871818,0.861871,0.0403135,79,"False",0.479530501123595,7.16423109446104e-15,1.07359945495437e-05,0.590522936233871,0.591767936803424,-0.299708718261053,0.202735189047955,0.961471064499038
"Mlxip","Mlxip","MA0622.1","1.65659",0.0485752,0.837465,0.823892,0.0824709,79,"False",0.479530501123595,0.01567056010237,0.0412464270132939,NA,NA,NA,0.919820957818775,0.584368247130429
"MAX","MAX::MYC","MA0059.1","1.65533",0.0487279,0.806872,0.797632,0.0528631,79,"False",0.479530501123595,3.3880737270915e-07,0.0516050647101421,0.415007841632972,0.416317096203809,-0.737430374128988,0.684850696471875,0.748818357339388
"MYC","MAX::MYC","MA0059.1","1.65533",0.0487279,0.806872,0.797632,0.0528631,79,"False",0.479530501123595,NA,NA,NA,NA,NA,NA,NA
"Ahr","Ahr::Arnt","MA0006.1","1.65235",0.0490732,0.925391,0.913397,0.0608597,79,"False",0.479530501123595,1.5596867764787e-10,0.00575697917429244,0.715139405512206,0.716153926596011,-0.317537630122562,0.508364865099555,0.66163177394438
"Arnt","Ahr::Arnt","MA0006.1","1.65235",0.0490732,0.925391,0.913397,0.0608597,79,"False",0.479530501123595,0.0174937797992605,0.116806791524892,NA,NA,NA,0.652439793633765,0.744383070556009
"ZNF75D","ZNF75D","MA1601.1","1.65177",0.0490778,0.847701,0.837522,0.0599953,79,"False",0.479530501123595,3.71606021965651e-06,0.00801447457952983,0.82267416840684,0.822846198607395,-0.159163259441346,0.612668489914153,0.302249293310612
"FOSL2","FOSL2::JUND","MA1145.1","1.64013",0.0502396,0.766993,0.756443,0.0674048,79,"False",0.479530501123595,0.261376706033256,0.248725718329522,NA,NA,NA,0.970493389204502,0.701508261376025
"JUND","FOSL2::JUND","MA1145.1","1.64013",0.0502396,0.766993,0.756443,0.0674048,79,"False",0.479530501123595,0.105116966589457,0.0261799615490139,0.667368639048203,0.668247069610718,0.724600956797381,0.939359027733481,0.961870328545092
"PAX9","PAX9","MA0781.1","1.63581",0.0507507,0.72938,0.722568,0.0378034,79,"False",0.479530501123595,NA,NA,NA,NA,NA,NA,NA
"KLF5","KLF5","MA0599.1","1.62519",0.0519253,0.938781,0.92756,0.052732,79,"False",0.479530501123595,NA,NA,NA,NA,NA,NA,NA
"TBX18","TBX18","MA1565.1","1.61934",0.0524686,0.823618,0.815464,0.0488603,79,"False",0.479530501123595,NA,NA,NA,NA,NA,NA,NA
"NKX2-3","NKX2-3","MA0672.1","1.61356",0.053139,0.871079,0.862678,0.0447161,79,"False",0.479530501123595,NA,NA,NA,NA,NA,NA,NA
"E2F4","E2F4","MA0470.2","1.61042",0.0535216,0.755472,0.747338,0.0376961,79,"False",0.479530501123595,0.0117361814400315,0.0144022076630948,0.421846293035785,0.423099506217322,0.313543270381471,0.362763337930231,0.474596970455689
"BHLHE40","BHLHE40","MA0464.2","1.60721",0.0537509,0.82072,0.809721,0.0710986,79,"False",0.479530501123595,0.669000201118665,0.742857268372954,NA,NA,NA,0.454747857318843,0.690151744369153
"KLF15","KLF15","MA1513.1","1.55321",0.0600351,0.877564,0.860109,0.0876986,79,"False",0.523825358241758,NA,NA,NA,NA,NA,NA,0.946483405777615
"ZNF282","ZNF282","MA1154.1","1.55277",0.0600354,0.747044,0.7402,0.0399741,79,"False",0.523825358241758,0.00572447674796739,9.56396325494025e-05,0.501817767553551,0.504465761590049,0.606309935070548,0.31331106567371,0.319432965105513
"CENPB","CENPB","MA0637.1","1.52958",0.0628845,0.789094,0.78272,0.0347103,79,"False",0.529373715463918,3.27157912855731e-09,0.000564328840066553,0.883148430496944,0.883273393265773,-0.137749813406483,0.00307062785573352,0.190008692966558
"ARNT","ARNT::HIF1A","MA0259.1","1.52692",0.0632173,0.900956,0.890666,0.0555335,79,"False",0.529373715463918,0.0174937797992605,0.116806791524892,NA,NA,NA,0.652439793633765,0.744383070556009
"HIF1A","ARNT::HIF1A","MA0259.1","1.52692",0.0632173,0.900956,0.890666,0.0555335,79,"False",0.529373715463918,0.000302344691196479,0.00121092221392744,0.61652393386657,0.617317541563475,0.423643696333801,0.484306763894514,0.564965483098805
"TBX3","TBX3","MA1566.1","1.52209",0.0638482,0.888539,0.881918,0.0326944,79,"False",0.529373715463918,NA,NA,NA,NA,NA,NA,NA
"ETV3","ETV3","MA0763.1","1.51509",0.0645886,0.84408,0.835857,0.0574055,79,"False",0.529373715463918,0.00250706931348498,0.00184111286956937,0.799273361705527,0.799619672407888,0.369060773288238,0.371919648238596,0.329456421841823
"Atf1","Atf1","MA0604.1","1.51516",0.0646716,0.848861,0.839285,0.0550627,79,"False",0.529373715463918,5.9742164859843e-07,1.16775240718079e-05,0.65991239379855,0.661082812336543,0.285320519749345,0.0102641499516712,0.404057918177016
"NFYB","NFYB","MA0502.2","1.50745",0.0656641,0.812963,0.803189,0.0545914,79,"False",0.532013218367347,1.75633598383374e-05,0.203297302239033,0.488317555508378,0.490328599411045,-0.889141432686776,0.683186410497695,0.420344016712901
"FOSL2","FOSL2::JUNB","MA1139.1","1.49389",0.0673048,0.759096,0.74857,0.0753386,79,"False",0.534400112,0.261376706033256,0.248725718329522,NA,NA,NA,0.970493389204502,0.701508261376025
"JUNB","FOSL2::JUNB","MA1139.1","1.49389",0.0673048,0.759096,0.74857,0.0753386,79,"False",0.534400112,0.675190526055226,0.351601298971008,NA,NA,NA,0.938704374647668,0.961898088388136
"SREBF2","SREBF2","MA0828.1","1.45871",0.0720698,0.790045,0.780952,0.060462,79,"False",0.566568526732673,0.0400072292907096,0.857774172906381,NA,NA,NA,0.669729197103397,0.484769765369795
"FOS","FOS::JUN","MA1126.1","1.44508",0.0739407,0.756796,0.74861,0.0572516,79,"False",0.567234363461538,NA,NA,NA,NA,NA,NA,NA
"JUN","FOS::JUN","MA1126.1","1.44508",0.0739407,0.756796,0.74861,0.0572516,79,"False",0.567234363461538,8.243298215986e-07,0.034828872650036,0.694164762928851,0.694682526526075,-0.303755421619273,0.0244249520408038,0.287869680210983
"NFATC4","NFATC4","MA1525.1","1.44347",0.0742977,0.870571,0.861923,0.0438222,79,"False",0.567234363461538,NA,NA,NA,NA,NA,NA,NA
"OSR1","OSR1","MA1542.1","1.43049",0.0760678,0.840994,0.833809,0.0449696,79,"False",0.575128656603774,NA,NA,NA,NA,NA,NA,NA
"HIF1A","HIF1A","MA1106.1","1.42574",0.0767804,0.843432,0.833935,0.0554171,79,"False",0.575128656603774,0.000302344691196479,0.00121092221392744,0.61652393386657,0.617317541563475,0.423643696333801,0.484306763894514,0.564965483098805
"ZBTB26","ZBTB26","MA1579.1","1.40437",0.0798849,0.835386,0.826646,0.0551051,79,"False",0.591251046017699,0.0896964803665981,0.489746918615875,NA,NA,NA,0.965372505366034,0.910906338178155
"JUND","JUND","MA0492.1","1.39553",0.0811217,0.803328,0.794849,0.0635516,79,"False",0.591251046017699,0.105116966589457,0.0261799615490139,0.667368639048203,0.668247069610718,0.724600956797381,0.939359027733481,0.961870328545092
"CTCF","CTCF","MA0139.1","1.3891",0.0821757,0.786241,0.779428,0.0437534,79,"False",0.591251046017699,4.84807928799479e-10,0.000677365593218238,0.980178453189282,0.97919213546869,0.035084249109359,0.224347289636522,0.0880201141891233
"TCFL5","TCFL5","MA0632.2","1.38489",0.0828437,0.846105,0.835763,0.0625624,79,"False",0.591251046017699,0.503071333960818,0.946498457928511,NA,NA,NA,0.773359736245657,0.57996203594556
"ZNF740","ZNF740","MA0753.2","1.37901",0.0837629,0.813746,0.803708,0.058216,79,"False",0.591251046017699,0.0968876275054715,0.730481077452253,NA,NA,NA,0.548268878590269,0.542212727547952
"JUN","JUN","MA0488.1","1.37597",0.0841227,0.803097,0.794577,0.062761,79,"False",0.591251046017699,8.243298215986e-07,0.034828872650036,0.694164762928851,0.694682526526075,-0.303755421619273,0.0244249520408038,0.287869680210983
"NFYA","NFYA","MA0060.3","1.37635",0.0841453,0.828705,0.818924,0.0611331,79,"False",0.591251046017699,0.775043217150689,0.678386797817695,NA,NA,NA,0.609052322024312,0.289852380605596
"TFEB","TFEB","MA0692.1","1.35329",0.0876615,0.829913,0.821723,0.0638005,79,"False",0.610554657894737,0.00156723814897942,0.0385875525233122,0.880354343599455,0.880771143360916,-0.215674637439368,0.317299706015958,0.642770330445658
"FERD3L","FERD3L","MA1485.1","1.33721",0.0903779,0.777136,0.770135,0.0431507,79,"False",0.624000457391304,NA,NA,NA,NA,NA,NA,NA
"ZIC4","ZIC4","MA0751.1","1.31173",0.0945981,0.812946,0.806296,0.0423268,79,"False",0.638917643410853,NA,NA,NA,NA,NA,NA,NA
