"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","edgeR_DE_BHQ"
"KLF15","KLF15","MA1513.1","9.64638",1.00728e-22,0.891989,0.860109,0.0888595,930,"False",7.9978032e-20,NA,NA,NA,NA,NA,NA,0.946483405777615
"ZBTB14","ZBTB14","MA1650.1","9.46568",6.08228e-22,0.843488,0.820331,0.0650956,930,"False",2.41466516e-19,7.75786510956457e-05,0.55090117228194,0.560525784570717,0.561534407478836,-0.888922123687766,0.736621036426304,0.612394195387746
"TCFL5","TCFL5","MA0632.2","8.77792",3.31775e-19,0.855074,0.835763,0.0645684,930,"False",8.78097833333333e-17,0.503071333960818,0.946498457928511,NA,NA,NA,0.773359736245657,0.57996203594556
"ZBTB33","ZBTB33","MA0527.1","8.66064",9.9515e-19,0.788276,0.772676,0.0517428,930,"True",1.97537275e-16,0.0393061091653766,0.00595092762497336,0.568551551213686,0.570581068380403,0.725928074085639,0.253906250737912,0.360091955411573
"TFDP1","TFDP1","MA1122.1","8.32195",2.18605e-17,0.867872,0.849665,0.0584108,930,"False",2.95079513333333e-15,0.0467095530159475,0.613466894354662,NA,NA,NA,0.261502758518537,0.0998171693916154
"SP9","SP9","MA1564.1","8.31399",2.22982e-17,0.8833,0.865208,0.0600974,930,"True",2.95079513333333e-15,7.32924474384911e-10,0.00275317132415032,0.679008224708813,0.679372112688405,-0.210967358919731,0.372032564657556,0.54611810670305
"HINFP","HINFP","MA0131.2","8.25871",3.61762e-17,0.834785,0.819262,0.0515586,930,"False",4.10341468571429e-15,0.00552671008612972,0.786868709464686,NA,NA,NA,0.000184101194557793,0.00141924431989144
"NRF1","NRF1","MA0506.1","8.18788",6.33872e-17,0.863412,0.844252,0.066053,930,"False",6.2911796e-15,3.27021819603819e-06,0.151681117684159,NA,NA,NA,0.291124951068865,0.910530018183984
"CTCFL","CTCFL","MA1102.2","8.02214",2.57758e-16,0.857493,0.839568,0.0626218,930,"False",2.27399835555556e-14,NA,NA,NA,NA,NA,NA,NA
"HES1","HES1","MA1099.2","7.96598",3.83708e-16,0.869775,0.85239,0.064019,930,"False",2.80344798181818e-14,NA,NA,NA,NA,NA,NA,NA
"SP4","SP4","MA0685.1","7.96476",3.88387e-16,0.808247,0.791926,0.0600325,930,"False",2.80344798181818e-14,0.00091696099579803,0.0899023015098918,NA,NA,NA,0.553031319078968,0.985242068935939
"EGR1","EGR1","MA0162.4","7.90415",7.37723e-16,0.830781,0.812172,0.0621883,930,"False",4.88126718333333e-14,NA,NA,NA,NA,NA,NA,NA
"SP3","SP3","MA0746.2","7.855",1.02155e-15,0.869668,0.852593,0.0608689,930,"False",6.23931307692308e-14,0.0670760985687042,0.00945206584004817,NA,NA,NA,0.0785093885259795,0.190497264315216
"SP2","SP2","MA0516.2","7.80314",1.47149e-15,0.803518,0.78945,0.0525365,930,"False",8.34545042857143e-14,0.14624771027964,0.303469038840229,NA,NA,NA,0.985075302460173,0.936367154571206
"ZNF148","ZNF148","MA1653.1","7.77296",2.07328e-15,0.870806,0.850645,0.0702644,930,"False",1.09745621333333e-13,2.44981491718035e-09,0.053941903498311,NA,NA,NA,0.0698440925145701,0.653738983977228
"SP1","SP1","MA0079.4","7.72232",2.79447e-15,0.82894,0.812589,0.0621558,930,"False",1.3867557375e-13,0.000994485006887694,0.024800432107589,0.854719423344633,0.855329011820536,-0.155203394594898,0.441069173275815,0.748818357339388
"KLF16","KLF16","MA0741.1","7.68718",4.02805e-15,0.887748,0.870747,0.0610242,930,"False",1.88133629411765e-13,0.669556299344003,0.106800470575565,NA,NA,NA,0.457423030253991,0.928963320862248
"ZIC3","ZIC3","MA0697.1","7.64785",5.36005e-15,0.798243,0.786209,0.0443413,930,"False",2.3162442631579e-13,NA,NA,NA,NA,NA,NA,NA
"Gmeb1","Gmeb1","MA0615.1","7.64031",5.54265e-15,0.828329,0.817285,0.0415427,930,"False",2.3162442631579e-13,0.0242344839257439,0.07399055695837,0.743146246056045,0.745067477059806,0.393481609330756,0.253536387034573,0.409823938626197
"ZIC5","ZIC5","MA1584.1","7.62991",6.26214e-15,0.786589,0.774101,0.0456521,930,"False",2.48606958e-13,NA,NA,NA,NA,NA,NA,NA
"KLF14","KLF14","MA0740.1","7.46472",2.23245e-14,0.832642,0.818128,0.0552511,930,"False",8.44078714285714e-13,NA,NA,NA,NA,NA,NA,NA
"KLF11","KLF11","MA1512.1","7.2479",1.2139e-13,0.879943,0.865068,0.0566189,930,"False",4.38107545454545e-12,NA,NA,NA,NA,NA,NA,NA
"SP8","SP8","MA0747.1","7.10522",3.47651e-13,0.882765,0.870403,0.0485314,930,"True",1.20015171304348e-11,0.0738561260032527,0.0233201675346577,0.489674303021828,0.491509014189112,0.610156461538826,0.254434911662061,0.3759277822583
"KLF5","KLF5","MA0599.1","7.06658",4.69558e-13,0.941914,0.92756,0.0558487,930,"False",1.55345438333333e-11,NA,NA,NA,NA,NA,NA,NA
