"Ensembl","Gene_Symbols","acrophase","amplitude","p_statistic","amp_ratio","sin_coff","cos_coeff","BHQ","Bonf"
"ENSG00000230368","FAM41C","5.91340864583488","0.324010643948668","1.17039842538183e-08","0.238578103211862","-0.117099779020455","0.302110144062379",2.532710126816e-08,0.000184887839257568
"ENSG00000188976","NOC2L","2.92889692157611","1.79170865097154","0.000399373349848836","0.0706843488200682","0.378221899536266","-1.75133323062101",0.000573119622779984,1
"ENSG00000187961","KLHL17","6.19340052380002","0.992638600252696","3.74107993624321e-05","0.14415021528694","-0.0890041475063166","0.988640304882573",5.90860225483243e-05,0.59097839752834
"ENSG00000188290","HES4","2.2588489714253","6.41414929139458","1.0156184039999e-19","0.333286168711934","4.95482844497935","-4.07320343380012",5.5261241545852e-19,1.60437239279864e-15
"ENSG00000187608","ISG15","2.80917367132742","0.945479462949134","0.00833260212938533","0.263534036174051","0.308538821573029","-0.893719872466149",0.0104609485685369,1
"ENSG00000188157","AGRN","2.15250612425087","0.622095266733261","0.212917147676685","0.0492120391103347","0.519775785540108","-0.341812307645719",0.230440742666271,1
"ENSG00000131591","C1orf159","0.00315597284038363","7.88826209380905","6.75467025634311e-32","0.238551091272031","0.0248950995992929","7.88822280964734",1.55771570860514e-30,1.06703526039452e-27
"ENSG00000186891","TNFRSF18","3.01574923835396","0.121522139381373","0.204275427015971","0.0830734527233787","0.0152524288614697","-0.1205611619621",0.221660868290376,1
"ENSG00000186827","TNFRSF4","2.57229452881021","0.208644298154753","0.000327781173925792","0.165263401377241","0.112467832463391","-0.175736819743262",0.000473922028563669,1
"ENSG00000078808","SDF4","2.96481260617991","2.88341132495096","3.79181357337438e-05","0.0774796445387532","0.507078793842505","-2.83847352738945",5.9845418142267e-05,0.598992790185951
"ENSG00000176022","B3GALT6","2.72945233813067","1.88285294857796","3.09161677598592e-25","0.26172849985274","0.754216931188533","-1.72519333602854",2.97250579490259e-24,4.88382702102496e-21
"ENSG00000184163","C1QTNF12","2.91057210517137","0.115145697764409","0.0534754599995082","0.134309653966642","0.0263650345834128","-0.112086648023162",0.061777961211952,1
"ENSG00000160087","UBE2J2","6.09921676138241","0.997588605662416","0.00996383798511063","0.0390110263274669","-0.182491459538141","0.980754756982153",0.0124139641878882,1
"ENSG00000162572","SCNN1D","0.192116578245375","1.67195725244525","4.77692604381465e-06","0.164408423260576","0.319238433679001","1.64119708641785",8.17829204661754e-06,0.07546110071414
"ENSG00000131584","ACAP3","0.408816258844447","14.4668718150184","2.99418131355123e-10","0.168892689676985","5.75092029262966","13.2746862825452",7.36172485761382e-10,4.72990822101688e-06
"ENSG00000169972","PUSL1","2.60398678161763","0.862916920273186","9.33358723841585e-23","0.252939963164359","0.441883407555269","-0.741191382451998",6.76342557822271e-22,1.47442677605255e-18
"ENSG00000127054","INTS11","5.60255914454759","2.92686951521146","5.94615858878319e-07","0.0885594776153154","-1.84181982715296","2.27470105362889",1.09977130578396e-06,0.00939314672270081
"ENSG00000224051","CPTP","2.94320115943443","1.51650596208802","4.20794089665212e-12","0.188934564511214","0.298892150978753","-1.48675950144326",1.21834388461169e-11,6.64728423444135e-08
"ENSG00000107404","DVL1","3.16538473155755","2.47863130393807","3.00817561989378e-08","0.0990064310127967","-0.0589662257696766","-2.47792980632628",6.25676764548546e-08,0.00047520150267462
"ENSG00000162576","MXRA8","0.624026418949943","0.0760848709327582","0.0111398269737875","0.137969109726124","0.0444569574847204","0.0617453359862609",0.0138031097893891,1
"ENSG00000175756","AURKAIP1","2.76921849537216","6.92478061077049","1.06872182713396e-18","0.330298440964063","2.51942841090968","-6.45019898837269",5.28737823464928e-18,1.68825987032352e-14
"ENSG00000221978","CCNL2","0.260551903764374","2.029878281649","0.0233420618939877","0.037978009805258","0.522924793631848","1.96136572278486",0.0280150852255982,1
"ENSG00000242485","MRPL20","2.67178196444428","4.207472491443","3.76499843834271e-11","0.177362129876823","1.90479640118069","-3.75160971268316",1.00228649023424e-10,5.94756803304998e-07
"ENSG00000235098","ANKRD65","2.96057735366673","4.1186298398288","3.95346491370654e-35","0.533586625077128","0.741470247195928","-4.05133726441671",1.56523521909329e-33,6.24528852418222e-31
"ENSG00000179403","VWA1","0.291888575513913","0.193490164439033","0.116906364789747","0.0744983946725935","0.0556790064086437","0.185305941566887",0.130237647713937,1
"ENSG00000215915","ATAD3C","5.75403231769733","0.602998926359753","8.11893800532658e-08","0.238228228995316","-0.304395277056023","0.520529749867384",1.62884002629088e-07,0.00128254863670144
"ENSG00000160072","ATAD3B","0.640392941661346","1.90353780857241","0.000335602090980155","0.107374110903904","1.13738396499412","1.52637279353338",0.000484554083832694,1
"ENSG00000197785","ATAD3A","1.39909879379668","1.24613483172298","2.18461047580581e-08","0.0947629604292346","1.22781185754564","0.21290857498843",4.61923326011302e-08,0.000345102916863044
"ENSG00000205090","TMEM240","2.75716750460845","5.06959765444373","3.17144502208989e-21","0.210096812442112","1.90123246959873","-4.69958886228198",1.98256102152568e-20,5.0099317013954e-17
"ENSG00000160075","SSU72","3.07997041571291","12.6835482838931","1.63628387410365e-21","0.236057712220659","0.781094068938751","-12.6594742831334",1.05719330712537e-20,2.58483763592154e-17
"ENSG00000228594","FNDC10","2.70247118574675","2.71194117204699","1.84425444882477e-10","0.203922208892508","1.15296673087367","-2.45464715145417",4.62219380106059e-10,2.91336875280849e-06
"ENSG00000197530","MIB2","0.367735019124232","3.86938697063534","2.0825777912532e-05","0.105540598305118","1.39105546026628","3.6106952564549",3.36557354152704e-05,0.328984813684268
"ENSG00000189409","MMP23B","0.314803798733423","0.113452721071791","0.229989765477082","0.064907259926337","0.0351283567009857","0.107877330677404",0.248148919147699,1
"ENSG00000248333","CDK11B","1.10903131493282","0.764802627347053","0.144101546962425","0.0551022424389815","0.684702958003183","0.340741717578941",0.158809274268552,1
"ENSG00000189339","SLC35E2B","5.29094025067399","1.33759342283832","0.0323827509188624","0.05361499491244","-1.11990773147247","0.731411537924116",0.0383701107309683,1
"ENSG00000008128","CDK11A","6.00871784756048","1.54574745593382","0.00250355002767047","0.124515469311133","-0.418950685106125","1.48788961988952",0.00331310880347746,1
"ENSG00000215790","SLC35E2A","0.565536705933602","1.49174099858959","0.101932925178963","0.0473186285989531","0.799377808770419","1.25947859279881",0.114249639495677,1
"ENSG00000008130","NADK","3.15708523191886","0.877884966432603","2.47215108214273e-05","0.0579148646490688","-0.0136001575395349","-0.877779613572378",3.96714451895659e-05,0.390525706446087
"ENSG00000078369","GNB1","2.81916254796991","34.4246897582939","1.28963471494078e-25","0.146676323605388","10.9082330938246","-32.6507230505785",1.29020643394044e-24,2.03723595919195e-21
"ENSG00000169885","CALML6","0.115962301762874","0.127399937225795","0.000541491147012291","0.181629343558754","0.0147405015141151","0.126544306945231",0.000767237927110338,1
"ENSG00000178821","TMEM52","5.82175220146567","0.0824625735441433","0.0886838199728568","0.0856596971472655","-0.0367149591109317","0.073838254401129",0.100088469251355,1
"ENSG00000142609","CFAP74","0.0565340007095343","2.0340339294696","5.78998814418145e-07","0.106474149325434","0.114930831167304","2.03078431407196",1.07251926258952e-06,0.00914644427136344
"ENSG00000187730","GABRD","2.84507247852494","20.8821479283136","7.08227559898747e-40","0.30812845544167","6.10163875738992","-19.9708313941681",7.03639670674246e-38,1.11878707637205e-35
"ENSG00000067606","PRKCZ","4.43731990216586","1.34777512848369","0.547364145071347","0.0148199306463112","-1.29710745975733","-0.366073810591665",0.563120247456338,1
"ENSG00000162585","FAAP20","2.50472500358152","1.96633678446627","7.45717199043113e-16","0.16099098967021","1.16934129880557","-1.58086092900446",2.88798592627704e-15,1.17800945932841e-11
"ENSG00000157933","SKI","0.186350442915888","9.01994348299389","2.00152296290006e-13","0.169443693681217","1.67115888638308","8.86378070649691",6.43821181937126e-13,3.16180582449322e-09
"ENSG00000116151","MORN1","0.00106141680747782","1.76275685119904","2.61080441662639e-06","0.0971080510203296","0.00187101939804245","1.76275585823322",4.57187422341726e-06,0.0412428773694471
"ENSG00000157916","RER1","2.91828706518339","4.03290023983789","5.86598225911153e-23","0.134483415654028","0.893103261758891","-3.93276631753275",4.33013653024228e-22,9.26649217471848e-19
"ENSG00000157911","PEX10","2.73691137891304","2.36268830290322","2.55904283686531e-33","0.285322089447348","0.930251340211772","-2.17184908792252",7.32340574165966e-32,4.04251996939613e-29
"ENSG00000149527","PLCH2","0.79787221020676","1.64470533609669","0.000267332836846646","0.127343957204481","1.17739853566853","1.1483850969037",0.000389437184034163,1
"ENSG00000157881","PANK4","3.53779366097401","2.12442363304609","9.3390480424299e-11","0.211191007216855","-0.819849998514747","-1.9598524823517",2.40588620232004e-10,1.47528941926265e-06
"ENSG00000197921","HES5","2.92179615433913","0.262479750758276","2.38133525514554e-08","0.221184808620654","0.0572287284962092","-0.25616497065921",5.00904833895261e-08,0.000376179530255341
"ENSG00000157873","TNFRSF14","0.878701130269157","0.0928675565759144","0.937881260138248","0.0098542637618201","0.0714997210937654","0.0592635887193344",0.940381483110372,1
"ENSG00000157870","PRXL2B","3.00713953371639","2.34470050576149","0.000123883410145364","0.124685264546191","0.314303320003868","-2.32353908612546",0.000186273199130622,1
"ENSG00000215912","TTC34","0.276078392324223","0.533581544263406","9.88617205506506e-05","0.207851908860421","0.1454461389194","0.513375773729107",0.000150093089816302,1
"ENSG00000177133","PRDM16-DT","0.0892060906515612","0.277472289947689","4.23342091033108e-05","0.275586319490141","0.0247194027456304","0.27636899756795",6.64698838291423e-05,0.668753501205001
"ENSG00000142611","PRDM16","5.42757972963638","0.20294207470392","0.00916440995236031","0.0880985843065725","-0.153214806540822","0.133081586787166",0.0114614982200488,1
"ENSG00000130762","ARHGEF16","1.87594973276989","0.0438937717854601","0.29625285749127","0.0673022418486419","0.0418659179174531","-0.0131874227384709",0.315123990962871,1
"ENSG00000162591","MEGF6","0.218094842404979","0.0745270391055202","0.653304460448316","0.0283200060053434","0.0161254146852919","0.0727616008555551",0.666812079970411,1
"ENSG00000158109","TPRG1L","3.05533271178655","18.3885844938476","7.66079798484225e-36","0.399944114593557","1.58423186862437","-18.3202142201942",3.4775179817975e-34,1.21017625766553e-31
"ENSG00000116213","WRAP73","2.50109640580494","0.684831859747244","2.51960335081239e-07","0.078667677751002","0.40925100364196","-0.549097707282517",4.83036093844458e-07,0.00398021741327833
"ENSG00000235169","SMIM1","2.91290923994033","0.146321568552834","1.57708314801313e-14","0.421741819981176","0.033170428038116","-0.142512189399819",5.5068926810706e-14,2.49131824891634e-10
"ENSG00000130764","LRRC47","2.99392764280707","7.89259855619303","5.65274442924216e-39","0.296509907278245","1.16122979663117","-7.80670592046582",4.48725646978585e-37,8.92964037487384e-35
"ENSG00000116198","CEP104","6.02556703132282","2.88840410856085","2.62903246318174e-11","0.0891817857679505","-0.735902256869381","2.79308541986917",7.08354525343373e-11,4.15308258208819e-07
"ENSG00000169598","DFFB","5.91966572613314","2.53254622275252","1.87813069073203e-15","0.148543432343409","-0.900487353814433","2.36704729483767",7.06064505509136e-15,2.96688305214939e-11
"ENSG00000198912","C1orf174","3.28441363117922","1.08302498011509","6.26290793123335e-11","0.147414750354862","-0.154153370831114","-1.07199806241182",1.63394147959857e-10,9.89351565896932e-07
"ENSG00000196581","AJAP1","0.309615155488913","17.2970024213204","4.41259333845728e-17","0.195859785062168","5.2702602252261","16.4745455148712",1.89985655403679e-16,6.97057369676097e-13
"ENSG00000131697","NPHP4","0.306404716564768","6.94455270438238","1.11137828619731e-10","0.135675060941724","2.09470462078339","6.62110450118508",2.84453058766346e-10,1.75564427870589e-06
"ENSG00000069424","KCNAB2","3.02137203144564","14.2439149922762","7.19137877841795e-17","0.108433757345867","1.70829038667597","-14.1411052701683",3.05628761266259e-16,1.13602210562668e-12
"ENSG00000116254","CHD5","0.263103540093392","19.7140030650893","5.8190912803459e-10","0.133321373009005","5.12718911553157","19.0355942545517",1.39617534865772e-09,9.19241849556242e-06
"ENSG00000116251","RPL22","2.88474369449053","20.4872598357369","1.14523641117548e-27","0.299197565736611","5.2044635624245","-19.8151804080709",1.50635300477428e-26,1.80912995873391e-23
"ENSG00000158286","RNF207","0.755607823847648","1.06012695258746","0.000454128849342708","0.0912264307858659","0.726962130373432","0.771618569375628",0.000647987845096808,1
"ENSG00000116237","ICMT","3.02434205913418","3.53625185427918","4.10525931685795e-26","0.205852339100925","0.413678255367223","-3.51197202123384",4.39368437861823e-25,6.4850781428405e-22
"ENSG00000158292","GPR153","1.14443619862741","0.60304252455845","0.00483663388700889","0.120721918730075","0.549056397678067","0.249393982675228",0.00620668606929971,1
"ENSG00000097021","ACOT7","2.14242973547501","5.16804154341089","3.23929144879932e-06","0.0749653456803595","4.34641809600002","-2.79594404972352",5.62566919708475e-06,0.0511710870166829
"ENSG00000215788","TNFRSF25","5.77211627102353","11.391863849525","2.8771238856329e-12","0.188922029109686","-5.57187410805052","9.93623575053202",8.44951218095239e-12,4.54499260213429e-08
"ENSG00000171680","PLEKHG5","0.676274192702674","2.72257664768799","0.00183733967643493","0.0842576690102333","1.70403780044752","2.12336496561047",0.00245990803192157,1
"ENSG00000162408","NOL9","0.585855716999473","2.63433704933696","5.9565464064049e-10","0.0849367153998093","1.45655815163326","2.19503303857142",1.42872097755813e-09,9.40955635819782e-06
"ENSG00000173662","TAS1R1","2.91813037628896","0.0824837932487916","0.0894364879324411","0.136783003307602","0.0182789971816344","-0.0804329187008851",0.100894679702119,1
"ENSG00000204859","ZBTB48","1.57083355267447","1.14765867936554","9.79514358552595e-07","0.116522875644161","1.14765867857034","-4.27226037757511e-05",1.77977781482118e-06,0.0154733883220553
"ENSG00000162413","KLHL21","4.09128880084203","3.39588808932366","4.09959190248692e-10","0.148190625624295","-2.76166768722599","-1.97616990680006",9.96633630095197e-10,6.47612532835859e-06
