"Gene_Symbols","p_cogdx","p_ceradsc","p_braak","acrophase_cog1","acrophase_cog2","acrophase_cog4","acrophase_cog5","acrophase_cerad1to2","acrophase_cerad3to5","acrophase_braak0to3","acrophase_braak3to5","acrophase_braak5to7","amplitude_cog1","amplitude_cog2","amplitude_cog4","amplitude_cog5","amplitude_cerad1to2","BHQ_cogdx","Bonf_cogdx","BHQ_cerad","Bonf_cerad","BHQ_braak","Bonf_braak"
"FAM41C","0.603309507012855","0.980902928622707","0.73008801894227","5.50164970758289","0.148066771833426","5.58742717942579","5.62758277394638","6.21792765566349","5.29436168841482","5.70726873363076","0.405112994142794","0.615546800470253","0.393770083486903","0.35984725221381","0.287303327262459","0.376842340925595","0.492333176143997",0.803713294101723,1,0.999585695326807,1,0.931343268205527,1
"HES4","0.557454440598055","0.87621626489916","0.191753256659869","2.13717864924031","1.60691160262763","2.0783989468848","2.12948280970779","3.00599173277331","2.09187846993082","1.92540567220875","5.11945110251237","4.0400153494747","5.12910979809252","4.32396889594558","9.44386032382667","5.031209933555","5.15027318735023",0.779163985717627,1,0.999585695326807,1,0.735989682642954,1
"ISG15","0.286966951205246","0.815259724711651","0.970710881152889","2.99258318939967","0.983827431241365","2.79957078412321","3.22271707381394","2.28904189413732","2.96028375227267","3.00994892616123","0.737603989295654","1.53650988711343","0.668038837087416","0.875198820652261","0.715122943401204","0.738730798966893","0.582064672322721",0.619420554225359,1,0.999585695326807,1,0.991582995046604,1
"C1orf159","0.431037009235886","0.34264057488217","0.49402988432885","0.0336643107399315","0.328258383104891","0.0965779426021254","6.27027217090075","5.9627245249538","0.084347112498143","0.110953313840827","7.92097365045524","7.1761147692411","8.29608010870226","4.96196408066254","2.53459145038167","8.09112333431465","8.13910998037739",0.712174172734617,1,0.999585695326807,1,0.859492452317969,1
"TNFRSF4","0.536095998113308","0.341558400590539","0.733401230679954","3.60150088933603","3.43473178286235","3.45501027575029","3.60037431527986","2.57501341962241","3.87077386457138","3.09263545217403","0.225759318365109","0.668611221502401","0.192108470535924","0.637814967734586","0.195583651877868","0.257799278107957","0.290798427421971",0.764477553737901,1,0.999585695326807,1,0.931343268205527,1
"B3GALT6","0.0169136723428825","0.975423268957675","0.458576648586839","2.73801764713957","1.0994152342462","2.68755777557645","2.61674332828635","2.08997417589576","2.77434449062255","2.58024737258422","1.70008236818635","2.57934492823915","1.61381890242156","1.52109358263925","0.711558993906786","1.50433883999177","1.87510290049628",0.338599257612534,1,0.999585695326807,1,0.847911008203558,1
"PUSL1","0.0226700772427882","0.423042428620261","0.0769501525865634","2.85450340032089","0.998907133446005","2.80411172724599","2.12564274800602","2.88257848412","2.16127496124133","3.02021948610665","0.709459825584372","1.27095728247589","0.691427312717262","0.477255410176036","0.939220474615832","0.497981342269713","0.876057416619381",0.367502461757902,1,0.999585695326807,1,0.704884612888494,1
"CPTP","0.0404330828869859","0.864194053956612","0.742032749646871","3.1831454944279","0.892197060696288","3.15162796148876","3.03201245045998","2.88818829344571","3.1953832611716","3.0721593206369","1.75396808782287","2.47688096155946","1.64814577724054","1.20574736836844","0.698079870305127","1.35318991029867","1.90565024706378",0.410695437354496,1,0.999585695326807,1,0.934102580654365,1
"AURKAIP1","0.397109696998233","0.352090323752643","0.40854389629496","3.04728829111508","2.62847664581717","2.91579032711103","3.46270520877647","2.44133432060702","3.24016894737041","2.85247181360857","5.25778343221217","1.29354549288097","4.9555491067925","5.11045450797979","5.03889042873395","4.32983582595737","5.86559250955584",0.691403222517852,1,0.999585695326807,1,0.823147023160563,1
"ANKRD65","0.106532871410101","0.291549843213275","0.982883711360596","2.96865096626648","2.23316976763973","2.90786785498978","3.19306612299218","2.97941728245253","2.9845736363447","2.92390481462263","2.71793657117364","0.490733339900247","2.65367570552926","1.56527500735944","1.99926933340525","2.39984519959391","2.67091864868425",0.497701715076706,1,0.999585695326807,1,0.994938357453731,1
