"Gene_Symbols","p_val","acrophase_AD","acrophase_CTL","amplitude_AD","amplitude_CTL","BHQ","Bonf","Log_AD_CTL_ampRatio"
"PER3",0.658148902435704,"5.70769564764826","5.59989801844365","7.66259605725617","9.00674250477471",0.943477590785345,1,-0.161622626843607
"NPAS2",0.515791232131558,"0.465619794237723","0.449126045929838","24.4467828362719","29.2006725230659",0.943477590785345,1,-0.177693114696134
"PER2",0.758850982116396,"1.67783335201919","1.6344209127795","9.7437771139697","9.31845430438812",0.943477590785345,1,0.0446320687491508
"NR1D2",0.672031935021114,"3.54792811745624","3.48115549161087","22.2170549574878","18.9785354634877",0.943477590785345,1,0.157551607147883
"CLOCK",0.342007584749663,"5.09467836715184","5.34790684249787","12.8399466902115","11.1297013509182",0.943477590785345,1,0.142943814274661
"ARNTL",0.410531692544694,"5.10376498584089","5.42592835707248","9.93777382229963","8.77572136048363",0.943477590785345,1,0.124354061749984
"CRY2",0.536537278032887,"1.92090531403349","1.77162634932404","3.43024444406233","1.80850892061279",0.943477590785345,1,0.640128820127991
"ARNTL2",0.99586714940735,"0.191683346142807","0.200664397124009","13.0628070006351","13.0717876896872",0.99586714940735,1,-0.000687264486938082
"CRY1",0.726051149569007,"1.76164106847959","1.25532610006271","1.23742328910065","1.77430692708101",0.943477590785345,1,-0.360378658126479
"FBXL3",0.505472951693078,"3.76935897068538","3.67147262076795","6.47117155919339","5.01736969672743",0.943477590785345,1,0.254451336139305
"RORA",0.825542891937177,"5.96350355652064","6.04485589435053","230.497313745443","231.992752564171",0.943477590785345,1,-0.00646692389481593
"NR1D1",0.801628887144661,"4.30353817862919","4.62050162416392","3.25558659033169","2.46547051650539",0.943477590785345,1,0.27798980332131
"CSNK1D",0.388900660523857,"2.63165786921745","2.57846831543879","3.13108432287336","2.04195967235506",0.943477590785345,1,0.427469403136491
"DBP",0.885102245070385,"3.20815918000616","3.1219668479192","3.93955408883294","3.7463283144303",0.944109061408411,1,0.0502912972988418
"CSNK1E",0.483351310925861,"5.11265826972991","6.02866962551764","3.25100319338797","4.018263271819",0.943477590785345,1,-0.211886163747034
"TEF",0.707618581184476,"3.72245285633289","3.83159126350792","14.1737220746814","13.8200503604145",0.943477590785345,1,0.0252692297310302
