"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"NFIX","NFIX","MA0671.1","0.180038",0.428222,0.930579,0.93025,0.0345159,392,"False",1,0.974600751155988,0.567303693083187,NA,NA,NA,0.496482882890759,0.297268147770788
"EBF3","EBF3","MA1637.1","0.172348",0.431273,0.800121,0.799623,0.0532147,392,"False",1,0.0115985378699752,4.35125036282998e-05,0.711789076479266,0.71235248031676,0.544053647477009,0.787179808964753,0.859225108619946
"IKZF1","IKZF1","MA1508.1","0.145283",0.441927,0.831552,0.831165,0.0538974,392,"False",1,NA,NA,NA,NA,NA,NA,NA
"Rarg","Rarg","MA0859.1","0.10403",0.458355,0.70383,0.703576,0.0482378,392,"False",1,0.222390755312854,0.256626522136652,NA,NA,NA,0.16061188899306,0.326576445258863
"USF1","USF1","MA0093.3","0.0577026",0.476858,0.772141,0.771984,0.0569272,392,"False",1,0.000316080582545852,0.230703134528835,0.63754577989616,0.636964426425965,-1.05191082418382,0.199496313268466,0.133983961692822
"FOSL2","FOSL2::JUNB","MA1139.1","0.040981",0.483553,0.7487,0.74857,0.0685149,392,"False",1,1.68952392523563e-13,1.56217936212365e-11,0.449693635549799,0.448388864110944,0.43770832842198,0.134313724504998,0.517912131847065
"JUNB","FOSL2::JUNB","MA1139.1","0.040981",0.483553,0.7487,0.74857,0.0685149,392,"False",1,6.71748920319628e-11,3.8155471366722e-09,0.758629649188065,0.75942229034888,0.154754981778615,0.00544929074912458,0.15167485229194
"Tcf12","Tcf12","MA0521.1","0.00686066",0.49725,0.863677,0.863658,0.0517798,392,"False",1,1.14844868652337e-26,1.94160295617533e-19,0.975640635699018,0.97567972998305,0.0489128967325426,4.61861471071068e-05,0.079331704950306
"HIC2","HIC2","MA0738.1","-0.0320688",0.512856,0.904822,0.90489,0.040972,392,"False",1,1.15124985051837e-25,6.94873392662147e-15,0.950287565239612,0.95017302910977,-0.0262738389852599,0.709731690321088,0.235210329459078
"INSM1","INSM1","MA0155.1","-0.0360332",0.514438,0.856971,0.857047,0.0390159,392,"False",1,4.67605983268147e-05,0.000115764373529393,0.886109382915765,0.886017847228863,0.216262399520028,0.0955055753730643,0.218373413413307
"Znf281","Znf281","MA1630.1","-0.0419564",0.516799,0.819269,0.819408,0.0565301,392,"False",1,2.11405433609988e-13,4.2843080532503e-08,0.785779246029735,0.785754447255854,0.185192801923166,0.779560778088427,0.897809277403699
"NEUROD2","NEUROD2","MA0668.1","-0.0472539",0.518927,0.849847,0.849938,0.0349779,392,"False",1,0.599768848394794,0.144375458802089,NA,NA,NA,0.995151078025698,0.855341578350557
"THRB","THRB","MA1576.1","-0.0507797",0.520359,0.737955,0.738049,0.0371197,392,"False",1,5.10758339474485e-34,1.40542546460136e-20,0.967244994156188,0.967170446917402,-0.0521827503267828,2.56519382902382e-06,0.12664685122579
"TP53","TP53","MA0106.3","-0.0633485",0.525397,0.7078,0.707924,0.0400635,392,"False",1,0.0856611584776267,0.206280298465481,NA,0.932887607650947,NA,0.169939845342364,0.217697839327482
"ASCL1","ASCL1","MA1631.1","-0.0749707",0.53001,0.840155,0.840361,0.0493971,392,"False",1,NA,NA,NA,NA,NA,NA,NA
"Zic2","Zic2","MA1629.1","-0.0780607",0.53126,0.804693,0.804892,0.0481452,392,"False",1,NA,NA,NA,NA,NA,NA,NA
"SOX18","SOX18","MA1563.1","-0.113435",0.545351,0.919277,0.919466,0.0298224,392,"False",1,NA,NA,NA,NA,NA,NA,NA
"RELA","RELA","MA0107.1","-0.139358",0.55569,0.825819,0.826197,0.0520313,392,"False",1,0.0149342318487538,0.34873178822299,NA,NA,NA,0.213890538881729,0.5892990649623
"IRF2","IRF2","MA0051.1","-0.163626",0.565342,0.752758,0.753151,0.0486047,392,"False",1,1.69101938811262e-24,3.21702300861233e-13,0.559070884624173,0.558290839809761,0.00933949870223894,0.0029176348443526,0.749612021106502
"ESR2","ESR2","MA0258.2","-0.183533",0.573157,0.799772,0.800151,0.0390295,392,"False",1,0.0229584522941577,0.000452765461234045,0.559070884624173,0.558290839809761,0.762765792734755,0.84541352720504,0.428400896345096
"ZNF143","ZNF143","MA0088.2","-0.206381",0.582293,0.746027,0.746474,0.0482752,392,"False",1,1.50915867598267e-08,6.60903459385466e-05,0.669734388517411,0.669123427292827,-0.0627560425801016,0.0373251780199049,0.718399735823629
"RARG","RARG","MA1553.1","-0.218093",0.586733,0.740896,0.741353,0.0397018,392,"False",1,0.222390755312854,0.256626522136652,NA,NA,NA,0.16061188899306,0.326576445258863
"Prdm15","Prdm15","MA1616.1","-0.222444",0.588444,0.774154,0.774667,0.0442009,392,"False",1,1.29736271340443e-08,0.00675764322426315,0.807196198565776,0.807110192083218,-0.277193572355598,0.964842607994082,0.318438546430689
"TCF4","TCF4","MA0830.2","-0.227531",0.590376,0.838288,0.838917,0.0494084,392,"False",1,8.69975689992977e-24,4.12823011915509e-13,0.839774834906972,0.839286757914495,-0.167472857101405,0.00311919274044853,0.410565729578502
"Smad4","Smad4","MA1153.1","-0.304508",0.620265,0.854936,0.855839,0.0597578,392,"False",1,1.94554072914142e-11,8.85755138270248e-09,0.787533504463605,0.787374581503896,0.196713553990633,0.269974084972642,0.718479866478671
"GRHL1","GRHL1","MA0647.1","-0.308518",0.621785,0.748009,0.748851,0.0544341,392,"False",1,0.198165027665183,0.885949819259278,NA,NA,NA,0.638245547154183,0.758899358500097
"Npas2","Npas2","MA0626.1","-0.315385",0.624325,0.839615,0.840522,0.0536246,392,"False",1,4.93859894245086e-32,6.35153691191788e-17,0.953314410283566,0.953207099421171,0.0580864400737053,0.00663086933488604,0.997662594568194
"FOS","FOS::JUN","MA1126.1","-0.318506",0.625746,0.747796,0.74861,0.0565194,392,"False",1,1.61553907596238e-07,0.00104150169983918,0.557525972716661,0.555916968654112,0.164952456643663,0.706569654479933,NA
"JUN","FOS::JUN","MA1126.1","-0.318506",0.625746,0.747796,0.74861,0.0565194,392,"False",1,1.508912433933e-17,2.46806570041244e-14,0.884159232342222,0.883946268755348,0.053288392672907,0.000533383968000846,0.112885154565561
"TBX3","TBX3","MA1566.1","-0.319565",0.625787,0.881292,0.881918,0.0320493,392,"False",1,NA,NA,NA,NA,NA,NA,NA
"Stat4","Stat4","MA0518.1","-0.322917",0.62721,0.831929,0.832738,0.0474127,392,"False",1,0.0011204008404771,0.0445127822399111,NA,NA,NA,0.0166766940844853,0.00986682438400502
"RARA","RARA","MA0730.1","-0.327968",0.629164,0.710127,0.710809,0.0404574,392,"False",1,0.00198338332342482,0.345129403687738,NA,NA,NA,0.113297939708661,0.166218112366803
"MAFA","MAFA","MA1521.1","-0.336345",0.632276,0.759744,0.760444,0.038397,392,"False",1,NA,NA,NA,NA,NA,NA,NA
"PBX3","PBX3","MA1114.1","-0.347611",0.636691,0.756482,0.757345,0.051502,392,"False",1,3.74751895328933e-06,0.000297105001993686,0.969754775639557,0.969784851493076,0.125311599129954,0.552406684089767,0.972184294900434
"CLOCK","CLOCK","MA0819.1","-0.404969",0.657931,0.807411,0.808379,0.0440612,392,"False",1,5.56016144806127e-21,1.63946034628365e-11,0.813206721137819,0.812755976652352,0.0199785005817506,3.52510425112811e-05,0.105167653636729
"Ebf2","Ebf2","MA1604.1","-0.414898",0.661585,0.798324,0.799487,0.0515918,392,"False",1,NA,NA,NA,NA,NA,NA,NA
"HOXA13","HOXA13","MA0650.2","-0.437464",0.669974,0.79164,0.792936,0.0594511,392,"False",1,NA,NA,NA,NA,NA,NA,NA
"MYOD1","MYOD1","MA0499.2","-0.442434",0.671704,0.824332,0.825451,0.0484779,392,"False",1,NA,NA,NA,NA,NA,NA,NA
"HOXD10","HOXD10","MA1506.1","-0.444444",0.672386,0.773242,0.774477,0.0516274,392,"False",1,NA,NA,NA,NA,NA,NA,NA
