"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"ELK1","ELK1","MA0028.2","12.4428",1.93861e-36,0.841096,0.805366,0.0730967,445,"False",1.53925634e-33,2.97076636837325e-12,6.01933715300983e-10,0.68506901964184,0.684763681333511,0.277192937522881,0.847078702109006,0.949378598943762
"ELK3","ELK3","MA0759.1","11.9587",8.55657e-34,0.859012,0.827514,0.0659989,445,"False",3.39695829e-31,0.0027507281077751,0.000660199956491278,0.462471187976226,0.461226951289718,0.0954431541811112,0.749215042049724,0.846745811353226
"ELK4","ELK4","MA0076.2","11.697",2.47179e-32,0.883631,0.852902,0.0602249,445,"False",6.5420042e-30,1.42221194356722e-12,4.4050556670906e-06,0.888151243010812,0.887960029285804,-0.00308464721569026,0.897232152848274,0.883266743859059
"FEV","FEV","MA0156.2","11.6077",6.17181e-32,0.869646,0.840666,0.0614192,445,"False",1.225104285e-29,NA,NA,NA,NA,NA,NA,NA
"FLI1","FLI1","MA0475.2","11.3302",1.57133e-30,0.858233,0.82927,0.0635091,445,"False",2.49527204e-28,NA,NA,NA,NA,NA,NA,NA
"ZBTB7A","ZBTB7A","MA0750.2","11.0507",5.099e-29,0.860526,0.829929,0.0590394,445,"False",6.74767666666667e-27,0.763404268301703,0.308476160028187,NA,NA,NA,0.627230583146274,0.894529047097813
"ETV5","ETV5","MA0765.2","10.9797",9.61602e-29,0.881952,0.853063,0.061857,445,"False",1.09073141142857e-26,1.33366577609804e-88,4.7648423290615e-57,0.743959247840043,0.744899344831683,-0.0294534921578857,0.0506272357464406,0.12131107956551
"ETS1","ETS1","MA0098.3","10.9314",1.58047e-28,0.873148,0.846278,0.0591779,445,"False",1.568616475e-26,1.11190689416626e-08,0.0156237668955435,0.921851112214014,0.921851579102261,-0.157274766391784,0.596309380328159,0.665255812069739
"ERG","ERG","MA0474.2","10.8065",6.23049e-28,0.874709,0.84857,0.0588074,445,"False",5.49667673333333e-26,NA,NA,NA,NA,NA,NA,NA
"ERF","ERF","MA0760.1","10.7548",1.07046e-27,0.857083,0.83128,0.0592182,445,"False",8.4994524e-26,3.46832588186105e-16,1.32385343477526e-14,0.82418112007084,0.823636510425337,0.119866620777697,0.0129437787697362,0.0653044926785429
"ETS2","ETS2","MA1484.1","10.616",5.14746e-27,0.874706,0.848397,0.0595695,445,"False",3.71553021818182e-25,2.39557833566981e-35,3.568637157862e-20,0.716056867281458,0.716627027243831,0.0467641558885695,0.383045069873415,0.759223793398908
"ZBTB33","ZBTB33","MA0527.1","10.3033",1.68024e-25,0.799383,0.772676,0.0571603,445,"True",1.1117588e-23,2.27651563311092e-05,1.16828262030132e-07,0.388633362472728,0.386746456188426,0.594667878798143,0.731457092362289,0.875625413307344
"ETV3","ETV3","MA0763.1","10.1691",5.3344e-25,0.859285,0.835857,0.0591875,445,"False",3.25808738461539e-23,6.56380568644574e-13,4.17280711918231e-10,0.799178246054465,0.799335850457266,0.228446958486085,0.00136187842686355,0.0236324919449185
"ELF2","ELF2","MA1483.1","9.86033",1.39012e-23,0.814661,0.790052,0.0610998,445,"False",7.88396628571429e-22,4.86986407050099e-30,5.33712701371437e-12,0.825169800534343,0.824638352818643,-0.0859817096243307,0.152482983805996,0.765425224508755
"ETV6","ETV6","MA0645.1","9.75541",4.28692e-23,0.876298,0.851358,0.059767,445,"False",2.26920965333333e-21,1.07339403374884e-26,4.82365060683996e-15,0.925760487759896,0.925990582903923,0.0135696363681327,0.00279586140758891,0.529135172295357
"ELF4","ELF4","MA0641.1","9.29452",3.67593e-21,0.803451,0.779983,0.0612766,445,"False",1.8241802625e-19,NA,NA,NA,NA,NA,NA,NA
"NRF1","NRF1","MA0506.1","9.28576",4.99025e-21,0.875498,0.844252,0.0675622,445,"False",2.33074029411765e-19,2.74347443311857e-31,8.59133325468693e-19,0.874750737979355,0.874394120357568,-0.0497595083636545,2.34689533833632e-05,0.199374015749818
"ETV2","ETV2","MA0762.1","9.06702",3.13798e-20,0.826658,0.805106,0.057771,445,"False",1.38419784444444e-18,NA,NA,NA,NA,NA,NA,NA
"HINFP","HINFP","MA0131.2","8.94262",1.34883e-19,0.843417,0.819262,0.0478397,445,"False",5.63668957894737e-18,3.5499471007754e-05,0.00198346011571128,0.946142431211178,NA,0.0440920451064368,0.00147766888954681,0.00928888263736649
"Gmeb1","Gmeb1","MA0615.1","8.43182",1.21883e-17,0.83479,0.817285,0.0384413,445,"False",4.8387551e-16,3.77167188916094e-09,8.46459077146043e-06,0.617102408901761,0.615884088465098,0.0240705562492343,0.56090407777414,0.571117373217602
"YY2","YY2","MA0748.2","8.05071",2.75735e-16,0.845855,0.821895,0.0631215,445,"False",1.0425409047619e-14,NA,NA,NA,NA,NA,NA,NA
"ZBTB14","ZBTB14","MA1650.1","7.79112",2.70254e-15,0.847714,0.820331,0.0553128,445,"False",9.75371254545455e-14,3.86720109801658e-15,1.23476190670445e-11,0.890708323267785,0.890522601767746,0.156372637440344,0.101728286782842,0.39458133947101
"ZFP57","ZFP57","MA1583.1","7.73575",3.81792e-15,0.842596,0.822293,0.0499241,445,"False",1.3180123826087e-13,NA,NA,NA,NA,NA,NA,NA
"E2F1","E2F1","MA0024.3","7.55806",1.49173e-14,0.786569,0.7698,0.0444856,445,"False",4.93514008333333e-13,7.27636490113767e-11,3.41388922613648e-09,0.586334801202892,0.584835015872579,0.435156491506317,0.39512466135215,0.757518630599718
"TCFL5","TCFL5","MA0632.2","7.37418",6.37763e-14,0.859052,0.835763,0.0588474,445,"False",2.025535288e-12,0.0283337398141171,0.0324511169230012,NA,NA,NA,0.605823259364659,0.506651864165682
"KLF15","KLF15","MA1513.1","7.29701",1.20404e-13,0.894761,0.860109,0.0786067,445,"False",3.67695292307692e-12,5.969363429168e-08,0.000338094080089978,0.945841357828434,0.945509343834557,0.124600303183484,0.0160797725476181,0.441869334481169
"E2F2","E2F2","MA0864.2","7.27759",1.25621e-13,0.770796,0.755513,0.0427338,445,"False",3.69418792592593e-12,NA,NA,NA,NA,NA,NA,NA
"Atf1","Atf1","MA0604.1","7.21723",1.7652e-13,0.858632,0.839285,0.0637616,445,"False",5.00560285714286e-12,2.35649791519914e-23,2.00885891370503e-20,0.59433283617009,0.592950603130273,0.233544088495708,8.37725598696489e-06,0.160076184638697
"EGR3","EGR3","MA0732.1","7.12113",4.29912e-13,0.801943,0.780667,0.0529474,445,"False",1.17706940689655e-11,3.45178919413226e-39,3.89629223691053e-26,0.925760487759896,0.925990582903923,-0.0320041125305667,8.33650980296515e-08,0.0399752560457247
"ELF5","ELF5","MA0136.2","6.85141",2.55015e-12,0.879115,0.864397,0.0505763,445,"False",6.749397e-11,NA,NA,NA,NA,NA,NA,NA
"SPDEF","SPDEF","MA0686.1","6.79191",4.0639e-12,0.817074,0.801715,0.0497356,445,"False",1.04088277419355e-10,NA,NA,NA,NA,NA,NA,0.268700914112174
"TFDP1","TFDP1","MA1122.1","6.79361",4.53177e-12,0.871031,0.849665,0.0540498,445,"False",1.12444543125e-10,2.28187356940214e-14,0.000253655129743399,0.536438497373239,0.534808941120891,-0.1705397930249,0.287498534079942,0.552761203745471
"EGR2","EGR2","MA0472.2","6.74987",6.03708e-12,0.825788,0.808129,0.047076,445,"False",1.45255803636364e-10,1.34590230292005e-23,2.22652138401044e-16,0.743934572397113,0.744874745017937,0.0543509185522048,0.128757985002427,0.703381164222804
"E2F4","E2F4","MA0470.2","6.57169",1.92352e-11,0.761394,0.747338,0.0443741,445,"False",4.49198494117647e-10,2.54718300482102e-15,3.39020437713091e-09,0.851719773845754,0.851277854360973,0.150550235037674,0.759185747705449,0.904803104416279
"SP9","SP9","MA1564.1","6.54336",2.53472e-11,0.885661,0.865208,0.0531983,445,"False",5.75019337142857e-10,NA,NA,NA,NA,NA,NA,NA
"HES1","HES1","MA1099.2","6.49727",3.29227e-11,0.872753,0.85239,0.0604239,445,"False",7.26128438888889e-10,NA,NA,NA,NA,NA,NA,NA
"KLF14","KLF14","MA0740.1","6.34298",9.35676e-11,0.835843,0.818128,0.051054,445,"False",2.00791011891892e-09,NA,NA,NA,NA,NA,NA,NA
"EGR1","EGR1","MA0162.4","6.1893",2.58991e-10,0.833122,0.812172,0.0577407,445,"True",5.41154878947368e-09,7.27742019341422e-27,1.90977031975995e-12,0.359060497769574,0.356766579311231,-0.226727657799351,0.000977641118538206,0.0328488510611074
"KLF3","KLF3","MA1516.1","6.14164",3.42608e-10,0.864034,0.846119,0.0534853,445,"False",6.97514748717949e-09,0.0132785599032887,0.227284685579491,NA,NA,NA,0.0963744705566476,0.408320675113309
"EGR4","EGR4","MA0733.1","6.07715",5.17948e-10,0.7948,0.780201,0.0433262,445,"False",1.02812678e-08,3.88146519093796e-13,1.52449549144656e-08,0.781617792669042,0.781865305877319,-0.0463864100375704,0.0114381822555411,0.270233049332846
"GLIS2","GLIS2","MA0736.1","6.0289",6.83299e-10,0.801346,0.7882,0.0422151,445,"False",1.32326684390244e-08,0.00518615063603749,0.986222561832,0.65728593452107,0.656620226595271,-3.04453567546372,0.469932880360164,0.854966789021971
"SP3","SP3","MA0746.2","5.92397",1.34482e-09,0.871093,0.852593,0.055851,445,"False",2.54235019047619e-08,1.4872053433794e-08,0.000905925663962031,NA,NA,NA,0.00134596625525008,0.104608259278037
"SP2","SP2","MA0516.2","5.91509",1.39612e-09,0.804764,0.78945,0.0487582,445,"False",2.57795181395349e-08,0.40886293144802,0.109301636904825,NA,NA,NA,0.222226704299615,0.169490142012525
"ARNT","ARNT::HIF1A","MA0259.1","5.88114",1.7243e-09,0.907428,0.890666,0.0531252,445,"False",3.04243155555556e-08,1.51105203783505e-26,1.48243248784216e-10,0.688214207856375,0.687918348431228,-0.218100744073382,0.000143185190249365,0.467617557982635
"HIF1A","ARNT::HIF1A","MA0259.1","5.88114",1.7243e-09,0.907428,0.890666,0.0531252,445,"False",3.04243155555556e-08,0.524431052539902,0.00186529445025647,0.333119346825934,0.332395158408244,1.84590119513897,0.000607543792814419,0.0107428676317449
"SP1","SP1","MA0079.4","5.83508",2.23429e-09,0.830336,0.812589,0.0601424,445,"False",3.85657882608696e-08,3.01832286015746e-20,3.57204136236744e-06,0.388320844870781,0.386408126477945,-0.478615930845522,0.264000400677414,0.988113407521202
"SP4","SP4","MA0685.1","5.7886",2.9705e-09,0.808963,0.791926,0.0575192,445,"False",5.01824893617021e-08,7.94148800599718e-17,2.66803165184359e-08,0.749355041539165,0.749979835424336,-0.189712334059202,0.0182265724551141,0.609795804116856
"KLF2","KLF2","MA1515.1","5.77969",3.26116e-09,0.911381,0.894352,0.0507512,445,"False",5.39450216666667e-08,NA,NA,NA,NA,NA,NA,NA
"GLIS1","GLIS1","MA0735.1","5.65604",6.47251e-09,0.713581,0.701599,0.0425335,445,"False",1.04881080408163e-07,1.0582786281245e-23,4.11771140813275e-15,0.884958633341067,0.884860963106289,0.113261516958091,0.025717118884014,0.965251208428614
"ZIC3","ZIC3","MA0697.1","5.64705",6.93091e-09,0.798981,0.786209,0.0434024,445,"False",1.100628508e-07,NA,NA,NA,NA,NA,NA,NA
"ZIC5","ZIC5","MA1584.1","5.60235",9.08452e-09,0.787279,0.774101,0.043854,445,"False",1.4143350745098e-07,NA,NA,NA,NA,NA,NA,NA
"ZIC4","ZIC4","MA0751.1","5.48305",1.78398e-08,0.818057,0.806296,0.041711,445,"False",2.72400023076923e-07,NA,NA,NA,NA,NA,NA,NA
"Ahr","Ahr::Arnt","MA0006.1","5.43398",2.33142e-08,0.930091,0.913397,0.0618802,445,"False",3.42805088888889e-07,2.48205345843522e-07,0.0063204709340211,0.679198571970668,0.678429240963586,0.0239455926725743,0.0852973230294195,0.141912098450382
"Arnt","Ahr::Arnt","MA0006.1","5.43398",2.33142e-08,0.930091,0.913397,0.0618802,445,"False",3.42805088888889e-07,1.51105203783505e-26,1.48243248784216e-10,0.688214207856375,0.687918348431228,-0.218100744073382,0.000143185190249365,0.467617557982635
"HES2","HES2","MA0616.2","5.4278",2.44852e-08,0.823946,0.807232,0.0593766,445,"False",3.53477250909091e-07,NA,NA,NA,NA,NA,NA,NA
"TFAP2E","TFAP2E","MA1569.1","5.25402",6.65314e-08,0.892159,0.876258,0.051582,445,"False",9.43320207142857e-07,0.299258696066261,0.275278784752456,NA,NA,NA,0.184801418063722,0.10895316297333
"KLF6","KLF6","MA1517.1","5.16336",1.07606e-07,0.894524,0.880258,0.0495044,445,"False",1.49893270175439e-06,7.48155714079118e-13,4.99772563269119e-20,0.558911057735706,0.558116959788681,0.315520678352894,2.78024268463027e-07,0.002622940834159
"CTCF","CTCF","MA0139.1","5.12454",1.2742e-07,0.790068,0.779428,0.0429366,445,"False",1.74433586206897e-06,2.63600574573633e-10,4.0200056720519e-06,NA,NA,NA,0.669080706896203,0.546821613652762
"PAX5","PAX5","MA0014.3","5.0922",1.53313e-07,0.825181,0.813171,0.046872,445,"False",2.06322918644068e-06,NA,NA,NA,NA,NA,NA,NA
"KLF5","KLF5","MA0599.1","5.04447",2.02916e-07,0.942286,0.92756,0.052203,445,"False",2.68525506666667e-06,5.21575193683571e-11,2.46055286743939e-06,0.990367624527067,0.990351166379798,0.0459610466220064,0.0158572690249032,0.128023652648656
"CREB3L4","CREB3L4","MA1474.1","5.02245",2.19875e-07,0.806216,0.795119,0.0452735,445,"False",2.86197950819672e-06,NA,NA,NA,NA,NA,NA,NA
"HIF1A","HIF1A","MA1106.1","4.99561",2.55566e-07,0.848017,0.833935,0.0558817,445,"False",3.27289361290323e-06,0.524431052539902,0.00186529445025647,0.333119346825934,0.332395158408244,1.84590119513897,0.000607543792814419,0.0107428676317449
"ZIC1","ZIC1","MA0696.1","4.93438",3.5211e-07,0.785657,0.774242,0.0455692,445,"False",4.43770380952381e-06,NA,NA,NA,NA,NA,NA,NA
"KLF11","KLF11","MA1512.1","4.88195",4.74233e-07,0.879463,0.865068,0.0515343,445,"False",5.88345315625e-06,5.99220470485101e-05,0.000275431909206997,0.775038760519813,0.77555791205294,0.107439112235395,0.0251050948355294,0.121644525571617
