"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"DUX4","DUX4","MA0468.1","-1.57623",0.942814,0.791844,0.799608,0.0547047,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"HOXD3","HOXD3","MA0912.2","-1.59638",0.94507,0.809922,0.818275,0.0557482,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"RHOXF1","RHOXF1","MA0719.1","-1.61701",0.947447,0.942232,0.946755,0.0359023,162,"False",1,0.00104861584462735,0.0086778560261718,0.921851112214014,0.921851579102261,0.0783234747081384,0.880144240777913,0.664761690244766
"EVX2","EVX2","MA0888.1","-1.61834",0.94747,0.843178,0.850599,0.048838,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"FOSL1","FOSL1","MA0477.2","-1.62433",0.948164,0.773637,0.78171,0.0580203,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"FOS","FOS","MA0476.1","-1.62473",0.948186,0.811668,0.81946,0.054188,162,"False",1,1.61553907596238e-07,0.00104150169983918,0.557525972716661,0.555916968654112,0.164952456643663,0.706569654479933,NA
"JUND","JUND","MA0491.2","-1.6254",0.948274,0.762469,0.770631,0.0583804,162,"False",1,1.038036504188e-14,1.68484293492594e-13,0.745817400720349,0.746758466375359,0.197119682601069,0.00442334252641151,0.195803052907298
"JUN","JUN","MA0488.1","-1.63666",0.949489,0.787496,0.794577,0.0526544,162,"False",1,1.508912433933e-17,2.46806570041244e-14,0.884159232342222,0.883946268755348,0.053288392672907,0.000533383968000846,0.112885154565561
"TBX2","TBX2","MA0688.1","-1.63675",0.949504,0.813579,0.819378,0.0435211,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"RFX1","RFX1","MA0509.2","-1.64109",0.949981,0.766956,0.773599,0.0515545,162,"False",1,1.24116029013422e-09,2.57362296026458e-07,0.944773970643978,0.944433645842729,0.129269872443364,0.241521493090818,0.719025046060397
"ZBTB26","ZBTB26","MA1579.1","-1.64815",0.950637,0.819478,0.826646,0.0498684,162,"False",1,8.99007468845883e-08,3.86713974100536e-05,0.999262321427896,0.999261726690171,0.0050522202527757,0.240691630091746,0.971362780993265
"GSX1","GSX1","MA0892.1","-1.64915",0.950733,0.858304,0.865483,0.0493588,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"DLX6","DLX6","MA0882.1","-1.64974",0.950802,0.860168,0.869207,0.0631011,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"ZNF382","ZNF382","MA1594.1","-1.65813",0.951728,0.676093,0.680435,0.033806,162,"False",1,1.75391881050887e-20,1.31409480535754e-08,0.631270766867893,0.630367232291512,-0.344027619048347,0.207695436490242,0.794789743112739
"EVX1","EVX1","MA0887.1","-1.66042",0.951844,0.845938,0.85347,0.0488277,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"ATF4","ATF4","MA0833.2","-1.66459",0.952299,0.755471,0.762907,0.0515324,162,"False",1,1.64868487538317e-26,1.41943269214e-17,0.639931389934942,0.639384451464354,-0.141360112815392,0.000236992525284572,0.0375993405675875
"HOXB5","HOXB5","MA0904.2","-1.66504",0.952359,0.845173,0.853491,0.0591435,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"MSGN1","MSGN1","MA1524.1","-1.66669",0.952501,0.834442,0.840896,0.0441463,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"Foxf1","Foxf1","MA1606.1","-1.6821",0.954014,0.801733,0.811742,0.0684021,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"MEF2A","MEF2A","MA0052.4","-1.689",0.954686,0.755771,0.766248,0.0724036,162,"False",1,7.08434861399564e-05,0.0665658091632735,NA,NA,NA,0.508056281020342,0.98333179888456
"MEF2B","MEF2B","MA0660.1","-1.70479",0.956165,0.737265,0.747181,0.0669791,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"FOXC1","FOXC1","MA0032.2","-1.71125",0.956742,0.815936,0.825264,0.0603884,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"Smad2","Smad2::Smad3","MA1622.1","-1.71242",0.956864,0.781492,0.790122,0.0572902,162,"False",1,1.10590851456242e-15,1.22838266859519e-09,0.918063217588431,0.917938942839456,-0.128042748588536,0.000469750016243818,0.323329170426695
"Smad3","Smad2::Smad3","MA1622.1","-1.71242",0.956864,0.781492,0.790122,0.0572902,162,"False",1,0.000380619877286622,6.15350809912063e-05,0.561621317668838,0.560989085521792,0.401242555414961,0.0669487073221508,0.0217857866519315
"BACH2","BACH2","MA1101.2","-1.71369",0.95699,0.702754,0.709513,0.0456503,162,"False",1,2.03706988403596e-28,1.07981956839025e-11,0.672453594475373,0.671639102255797,-0.0757136002130424,0.47578642262691,0.563659634813802
"POU4F1","POU4F1","MA0790.1","-1.71615",0.95721,0.718227,0.728739,0.0702613,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"Foxj3","Foxj3","MA0851.1","-1.71992",0.95756,0.770967,0.779994,0.0610279,162,"False",1,5.67425652241608e-09,0.0200466928947971,NA,NA,NA,0.0148298624190843,0.632875896626121
