"Ensembl","Gene_Symbols"
"ENSG00000222046","DCDC2B"
"ENSG00000228063","LYPLAL1-DT"
"ENSG00000162843","WDR64"
"ENSG00000171848","RRM2"
"ENSG00000226479","TMEM185B"
"ENSG00000197557","TTC30A"
"ENSG00000144395","CCDC150"
"ENSG00000196653","ZNF502"
"ENSG00000242094","FOXP1-IT1"
"ENSG00000240891","PLCXD2"
"ENSG00000182580","EPHB3"
"ENSG00000071127","WDR1"
"ENSG00000152784","PRDM8"
"ENSG00000182836","PLCXD3"
"ENSG00000204296","TSBP1"
"ENSG00000111911","HINT3"
"ENSG00000180155","LYNX1"
"ENSG00000131669","NINJ1"
"ENSG00000130717","UCK1"
"ENSG00000229656","ITGB1-DT"
"ENSG00000243660","ZNF487"
"ENSG00000107742","SPOCK2"
"ENSG00000110455","ACCS"
"ENSG00000186509","OR9Q1"
"ENSG00000174996","KLC2"
"ENSG00000053702","NRIP2"
"ENSG00000165966","PDZRN4"
"ENSG00000134294","SLC38A2"
"ENSG00000250091","DNAH10OS"
"ENSG00000133101","CCNA1"
"ENSG00000100604","CHGA"
"ENSG00000159248","GJD2"
"ENSG00000128965","CHAC1"
"ENSG00000233932","CTXN2"
"ENSG00000166173","LARP6"
"ENSG00000103227","LMF1"
"ENSG00000254206","NPIPB11"
"ENSG00000103160","HSDL1"
"ENSG00000175826","CTDNEP1"
"ENSG00000182224","CYB5D1"
"ENSG00000187824","TMEM220"
"ENSG00000185862","EVI2B"
"ENSG00000270885","RASL10B"
"ENSG00000161682","FAM171A2"
"ENSG00000154945","ANKRD40"
"ENSG00000171246","NPTX1"
"ENSG00000169738","DCXR"
"ENSG00000141526","SLC16A3"
"ENSG00000105135","ILVBL"
"ENSG00000105699","LSR"
"ENSG00000275183","LENG9"
"ENSG00000185052","SLC24A3"
"ENSG00000125812","GZF1"
"ENSG00000198743","SLC5A3"
"ENSG00000100285","NEFH"
"ENSG00000100242","SUN2"
"ENSG00000147027","TMEM47"
"ENSG00000184481","FOXO4"
"ENSG00000198960","ARMCX6"
"ENSG00000157514","TSC22D3"
"ENSG00000177485","ZBTB33"
"ENSG00000126903","SLC10A3"
