"Ensembl","Gene_Symbols","p","acrophase_AD","acrophase_CTL","amplitude_AD","amplitude_CTL","BHQ","Bonf","Log_AD_CTL_ampRatio"
"ENSG00000161281","COX7A1",1.95817449637678e-06,"3.02535345562894","2.77942566054363","7.6935400406453","15.5625772660574",0.00457821197252891,0.00457821197252891,-0.704488118120876
"ENSG00000211450","SELENOH",6.51343632236216e-06,"2.66120877315631","2.70818884662295","23.0902386506107","36.3653512747265",0.00761420706084137,0.0152284141216827,-0.454206474270014
"ENSG00000164405","UQCRQ",0.000102109142485538,"2.81868200012005","2.65857196217609","8.19774439390983","14.4373410733224",0.0176320454563813,0.238731175131188,-0.565958937796016
"ENSG00000124614","RPS10",0.000111524537551873,"2.94697613806561","2.7839154807854","9.91659996288352","16.7695235163966",0.0176320454563813,0.260744368796279,-0.525353045705978
"ENSG00000137168","PPIL1",9.25931901708597e-05,"2.31138084987113","2.75799113636752","1.42111803717982","2.66469135225045",0.0176320454563813,0.21648287861947,-0.628644323677767
"ENSG00000128609","NDUFA5",4.10638059417168e-05,"2.88962664037115","2.81418062999621","26.990635455617","38.5264691298332",0.0176320454563813,0.0960071782917339,-0.355855544066875
"ENSG00000147669","POLR2K",0.000104591520965811,"3.05214884703246","2.878549533003","12.0670231533812","16.1127146420741",0.0176320454563813,0.244534976018066,-0.289132316814553
"ENSG00000233932","CTXN2",0.000113122618411343,"3.61610946707132","3.00025426652761","2.6103410194781","2.34329647812479",0.0176320454563813,0.26448068184572,0.107922182257583
"ENSG00000182224","CYB5D1",0.000108254008546705,"3.47433698260167","3.05957094335988","2.45034352325197","1.41148648509876",0.0176320454563813,0.253097871982196,0.551584834484626
"ENSG00000175061","SNHG29",0.000103408184876328,"3.0969546305474","2.96679356306762","14.1412399886014","20.7898935691218",0.0176320454563813,0.241768336240855,-0.385371632225286
"ENSG00000104979","C19orf53",5.8040426782402e-05,"3.04087864027395","2.79163613896435","9.39854730349539","13.4880680698115",0.0176320454563813,0.135698517817256,-0.361250312789232
"ENSG00000105258","POLR2I",3.44036707353743e-05,"2.99038157579384","2.88886539986726","8.57143342893106","14.1687522539613",0.0176320454563813,0.0804357821793051,-0.502604014478195
"ENSG00000232838","PET117",0.000100488580331763,"2.68677012990687","2.89511938701835","1.97178514173676","3.71724224900131",0.0176320454563813,0.234942300815662,-0.634042766699859
"ENSG00000100285","NEFH",8.76993136160047e-05,"3.68000740089268","3.5089803720654","37.4879453219218","14.7864146415958",0.0176320454563813,0.205040995234219,0.930310593622778
"ENSG00000184076","UQCR10",8.38266285842278e-05,"3.11495842188927","2.88043101518068","22.06348118432","34.7845544818207",0.0176320454563813,0.195986657629925,-0.455249644878157
"ENSG00000177556","ATOX1",0.000146503820005432,"2.78591416170392","2.77213481900153","8.94600852632191","15.3668815966824",0.0180276805880368,0.3425259311727,-0.54100718990777
"ENSG00000112695","COX7A2",0.000131587989167765,"2.96528584311045","2.81145861961298","14.1075073424572","26.7084994770367",0.0180276805880368,0.307652718674235,-0.638274755896632
"ENSG00000129559","NEDD8",0.000138977870613945,"2.84124060687435","2.75327366151889","19.5972065439344","30.356560345918",0.0180276805880368,0.324930261495403,-0.437625617709588
"ENSG00000187051","RPS19BP1",0.000141530731543136,"2.83496857027008","2.72858448385159","9.12683424885613","13.1681831703065",0.0180276805880368,0.330898850347852,-0.366584661256873
"ENSG00000162244","RPL29",0.000170151400919967,"3.02924416901236","2.91838501777032","22.3856169805683","33.0076839759796",0.0189435226357563,0.397813975350883,-0.388321728573286
"ENSG00000099977","DDT",0.000162987903109646,"2.90285434726321","2.83123555075447","6.01969591875921","9.86210541883655",0.0189435226357563,0.381065717470352,-0.493662930931196
"ENSG00000125356","NDUFA1",0.000192650182145252,"3.05067797145056","2.83964934788994","10.3405136774019","18.5839932327076",0.0204734602661636,0.450416125855599,-0.586231084809973
"ENSG00000090266","NDUFB2",0.00021596585693492,"2.92420185823654","2.68452645483137","13.7050228284647","23.6245954479008",0.021953398848428,0.504928173513843,-0.544525953878079
"ENSG00000226479","TMEM185B",0.000243789948230773,"3.00505553113635","3.12542214270126","1.80200473980848","0.924585265374119",0.0230228913667154,0.569980898963547,0.667309793258668
"ENSG00000229117","RPL41",0.000246181473125699,"2.83681296534463","2.81601414050004","73.4901938535709","108.568049068946",0.0230228913667154,0.575572284167884,-0.39022517638432
"ENSG00000173272","MZT2A",0.000330057932615104,"2.56110348352108","2.7349769133416","6.86305145681646","12.4654714915539",0.0295390219480231,0.771675446454113,-0.596810379881976
"ENSG00000172428","COPS9",0.000341126429682046,"2.87441854755917","2.83126305217389","31.6979025863526","46.7279319256373",0.0295390219480231,0.797553592596624,-0.388091585689386
"ENSG00000197345","MRPL21",0.000410970856128223,"3.17670400314162","2.78005832622608","1.79191720672261","3.94255959113861",0.0343160664867066,0.960849861627785,-0.788544042924793
"ENSG00000161981","SNRNP25",0.000451103153245639,"2.89499650390477","2.82679770911653","10.8155842979357","14.596551982482",0.0353450585588296,1,-0.299797250670011
"ENSG00000103254","ANTKMT",0.000453529408368215,"2.71709322781882","2.68208782002916","10.5020197492851","15.7385891056117",0.0353450585588296,1,-0.40454800572279
"ENSG00000177954","RPS27",0.000499177267118422,"2.91380412302432","2.86809152669826","47.4544908497607","68.3361686460594",0.0353659530461476,1,-0.364668017582805
"ENSG00000269893","SNHG8",0.00049902254886579,"2.72178877045149","2.94230065683444","5.05085790399901","8.37544936781472",0.0353659530461476,1,-0.505746621291219
"ENSG00000127540","UQCR11",0.000471766238056053,"2.95436339398349","2.80529070785606","16.6101403918762","27.1304657610361",0.0353659530461476,1,-0.490643918432981
"ENSG00000134419","RPS15A",0.000543561575037393,"2.95708758737011","2.88681203007592","12.930194282445","20.3059581620826",0.0373778518363949,1,-0.451349130122715
"ENSG00000162843","WDR64",0.000734402295724718,"4.89689797356391","5.21777310885297","7.04754061574648","2.36743470601897",0.0446281690375081,1,1.09087174072925
"ENSG00000188010","MORN2",0.000782615453608995,"2.70637108882593","2.67185198474804","2.07580995192707","3.63262879455637",0.0446281690375081,1,-0.559605156210333
"ENSG00000034510","TMSB10",0.000714775747315651,"2.94450555862354","2.84791037428671","83.3779858898481","121.398519255201",0.0446281690375081,1,-0.375694364945822
"ENSG00000124785","NRN1",0.000760912882297648,"2.64085896466447","2.596032222688","44.5702019426074","58.1417241736966",0.0446281690375081,1,-0.265818032384301
"ENSG00000111906","HDDC2",0.000764285227675182,"2.62392146202481","2.88575316075457","6.46472098368888","10.0469511548992",0.0446281690375081,1,-0.440909367491019
"ENSG00000196683","TOMM7",0.000734800306549178,"2.92961969152252","2.80286093852259","21.4562348280765","34.4274172884382",0.0446281690375081,1,-0.472837990017115
"ENSG00000174917","MICOS13",0.000695566185206172,"3.00238909684595","2.7276546182351","7.20742030375201","11.0564045251217",0.0446281690375081,1,-0.427898762032986
"ENSG00000143947","RPS27A",0.000836450159515147,"2.88017278908321","2.85209869198496","30.5130507568192","50.6755794179602",0.0448727151562298,1,-0.507289640513716
"ENSG00000135617","PRADC1",0.00084448223561767,"2.83163305012165","2.84348654557948","2.27553399306155","3.85226969629353",0.0448727151562298,1,-0.526447759014255
"ENSG00000135940","COX5B",0.000837881060145373,"3.08592155664042","2.84384705577849","16.4377229476653","26.5778790688613",0.0448727151562298,1,-0.480500382650293
"ENSG00000187824","TMEM220",0.00110949519030031,"2.22483002773661","3.10624396018588","1.00566240115824","0.689467276413596",0.0576444389982694,1,0.377482472780203
"ENSG00000053702","NRIP2",0.00121879239556146,"4.00143264232597","3.8045932502668","2.03886564005441","0.567148225877493",0.0619464482787542,1,1.27952818251952
"ENSG00000244187","TMEM141",0.001274511276141,"2.69596352959703","2.61148231340516","5.9769846728773","8.20570583282638",0.0630233427796495,1,-0.316913540073622
"ENSG00000267673","FDX2",0.0013208485013699,"2.77139931507442","2.69707976128639","6.32674974953252","9.65066821388182",0.0630233427796495,1,-0.422240521317396
"ENSG00000198918","RPL39",0.00129580513303085,"2.96339846949815","2.83653259131604","21.3507929519621","30.1232181919773",0.0630233427796495,1,-0.344207363315214
"ENSG00000142937","RPS8",0.00153218947295456,"2.89650235045667","2.85804047831765","19.0787986531895","32.3961010576975",0.0647807103406213,1,-0.529460377463201
"ENSG00000240891","PLCXD2",0.0014922187291702,"3.76498121264629","4.14657593575383","4.82341028809759","2.43788226777247",0.0647807103406213,1,0.682351467135304
"ENSG00000112667","DNPH1",0.00149131109281249,"2.90328721752393","2.78787345801074","2.36891575258179","3.76408040785204",0.0647807103406213,1,-0.463071221730901
"ENSG00000214253","FIS1",0.00149728948249502,"2.8352483264011","2.77130911206838","11.3525742685873","17.1214067195701",0.0647807103406213,1,-0.410885009521704
"ENSG00000183648","NDUFB1",0.00143441830461001,"2.5787721723364","2.67017779498833","9.27349416261437","15.7492010789055",0.0647807103406213,1,-0.529629397958739
"ENSG00000275183","LENG9",0.00149102231087921,"2.85775576921465","4.92336233667073","0.620244383436208","0.0870063973539641",0.0647807103406213,1,1.96413191845303
"ENSG00000171858","RPS21",0.00157934152669607,"3.00238699237516","2.83692165281881","29.9467461160253","43.5700942044639",0.0647807103406213,1,-0.374950327480558
