"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","edgeR_DE_BHQ","diff_mesor_BHQ"
"KLF16","KLF16","MA0741.1","6.64824",1.29794e-11,0.896662,0.870747,0.057717,295,"False",8.58803633333333e-10,0.669556299344003,0.106800470575565,NA,NA,NA,0.457423030253991,0.928963320862248,0.457423030253991
"SP2","SP2","MA0516.2","6.62719",1.49306e-11,0.810486,0.78945,0.0476269,295,"False",9.11915107692308e-10,0.14624771027964,0.303469038840229,NA,NA,NA,0.985075302460173,0.936367154571206,0.985075302460173
"SP4","SP4","MA0685.1","6.59382",1.83682e-11,0.815721,0.791926,0.0579327,295,"False",1.04173934285714e-09,0.00091696099579803,0.0899023015098918,NA,NA,NA,0.553031319078968,0.985242068935939,0.553031319078968
"KLF5","KLF5","MA0599.1","6.33949",1.0331e-10,0.950252,0.92756,0.0503085,295,"False",5.46854266666667e-09,NA,NA,NA,NA,NA,NA,NA,NA
"KLF3","KLF3","MA1516.1","6.31662",1.19168e-10,0.868711,0.846119,0.0516814,295,"False",5.74533729411765e-09,0.104388823672148,0.103764143197439,NA,NA,NA,0.0832397723623701,0.265883519067963,0.0832397723623701
"E2F6","E2F6","MA0471.2","6.31406",1.23011e-10,0.873478,0.852237,0.0452973,295,"False",5.74533729411765e-09,0.0254386621253323,0.0057825017508549,NA,0.647651659585844,NA,0.544844919818492,0.533628725817631,0.544844919818492
"ZNF148","ZNF148","MA1653.1","6.1735",3.0782e-10,0.878854,0.850645,0.0568846,295,"False",1.35782822222222e-08,2.44981491718035e-09,0.053941903498311,NA,NA,NA,0.0698440925145701,0.653738983977228,0.0698440925145701
"ZBTB14","ZBTB14","MA1650.1","6.13033",3.99608e-10,0.846769,0.820331,0.0576786,295,"False",1.65630782e-08,7.75786510956457e-05,0.55090117228194,0.560525784570717,0.561534407478836,-0.888922123687766,0.736621036426304,0.612394195387746,0.736621036426304
"EGR1","EGR1","MA0162.4","6.12199",4.17206e-10,0.83759,0.812172,0.0583324,295,"False",1.65630782e-08,NA,NA,NA,NA,NA,NA,NA,NA
"SP8","SP8","MA0747.1","6.09132",4.97505e-10,0.889081,0.870403,0.0465563,295,"False",1.88104271428571e-08,0.0738561260032527,0.0233201675346577,0.489674303021828,0.491509014189112,0.610156461538826,0.254434911662061,0.3759277822583,0.254434911662061
