"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","edgeR_DE_BHQ","diff_mesor_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"ETV5","ETV5","MA0765.2","11.7146",1.60437e-32,0.881394,0.853063,0.0612879,528,"False",1.15806343636364e-30,1.55710763469331e-65,3.92862471590314e-30,0.566279651364164,0.567394843946028,-0.0991789326619443,0.522678906783712,0.403126347872561,0.522678906783712,NA,NA,NA,NA
"ETV3","ETV3","MA0763.1","11.2223",4.29673e-30,0.859623,0.835857,0.0581399,528,"False",2.84300301666667e-28,0.00250706931348498,0.00184111286956937,0.799273361705527,0.799619672407888,0.369060773288238,0.371919648238596,0.329456421841823,0.371919648238596,NA,NA,NA,NA
"ETV6","ETV6","MA0645.1","11.2039",6.44186e-30,0.877688,0.851358,0.0596156,528,"False",3.93448987692308e-28,0.00254558615242309,0.11529977794899,NA,NA,NA,0.0985824253984127,0.459487113852795,0.0985824253984127,NA,NA,NA,NA
"ELF2","ELF2","MA1483.1","10.849",3.32728e-28,0.814939,0.790052,0.0600598,528,"False",1.88704308571429e-26,3.67868709383811e-12,0.000550557409944469,NA,NA,NA,0.5868245754344,0.908071014187523,0.5868245754344,NA,NA,NA,NA
"YY2","YY2","MA0748.2","10.6408",4.15796e-27,0.851005,0.821895,0.0636691,528,"False",2.20094682666667e-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ELF4","ELF4","MA0641.1","10.3735",5.98287e-26,0.804059,0.779983,0.0605336,528,"False",2.9689992375e-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETV2","ETV2","MA0762.1","10.2508",2.3646e-25,0.827487,0.805106,0.05482,528,"False",1.10440729411765e-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gmeb1","Gmeb1","MA0615.1","9.93628",8.46571e-24,0.836237,0.817285,0.0380284,528,"False",3.73431874444444e-22,0.0242344839257439,0.07399055695837,0.743146246056045,0.745067477059806,0.393481609330756,0.253536387034573,0.409823938626197,0.253536387034573,NA,NA,NA,NA
"ZBTB33","ZBTB33","MA0527.1","9.86527",1.47053e-23,0.796163,0.772676,0.0543202,528,"False",6.14526747368421e-22,0.0393061091653766,0.00595092762497336,0.568551551213686,0.570581068380403,0.725928074085639,0.253906250737912,0.360091955411573,0.253906250737912,NA,NA,NA,NA
"HINFP","HINFP","MA0131.2","9.61055",2.2255e-22,0.843115,0.819262,0.0485627,528,"False",8.835235e-21,0.00552671008612972,0.786868709464686,NA,NA,NA,0.000184101194557793,0.00141924431989144,0.000184101194557793,NA,NA,NA,NA
"NRF1","NRF1","MA0506.1","9.44272",1.06672e-21,0.873435,0.844252,0.0645367,528,"False",4.03321752380952e-20,3.27021819603819e-06,0.151681117684159,NA,NA,NA,0.291124951068865,0.910530018183984,0.291124951068865,NA,NA,NA,NA
"Atf1","Atf1","MA0604.1","9.09472",2.28313e-20,0.86169,0.839285,0.0624176,528,"False",8.24002372727273e-19,5.9742164859843e-07,1.16775240718079e-05,0.65991239379855,0.661082812336543,0.285320519749345,0.0102641499516712,0.404057918177016,0.0102641499516712,NA,NA,NA,NA
"E2F1","E2F1","MA0024.3","8.79171",4.48354e-19,0.787723,0.7698,0.0441077,528,"False",1.50438518333333e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E2F2","E2F2","MA0864.2","8.7887",4.54726e-19,0.772472,0.755513,0.0422856,528,"False",1.50438518333333e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TCFL5","TCFL5","MA0632.2","8.69097",1.25508e-18,0.860961,0.835763,0.0540128,528,"False",3.98613408e-17,0.503071333960818,0.946498457928511,NA,NA,NA,0.773359736245657,0.57996203594556,0.773359736245657,NA,NA,NA,NA
"E2F4","E2F4","MA0470.2","8.65182",1.53739e-18,0.764339,0.747338,0.0433367,528,"False",4.69495253846154e-17,0.0117361814400315,0.0144022076630948,0.421846293035785,0.423099506217322,0.313543270381471,0.362763337930231,0.474596970455689,0.362763337930231,NA,NA,NA,NA
"HES1","HES1","MA1099.2","8.51315",5.81047e-18,0.876887,0.85239,0.0559979,528,"False",1.70870858518519e-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TFDP1","TFDP1","MA1122.1","8.47384",8.53879e-18,0.874144,0.849665,0.0528866,528,"False",2.42135687857143e-16,0.0467095530159475,0.613466894354662,NA,NA,NA,0.261502758518537,0.0998171693916154,0.261502758518537,NA,NA,NA,NA
"KLF15","KLF15","MA1513.1","8.15527",1.31991e-16,0.895677,0.860109,0.0761112,528,"False",3.61382255172414e-15,NA,NA,NA,NA,NA,NA,0.946483405777615,NA,NA,NA,NA,NA
"ELF5","ELF5","MA0136.2","8.08889",1.73976e-16,0.880361,0.864397,0.0486501,528,"False",4.6045648e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZBTB14","ZBTB14","MA1650.1","8.05302",3.09954e-16,0.846333,0.820331,0.0557249,528,"False",7.93882180645161e-15,7.75786510956457e-05,0.55090117228194,0.560525784570717,0.561534407478836,-0.888922123687766,0.736621036426304,0.612394195387746,0.736621036426304,NA,NA,NA,NA
"CREB3L4","CREB3L4","MA1475.1","7.99282",3.51929e-16,0.798931,0.780213,0.062427,528,"False",8.7322383125e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPDEF","SPDEF","MA0686.1","7.81778",1.61945e-15,0.81797,0.801715,0.0509612,528,"False",3.89649484848485e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARNT","ARNT::HIF1A","MA0259.1","7.80444",2.12039e-15,0.911104,0.890666,0.0530173,528,"False",4.74410588888889e-14,0.0174937797992605,0.116806791524892,NA,NA,NA,0.652439793633765,0.744383070556009,0.652439793633765,NA,NA,NA,NA
"HIF1A","ARNT::HIF1A","MA0259.1","7.80444",2.12039e-15,0.911104,0.890666,0.0530173,528,"False",4.74410588888889e-14,0.000302344691196479,0.00121092221392744,0.61652393386657,0.617317541563475,0.423643696333801,0.484306763894514,0.564965483098805,0.484306763894514,NA,NA,NA,NA
"SP1","SP1","MA0079.4","7.79762",2.15098e-15,0.834381,0.812589,0.0597841,528,"False",4.74410588888889e-14,0.000994485006887694,0.024800432107589,0.854719423344633,0.855329011820536,-0.155203394594898,0.441069173275815,0.748818357339388,0.441069173275815,NA,NA,NA,NA
"SP4","SP4","MA0685.1","7.78171",2.45101e-15,0.812972,0.791926,0.057621,528,"False",5.25973497297297e-14,0.00091696099579803,0.0899023015098918,NA,NA,NA,0.553031319078968,0.985242068935939,0.553031319078968,NA,NA,NA,NA
"HIF1A","HIF1A","MA1106.1","7.70465",4.38865e-15,0.853899,0.833935,0.0574557,528,"False",9.16996868421053e-14,0.000302344691196479,0.00121092221392744,0.61652393386657,0.617317541563475,0.423643696333801,0.484306763894514,0.564965483098805,0.484306763894514,NA,NA,NA,NA
"SP9","SP9","MA1564.1","7.60756",1.08984e-14,0.887046,0.865208,0.0507136,528,"False",2.21880246153846e-13,7.32924474384911e-10,0.00275317132415032,0.679008224708813,0.679372112688405,-0.210967358919731,0.372032564657556,0.54611810670305,0.372032564657556,NA,NA,NA,NA
"KLF3","KLF3","MA1516.1","7.5436",1.68837e-14,0.866334,0.846119,0.0527263,528,"False",3.35141445e-13,0.104388823672148,0.103764143197439,NA,NA,NA,0.0832397723623701,0.265883519067963,0.0832397723623701,NA,NA,NA,NA
"ARNT2","ARNT2","MA1464.1","7.49912",2.04059e-14,0.82434,0.803892,0.0658958,528,"False",3.95177673170732e-13,0.00354610784125982,1.38599278767853e-05,NA,NA,NA,0.670408312825888,0.208167241223543,0.670408312825888,0.903347896688452,0.82992585368626,NA,0.474107905469332
"HES2","HES2","MA0616.2","7.50039",2.34087e-14,0.828443,0.807232,0.0563062,528,"False",4.425359e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZFP57","ZFP57","MA1583.1","7.26309",1.45636e-13,0.839793,0.822293,0.0457336,528,"False",2.6891856744186e-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BHLHE40","BHLHE40","MA0464.2","7.23767",1.49316e-13,0.829005,0.809721,0.0644718,528,"False",2.69447509090909e-12,0.669000201118665,0.742857268372954,NA,NA,NA,0.454747857318843,0.690151744369153,0.454747857318843,NA,NA,NA,NA
"SP3","SP3","MA0746.2","7.15427",3.3078e-13,0.87311,0.852593,0.052952,528,"False",5.83642933333333e-12,0.0670760985687042,0.00945206584004817,NA,NA,NA,0.0785093885259795,0.190497264315216,0.0785093885259795,NA,NA,NA,NA
"KLF2","KLF2","MA1515.1","7.1517",3.40269e-13,0.913705,0.894352,0.0489851,528,"False",5.87333882608696e-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SP2","SP2","MA0516.2","7.03679",7.35402e-13,0.806191,0.78945,0.0490854,528,"False",1.24235997446809e-11,0.14624771027964,0.303469038840229,NA,NA,NA,0.985075302460173,0.936367154571206,0.985075302460173,NA,NA,NA,NA
"BHLHE41","BHLHE41","MA0636.1","6.95061",1.17551e-12,0.793004,0.775543,0.0640919,528,"False",1.94448945833333e-11,5.30306451292405e-10,0.0022397771615651,0.605175147219752,0.606225733753681,-0.4256828106044,0.0395055375912522,0.170885971903098,0.0395055375912522,NA,NA,NA,NA
"Arnt","Arnt","MA0004.1","6.92437",1.50432e-12,0.881712,0.86117,0.0705369,528,"False",2.43761240816327e-11,0.0174937797992605,0.116806791524892,NA,NA,NA,0.652439793633765,0.744383070556009,0.652439793633765,NA,NA,NA,NA
"KLF5","KLF5","MA0599.1","6.91112",1.92524e-12,0.946086,0.92756,0.0492445,528,"False",3.05728112e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KLF14","KLF14","MA0740.1","6.85978",2.65871e-12,0.835732,0.818128,0.0513515,528,"False",4.13924654901961e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEY1","HEY1","MA0823.1","6.85125",2.79778e-12,0.824386,0.805772,0.0553274,528,"False",4.27199484615385e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
