"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"TBX19","TBX19","MA0804.1","-1.29301",0.902483,0.67894,0.682991,0.0399159,179,"False",0.994057224806202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stat5a","Stat5a","MA1624.1","-1.29526",0.902821,0.798476,0.804115,0.0525378,179,"False",0.994057224806202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GLI2","GLI2","MA0734.2","-1.30867",0.905144,0.760271,0.764694,0.042324,179,"False",0.994057224806202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SMAD5","SMAD5","MA1557.1","-1.31294",0.905884,0.777296,0.781728,0.0432373,179,"False",0.994057224806202,0.00132636890348724,0.00463708103285446,NA,0.69920814902474,NA,0.516804123694816,0.870765617323206,0.889895237239651,0.829756713466071,NA,0.971483220144579
"Esrrg","Esrrg","MA0643.1","-1.31533",0.906301,0.812747,0.81775,0.0494019,179,"False",0.994057224806202,0.0181752938876107,0.6019129000473,NA,NA,NA,0.237225540496697,0.720668821382748,NA,NA,NA,NA
"ZKSCAN1","ZKSCAN1","MA1585.1","-1.33087",0.908811,0.785697,0.790744,0.0457233,179,"False",0.994057224806202,4.04196734740992e-06,0.0435757365679102,NA,NA,NA,0.181726406878169,0.158160128926133,NA,NA,NA,NA
"NR2F2","NR2F2","MA1111.1","-1.33319",0.909278,0.816331,0.822183,0.0580735,179,"True",0.994057224806202,9.69632048687855e-06,1.90636629914958e-05,0.193197627173827,0.193846505297295,0.46458579868746,0.0231667252994743,0.1390607509131,NA,NA,NA,NA
"Sox11","Sox11","MA0869.1","-1.33617",0.909753,0.650721,0.656775,0.059241,179,"False",0.994057224806202,0.00485433537851034,0.431664891564851,0.777189610478292,0.77382046547725,-0.513026266577654,0.340933127752387,0.268856206689807,0.850798645893252,0.864984760195303,NA,0.999908116209533
"SNAI2","SNAI2","MA0745.2","-1.34995",0.911976,0.809329,0.814747,0.0523295,179,"False",0.994057224806202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FOS","FOS::JUN","MA0099.3","-1.35197",0.912431,0.805138,0.810925,0.0628301,179,"False",0.994057224806202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JUN","FOS::JUN","MA0099.3","-1.35197",0.912431,0.805138,0.810925,0.0628301,179,"False",0.994057224806202,0.00204072215274805,0.0456384916678159,0.788540864543109,0.784930284650144,0.0869011740838443,0.130709804569093,0.217820897682788,NA,NA,NA,NA
"IRF7","IRF7","MA0772.1","-1.38536",0.917481,0.754495,0.760339,0.0532203,179,"False",0.994057224806202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESRRA","ESRRA","MA0592.3","-1.38539",0.917495,0.770612,0.776198,0.0514006,179,"False",0.994057224806202,2.22699437506241e-05,0.0029485987799059,0.560598705710066,0.559367030034582,-0.118413310584268,0.0653500119400453,0.0303224093166442,NA,NA,NA,NA
"NR2C1","NR2C1","MA1535.1","-1.38928",0.918158,0.904397,0.9102,0.0573299,179,"False",0.994057224806202,0.661802516277482,0.309402704573126,NA,NA,NA,0.225506266819644,0.809222915960979,NA,NA,NA,NA
"ETV2","ETV2","MA0762.1","-1.41361",0.921724,0.799838,0.805106,0.0479941,179,"False",0.994057224806202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAFK","MAFK","MA0496.3","-1.42235",0.92299,0.740275,0.745989,0.0513676,179,"False",0.994057224806202,0.00209567053846294,0.0788460163024182,0.478485360420001,0.47599328562125,-0.0761385550975654,0.636800245864866,0.566933531827278,NA,NA,NA,NA
"NKX2-5","NKX2-5","MA0063.2","-1.42734",0.923753,0.827758,0.833775,0.0564696,179,"False",0.994057224806202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TWIST1","TWIST1","MA1123.2","-1.43061",0.924214,0.810956,0.816578,0.0522178,179,"False",0.994057224806202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sox5","Sox5","MA0087.1","-1.43248",0.924447,0.855841,0.863871,0.0718645,179,"False",0.994057224806202,5.51581445821356e-07,0.000802244235661001,0.922370549474912,0.919487424476771,0.0168357180204146,0.00655640979846365,0.12085735621778,0.262341424885119,0.921377633342381,NA,0.360466251183587
"Rbpjl","Rbpjl","MA1621.1","-1.43545",0.924902,0.825698,0.831368,0.0524358,179,"False",0.994057224806202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HSF4","HSF4","MA0771.1","-1.43665",0.925099,0.776732,0.781862,0.048694,179,"False",0.994057224806202,0.0367843612430782,0.405910627046862,NA,NA,NA,0.810251361114808,0.924851583415934,NA,NA,NA,NA
"SMAD3","SMAD3","MA0795.1","-1.43906",0.925392,0.747414,0.752813,0.0486077,179,"False",0.994057224806202,0.0713295443120764,0.283231619750198,NA,0.630934695855046,NA,0.918976206389713,0.612682421942346,NA,NA,NA,NA
"OLIG1","OLIG1","MA0826.1","-1.44421",0.926104,0.767969,0.773932,0.0527358,179,"False",0.994057224806202,0.227034082938461,0.397309950669564,NA,NA,NA,0.899692131109442,0.883952767550708,NA,NA,NA,NA
"Stat4","Stat4","MA0518.1","-1.4647",0.928875,0.82732,0.832738,0.0437997,179,"False",0.994057224806202,0.349893552354252,0.0362779725197183,0.589520896061084,0.587077068017886,1.01587644962588,0.000768662319535714,0.00245736877001666,0.659515293335617,0.792858882133107,NA,0.122488862615361
"ETV5","ETV5","MA0765.2","-1.46411",0.928877,0.84702,0.853063,0.0540702,179,"True",0.994057224806202,6.15870134771707e-62,2.57719639402265e-25,0.834587754561411,0.83115605176075,-0.0519253525836568,0.663044582309516,0.516750069727252,NA,NA,NA,NA
"HSF1","HSF1","MA0486.2","-1.46395",0.928917,0.732587,0.738534,0.0566655,179,"False",0.994057224806202,0.382016684344836,0.50694504510717,NA,NA,NA,0.155972366644765,0.177882248696308,NA,NA,NA,NA
"ZNF341","ZNF341","MA1655.1","-1.46523",0.928993,0.816533,0.822091,0.047601,179,"False",0.994057224806202,0.101882864279958,0.351351168151028,NA,NA,NA,0.951613643098843,0.612621833202097,NA,NA,NA,NA
"DMRT3","DMRT3","MA0610.1","-1.46504",0.929029,0.780047,0.786884,0.062761,179,"False",0.994057224806202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OLIG2","OLIG2","MA0678.1","-1.46761",0.929313,0.78749,0.793193,0.0486196,179,"False",0.994057224806202,NA,NA,NA,NA,NA,NA,NA,0.316081324265906,0.863130139063444,NA,0.967730771177802
"Rarb","Rarb","MA0857.1","-1.47136",0.929849,0.678596,0.683853,0.0462351,179,"False",0.994057224806202,0.206443365872626,0.106095707665207,NA,NA,NA,0.487693407324403,0.793492344472998,NA,NA,NA,NA
"RELB","RELB","MA1117.1","-1.47385",0.930167,0.818789,0.824403,0.0483474,179,"False",0.994057224806202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TBX20","TBX20","MA0689.1","-1.47662",0.930591,0.795046,0.800256,0.0475038,179,"False",0.994057224806202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FOXE1","FOXE1","MA1487.1","-1.47708",0.930642,0.768242,0.774922,0.0602014,179,"False",0.994057224806202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TEAD2","TEAD2","MA1121.1","-1.48452",0.931621,0.796199,0.802032,0.0517267,179,"False",0.994057224806202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESRRB","ESRRB","MA0141.3","-1.48711",0.931916,0.765362,0.771515,0.0515834,179,"False",0.994057224806202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEUROD1","NEUROD1","MA1109.1","-1.50072",0.933763,0.81853,0.824118,0.0504556,179,"False",0.994057224806202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
