"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","edgeR_DE_BHQ","diff_mesor_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"ELK1","ELK1","MA0028.2","14.1653",1.01883e-46,0.842608,0.805366,0.0708833,532,"False",8.0895102e-44,0.00158906358864242,0.00303798375119974,0.574064472595197,0.575660380656649,0.486387404755736,0.879801610123535,0.852046911199861,0.879801610123535,NA,NA,NA,NA
"ELK3","ELK3","MA0759.1","13.4215",3.83718e-42,0.859885,0.827514,0.0646689,532,"False",1.52336046e-39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ELK4","ELK4","MA0076.2","13.1062",3.51458e-40,0.884434,0.852902,0.0600315,532,"False",9.30192173333333e-38,0.379764053330191,0.180806311354717,NA,NA,NA,0.648036873391849,0.597582024855895,0.648036873391849,NA,NA,NA,NA
"FLI1","FLI1","MA0475.2","12.931",3.20311e-39,0.859525,0.82927,0.060799,532,"False",6.35817335e-37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FEV","FEV","MA0156.2","12.8646",7.46387e-39,0.870074,0.840666,0.0600148,532,"False",1.185262556e-36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETS2","ETS2","MA1484.1","12.3441",6.69e-36,0.876404,0.848397,0.0580438,532,"False",8.06949005714286e-34,0.44585198642316,0.383108184826108,NA,NA,NA,0.338498973129538,0.576760118198673,0.338498973129538,NA,NA,NA,NA
"ETS1","ETS1","MA0098.3","12.3391",7.11416e-36,0.874046,0.846278,0.0575917,532,"False",8.06949005714286e-34,0.0277094862463311,0.00364508157153728,0.645169618814241,0.646783083282732,0.586921721259125,0.92349159644547,0.756565992420676,0.92349159644547,NA,NA,NA,NA
"ZBTB7A","ZBTB7A","MA0750.2","12.2776",1.88041e-35,0.861064,0.829929,0.0600783,532,"False",1.866306925e-33,1.02652146461004e-08,4.29478012571766e-07,0.496541238105794,0.499031780348777,0.401455401368414,0.0134068361578396,0.404503886701976,0.0134068361578396,0.243142161949713,0.884405893899267,NA,0.81228887038892
"ERG","ERG","MA0474.2","12.2168",3.34018e-35,0.875618,0.84857,0.0564898,532,"False",2.94678102222222e-33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERF","ERF","MA0760.1","12.054",2.2744e-34,0.857763,0.83128,0.0582748,532,"False",1.8058736e-32,0.0300425814501729,0.166927784293228,0.605677040606972,0.606958728307776,0.614180698836712,0.163773530339404,0.119192288847875,0.163773530339404,NA,NA,NA,NA
