"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","edgeR_DE_BHQ","diff_mesor_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"ELK1","ELK1","MA0028.2","13.001",6.74481e-40,0.835643,0.805366,0.0714062,682,"False",5.35537914e-37,0.00158906358864242,0.00303798375119974,0.574064472595197,0.575660380656649,0.486387404755736,0.879801610123535,0.852046911199861,0.879801610123535,NA,NA,NA,NA
"ELK4","ELK4","MA0076.2","12.4747",9.0511e-37,0.879477,0.852902,0.0606594,682,"False",3.5932867e-34,0.379764053330191,0.180806311354717,NA,NA,NA,0.648036873391849,0.597582024855895,0.648036873391849,NA,NA,NA,NA
"ELK3","ELK3","MA0759.1","12.1824",2.84621e-35,0.853542,0.827514,0.0652958,682,"False",7.53296913333333e-33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZBTB7A","ZBTB7A","MA0750.2","12.0151",3.45963e-34,0.856903,0.829929,0.0607792,682,"False",6.86736555e-32,1.02652146461004e-08,4.29478012571766e-07,0.496541238105794,0.499031780348777,0.401455401368414,0.0134068361578396,0.404503886701976,0.0134068361578396,0.243142161949713,0.884405893899267,NA,0.81228887038892
"FLI1","FLI1","MA0475.2","11.6218",3.11243e-32,0.853353,0.82927,0.0613996,682,"False",4.94253884e-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FEV","FEV","MA0156.2","11.5956",4.14156e-32,0.864143,0.840666,0.0604944,682,"False",5.4806644e-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETS1","ETS1","MA0098.3","11.2129",4.03217e-30,0.868624,0.846278,0.0581239,682,"False",4.57363282857143e-28,0.0277094862463311,0.00364508157153728,0.645169618814241,0.646783083282732,0.586921721259125,0.92349159644547,0.756565992420676,0.92349159644547,NA,NA,NA,NA
"ERG","ERG","MA0474.2","11.1092",1.35569e-29,0.870349,0.84857,0.0568216,682,"False",1.345522325e-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETV5","ETV5","MA0765.2","11.0528",2.52177e-29,0.87665,0.853063,0.062352,682,"False",2.11072196e-27,1.55710763469331e-65,3.92862471590314e-30,0.566279651364164,0.567394843946028,-0.0991789326619443,0.522678906783712,0.403126347872561,0.522678906783712,NA,NA,NA,NA
"ETS2","ETS2","MA1484.1","11.0501",2.65834e-29,0.870597,0.848397,0.0582635,682,"False",2.11072196e-27,0.44585198642316,0.383108184826108,NA,NA,NA,0.338498973129538,0.576760118198673,0.338498973129538,NA,NA,NA,NA
"ERF","ERF","MA0760.1","10.7696",5.60194e-28,0.852236,0.83128,0.0586028,682,"False",4.04358214545455e-26,0.0300425814501729,0.166927784293228,0.605677040606972,0.606958728307776,0.614180698836712,0.163773530339404,0.119192288847875,0.163773530339404,NA,NA,NA,NA
"YY2","YY2","MA0748.2","10.5923",5.53586e-27,0.847445,0.821895,0.0635988,682,"False",3.66289403333333e-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZBTB33","ZBTB33","MA0527.1","10.2481",2.27319e-25,0.794189,0.772676,0.0545916,682,"False",1.38839450769231e-23,0.0393061091653766,0.00595092762497336,0.568551551213686,0.570581068380403,0.725928074085639,0.253906250737912,0.360091955411573,0.253906250737912,NA,NA,NA,NA
"NRF1","NRF1","MA0506.1","10.2436",2.81916e-25,0.872154,0.844252,0.0645215,682,"False",1.59886645714286e-23,3.27021819603819e-06,0.151681117684159,NA,NA,NA,0.291124951068865,0.910530018183984,0.291124951068865,NA,NA,NA,NA
"Gmeb1","Gmeb1","MA0615.1","10.2281",3.34279e-25,0.834487,0.817285,0.0396504,682,"False",1.76945017333333e-23,0.0242344839257439,0.07399055695837,0.743146246056045,0.745067477059806,0.393481609330756,0.253536387034573,0.409823938626197,0.253536387034573,NA,NA,NA,NA
"HINFP","HINFP","MA0131.2","10.0769",1.7393e-24,0.841304,0.819262,0.0489936,682,"False",8.63127625e-23,0.00552671008612972,0.786868709464686,NA,NA,NA,0.000184101194557793,0.00141924431989144,0.000184101194557793,NA,NA,NA,NA
"ETV3","ETV3","MA0763.1","9.89119",6.02373e-24,0.854345,0.835857,0.0584834,682,"False",2.81343624705882e-22,0.00250706931348498,0.00184111286956937,0.799273361705527,0.799619672407888,0.369060773288238,0.371919648238596,0.329456421841823,0.371919648238596,NA,NA,NA,NA
"ETV6","ETV6","MA0645.1","9.87836",8.03238e-24,0.871847,0.851358,0.0610374,682,"False",3.54317206666667e-22,0.00254558615242309,0.11529977794899,NA,NA,NA,0.0985824253984127,0.459487113852795,0.0985824253984127,NA,NA,NA,NA
"ELF2","ELF2","MA1483.1","9.77794",2.17452e-23,0.809841,0.790052,0.0601782,682,"False",9.08720463157895e-22,3.67868709383811e-12,0.000550557409944469,NA,NA,NA,0.5868245754344,0.908071014187523,0.5868245754344,NA,NA,NA,NA
"TCFL5","TCFL5","MA0632.2","9.71881",6.63455e-23,0.860605,0.835763,0.0566741,682,"False",2.63391635e-21,0.503071333960818,0.946498457928511,NA,NA,NA,0.773359736245657,0.57996203594556,0.773359736245657,NA,NA,NA,NA
"HES1","HES1","MA1099.2","9.54933",3.361e-22,0.876617,0.85239,0.0584405,682,"False",1.2707780952381e-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KLF15","KLF15","MA1513.1","9.53875",4.34842e-22,0.896765,0.860109,0.0776491,682,"False",1.56938430909091e-20,NA,NA,NA,NA,NA,NA,0.946483405777615,NA,NA,NA,NA,NA
"ELF4","ELF4","MA0641.1","9.43351",6.61253e-22,0.799303,0.779983,0.0611427,682,"False",2.28276035652174e-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E2F1","E2F1","MA0024.3","9.3855",1.47282e-21,0.786671,0.7698,0.0448499,682,"False",4.8725795e-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TFDP1","TFDP1","MA1122.1","9.28716",4.70341e-21,0.873305,0.849665,0.0534795,682,"False",1.493803016e-19,0.0467095530159475,0.613466894354662,NA,NA,NA,0.261502758518537,0.0998171693916154,0.261502758518537,NA,NA,NA,NA
"ZBTB14","ZBTB14","MA1650.1","9.17395",1.4402e-20,0.846429,0.820331,0.0568099,682,"False",4.39814923076923e-19,7.75786510956457e-05,0.55090117228194,0.560525784570717,0.561534407478836,-0.888922123687766,0.736621036426304,0.612394195387746,0.736621036426304,NA,NA,NA,NA
