ID,Phase,Error,Magnitude,ProjectionX,ProjectionY,Inner_Error,Circular_Error,Modified_Inner_Error,Modified_Error,Out_of_Plane_Error,Out_of_Plane_Reconstruction_Error,Input_Magnitude,Dense_Input_Magnitude,Decoding_Dense_Output_Magnitude,Model_Output_Magnitude,Modified_Decoding_Dense_Output_Magnitude,Modified_Model_Output_Magnitude,Covariate_D,Covariate_D_1,Phases_MA
20998065,2.748199462890625,0.03832078352570534,2.9836349487304688,-2.7557263374328613,1.143700361251831,0.03832077607512474,1.9674038887023926,0.730320394039154,0.730320394039154,0.5789730548858643,0.5789729952812195,0.8591317534446716,1.2949328422546387,1.3518106937408447,0.92851322889328,2.6019527912139893,2.4011588096618652,cond_0,cond_0,3.386952682601484
10218339,2.9504666328430176,0.12379229068756104,4.168598175048828,-4.092691898345947,0.7918853759765625,0.12379229068756104,5.02000617980957,1.64911687374115,1.64911687374115,1.5923267602920532,1.5923267602920532,1.1483912467956543,1.662498116493225,1.482415795326233,0.8910170197486877,3.752474069595337,3.350446939468384,cond_0,cond_0,3.1846855126490916
10205244,3.254735533391134,0.1862386167049408,1.2936636209487915,-1.285392165184021,-0.1460566520690918,0.1862386167049408,0.043119169771671295,0.2657914459705353,0.26579147577285767,0.01496981456875801,0.01496981456875801,0.7559904456138611,1.3208116292953491,1.6447539329528809,0.8262946009635925,1.8554878234863281,1.050760269165039,cond_0,cond_0,2.880416612100975
20240514,3.1508269945727747,0.36100059747695923,1.298397421836853,-1.2983421087265015,-0.011989593505859375,0.36100053787231445,0.04452051967382431,0.436720609664917,0.43672069907188416,0.015053835697472095,0.015053835697472095,1.149322509765625,1.5364501476287842,1.5943015813827515,0.8498589396476746,1.7990325689315796,1.0752432346343994,cond_0,cond_0,2.9843251509193345
15712086,3.4869871775256556,0.08831054717302322,3.1695284843444824,-2.98234224319458,-1.0731010437011719,0.08831054717302322,2.3534274101257324,1.023188591003418,1.023188591003418,0.8484693169593811,0.8484693169593811,0.9052523970603943,1.7438217401504517,1.7374582290649414,0.7666962742805481,3.486806869506836,2.550297975540161,cond_0,cond_0,2.6481649679664536
11331231,2.4296083450317383,0.1736171543598175,6.539400577545166,-4.95076322555542,4.272435188293457,0.1736171543598175,15.34247875213623,3.2071197032928467,3.2071197032928467,4.041162967681885,4.041162967681885,1.5975052118301392,1.5203027725219727,1.117063283920288,0.9837388396263123,4.60386323928833,4.95994234085083,cond_0,cond_0,3.705543800460371
10277308,3.5520289579974573,0.17457430064678192,1.4540294408798218,-1.3332675695419312,-0.5801715850830078,0.17457428574562073,0.10307134687900543,0.31157124042510986,0.31157124042510986,0.037338633090257645,0.037338633090257645,0.6990989446640015,1.386738657951355,1.7582765817642212,0.7480998039245605,2.1160895824432373,1.1070923805236816,cond_0,cond_0,2.583123187494652
11631558,1.453487515449524,0.05077186971902847,4.411463260650635,0.5163173079490662,4.381144046783447,0.050771862268447876,5.819040775299072,1.5214207172393799,1.5214207172393799,1.6690443754196167,1.6690443754196167,1.3700345754623413,0.6547364592552185,0.37110447883605957,1.1350841522216797,2.3487138748168945,3.7172563076019287,cond_0,cond_0,4.681664630042585
20275399,3.2492480913745325,0.06980953365564346,1.8131073713302612,-1.8026107549667358,-0.19481420516967773,0.14488697052001953,0.3305717706680298,0.40934279561042786,0.3021802008152008,0.1146213561296463,0.10148624330759048,0.40049365162849426,1.3857752084732056,1.6422250270843506,0.5824770927429199,2.2415332794189453,1.1816163063049316,cond_1,cond_0,2.8859040541175767
20232474,2.4932827949523926,0.06258165836334229,4.350744247436523,-3.4680018424987793,2.6271538734436035,0.7774502635002136,5.613743782043457,2.223766803741455,1.3180277347564697,1.5075631141662598,1.386082649230957,1.0332071781158447,2.108532428741455,1.1663118600845337,0.7927164435386658,3.1765100955963135,3.0694406032562256,cond_1,cond_0,3.6418693505397166
