MetricName,Eigengene1,Eigengene2,Eigengene3,Eigengene4
Phase,0.35860848,-0.71845925,0.06741401,-0.031534508
Error,-0.15754747,0.10878122,0.07908629,-0.13118069
Magnitude,-0.006865464,-0.16637482,0.03663409,0.13186742
ProjectionX,0.7347625,-0.11399658,0.6343551,0.0044500846
ProjectionY,-0.18709509,0.94976664,0.15580007,-0.005605539
Inner_Error,-0.053915493,0.045111876,0.029847434,-0.06275746
Circular_Error,0.013117013,-0.118810646,0.07337835,0.13567139
Modified_Inner_Error,-0.09977735,-0.06495143,0.011811178,0.045409266
Modified_Error,-0.12535544,-0.1662288,0.005962533,0.13199158
Out_of_Plane_Error,-0.07199918,-0.14823365,-0.0072295736,0.13496016
Out_of_Plane_Reconstruction_Error,-0.08346324,-0.17416304,-0.0002565608,0.15053755
Input_Magnitude,-0.109977596,0.35166356,0.17912981,0.01020971
Dense_Input_Magnitude,-0.1673981,-0.37064683,-0.10005216,-0.061224885
Decoding_Dense_Output_Magnitude,-0.13526627,-0.7952603,-0.39664516,-0.058262274
Model_Output_Magnitude,-0.015821548,0.72545975,0.23480241,0.06581779
Modified_Decoding_Dense_Output_Magnitude,-0.12759408,-0.5881452,-0.23085211,0.07920071
Modified_Model_Output_Magnitude,-0.09531888,-0.029891288,0.04141614,0.14583452
