Gene_Symbols,Sine_Coefficient,Cosine_Coefficient,Weighted_Average,Fit_Average,Fit_Average_1,Fit_Average_2,Amplitude,Amplitude_Ratio,Offset_Plus_Minus_Amplitude_Ratio,Acrophase,F_Statistic,P_Statistic,BHQ_Statistic,Bonferroni_Statistic,R_Squared
NOC2L,0.20814432320907464,-4.1179376559660925,-221.7409110004411,28.558252535940333,-1.9108986987421817,-4.558800712960025,4.1231947077124165,-0.01859465034715319,0.9634895974746855,3.0910898653186902,7.337988313136176,0.0007419295427418815,0.0014580071185433992,1.0,0.16306496990114638
KLHL17,0.3779075224060845,0.7751873172578884,80.71446193111157,7.19227855842289,0.9670423293289452,-0.1086654308924345,0.8623975141015814,0.010684547644480652,1.0215998802384847,0.4536015580801555,1.6960931278252807,0.18471819625225405,0.23527264996339725,1.0,0.06177918039215402
HES4,-4.979999251366782,-4.395048707646747,-352.4596916111561,20.619116340436697,-5.347058088814222,2.121147819105608,6.642051316137286,-0.01884485367894208,0.963007412540005,3.9893044426426334,9.021838125076314,0.00014718901845833798,0.00031700418053082175,1.0,0.32632880522179775
ISG15,-0.40652273884024875,-1.2067630200335162,-33.14292028019693,5.280196684680246,-0.4655872326117122,-0.0852054184026259,1.273396137780616,-0.03842136199873361,0.9260004398892934,3.4665231811174224,0.2604296946322233,0.7708512476064223,0.8090059407546425,1.0,0.02464768014826313
AGRN,-0.8526617867775574,-0.07011585009961076,-144.89816136797566,17.338904382462662,-0.5623951297677727,-5.367684002894011,0.8555398033206216,-0.005904421389778289,0.9882604723386729,4.630341858222658,0.6342889520579387,0.5308462980279455,0.5909638864797553,1.0,0.07923494254409702
C1orf159,-1.3216910115136729,7.4407056844085675,-54.974778833618075,30.560893100276086,-0.649954388456131,-1.568829656367639,7.557179911309906,-0.13746630858091882,0.758293836847934,6.107389136269083,37.698858226597366,9.992007221626409e-16,7.509520955383823e-15,1.329936161198475e-11,0.3360776578388469
SDF4,0.4820312633497756,-5.1013662909947195,-203.94921868786116,37.017025331425174,-2.025246489054116,-3.7265633922062835,5.124089399468339,-0.025124339443097457,0.9509828447605754,3.0473817557985825,11.21319121327103,1.828561300221132e-5,4.4090853090476935e-5,0.24338150905943268,0.18618369639984944
B3GALT6,-0.3891089347335909,-3.0943256091477522,-93.05747413403796,8.26106805586178,-0.8554065804743388,-1.5531420737574608,3.1186947171079633,-0.033513640318840625,0.9351462060849017,3.2666852426502127,38.97290802165411,3.3306690738754696e-16,2.6419073524006257e-15,4.43312053732825e-12,0.4138044966665577
UBE2J2,0.30628470708017547,-0.11430107340826484,-171.95738605347339,27.42341867480967,-1.11411127772254,-5.087412246684704,0.32691750820883003,-0.0019011542086780086,0.9962049066403571,1.927975431600592,0.7975234923356865,0.4511598203163849,0.5141653573431871,1.0,0.10171891631759
SCNN1D,-0.6123726602611234,2.5537259384074056,45.73777055601826,10.222091463963105,0.8160907666541476,-1.297611185922518,2.6261219399582476,0.05741692058955632,1.1218288803263237,6.04783344892438,3.842312183650589,0.02224185065429829,0.03457995937492235,1.0,0.06456871726949187
