Item ID	Item value	Change in Kuiper test statistic when item removed
UQCRB	0.394365894800253	2.220446049250313E-16
NDUFA11	-1.80513191951171	2.220446049250313E-16
NDUFB10	0.82286213388288	2.220446049250313E-16
COX4I1	-0.364760279525452	2.220446049250313E-16
NDUFB3	-0.855676215432646	2.220446049250313E-16
NDUFB2	-0.142948215690333	2.220446049250313E-16
ATP5MC3	-0.933861088288589	2.220446049250313E-16
UQCR11	-0.0527986346737551	2.220446049250313E-16
UQCR10	-1.06666971125391	2.220446049250313E-16
TCIRG1	0.628737296218628	2.220446049250313E-16
COX5B	-1.98714967434267	2.220446049250313E-16
COX7C	-1.64023015546641	2.220446049250313E-16
COX7A1	-0.946390395570417	2.220446049250313E-16
UQCRH	-0.027811102760659	2.220446049250313E-16
ATP5MC1	0.509445608077328	2.220446049250313E-16
UQCRFS1	-2.11095458029358	2.220446049250313E-16
ATP5MF	-2.00844245241741	2.220446049250313E-16
ATP6V1F	-1.26631583788878	2.220446049250313E-16
ATP6V1G2	-1.1027392701613	2.220446049250313E-16
NDUFA4	-0.806260034947132	2.220446049250313E-16
NDUFA3	-2.98038606810644	2.220446049250313E-16
NDUFA1	-1.69466056246019	2.220446049250313E-16
COX6C	-1.42518464379504	2.220446049250313E-16
ATP5F1E	3.2038440192182	0.006326044283811338
UQCRQ	0.493239173324757	2.220446049250313E-16
PPA1	1.11802761896222	2.220446049250313E-16
NDUFS6	-4.43853689901977	2.220446049250313E-16
