"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"E2F6 (human)",0.0132593466238697,1.9060089478556,8.23977687981526,"['SUN2', 'RRM2', 'PHF10', 'TPBG', 'GPS1', 'LENG9', 'ABHD14B', 'KCNAB2', 'FOXO4', 'PLCXD2', 'CPLX1', 'DLL1', 'ZFP36L1', 'LRFN3', 'CCNA1', 'UCK1', 'HYAL1', 'NPTX1']",0.739373832947649,0,0,18,"E2F6",0.739373832947649,0.00341885990492273,0.215533721569975,NA,NA,NA,0.299064355607077,0.963019310512442
"NR3C1 (human)",0.0179580017835066,1.9078087375301,7.66885594935556,"['SUN2', 'KCNAB2', 'ACCS', 'GBA2', 'RNF40', 'TMEM47', 'ABHD10', 'ILVBL', 'SPOCK2', 'ARMCX6', 'POC1A', 'ZNF513', 'GEMIN7', 'STEAP2', 'PHLDA1', 'NEFH']",0.739373832947649,0,0,16,"NR3C1",0.739373832947649,2.01352184151079e-08,4.53866710709949e-05,0.875209995343366,0.87485519958397,-0.0400173354391198,1.30974325722844e-08,0.000110101325516446
"SP1 (mouse)",0.0180324411549798,1.68279778035876,6.75741391838335,"['WDR1', 'SATB1', 'GPS1', 'LENG9', 'SLC5A3', 'UNG', 'ZFP36L1', 'ABHD10', 'SAMD14', 'PPP6R1', 'PCBP2', 'RNF150', 'SLC38A2', 'PHLDA1', 'PAQR8', 'SUN2', 'LYNX1', 'PHF10', 'RNF24', 'TMEM170B', 'LRFN3', 'NINJ1', 'GNB4', 'ANKRD40', 'GZF1']",0.739373832947649,0,0,25,"SP1",0.739373832947649,3.01832286015746e-20,3.57204136236744e-06,0.388320844870781,0.386408126477945,-0.478615930845522,0.264000400677414,0.988113407521202
"SREBF1 (mouse)",0.0190801110994879,2.03679653679654,8.06389907258769,"['PRDM8', 'SUN2', 'SLC24A3', 'TPBG', 'WDR64', 'KCNAB2', 'MID1', 'ZBTB3', 'UNG', 'CHIT1', 'CNNM1', 'ILVBL', 'PDZRN4']",0.739373832947649,0,0,13,"SREBF1",0.739373832947649,1.11092046160666e-09,0.000665052669653175,0.694072735950746,0.694013065239297,-0.0355155355693743,0.149350754460139,0.970416977892136
"GATA2 (human)",0.0205979911478349,1.46025915722885,5.66954631249168,"['CNTNAP1', 'SPI1', 'QPRT', 'ACCS', 'GBA2', 'CYB5D1', 'TMEM47', 'ABHD10', 'SAMD14', 'HYAL1', 'PPP6R1', 'RNF150', 'CHAC1', 'ENPP5', 'PHLDA1', 'NEFH', 'TOP3B', 'SUN2', 'TET1', 'LSR', 'KCNAB2', 'ZBTB33', 'TMEM170B', 'TMPRSS11F', 'MID1', 'RNF40', 'CHIT1', 'CTDNEP1', 'BCAN', 'CCNA1', 'ILVBL', 'NINJ1', 'MAP1A', 'GEMIN7', 'CCDC150', 'PDZRN4', 'TMEM185B', 'GPS1', 'LENG9', 'WDR64', 'OR9Q1', 'FIGNL2', 'PLCXD2', 'DLL1', 'UNG', 'ZFP36L1', 'C12ORF56', 'FAM171A2', 'KLC2', 'NRIP2', 'DCDC2B', 'PCBP2', 'SLC17A6', 'ZNF469', 'CHGA', 'RRM2', 'PHF10', 'TPBG', 'TNIP1', 'LRIT3', 'GNB4', 'EVI2B', 'ZNF134', 'GZF1']",0.739373832947649,0,0,64,"GATA2",0.739373832947649,NA,NA,NA,NA,NA,NA,NA
"EGR1 (mouse)",0.0232350302957425,1.78024485656331,6.69744887182037,"['SUN2', 'SATB1', 'TPBG', 'GPS1', 'KCNAB2', 'ZBTB33', 'DLL1', 'SLC5A3', 'RNF40', 'ZFP36L1', 'CYB5D1', 'CTDNEP1', 'BCAN', 'GNB4', 'NPTX1', 'GEMIN7', 'PHLDA1', 'ZFP28']",0.739373832947649,0,0,18,"EGR1",0.739373832947649,7.27742019341422e-27,1.90977031975995e-12,0.359060497769574,0.356766579311231,-0.226727657799351,0.000977641118538206,0.0328488510611074
"MYOG (human)",0.024256656770272,1.87113402061856,6.95886753690663,"['PAQR8', 'LYNX1', 'SPI1', 'TPBG', 'QPRT', 'FOXO4', 'ZBTB33', 'MID1', 'ARFGAP1', 'UNG', 'CTDNEP1', 'SLC22A15', 'OGFOD2', 'PDZRN4', 'ZFP28']",0.739373832947649,0,0,15,"MYOG",0.739373832947649,NA,NA,NA,NA,NA,NA,NA
"SMAD3 (human)",0.0259936113145658,9.2875,33.8984879492495,"['MFSD6', 'PHF10']",0.739373832947649,0,0,2,"SMAD3",0.739373832947649,0.000380619877286622,6.15350809912063e-05,0.561621317668838,0.560989085521792,0.401242555414961,0.0669487073221508,0.0217857866519315
"CPEB1 (human)",0.0259936113145658,9.2875,33.8984879492495,"['CHIT1', 'TMPRSS11F']",0.739373832947649,0,0,2,"CPEB1",0.739373832947649,2.24273447734865e-28,4.99561472400602e-10,0.639223415154641,0.638669197265166,-0.211854590703303,0.00247126144634236,0.66075715249416
"RUNX1 (mouse)",0.0447134638575259,6.62946428571429,20.6009317745816,"['POC1A', 'PLCXD2']",0.981785740988315,0,0,2,"RUNX1",0.981785740988315,1.6929510081426e-06,0.000111969367651406,0.776910620331424,0.777432761469334,0.376613226539541,0.00556787921217813,0.146611449266683
"POU2F1 (mouse)",0.0487409450718655,1.80236648544931,5.44537422428736,"['SATB1', 'TPBG', 'KCNAB2', 'GEMIN7', 'ZBTB33', 'ACCS', 'DLL1', 'SLC5A3', 'MID1', 'PARD3B', 'TMEM220', 'CBR3']",0.981785740988315,0,0,12,"POU2F1",0.981785740988315,6.54433396505887e-34,2.18848837879623e-19,0.981311917399815,0.981367780680289,-0.0348269431647314,6.54224466399266e-05,0.284292561648001
"RBPJ (mouse)",0.0489166099550122,1.68832094491396,5.09474189253651,"['CCDC69', 'TPBG', 'LENG9', 'KCNAB3', 'MID1', 'PARD3B', 'BCAN', 'ABHD10', 'TNIP1', 'DCDC2B', 'CHAC1', 'GEMIN7', 'ENPP5', 'SLC38A2', 'PHLDA1']",0.981785740988315,0,0,15,"RBPJ",0.981785740988315,1.04115446992256e-08,1.25854462262146e-07,0.981432193557065,0.981488350650513,0.0162469708064852,0.138497752700214,0.988364721688265
"Nobox (mouse)",0.0498563071595629,3.88320209973753,11.6442096882857,"['KCNAB2', 'RNF150', 'EVI2B']",0.981785740988315,0,0,3,"Nobox",0.981785740988315,NA,NA,NA,NA,NA,NA,NA
