Item ID	Item value	Change in Kuiper test statistic when item removed
STAT5A	17.8014464097609	-0.0047619047619050225
CEBPB	14.749239204242	-0.0047619047619050225
TNFAIP8	19.5101724444822	-0.0047619047619050225
CD83	9.70279264995696	-4.809974971562436E-4
TNFAIP2	7.57851406260441	0.04523809523809502
TNFAIP3	19.4717568390823	-0.0047619047619050225
LITAF	17.7224945482865	-0.0047619047619050225
VEGFA	11.9662004954304	-0.0047619047619050225
RHOB	10.560805527652	-0.0047619047619050225
ZFP36	12.6731565628759	-0.0047619047619050225
DRAM1	20.3581056024014	0.030568643484728264
NFIL3	17.544465102101	-0.0047619047619050225
BCL6	17.8879501017373	-0.0047619047619050225
ID2	11.3221819266105	-0.0047619047619050225
BHLHE40	12.287231257222	-0.0047619047619050225
PDE4B	18.6845839288805	-0.0047619047619050225
OLR1	9.25806375329803	0.013768465932217089
PMEPA1	5.85303616767143	0.04523809523809502
MAP3K8	18.2563481916502	-0.0047619047619050225
TLR2	18.4374857183185	-0.0047619047619050225
B4GALT5	17.2450598787409	-0.0047619047619050225
