GENE_SYMBOLS,refseq_ids
ETV5,NM_004454
PER2,NM_003894
PGAM1,NM_001317079
MIEF1,NM_001304564
NRN1,NM_001278710
CD59,NM_000611
SULT4A1,NM_014351
RTN4,NM_001321859
RETREG2,NM_001321109
ATP6V0E2,NM_001100592
ARMCX3,NM_016607
PPT1,NM_000310
PNMA8A,NM_001103149
PSAP,NM_001042465
COPS7A,NM_001164093
C1orf216,NM_001348691
CYCS,NM_018947
SPRED3,NM_001039616
SELENOW,NM_003009
ATP6AP2,NM_005765
MOAP1,NM_022151
SNRNP25,NM_024571
PINK1,NM_032409
FNDC4,NM_022823
NSG1,NM_001040101
RPL15,NM_001253379
STRAP,NM_007178
SARAF,NM_001284239
VDAC1,NM_001401008
TGOLN2,NM_001206840
CDIPT,NM_001286585
PRKAR1A,NM_001276289
DLGAP1,NM_001003809
DNAJB9,NM_012328
LGI3,NM_139278
NAT8L,NM_178557
TAF13,NM_005645
NDUFA5,NM_001282419
RPSA,NM_001304288
SEPHS2,NM_012248
TIMM17A,NM_006335
COQ10B,NM_001320818
PLEKHJ1,NM_001300836
FEZ1,NM_005103
SNN,NM_003498
ITM2C,NM_001012514
ZNF782,NM_001001662
OAZ1,NM_001301020
BHLHE40,NM_003670
PNMA1,NM_006029
BLOC1S6,NM_001311255
ARCN1,NM_001142281
GABBR1,NM_001319053
CAPZA2,NM_006136
EIF4A2,NM_001967
NECAP1,NM_015509
LAMP1,NM_005561
CCNI,NM_001348132
GLRX5,NM_016417
C18orf32,NM_001035005
PRAF2,NM_007213
GOT1,NM_002079
PFN2,NM_002628
POLR2K,NM_005034
DBNDD2,NM_001048221
RPS28,NM_001031
MCFD2,NM_001171506
WSB2,NM_001278557
YWHAH,NM_003405
SPATA2L,NM_152339
ISCU,NM_001301140
SET,NM_001122821
PGK1,NM_000291
KLHDC3,NM_001242872
OAZ2,NM_001301302
TMEM14B,NM_001127711
NDFIP1,NM_030571
CCDC85B,NM_006848
BCL2L2,NM_001199839
GABARAPL1,NM_001363598
TCEAL7,NM_001348258
SELENOH,NM_001321335
VTI1A,NM_001318203
NEU1,NM_000434
ENC1,NM_001256574
RGS4,NM_001102445
FRMD4A,NM_001318336
POLE3,NM_001278255
ATP6AP1,NM_001183
RNF6,NM_005977
APLP2,NM_001142276
ELOC,NM_001204857
MAL2,NM_052886
TMEM167A,NM_174909
DHCR24,NM_014762
USP5,NM_001098536
SPRY4,NM_001127496
TRIB2,NM_021643
NPM1,NM_001037738
VBP1,NM_001303543
UBE3D,NM_001304437
FRMPD4,NM_001368395
SPIDR,NM_001080394
SPECC1L,NM_001145468
DUSP6,NM_001946
NEFL,NM_006158
DOCK3,NM_004947
ATP6V1B2,NM_001693
RAN,NM_001300796
TAF7,NM_005642
REEP5,NM_005669
PIP4K2C,NM_001146258
LAMTOR5,NM_001382293
SPRED2,NM_001128210
TMA7,NM_001329417
ZDHHC20,NM_001286638
TMED2,NM_001321445
TPRG1L,NM_182752
AAMP,NM_001087
NDUFB5,NM_001199957
GUK1,NM_000858
HNRNPA0,NM_006805
MFN2,NM_001127660
SYNM,NM_015286
CBLN4,NM_080617
MLLT11,NM_006818
THY1,NM_001311160
DUBR,NR_028301
ANKS1B,NM_001204065
NORAD,NR_027451
RPL41,NM_001035267
OTUB1,NM_017670
TOMM20,NM_014765
TMEM160,NM_017854
TMEM203,NM_053045
MSRA,NM_001135670
MYADM,NM_001020818
KBTBD11,NM_014867
FAM32A,NM_014077
CCDC47,NM_020198
ACTG1,NM_001199954
PDSS2,NM_020381
CCDC30,NM_001080850
RPS19BP1,NM_194326
TMEM9B,NM_001286094
RPL7A,NM_000972
TMEM141,NM_032928
L1CAM,NM_000425
BEX4,NM_001080425
PNMA2,NM_007257
TM2D3,NM_001307960
MMP24OS,NM_001355003
BRK1,NM_018462
PCYOX1,NM_016297
NELFA,NM_005663
TNRC6A,NM_001330520
SSR2,NM_003145
RPS27,NM_001030
CDV3,NM_001134422
RPL3,NM_000967
EIF4G3,NM_001198801
CLASP1,NM_001142273
ATP2A2,NM_001135765
MRFAP1,NM_001272053
TJP1,NM_001301025
RTL6,NM_032287
COPS9,NM_001163424
DCAF11,NM_001163484
GABRA1,NM_000806
ARPC5L,NM_030978
SERINC1,NM_020755
TMEM155,NA
ACTR2,NM_001005386
LRRC47,NM_020710
MACF1,NM_001394062
MZT1,NM_001071775
ENO2,NM_001975
STMN3,NM_001276310
EIF1,NM_005801
ADO,NM_032804
NEIL2,NM_001135746
EIF5,NM_001969
MAGEF1,NM_022149
AP2M1,NM_001025205
GDI2,NM_001115156
DUSP4,NM_001394
TRIM23,NM_001656
PDXP,NM_020315
AGBL4,NM_001323573
UBE2V2,NM_003350
OPRL1,NM_000913
EIF1B,NM_005875
TTC17,NM_001307943
SERINC3,NM_006811
FAAH2,NM_001353840
TMX4,NM_021156
GABRD,NM_000815
OPCML,NM_001012393
ATP6V1D,NM_015994
PITHD1,NM_020362
TOMM5,NM_001001790
SNHG29,NM_152350
GPATCH8,NM_001002909
FAM3C,NM_001040020
EHMT1,NM_001039765
ATXN7L1,NM_001318229
CLCN4,NM_001256944
RPL18A,NM_000980
UBL4A,NM_014235
CLPTM1L,NM_030782
ISCA1,NM_030940
H2AFZ,NA
PEX11B,NM_001184795
ARL1,NM_001177
SUMO1,NM_001005781
RNASEK,NM_001004333
ATP6V1A,NM_001690
NAP1L5,NM_153757
RPL29,NM_000992
SKP1,NM_006930
ALMS1,NM_001378454
TM2D2,NM_001024380
C1orf43,NM_001098616
ATP6V1E1,NM_001039366
PSMD7,NM_002811
MAP1LC3A,NM_032514
ATP9B,NM_001306085
MBD5,NM_001378120
SLC25A5,NM_001152
DAZAP2,NM_001136264
CNDP2,NM_001168499
DIPK1A,NM_001006605
PMM1,NM_002676
COPS8,NM_006710
SCAPER,NM_001145923
SETBP1,NM_001130110
CD81,NM_001297649
ANKRD26,NM_001256053
MCPH1,NM_001172574
FER,NM_001308028
CACNA2D3,NM_018398
ATP6V0D1,NM_004691
EIF4H,NM_022170
ATP6V1G2,NM_001204078
SAMD12,NM_001101676
THEM6,NM_001363000
NARS,NA
B4GAT1,NM_006876
RPS2,NM_002952
NDEL1,NM_001025579
MACROD2,NM_001033087
TAOK3,NM_001346487
IGIP,NM_001007189
DLG2,NM_001142699
ACP2,NM_001131064
ARF6,NM_001663
GRINA,NM_000837
SPCS1,NM_014041
HSBP1,NM_001537
RPS14,NM_001025070
PIGX,NM_001166304
SLU7,NM_001364517
ABCF2,NM_007189
SMKR1,NM_001195243
RAB5IF,NM_001199534
PIP4P1,NM_001100814
SUPT4H1,NM_003168
B3GALNT1,NM_001038628
TINF2,NM_001099274
DUSP3,NM_004090
PEX19,NM_001131039
FBXL20,NM_001184906
RFK,NM_018339
SUB1,NM_006713
ZPR1,NM_001317086
BCAS3,NM_001099432
CALM2,NM_001305624
TIMM13,NM_012458
RPLP1,NM_001003
IDH3B,NM_001258384
FEN1,NM_004111
ACLY,NM_001096
VPS25,NM_032353
AZIN1,NM_001301668
GRSF1,NM_001098477
EIF4G2,NM_001042559
TOMM22,NM_020243
CTNNA2,NM_001164883
MAGI1,NM_001033057
EEF1G,NM_001404
SNAPC5,NM_001329613
PJA2,NM_014819
RPLP2,NM_001004
SELENOT,NM_016275
FTX,NR_028379
SRXN1,NM_080725
NCKIPSD,NM_016453
RAB1B,NM_030981
ATP5PB,NM_001002014
PTGES2,NM_001256335
BAIAP2-DT,NM_001004336
TOR1A,NM_000113
SSH2,NM_001282129
STXBP5L,NM_001308330
SRP9,NM_001130440
ANTKMT,NM_001271285
MRPS12,NM_021107
ZNF133,NM_001083330
SEC62,NM_003262
HECW1,NM_001287059
EGR3,NM_001199880
RAB6B,NM_001363953
NRG3,NM_001010848
LY6E,NM_001127213
DENND5B,NM_001308339
RSL24D1,NM_016304
TOX4,NM_001303523
RBFOX1,NM_001142333
STUB1,NM_001293197
MRPL49,NM_004927
NCBP2,NM_001042540
USP46,NM_001134223
ATP1A1,NM_000701
APBA1,NM_001163
DNAJC5,NM_025219
DIRAS2,NM_017594
FTH1,NM_002032
WDR19,NM_001317924
ARF4,NM_001660
ARHGDIA,NM_001185077
SYT4,NM_020783
H3F3B,NA
CISD2,NM_001008388
G3BP2,NM_001400004
OTUD7A,NM_001329907
FARSA,NM_004461
FAM89B,NM_001098784
TMEM130,NM_001134450
MBTD1,NM_017643
RPL39,NM_001000
TMSB10,NM_021103
GABRB1,NM_000812
NSG2,NM_015980
KSR2,NM_173598
UNC79,NM_001346218
SRSF9,NM_003769
TMEM183A,NM_001322955
EAF1,NM_033083
SHISA4,NM_198149
MANEAL,NM_001031740
DYNC1LI2,NM_001286157
PRPS1,NM_001204402
ATCAY,NM_033064
CRADD,NM_001320099
SRSF3,NM_003017
MAP6D1,NM_024871
CCDC115,NM_001321118
CREBL2,NM_001310
SETD2,NM_001349370
CCNQ,NM_001130997
GNL1,NM_005275
PDAP1,NM_014891
FITM2,NM_001080472
LRRC4C,NM_001258419
UBFD1,NM_019116
C3orf18,NM_001171740
FGF14,NM_001321931
DANT2,NR_130730
ACACA,NM_000664
FAM222B,NM_001077498
ZNF385B,NM_001113397
MAP2K1,NM_001411065
EPB41,NM_001166005
TNIK,NM_001161560
UQCRH,NM_001297565
CACNA1A,NM_000068
NT5C3B,NM_052935
APEX1,NM_001244249
ACP1,NM_001040649
SDHAF1,NM_001042631
PLEKHB2,NM_001031706
OMG,NM_002544
GNG10,NM_001017998
MEF2D,NM_001271629
CLTC,NM_001288653
C4orf3,NM_001001701
RRAGA,NM_006570
ASAH1,NM_001127505
EMC10,NM_175063
RNF5,NM_006913
PDE10A,NM_001130690
R3HDM2,NM_001330121
GHITM,NM_014394
KCNQ5,NM_001160130
