GENE_SYMBOLS,refseq_ids
COX7A1,NM_001864
SELENOH,NM_001321335
PPP1R26,NM_014811
CYB5D1,NM_001330110
PET117,NM_001164811
NEFH,NM_021076
RIIAD1,NM_001144956
RPL29,NM_000992
CD74,NM_001025158
PPIL1,NM_016059
PDGFA,NM_001395363
CTXN2,NM_001145668
ZNF598,NM_001405664
C19orf53,NM_014047
POLR2I,NM_006233
RPS19BP1,NM_194326
POLR2K,NM_005034
PLCXD2,NM_001134478
UQCRQ,NM_014402
ZNF211,NM_001265597
WDR64,NM_001367482
TMEM185B,NM_024121
RPS10,NM_001014
COX7A2,NM_001366292
NDUFA5,NM_001282419
NDUFB2,NM_004546
RPL41,NM_001035267
SNHG29,NM_152350
UQCR11,NM_006830
UQCR10,NM_001003684
NLRP3,NM_001079821
PRADC1,NM_032319
COPS9,NM_001163424
ATOX1,NM_004045
GIHCG,NR_038269
TDG,NM_001008411
TMPRSS11F,NM_207407
DDT,NM_001084392
PHF10,NM_018288
CCDC150,NM_001080539
PCDHA9,NM_014005
ANOS1,NM_000216
