GENE_SYMBOLS,refseq_ids
ETV5,NM_004454
PER2,NM_003894
SPRED3,NM_001039616
PGAM1,NM_001317079
NRN1,NM_001278710
PPT1,NM_000310
MIEF1,NM_001304564
ARMCX3,NM_016607
SNRNP25,NM_024571
CD59,NM_000611
ATP6V0E2,NM_001100592
RTN4,NM_001321859
RETREG2,NM_001321109
CYCS,NM_018947
SULT4A1,NM_014351
C1orf216,NM_001348691
COPS7A,NM_001164093
NDUFA5,NM_001282419
SELENOW,NM_003009
DNAJB9,NM_012328
RPSA,NM_001304288
SPECC1L,NM_001145468
FNDC4,NM_022823
MOAP1,NM_022151
PSAP,NM_001042465
PNMA8A,NM_001103149
SPRED2,NM_001128210
LGI3,NM_139278
SSR2,NM_003145
COQ10B,NM_001320818
ATP6AP2,NM_005765
RPL15,NM_001253379
GABBR1,NM_001319053
FEZ1,NM_005103
PRAF2,NM_007213
RPS28,NM_001031
BLOC1S6,NM_001311255
ITM2C,NM_001012514
TIMM17A,NM_006335
PGK1,NM_000291
SELENOH,NM_001321335
CCDC85B,NM_006848
CCNI,NM_001348132
POLR2K,NM_005034
NSG1,NM_001040101
DUSP6,NM_001946
TRIB2,NM_021643
SPATA2L,NM_152339
SEPHS2,NM_012248
STRAP,NM_007178
TAF13,NM_005645
PINK1,NM_032409
POLE3,NM_001278255
GLRX5,NM_016417
SARAF,NM_001284239
ELOC,NM_001204857
DBNDD2,NM_001048221
GOT1,NM_002079
VDAC1,NM_001401008
ARCN1,NM_001142281
C18orf32,NM_001035005
SNN,NM_003498
OAZ1,NM_001301020
RPS27,NM_001030
RPS19BP1,NM_194326
VTI1A,NM_001318203
ATG9A,NM_001077198
TMEM167A,NM_174909
DUBR,NR_028301
NPM1,NM_001037738
TCEAL7,NM_001348258
TMEM14B,NM_001127711
PRKAR1A,NM_001276289
NEU1,NM_000434
ISCU,NM_001301140
RNF6,NM_005977
TUSC2,NM_007275
TGOLN2,NM_001206840
PLEKHJ1,NM_001300836
CDIPT,NM_001286585
RPL18A,NM_000980
TMED2,NM_001321445
SUMO1,NM_001005781
CCDC30,NM_001080850
KLHDC3,NM_001242872
MSRA,NM_001135670
COPS9,NM_001163424
GABARAPL1,NM_001363598
PFN2,NM_002628
FRMD4A,NM_001318336
RPL41,NM_001035267
RPL7A,NM_000972
EIF4A2,NM_001967
SET,NM_001122821
TMEM160,NM_017854
RGS4,NM_001102445
MAL2,NM_052886
MACF1,NM_001394062
TAF7,NM_005642
CAPZA2,NM_006136
VBP1,NM_001303543
FAM32A,NM_014077
ZNF782,NM_001001662
NDUFB5,NM_001199957
WSB2,NM_001278557
ATP6AP1,NM_001183
FRMPD4,NM_001368395
NAT8L,NM_178557
PNMA1,NM_006029
TMEM203,NM_053045
SRSF9,NM_003769
RPLP1,NM_001003
GUK1,NM_000858
PDSS2,NM_020381
YWHAH,NM_003405
MMP24OS,NM_001355003
OTUD7A,NM_001329907
SPRY4,NM_001127496
RPL29,NM_000992
MCPH1,NM_001172574
PSMD7,NM_002811
PIP4K2C,NM_001146258
OAZ2,NM_001301302
C1orf43,NM_001098616
MYO1D,NM_001303279
EIF1B,NM_005875
BHLHE40,NM_003670
DHCR24,NM_014762
UBE3D,NM_001304437
ISCA1,NM_030940
SNHG29,NM_152350
ACACA,NM_000664
TMEM141,NM_032928
TMA7,NM_001329417
ANAPC15,NM_001278485
PEX11B,NM_001184795
HNRNPA0,NM_006805
TOMM22,NM_020243
TJP1,NM_001301025
MLLT11,NM_006818
RAN,NM_001300796
BEX4,NM_001080425
TOMM5,NM_001001790
C3orf80,NM_001168214
DUSP4,NM_001394
PIGX,NM_001166304
ZNF133,NM_001083330
MSI2,NM_001322250
EAF1,NM_033083
SMDT1,NM_033318
LRRC47,NM_020710
TPRG1L,NM_182752
TMEM9B,NM_001286094
RPL3,NM_000967
DCAF11,NM_001163484
LAMTOR5,NM_001382293
BTBD6,NM_001387567
WARS,NA
H2AFZ,NA
GDI2,NM_001115156
PMM1,NM_002676
OTUB1,NM_017670
NEIL2,NM_001135746
PCYOX1,NM_016297
NECAP1,NM_015509
OPRL1,NM_000913
MCFD2,NM_001171506
NCKIPSD,NM_016453
AGBL4,NM_001323573
MZT1,NM_001071775
THY1,NM_001311160
FAM222B,NM_001077498
NCBP2,NM_001042540
SNTG1,NM_001287813
MRFAP1,NM_001272053
ADO,NM_032804
APLP2,NM_001142276
RPS14,NM_001025070
PTPRE,NM_001316676
AAMP,NM_001087
CDV3,NM_001134422
ADCY9,NM_001116
UBE2V2,NM_003350
NEFL,NM_006158
CISD2,NM_001008388
EHMT1,NM_001039765
SCAPER,NM_001145923
ENC1,NM_001256574
SLC25A5,NM_001152
ATP6V0D1,NM_004691
EIF1,NM_005801
BCL2L2,NM_001199839
LAMP1,NM_005561
RNF5,NM_006913
UBL4A,NM_014235
ARPC5L,NM_030978
CCDC47,NM_020198
SSH2,NM_001282129
BRK1,NM_018462
MYADM,NM_001020818
RPLP2,NM_001004
MACROD2,NM_001033087
TOMM20,NM_014765
THEM6,NM_001363000
L1CAM,NM_000425
USP5,NM_001098536
SNAPC5,NM_001329613
ATP6V1B2,NM_001693
SYNM,NM_015286
GNL1,NM_005275
CBLN4,NM_080617
C19orf53,NM_014047
ETV1,NM_001163147
BBS9,NM_001033604
BCAS3,NM_001099432
DAZAP2,NM_001136264
APBA1,NM_001163
REEP5,NM_005669
ARF6,NM_001663
RPS2,NM_002952
FAU,NM_001997
PIP4P1,NM_001100814
TRIM23,NM_001656
EIF5,NM_001969
TRAF3,NM_001199427
GRINA,NM_000837
NRG3,NM_001010848
STK16,NM_001008910
TNRC6A,NM_001330520
RPL39,NM_001000
OPCML,NM_001012393
RALGPS2,NM_001286247
AP2M1,NM_001025205
B3GALNT1,NM_001038628
GABRD,NM_000815
RTL6,NM_032287
ACP1,NM_001040649
PEX19,NM_001131039
MBD5,NM_001378120
ATP6V1D,NM_015994
ZPR1,NM_001317086
SAMD12,NM_001101676
MRPS12,NM_021107
VPS25,NM_032353
IGF1R,NM_000875
FAAH2,NM_001353840
SOS1,NM_001382394
TNIK,NM_001161560
RNASEK,NM_001004333
ATP2A2,NM_001135765
ANKS1B,NM_001204065
RPS15,NM_001018
NARS,NA
SLC39A7,NM_001077516
MAGEF1,NM_022149
SETBP1,NM_001130110
EMC6,NM_001014764
SPCS1,NM_014041
PDAP1,NM_014891
TMEM183A,NM_001322955
FNBP1,NM_001363755
FAM3C,NM_001040020
CTNNA2,NM_001164883
ANTKMT,NM_001271285
CHGB,NM_001819
GABRA1,NM_000806
STMN3,NM_001276310
DIRAS2,NM_017594
DLG2,NM_001142699
ATXN7L1,NM_001318229
SUPT4H1,NM_003168
SMKR1,NM_001195243
TCEAL8,NM_001006684
DUSP3,NM_004090
RPS16,NM_001020
USP46,NM_001134223
MRPL19,NM_014763
TIMM13,NM_012458
CACNA1A,NM_000068
HSBP1,NM_001537
FER,NM_001308028
CACNA2D3,NM_018398
RPL10A,NM_007104
ATP5PB,NM_001002014
NR4A1,NM_001202233
RPL30,NM_000989
R3HDM2,NM_001330121
RPL23,NM_000978
ABCF2,NM_007189
CDKN2AIPNL,NM_080656
LY6E,NM_001127213
SUB1,NM_006713
ST3GAL6,NM_001271142
CSMD1,NM_033225
ERP29,NM_001034025
PYURF,NM_032906
PHACTR1,NM_001242648
FAM135B,NM_001362965
MRPS24,NM_032014
RPS15A,NM_001019
TM2D3,NM_001307960
RPL18,NM_000979
CLVS1,NM_173519
TBC1D5,NM_001134380
MFN2,NM_001127660
ARL1,NM_001177
RPS4X,NM_001007
RPL32,NM_000994
DSCAM,NM_001271534
ERC2,NM_015576
PDXP,NM_020315
FTH1,NM_002032
TM2D2,NM_001024380
UQCRH,NM_001297565
TOX4,NM_001303523
C16orf91,NA
ACTG1,NM_001199954
FITM2,NM_001080472
ZFYVE28,NM_001172656
STUB1,NM_001293197
NORAD,NR_027451
TMSB10,NM_021103
PDE10A,NM_001130690
FAM89B,NM_001098784
AUTS2,NM_001127231
RPL10,NM_001256577
TINF2,NM_001099274
CLCN4,NM_001256944
SERINC3,NM_006811
CD81,NM_001297649
HMGN4,NM_006353
SEC62,NM_003262
STXBP5L,NM_001308330
FLNB,NM_001164317
SLC16A10,NM_018593
OMG,NM_002544
RPS25,NM_001028
HAX1,NM_001018837
CRADD,NM_001320099
SELENOT,NM_016275
TTC9B,NM_152479
FAM174C,NM_017914
KCNB2,NM_004770
ATP6V1G2,NM_001204078
CTNND2,NM_001288715
ATP6V1E1,NM_001039366
MRPS17,NM_015969
COX7C,NM_001867
UBE2S,NM_014501
DIPK1A,NM_001006605
MCF2L2,NM_015078
KAT5,NM_001206833
EEF1G,NM_001404
KBTBD11,NM_014867
RBFOX1,NM_001142333
RPS23,NM_001025
B4GAT1,NM_006876
ZNF846,NM_001077624
RAB5IF,NM_001199534
ATP1A1,NM_000701
TMX4,NM_021156
MICAL3,NM_001122731
CREBL2,NM_001310
HDDC2,NM_016063
FARSA,NM_004461
POMP,NM_015932
KCNQ5,NM_001160130
EIF4G2,NM_001042559
FGF14,NM_001321931
PITHD1,NM_020362
BAG1,NM_001172415
POLR2I,NM_006233
HDDC3,NM_001286451
BRF2,NM_018310
BAIAP2-DT,NM_001004336
ANKRD26,NM_001256053
ELP4,NM_001288725
CACNA1B,NM_000718
XKR6,NM_173683
PFKM,NM_000289
OSBP2,NM_001003812
RPL11,NM_000975
POLR3H,NM_001018050
SERINC1,NM_020755
RPL35A,NM_000996
NEDD8,NM_006156
MAP2K1,NM_001411065
IDH3B,NM_001258384
RPL34,NM_000995
ENO2,NM_001975
SKP1,NM_006930
SPOCK1,NM_004598
GMPR2,NM_001002000
NDUFAF8,NM_001086521
C11orf80,NM_001302084
C9orf16,NA
