"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"RXRA (mouse)",0.369766155728613,1.10173364179019,1.09609770647988,"['ACHE', 'RPL30', 'FMR1', 'SLC7A14', 'PHAX', 'FURIN', 'COX5B', 'CLGN', 'ATP6AP1L', 'PSMB6', 'CCDC85B', 'RARS', 'ABI3BP', 'POLR2I', 'AP1B1', 'SHISA5', 'DUSP28', 'SORCS3', 'NME1', 'CORT', 'NDUFS8', 'PSMG3', 'NHP2', 'NAA38', 'PPIB']",0.999497414491812,0,0,25,"RXRA",0.999497414491812,0.00422680758037584,0.296101359849609,NA,NA,NA,0.358378899377654,0.594399646831291
"NR5A1 (mouse)",0.370973929887897,1.0686958614052,1.05974391843271,"['SET', 'RPS19BP1', 'MRPS36', 'UQCR11', 'PPM1E', 'BZW1', 'CNDP2', 'UBL5', 'NUDCD2', 'TRIM28', 'RPL36AL', 'ENPP1', 'TIMM17B', 'CCT7', 'KCNF1', 'PPP1R14A', 'FIS1', 'LEFTY1', 'GABBR1', 'DUSP3', 'SNAPIN', 'MDH2', 'RPS8', 'PGAM1', 'ST8SIA2', 'GSS', 'TMEM132A', 'RFX2', 'SLC39A11', 'EDF1', 'GLRX2', 'GNL2', 'CPT1B', 'EIF2S1', 'LRRC42', 'BMP3', 'LSM7', 'FNDC4', 'NACA', 'CROCC', 'CYCS', 'FXYD6', 'MKX', 'RPS21', 'TOMM5', 'GRINA', 'OTUB1']",0.999497414491812,0,0,47,"NR5A1",0.999497414491812,NA,NA,NA,NA,NA,NA,NA
"CRTC3 (human)",0.39140288200201,1.0556250281139,0.990195130605439,"['DAZAP2', 'WNT2B', 'CCNI', 'RPL32', 'CELF1', 'ANKRD36', 'RPL34', 'PCDH11X', 'SLC7A14', 'NENF', 'RPL9', 'CYP4Z1', 'CASP6', 'RPL37', 'TMEM14B', 'TRPC3', 'DAPK1', 'RPS6', 'KSR2', 'WDR77', 'GPRIN3', 'PALLD', 'CRH', 'COL21A1', 'MPPE1', 'NDUFB10', 'RGS16', 'UQCR11', 'HSD17B12', 'KLHL13', 'LAGE3', 'FAM149A', 'SRM', 'APH1A', 'TCEAL7', 'RPL14', 'RDH14', 'DMD', 'CD59', 'EIF2B5', 'USH2A', 'LARP6', 'TMEM198', 'SLC8A3', 'NFIA', 'BCL6', 'SST', 'RPS29', 'PSMC1', 'FAM98C', 'FAU', 'FGFR2']",0.999497414491812,0,0,52,"CRTC3",0.999497414491812,0.000220932284590159,0.213003246103856,NA,NA,NA,0.114616509229391,0.823718554902973
"Hand1::Tcfe2a (mouse)",0.391786389798021,1.2452380952381,1.16683605147573,"['GPRIN3', 'PFKFB2', 'DBR1', 'LONRF1', 'PCYOX1', 'PTPN3']",0.999497414491812,0,0,6,"Hand1::Tcfe2a",0.999497414491812,NA,NA,NA,NA,NA,NA,NA
"ESR2 (human)",0.39413879968085,1.28176525004081,1.19339028962515,"['SPSB3', 'DDX39B', 'IMP4', 'SSTR2', 'TMCO1']",0.999497414491812,0,0,5,"ESR2",0.999497414491812,0.399830705555453,0.968846147109587,NA,NA,NA,0.8492175983245,0.611855475808359
"ARNT (human)",0.397139754028746,1.03922998943354,0.959694637004464,"['ACHE', 'RPL3', 'ARHGDIG', 'USE1', 'RPTOR', 'RPL7A', 'KRTCAP2', 'NUDCD2', 'TRIM28', 'RASGEF1C', 'RPS10', 'RPL39', 'NOMO1', 'CALN1', 'UNC13B', 'RPS9', 'RBFOX1', 'ST6GAL2', 'VPS33B', 'NME3', 'URB2', 'C4ORF48', 'SORCS3', 'PDIA6', 'ZNF14', 'DEXI', 'INPP4B', 'VGF', 'MMP16', 'TRAF3', 'CDH11', 'ZNF516', 'BLVRB', 'ASPHD2', 'CHMP4A', 'SNRPF', 'PHPT1', 'RBM23', 'PPARA', 'ATP6V0D1', 'CGGBP1', 'CUL9', 'GRAMD1B', 'CUL7', 'GSTP1', 'RPL11', 'CLEC16A', 'GPS2', 'ATP1A3', 'SLC3A2', 'UQCR10', 'NPAS3', 'ANAPC11', 'RIC8A', 'MRPL20', 'GRK4', 'DDT', 'POLD2', 'RPL14', 'DMD', 'CCT7', 'LONRF1', 'ZNF302', 'ABCF3', 'POLR2K', 'CLASP1', 'RBM11', 'POLR2L', 'NKTR', 'CHKA', 'WSCD1', 'YIPF3', 'TRAPPC5', 'CYHR1', 'VEGFB', 'RPL23A', 'SEMA4F', 'BTBD6', 'NR2F2', 'MRPL21', 'DBNDD2', 'COL5A1', 'SST', 'NFIC', 'PDE3A', 'CYCS', 'RPS21', 'FGFR2', 'GRINA']",0.999497414491812,0,0,89,"ARNT",0.999497414491812,0.0174937797992605,0.116806791524892,NA,NA,NA,0.652439793633765,0.744383070556009
"NKX2-8 (human)",0.403558785654617,1.10725411659991,1.00475904938693,"['RBFOX1', 'TSTD1', 'CD81', 'LMO3', 'RFX2', 'RASGRP2', 'BZW1', 'USE1', 'TMEM198', 'DLG1', 'TCEAL3', 'ABI3BP', 'RPL7L1', 'TNS3', 'UBA52', 'EPHB3']",0.999497414491812,0,0,16,"NKX2-8",0.999497414491812,NA,NA,NA,NA,NA,NA,NA
"SP1 (mouse)",0.410521068497944,1.02786377708978,0.915135929109287,"['HDDC2', 'ATP8A2', 'NDUFA11', 'ECI1', 'PDCD5', 'ARHGDIG', 'PHAX', 'RPL7', 'CNDP2', 'KRTCAP2', 'ABHD10', 'UBASH3B', 'RPL36AL', 'NAMPT', 'STMN1', 'CDK5RAP1', 'PIM1', 'RPL38', 'BANF1', 'SLC39A7', 'SCN1B', 'ATP6V1G1', 'IAH1', 'SLC30A3', 'IGFBP5', 'FBXO2', 'RFX2', 'CNPY3', 'CPT1B', 'SAP30', 'FRMD5', 'CCNE1', 'DDIT3', 'CGGBP1', 'NECAB2', 'CUTA', 'CUL9', 'ATP6V1A', 'BRI3', 'CCDC148', 'PCDH10', 'KLHL17', 'COPS7A', 'MRPL14', 'UAP1', 'PDS5B', 'RASGRP2', 'OAZ1', 'STK3', 'NLN', 'ZMAT1', 'MAN2A1', 'LONRF1', 'SLC38A2', 'SERF2', 'FIS1', 'KLHDC3', 'CHKA', 'FAM78B', 'ZFR2', 'EPHX2', 'BTBD6', 'NR2F2', 'FBXO30', 'TMEM198', 'THAP11', 'DRAP1', 'DLG1', 'EFNA3', 'BCL6', 'UQCRQ', 'UBE2S', 'B4GALT2', 'DAZAP2', 'ACHE', 'WNT2B', 'CELF1', 'PHF20', 'COX4I1', 'DIRAS1', 'MEA1', 'RND2', 'SERP2', 'MRPL40', 'DLGAP3', 'RALGPS1', 'MAP4K2', 'HSP90AA1', 'GPX4', 'H2AFZ', 'IFNGR2', 'TNFRSF19', 'TCF12', 'LIX1L', 'NDUFC2', 'WIPI1', 'KSR2', 'KIF7', 'RGMB', 'SORCS3', 'COASY', 'LRRC42', 'VGF', 'TRAF3', 'POLR1B', 'BLVRB', 'HNRNPH3', 'PPARA', 'PTMA', 'CHMP5', 'RGS16', 'VPS4A', 'ACVR1B', 'SRM', 'PURB', 'CAMK2N2', 'PCBD1', 'NKTR', 'GDF11', 'PPP1R14A', 'GIT2', 'MDH2', 'CYHR1', 'VEGFB', 'SPSB3', 'DBNDD2', 'NFIA', 'LPCAT4', 'DNAJA4', 'ASXL3', 'CROCC', 'TCEA3', 'MDGA1', 'PTPN2', 'TOMM6', 'GRINA']",0.999497414491812,0,0,136,"SP1",0.999497414491812,0.000994485006887694,0.024800432107589,0.854719423344633,0.855329011820536,-0.155203394594898,0.441069173275815,0.748818357339388
"PLAU (human)",0.41353620199758,1.03510611024071,0.914009272238085,"['COX7B', 'RPL3', 'CCNI', 'DIRAS1', 'CEP120', 'CLTC', 'RPL9', 'BACH2', 'CNDP2', 'RPS14', 'CHCHD2', 'LCNL1', 'TMEM147', 'MAP1LC3A', 'TRIM28', 'OPA3', 'RPLP2', 'RPS9', 'LEFTY1', 'GABARAPL1', 'ST6GAL1', 'ATP6V1G1', 'RPL21', 'RPS3A', 'GLRX2', 'SSTR2', 'SLC25A17', 'VGF', 'ZNF516', 'CRH', 'HECA', 'LAP3', 'RPP25', 'MZF1', 'FKBP3', 'PTMA', 'CUTA', 'ATP6V1A', 'UQCRB', 'TM2D2', 'DCUN1D3', 'NDUFB2', 'RNF7', 'SEZ6L2', 'CLCN3', 'SPATA7', 'TSPAN31', 'UBE2J1', 'RIC8A', 'PURB', 'PARD6A', 'TDG', 'CCDC30', 'G3BP2', 'RPL13', 'DMD', 'RPL18', 'HES4', 'RANBP1', 'KCNF1', 'RPL41', 'SF3A1', 'ZNF460', 'IDH3G', 'ST8SIA2', 'ADAT1', 'CWC15', 'TMEM198', 'SLC8A3', 'TMEM59', 'RPS27', 'RPS29', 'UBE2S', 'SST', 'ASXL3', 'IMPDH2', 'APEX1', 'C18ORF32', 'CYCS', 'NF2', 'ZNF335', 'CALM2', 'TPT1']",0.999497414491812,0,0,83,"PLAU",0.999497414491812,NA,NA,NA,NA,NA,NA,NA
"AHR (human)",0.41353620199758,1.03510611024071,0.914009272238085,"['ACHE', 'CNTNAP2', 'MCFD2', 'NDUFA11', 'NDUFA12', 'PHF20', 'RPL34', 'RPL10A', 'RPL7', 'TXNDC17', 'SCAMP5', 'LCNL1', 'MRPL40', 'RASGEF1C', 'VPS35', 'RPS10', 'CHCHD1', 'IDH3A', 'EPHB3', 'GABARAPL1', 'HSP90AA1', 'TRAPPC2L', 'PGAM1', 'SLC39A11', 'KAZN', 'C1ORF43', 'SHISA9', 'SORCS3', 'GTPBP4', 'WDR77', 'SAP30', 'FNDC4', 'THAP5', 'NDUFS6', 'DDIT3', 'NHP2', 'ASPHD2', 'PHPT1', 'RBM23', 'PTMA', 'SLC25A4', 'SLC24A4', 'BEX2', 'TOMM40', 'SET', 'DCTN3', 'KLHL17', 'RPN1', 'GPS2', 'ATP1A3', 'MRPL14', 'CLCN3', 'ZBTB5', 'DPCD', 'ATP6AP1L', 'NLN', 'RAB11FIP1', 'C1ORF109', 'RAB24', 'RPL14', 'RPL13', 'CYC1', 'WASF1', 'ZNF302', 'ABCF3', 'ANKMY1', 'POLR2L', 'SURF1', 'RAB4B', 'NDUFA6', 'CHKA', 'KLHL25', 'EYA4', 'CYHR1', 'VEGFB', 'FAM199X', 'DOHH', 'S100B', 'GFER', 'DNAJA4', 'LHX2', 'NOL12', 'FGFR2']",0.999497414491812,0,0,83,"AHR",0.999497414491812,1.5596867764787e-10,0.00575697917429244,0.715139405512206,0.716153926596011,-0.317537630122562,0.508364865099555,0.66163177394438
