"Ensembl","Gene_Symbols"
"ENSG00000244405","ETV5"
"ENSG00000198369","SPRED2"
"ENSG00000164512","ANKRD55"
"ENSG00000147571","CRH"
"ENSG00000120875","DUSP4"
"ENSG00000054803","CBLN4"
"ENSG00000187678","SPRY4"
"ENSG00000241563","CORT"
"ENSG00000101438","SLC32A1"
"ENSG00000171314","PGAM1"
"ENSG00000132326","PER2"
"ENSG00000163888","CAMK2N2"
"ENSG00000248485","PCP4L1"
"ENSG00000128564","VGF"
"ENSG00000188290","HES4"
"ENSG00000176907","TCIM"
"ENSG00000145741","BTF3"
"ENSG00000111652","COPS7A"
"ENSG00000162520","SYNC"
"ENSG00000182013","PNMA8A"
"ENSG00000270170","NCBP2AS2"
"ENSG00000281344","HELLPAR"
"ENSG00000071575","TRIB2"
"ENSG00000138741","TRPC3"
"ENSG00000182916","TCEAL7"
"ENSG00000134575","ACP2"
"ENSG00000177954","RPS27"
"ENSG00000177875","CCDC184"
"ENSG00000175768","TOMM5"
"ENSG00000125869","LAMP5"
"ENSG00000180964","TCEAL8"
"ENSG00000115226","FNDC4"
"ENSG00000204387","SNHG32"
"ENSG00000174446","SNAPC5"
"ENSG00000187051","RPS19BP1"
"ENSG00000136999","CCN3"
"ENSG00000089199","CHGB"
"ENSG00000116194","ANGPTL1"
"ENSG00000163932","PRKCD"
"ENSG00000152580","IGSF10"
"ENSG00000134419","RPS15A"
"ENSG00000198755","RPL10A"
"ENSG00000175197","DDIT3"
"ENSG00000146386","ABRACL"
"ENSG00000056972","TRAF3IP2"
"ENSG00000156587","UBE2L6"
"ENSG00000115963","RND3"
"ENSG00000165502","RPL36AL"
"ENSG00000230358","SPDYE21P"
"ENSG00000198682","PAPSS2"
"ENSG00000143947","RPS27A"
"ENSG00000062582","MRPS24"
"ENSG00000269893","SNHG8"
"ENSG00000168386","FILIP1L"
"ENSG00000206503","HLA-A"
"ENSG00000165821","SALL2"
"ENSG00000138735","PDE5A"
"ENSG00000164106","SCRG1"
"ENSG00000168701","TMEM208"
"ENSG00000157005","SST"
"ENSG00000127774","EMC6"
"ENSG00000121380","BCL2L14"
"ENSG00000139537","CCDC65"
"ENSG00000172878","METAP1D"
"ENSG00000174944","P2RY14"
"ENSG00000113578","FGF1"
"ENSG00000161970","RPL26"
"ENSG00000099977","DDT"
"ENSG00000042813","ZPBP"
"ENSG00000128285","MCHR1"
"ENSG00000146469","VIP"
"ENSG00000205078","SYCE1L"
"ENSG00000175906","ARL4D"
"ENSG00000260260","SNHG19"
"ENSG00000278970","HEIH"
"ENSG00000134809","TIMM10"
"ENSG00000223442","TH2LCRR"
"ENSG00000232956","SNHG15"
"ENSG00000115825","PRKD3"
"ENSG00000232388","SMIM26"
"ENSG00000221821","C6orf226"
"ENSG00000180116","C12orf40"
"ENSG00000205138","SDHAF1"
"ENSG00000078795","PKD2L2"
"ENSG00000197728","RPS26"
"ENSG00000091879","ANGPT2"
"ENSG00000214114","MYCBP"
"ENSG00000170092","SPDYE5"
"ENSG00000205238","SPDYE2"
"ENSG00000138079","SLC3A1"
"ENSG00000143443","C1orf56"
"ENSG00000106399","RPA3"
"ENSG00000206199","ANKUB1"
"ENSG00000204237","OXLD1"
