"Ensembl","Gene_Symbols","p","acrophase_AD","acrophase_CTL","amplitude_AD","amplitude_CTL","BHQ","Bonf","Log_AD_CTL_ampRatio"
"ENSG00000241563","CORT",1.03818966212548e-09,"1.81239441653231","1.88485197340566","2.77499351184","6.46987221677052",1.62891957987488e-06,1.62891957987488e-06,-0.846507949085036
"ENSG00000147571","CRH",8.90647576769382e-09,"1.83896048630807","1.75939083834426","17.1088475847653","32.8439509996396",6.9871302397558e-06,1.39742604795116e-05,-0.652171855613462
"ENSG00000145741","BTF3",6.24573372315725e-07,"3.39126158751817","2.97131364051185","5.57330268550721","10.826476453829",0.000326651873721124,0.000979955621163372,-0.664006837589835
"ENSG00000182307","C8orf33",5.66541336375308e-06,"2.28360808863656","2.6699688498729","1.29978218743571","4.40761760636751",0.00222225839193215,0.00888903356772858,-1.22113761586764
"ENSG00000135624","CCT7",1.95068228323463e-05,"3.02110587559463","2.55828240953198","1.68166288489413","5.94359310883911",0.00510103417065856,0.0306062050239513,-1.26253073466314
"ENSG00000180964","TCEAL8",1.62972194672537e-05,"3.01670208886324","2.53296871574407","3.6408330238019","6.45130608405595",0.00510103417065856,0.0255703373441211,-0.572070095801998
"ENSG00000143947","RPS27A",4.67549872249769e-05,"2.96551124098645","2.77058832530835","14.8068876852312","37.7555756941071",0.00622077943488063,0.0733585749559888,-0.936040708644835
"ENSG00000114902","SPCS1",4.49123625800941e-05,"2.55756289778545","2.63569660060185","4.36716347438644","9.60675520678365",0.00622077943488063,0.0704674968881676,-0.78835281056166
"ENSG00000163682","RPL9",3.55210088899967e-05,"3.12871539721493","2.83298549779471","14.2766747590912","36.5286218659662",0.00622077943488063,0.0557324629484048,-0.939469044218754
"ENSG00000229117","RPL41",4.75776629818786e-05,"2.75984891048283","2.81273356478781","22.7917623495111","56.0018659189472",0.00622077943488063,0.0746493532185675,-0.898985839945632
"ENSG00000232388","SMIM26",4.71078033159811e-05,"3.30222003687843","2.72230911750481","2.26652724919125","5.37762805614236",0.00622077943488063,0.0739121434027743,-0.863998581286298
"ENSG00000198832","SELENOM",4.29719708560388e-05,"2.86243656184951","2.62083679401131","4.98953914096303","11.2205933160071",0.00622077943488063,0.0674230222731249,-0.810407229933111
"ENSG00000142937","RPS8",6.39441552922722e-05,"2.97420529940651","2.85031771354358","5.82989004804213","19.3141239119382",0.00723483526992904,0.100328379653575,-1.19783849667745
"ENSG00000170860","LSM3",7.83889098717614e-05,"3.08846957521057","2.88700587678119","1.5342401725767","4.66888986343773",0.00723483526992904,0.122992199588794,-1.11288606990637
"ENSG00000196683","TOMM7",6.87541847109957e-05,"2.91649668155851","2.77091951535675","8.42493477229766","22.5837709952321",0.00723483526992904,0.107875315811552,-0.98603581671865
