"Ensembl","Gene_Symbols"
"ENSG00000163875","MEAF6"
"ENSG00000162783","IER5"
"ENSG00000162817","C1orf115"
"ENSG00000151692","RNF144A"
"ENSG00000144031","ANKRD53"
"ENSG00000153246","PLA2R1"
"ENSG00000144451","SPAG16"
"ENSG00000070950","RAD18"
"ENSG00000164086","DUSP7"
"ENSG00000152969","JAKMIP1"
"ENSG00000186222","BLOC1S4"
"ENSG00000109323","MANBA"
"ENSG00000113575","PPP2CA"
"ENSG00000113552","GNPDA1"
"ENSG00000211445","GPX3"
"ENSG00000137210","TMEM14B"
"ENSG00000135334","AKIRIN2"
"ENSG00000146263","MMS22L"
"ENSG00000135535","CD164"
"ENSG00000187189","TSPYL4"
"ENSG00000066651","TRMT11"
"ENSG00000185345","PRKN"
"ENSG00000122547","EEPD1"
"ENSG00000172354","GNB2"
"ENSG00000155660","PDIA4"
"ENSG00000147485","PXDNL"
"ENSG00000197816","CCDC180"
"ENSG00000159069","FBXW5"
"ENSG00000203772","SPRN"
"ENSG00000166311","SMPD1"
"ENSG00000187486","KCNJ11"
"ENSG00000139154","AEBP2"
"ENSG00000125249","RAP2A"
"ENSG00000119669","IRF2BPL"
"ENSG00000174109","C16orf91"
"ENSG00000171490","RSL1D1"
"ENSG00000132612","VPS4A"
"ENSG00000067191","CACNB1"
"ENSG00000141232","TOB1"
"ENSG00000153982","GDPD1"
"ENSG00000180616","SSTR2"
"ENSG00000172465","TCEAL1"
"ENSG00000160131","VMA21"
"ENSG00000225110","PNMA6F"
"ENSG00000155961","RAB39B"
