GENE_SYMBOLS,refseq_ids
MPEG1,NM_001039396
YWHAH,NM_003405
LTC4S,NM_000897
AZIN2,NM_001293562
CX3CR1,NM_001171171
CALM2,NM_001305624
SNAP25,NM_001322902
SFMBT2,NM_001018039
PFN2,NM_002628
VSNL1,NM_001366803
EIF4A2,NM_001967
PRDM11,NM_001256695
A2M,NM_000014
NAV2,NM_001111018
IGF1,NM_000618
MLLT11,NM_006818
NRN1,NM_001278710
ACY3,NM_080658
TPI1,NM_000365
DYNLL1,NM_001037494
DSTN,NM_001011546
CALM3,NM_001329921
ATP5MPL,NA
BEX3,NM_001282674
RGS4,NM_001102445
GAP43,NM_001130064
STMN1,NM_001145454
P2RY13,NM_023914
SSH2,NM_001282129
PRDX5,NM_001358511
HOPX,NM_001145459
USP15,NM_001252078
FMN1,NM_001103184
COPS9,NM_001163424
CCDC85B,NM_006848
ATP6V1G2,NM_001204078
PLAT,NM_000930
IFNAR2,NM_000874
NEAT1,NR_002802
CHCHD2,NM_001320327
SELENOW,NM_003009
MACORIS,NR_184023
NDUFA4,NM_002489
TRPM3,NM_001007470
PCP4,NM_006198
ACTG1,NM_001199954
PGAM1,NM_001317079
COX4I1,NM_001318786
NAP1L5,NM_153757
ENC1,NM_001256574
PNMA2,NM_007257
GTDC1,NM_001006636
TAGLN3,NM_001008272
SRP9,NM_001130440
PDE4D,NM_001104631
IGF2R,NM_000876
ARNTL,NA
PER3,NM_001289861
TMTC2,NM_001320321
PID1,NM_001100818
HTRA1,NM_002775
PLXDC1,NM_020405
UQCRH,NM_001297565
PHF21A,NM_001101802
MRFAP1,NM_001272053
CHCHD10,NM_001301339
GAL3ST4,NM_024637
GNG3,NM_012202
STON2,NM_001256430
ATP5MD,NA
WLS,NM_001002292
NLRC5,NM_001330552
TMED8,NM_001346131
SLC35G2,NM_001097599
EAF2,NM_001320041
MICOS10,NM_001032363
COX5B,NM_001862
FOXP1,NM_001012505
TNFAIP8,NM_001077654
STUB1,NM_001293197
MED12L,NM_001393769
AP1S1,NM_001283
MAP1LC3A,NM_032514
LILRB4,NM_001081438
CEND1,NM_016564
NAALADL2,NM_207015
BEX1,NM_018476
ADAP2,NM_001346712
TBC1D8,NM_001102426
ALDOC,NM_005165
UBL5,NM_001048241
TCEAL7,NM_001348258
PLD4,NM_001308174
NAP1L2,NM_021963
SELENOH,NM_001321335
P2RY12,NM_022788
SUSD3,NM_001287005
BEX4,NM_001080425
TOMM7,NM_019059
RPL34,NM_000995
ADA2,NM_001282225
JAK3,NM_000215
H2AFZ,NA
BEX5,NM_001012978
MGLL,NM_001003794
KIF26B,NM_018012
ATP5MC3,NM_001002256
COPS8,NM_006710
P3H2,NM_001134418
COX6C,NM_004374
POLR2K,NM_005034
SULT4A1,NM_014351
TSPAN7,NM_004615
TBC1D4,NM_001286658
NSG1,NM_001040101
DEC1,NA
MOAP1,NM_022151
CNIH3,NM_001322302
HCG22,NM_001348249
RNF19B,NM_001127361
CLEC9A,NM_207345
AGTPBP1,NM_001286715
ITGAX,NM_000887
EIF1B,NM_005875
RPS19BP1,NM_194326
PNMA1,NM_006029
NRSN1,NM_080723
COX7A1,NM_001864
HCLS1,NM_001292041
TBC1D14,NM_001113361
HNRNPA1P48,NA
TMSB10,NM_021103
LPAR1,NM_001351397
C4orf48,NM_001141936
UQCR11,NM_006830
ZMAT1,NM_001011657
PMEPA1,NM_001255976
MZT2B,NM_001330282
HDAC4,NM_001378414
ATP6V1D,NM_015994
MARCKSL1,NM_023009
TLR5,NM_003268
ATP11A,NM_001405661
DOCK5,NM_001322810
DPYD,NM_000110
SRP14,NM_001309434
B4GAT1,NM_006876
HINT1,NM_005340
GABARAPL1,NM_001363598
RBFOX1,NM_001142333
NCK1-DT,NR_110175
TSHZ3,NM_020856
MIF,NM_002415
CYCS,NM_018947
STMN3,NM_001276310
CTNNA3,NM_001127384
RPL41,NM_001035267
TLR4,NM_003266
SNCG,NM_001330120
GPR34,NM_001033513
LCP1,NM_002298
TTC9B,NM_152479
RPS21,NM_001024
CHST15,NM_001270764
HIGD1A,NM_001099668
TMEM160,NM_017854
RUNX1,NM_001001890
PYGL,NM_001163940
MS4A6A,NM_001247999
ANAPC13,NM_001242374
ATP5MF,NM_001003713
DENND3,NM_001352890
NLRP3,NM_001079821
RPL38,NM_000999
VSTM2L,NM_080607
CASP4,NM_001225
SCG2,NM_003469
RBPJ,NM_001363577
DTNBP1,NM_001271667
DUSP10,NM_007207
DSE,NM_001080976
CD163,NM_001370145
COX7A2,NM_001366292
ABHD3,NM_001308256
AGBL3,NM_001345850
RIMS2,NM_001100117
ATP5IF1,NM_016311
UQCRQ,NM_014402
TMEM14A,NM_014051
CACNB4,NM_000726
NR1D2,NM_001145425
KBTBD12,NM_001370224
SLC38A2,NM_001307936
SNHG6,NR_002599
DIRAS2,NM_017594
SLA,NM_001045556
UQCR10,NM_001003684
COX6A1,NM_004373
LNCAROD,NR_120641
ANAPC11,NM_001002244
SNHG8,NR_003584
FAM53B,NM_014661
RASA2,NM_001303245
C1orf112,NA
ARHGAP9,NM_001080156
IQGAP1,NM_003870
RPL21,NM_000982
PACSIN1,NM_001199583
SH3PXD2B,NM_001017995
DSCAM,NM_001271534
ZC4H2,NM_001178032
MAGEH1,NM_014061
SAP30,NM_003864
PTPN2,NM_001207013
ZNF385B,NM_001113397
COX14,NM_001257133
NDUFAF8,NM_001086521
OPCML,NM_001012393
DHRS9,NM_001142270
RAB40B,NM_006822
IMPA2,NM_014214
ST14,NM_021978
