GENE_SYMBOLS,refseq_ids
CX3CR1,NM_001171171
MPEG1,NM_001039396
LTC4S,NM_000897
AZIN2,NM_001293562
PCP4,NM_006198
ACY3,NM_080658
PRDM11,NM_001256695
PLAT,NM_000930
NAV2,NM_001111018
NEAT1,NR_002802
IGF1,NM_000618
KIF26B,NM_018012
PLXDC1,NM_020405
SNHG8,NR_003584
HCG22,NM_001348249
JAK3,NM_000215
RBFOX1,NM_001142333
TBC1D8,NM_001102426
TBC1D14,NM_001113361
ZNF385B,NM_001113397
CHRM3,NM_000740
PTPN2,NM_001207013
DPYD,NM_000110
BCL6,NM_001130845
KCNB2,NM_004770
KCNIP4,NM_001035003
DUSP10,NM_007207
RALYL,NM_001100391
KCNQ5,NM_001160130
CDH12,NM_001317227
ERC2,NM_015576
TMEM70,NM_001040613
SLC5A9,NM_001011547
CASP4,NM_001225
SHOC1,NM_001080551
FRMPD4,NM_001368395
ST14,NM_021978
CDH18,NM_001167667
SNHG15,NR_003697
ADGRE2,NM_001271052
NRG1,NM_001159995
CD163,NM_001370145
MS4A14,NM_001079692
RNF149,NM_173647
IQGAP2,NM_001285460
CLIC4,NM_013943
SH2B2,NM_001359228
CD93,NM_012072
NIBAN1,NM_052966
SBNO2,NM_001100122
PVT1,NR_003367
SLC11A1,NM_000578
PIM1,NM_001243186
LILRB3,NM_001081450
HAMP,NM_021175
SH3PXD2B,NM_001017995
CD163L1,NM_001297650
SYN3,NM_001135774
S100A8,NM_001319196
FAM20A,NM_001243746
PXN,NM_001080855
ALOX15B,NM_001039130
CPT1A,NM_001031847
TYMP,NM_001113755
FAM157C,NR_126161
RYR2,NM_001035
CEMIP2,NM_001135820
SERPINA1,NM_000295
RNF144B,NM_182757
IFITM2,NM_006435
HMOX1,NM_002133
IL21R,NM_021798
MAP3K8,NM_001244134
HSPA1A,NM_005345
FLVCR2,NM_001195283
FCGBP,NM_003890
FAM110B,NM_001377989
SCO2,NM_001169109
XBP1,NM_001079539
TMEM163,NM_030923
CCDC26,NR_130917
S100A9,NM_002965
DIRC3,NR_026597
ACSL1,NM_001286708
ZFP36,NM_003407
LIMK2,NM_001031801
TGFBI,NM_000358
F13A1,NM_000129
HSPA1B,NM_005346
PPP1R3B,NM_001201329
DDIT4,NM_019058
MANF,NM_006010
LMNB1,NM_001198557
PLTP,NM_001242920
NFIL3,NM_001289999
CPA6,NM_001127445
LDLRAD3,NM_001304263
SLC7A5,NM_003486
SPON1,NM_006108
FGR,NM_001042729
HSPA6,NM_002155
SLC2A3,NM_006931
OLR1,NM_001172632
PDIA4,NM_001371244
HSPA5,NM_005347
ROR2,NM_001318204
CDKN1A,NM_000389
MGAM,NM_001365693
NAMPT,NM_005746
HIST2H2BE,NA
GK,NM_000167
RGS16,NM_002928
HSPH1,NM_001286503
DNAJB1,NM_001300914
CH25H,NM_003956
RBMS3,NM_001003792
