"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"TBX20","TBX20","MA0689.1","0.628833",0.264687,0.808806,0.800256,0.0538963,12,"False",0.980572901749663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HESX1","HESX1","MA0894.1","0.627298",0.26522,0.840256,0.826882,0.0400206,12,"False",0.980572901749663,0.729696829876913,0.669461794101807,NA,NA,NA,0.890138815727654,0.818252374634396,NA,NA,NA,NA
"MAX","MAX::MYC","MA0059.1","0.624421",0.266157,0.806565,0.797632,0.0360489,12,"False",0.980572901749663,2.93581319892451e-07,0.0125332010765984,0.767469475955264,0.763717404132188,-0.451257385536495,0.172190109171966,0.113476580634083,0.566822758613713,0.787723173288058,NA,0.257060886568025
"MYC","MAX::MYC","MA0059.1","0.624421",0.266157,0.806565,0.797632,0.0360489,12,"False",0.980572901749663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pou5f1","Pou5f1::Sox2","MA0142.1","0.612997",0.269891,0.759096,0.749041,0.0703861,12,"False",0.980572901749663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sox2","Pou5f1::Sox2","MA0142.1","0.612997",0.269891,0.759096,0.749041,0.0703861,12,"False",0.980572901749663,1.34481979195037e-05,0.147481549575988,NA,NA,NA,0.0195460452516532,0.00772457310375403,0.458185531872514,0.702032181770732,NA,0.0758987072643977
"NR2F6","NR2F6","MA1539.1","0.608175",0.271497,0.729685,0.722049,0.0477113,12,"False",0.980572901749663,3.59054446859116e-10,3.35284065833695e-07,0.583008335065511,0.577991744501529,0.170113732418873,0.00823746494110199,0.0285313128461214,NA,NA,NA,NA
"VEZF1","VEZF1","MA1578.1","0.607073",0.271865,0.878132,0.867548,0.0644876,12,"False",0.980572901749663,0.00112201718578612,0.0329437672243154,NA,0.84166336627717,NA,0.713790960047462,0.893377567478416,NA,NA,NA,NA
"ZNF135","ZNF135","MA1587.1","0.605025",0.272549,0.794927,0.785202,0.0554987,12,"False",0.980572901749663,3.09167626446099e-07,0.00372096635303737,0.926906640115191,0.925149449823431,0.0371354527351139,0.418280516156544,0.178725249218072,NA,NA,NA,NA
"REL","REL","MA0101.1","0.601416",0.273766,0.877483,0.869717,0.0297207,12,"False",0.980572901749663,0.549747572483636,0.123575622212498,NA,NA,NA,0.69345692598298,0.775694938757344,0.8077514164217,0.859408892601487,NA,0.455333950271783
"KLF16","KLF16","MA0741.1","0.599735",0.274307,0.882306,0.870747,0.0698176,12,"False",0.980572901749663,0.424366874302231,0.0679094641431695,NA,NA,NA,0.726002863755302,0.406179788594831,NA,NA,NA,NA
"Atf1","Atf1","MA0604.1","0.599586",0.274356,0.849,0.839285,0.0590194,12,"False",0.980572901749663,9.66543175900348e-16,1.34740732860386e-09,0.942800621096853,0.941038053343097,0.0937802978354022,8.59722215146539e-06,0.0543603374672929,NA,NA,NA,NA
"Zic1","Zic1::Zic2","MA1628.1","0.596656",0.275314,0.878902,0.869542,0.0721002,12,"False",0.980572901749663,9.43965114264742e-05,0.00371392933987255,0.682591747765956,0.681131272191843,0.542917237299896,0.0633670302029797,0.267885104686922,NA,NA,NA,NA
"Zic2","Zic1::Zic2","MA1628.1","0.596656",0.275314,0.878902,0.869542,0.0721002,12,"False",0.980572901749663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRF4","IRF4","MA1419.1","0.586594",0.278666,0.708572,0.700638,0.0725121,12,"False",0.980572901749663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATF6","ATF6","MA1466.1","0.582418",0.280122,0.743309,0.735722,0.0351822,12,"False",0.980572901749663,2.78845842408176e-14,3.72160155404301e-06,0.862130415950593,NA,-0.138471872261159,0.027912219698505,0.613012122681557,NA,NA,NA,NA
"HOXB7","HOXB7","MA1501.1","0.575237",0.282537,0.844092,0.835693,0.0483311,12,"False",0.980572901749663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POU6F1","POU6F1","MA1549.1","0.574476",0.2828,0.843453,0.833784,0.0495793,12,"False",0.980572901749663,3.73508580591786e-05,0.00013470809673683,NA,NA,NA,0.035828824554744,0.95701056365803,NA,NA,NA,NA
"NR2F1","NR2F1","MA1538.1","0.574321",0.282837,0.743797,0.736735,0.0478066,12,"False",0.980572901749663,1.21514889704387e-05,0.00196235591591456,NA,NA,NA,0.609028519723188,0.199456625758899,0.891162856673555,0.73866648675633,NA,0.217321985134514
"GBX1","GBX1","MA0889.1","0.569522",0.284484,0.828156,0.817305,0.0470012,12,"False",0.980572901749663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATF3","ATF3","MA0605.2","0.564011",0.286353,0.74797,0.737623,0.0501187,12,"False",0.980572901749663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RELA","RELA","MA0107.1","0.563186",0.286628,0.834885,0.826197,0.048427,12,"False",0.980572901749663,0.126716491736631,0.0431649051103596,0.57367488279371,0.569732190582124,0.890991964365854,0.321014294066414,0.721934112624158,0.824840308810098,0.811313715497116,NA,0.996681573002696
"Bach1","Bach1::Mafk","MA0591.1","0.558239",0.288293,0.773513,0.76653,0.0547742,12,"False",0.980572901749663,2.2201679662297e-15,3.87287718335011e-06,0.895627423198875,0.893038274956346,-0.174675981611795,0.178387210731558,0.226108792995823,NA,NA,NA,NA
"Mafk","Bach1::Mafk","MA0591.1","0.558239",0.288293,0.773513,0.76653,0.0547742,12,"False",0.980572901749663,3.94540186201122e-10,6.06076695416166e-06,0.804699806592154,0.802840798589009,-0.0966515831086047,0.809433344430768,0.596688261196025,NA,NA,NA,NA
"RAX2","RAX2","MA0717.1","0.548716",0.291588,0.870342,0.859182,0.0424044,12,"False",0.980572901749663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZNF740","ZNF740","MA0753.2","0.545554",0.292659,0.81389,0.803708,0.0610722,12,"False",0.980572901749663,0.0710274133010414,0.00557413671749859,NA,NA,NA,0.239524373159895,0.126854202977553,NA,NA,NA,NA
"SCRT2","SCRT2","MA0744.2","0.544949",0.292869,0.77006,0.762723,0.042054,12,"False",0.980572901749663,0.00295809180384253,0.00905673606795517,0.776079559427031,0.773016968872762,0.483635105747069,0.829618873946297,0.984465078685676,NA,NA,NA,NA
"IRF3","IRF3","MA1418.1","0.54204",0.293843,0.712315,0.705022,0.0629925,12,"False",0.980572901749663,1.30175939788436e-05,0.00259733398110112,0.443088163826328,0.442123157888119,0.117294720363104,0.308688960899098,0.285845199469911,0.262616142436732,0.887498072145389,NA,0.345471682466287
"LHX1","LHX1","MA1518.1","0.533773",0.296736,0.894472,0.885667,0.0351616,12,"False",0.980572901749663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BACH2","BACH2","MA1470.1","0.533343",0.296851,0.701599,0.694831,0.0564368,12,"False",0.980572901749663,6.03588242170335e-18,4.10214902173841e-12,0.508833997884084,0.507819826763729,0.0727456022958113,0.219454124957332,0.918944289968935,NA,NA,NA,NA
"RFX4","RFX4","MA0799.1","0.519168",0.301795,0.772566,0.7656,0.0448047,12,"False",0.980572901749663,7.69741347916821e-10,5.9359331625152e-05,0.960027251228758,0.958657644347004,-0.0787549502128601,0.124589148104295,0.233007777454541,NA,NA,NA,NA
"BARHL1","BARHL1","MA0877.2","0.517356",0.302431,0.891587,0.884044,0.0446644,12,"False",0.980572901749663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KLF11","KLF11","MA1512.1","0.5164",0.302759,0.874304,0.865068,0.0611124,12,"False",0.980572901749663,0.00699219213860886,0.0360790053158053,0.69322324511169,0.691121098266925,0.0269025465620022,0.00292332380831888,0.0101661119926611,NA,NA,NA,NA
"RELB","RELB","MA1117.1","0.508439",0.305549,0.831867,0.824403,0.0463252,12,"False",0.980572901749663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TP53","TP53","MA0106.3","0.505068",0.306737,0.713559,0.707924,0.0301264,12,"False",0.980572901749663,0.000176135700777095,0.170014588397084,0.336312825012891,0.336275149470189,-0.105945626763611,0.951883844569238,0.530056744306813,NA,NA,NA,NA
"Atoh1","Atoh1","MA0461.2","0.502714",0.307559,0.830619,0.823517,0.0438191,12,"False",0.980572901749663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FOSB","FOSB::JUN","MA1127.1","0.499028",0.308859,0.762324,0.753617,0.0507396,12,"False",0.980572901749663,0.244500752612791,0.054729280436132,0.497619207540317,0.496512513848109,1.10845960868128,0.455712929696039,0.00912308475810994,0.612057162167849,0.733254755506136,NA,0.925476980655362
"JUN","FOSB::JUN","MA1127.1","0.499028",0.308859,0.762324,0.753617,0.0507396,12,"False",0.980572901749663,0.0101192963326101,0.047756322397991,0.563391210046751,0.559585651666943,0.57206653524855,0.38345016342748,0.159399466547774,NA,NA,NA,NA
"Mafb","Mafb","MA0117.2","0.497782",0.309266,0.819824,0.812943,0.0666106,12,"False",0.980572901749663,4.119389530738e-12,1.50703004906304e-08,0.944986363633171,0.943409954782446,-0.12769371679475,0.000450770406693879,0.00724439769734057,NA,NA,NA,NA
"ALX3","ALX3","MA0634.1","0.494868",0.310332,0.842236,0.8326,0.0473072,12,"False",0.980572901749663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NFIC","NFIC::TLX1","MA0119.1","0.489911",0.312068,0.745847,0.738771,0.0527198,12,"False",0.980572901749663,3.73093590121451e-16,1.39297506557345e-07,0.818476583769866,0.817190798898952,0.0814151928728418,0.0281512682236517,0.816377479084564,0.512555377113181,0.811313715497116,NA,0.274939862818154
"TLX1","NFIC::TLX1","MA0119.1","0.489911",0.312068,0.745847,0.738771,0.0527198,12,"False",0.980572901749663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
