GENE_SYMBOLS,refseq_ids
ETV5,NM_004454
ANKRD55,NM_001039935
SPRED2,NM_001128210
CRH,NM_000756
SPRY4,NM_001127496
DUSP4,NM_001394
CBLN4,NM_080617
SHC3,NM_016848
SLC32A1,NM_080552
CORT,NM_001302
PGAM1,NM_001317079
ATP6V0E2,NM_001100592
NSG2,NM_015980
FXYD6,NM_001164831
ARL4C,NM_001282431
CAMK2N2,NM_033259
FAM81A,NM_152450
TCIM,NM_020130
PER2,NM_003894
PNMA8A,NM_001103149
GABBR1,NM_001319053
VGF,NM_003378
PCP4L1,NM_001102566
HMGN1,NM_004965
SULT4A1,NM_014351
SARAF,NM_001284239
TGOLN2,NM_001206840
ATP6AP2,NM_005765
SERINC1,NM_020755
GAD1,NM_000817
SLC22A17,NM_001289050
ATP1A1,NM_000701
RETREG2,NM_001321109
HES4,NM_001142467
ATP6AP1,NM_001183
CDIPT,NM_001286585
SYNC,NM_001161708
COPS7A,NM_001164093
RPS6KA5,NM_001322227
SEZ6L2,NM_001114099
THY1,NM_001311160
PSAP,NM_001042465
SEC62,NM_003262
BEX4,NM_001080425
NFE2L1,NM_001330261
SCN2B,NM_004588
GOT1,NM_002079
SPRED1,NM_152594
HELLPAR,NA
LRP8,NM_001018054
SGK1,NM_001143676
GAD2,NM_000818
TPD52L1,NM_001003395
TMEM151B,NM_001039704
SERINC3,NM_006811
RIMBP2,NM_001351226
N4BP2,NM_001318359
NECAB2,NM_001329748
MOAP1,NM_022151
TRPC3,NM_001130698
BTF3,NM_001037637
BLOC1S6,NM_001311255
TRIB2,NM_021643
RAB11A,NM_001206836
TMED2,NM_001321445
ISCU,NM_001301140
ATP1A3,NM_001256213
GABRD,NM_000815
NSG1,NM_001040101
SET,NM_001122821
ALDOC,NM_005165
DUBR,NR_028301
CCDC184,NM_001013635
RND3,NM_001254738
KCTD13,NM_001410898
MRPL57,NM_024026
PDE10A,NM_001130690
FGF9,NM_002010
TCEAL7,NM_001348258
B3GALNT1,NM_001038628
LAMP5,NM_001199897
ITM2C,NM_001012514
NCBP2AS2,NM_001355243
ERP29,NM_001034025
TOMM5,NM_001001790
RPL15,NM_001253379
ACTG1,NM_001199954
NECAP1,NM_015509
PPT1,NM_000310
PRPS1,NM_001204402
ACP2,NM_001131064
STRAP,NM_007178
HMGN2,NM_005517
SUMO1,NM_001005781
BEX2,NM_001168399
NAP1L5,NM_153757
SNHG32,NM_001040437
CCN3,NM_002514
ATP6V1D,NM_015994
MCFD2,NM_001171506
HDDC2,NM_016063
ATP1B2,NM_001303263
SPCS1,NM_014041
SRM,NM_003132
CDC14B,NM_001077181
ASPHD1,NM_181718
RPS27,NM_001030
FAT1,NM_005245
IGSF10,NM_001178145
MARCKSL1,NM_023009
REEP5,NM_005669
MAP1LC3A,NM_032514
BEX3,NM_001282674
EMC7,NM_020154
PCYOX1,NM_016297
NXPH2,NM_007226
H3F3B,NA
SCG2,NM_003469
ZNF428,NM_182498
TMX4,NM_021156
TAF7,NM_005642
PNMA2,NM_007257
LDHA,NM_001135239
CDH18,NM_001167667
HSD17B12,NM_016142
CCDC144A,NM_001382000
TCEAL8,NM_001006684
PRKAR1A,NM_001276289
CHGB,NM_001819
SCG5,NM_001144757
SELENOH,NM_001321335
FARSA,NM_004461
TM2D3,NM_001307960
BACH1,NM_001011545
FNDC4,NM_022823
NPM1,NM_001037738
CD81,NM_001297649
PINK1,NM_032409
DDIT3,NM_001195053
CYCS,NM_018947
IGF1,NM_000618
LBH,NM_030915
TUBGCP4,NM_001286414
SELENOT,NM_016275
SNAPC5,NM_001329613
SLC10A4,NM_152679
COX20,NM_001312871
ARCN1,NM_001142281
ANGPTL1,NM_001376763
PTPN9,NM_002833
TIMP2,NM_003255
RPS25,NM_001028
ATP1B1,NM_001001787
RPS28,NM_001031
BACH2,NM_001170794
C18orf32,NM_001035005
RPL18,NM_000979
GRINA,NM_000837
METAP1D,NM_001322278
CD59,NM_000611
SALL2,NM_001291446
VDAC1,NM_001401008
ARMCX3,NM_016607
FILIP1L,NM_001042459
RESF1,NM_018169
PDE5A,NM_001083
TMA7,NM_001329417
CYB5R1,NM_016243
RPL10A,NM_007104
HLA-A,NM_001242758
KCNAB1,NM_001308217
SYNGR3,NM_004209
TRAF3IP2,NM_001164281
PSMD8,NM_002812
SST,NM_001048
RPL17,NM_000985
RHOBTB1,NM_001242359
RPL41,NM_001035267
RPL3,NM_000967
NDUFB5,NM_001199957
SPDYE21P,NA
GNG4,NM_001098721
MMP24OS,NM_001355003
BCL2L14,NM_001370268
PRKCD,NM_001316327
RPSA,NM_001304288
FRAS1,NM_001166133
TGFBR3,NM_001195683
VBP1,NM_001303543
CIRBP,NM_001280
RPLP0,NM_001002
RPL14,NM_001034996
ARMCX5-GPRASP2,NM_001199818
CYSTM1,NM_032412
RGS8,NM_001102450
RRAGA,NM_006570
SLC25A5,NM_001152
PKM,NM_001206796
PGM2L1,NM_173582
APEX1,NM_001244249
AP1S2,NM_001272071
KCNQ5,NM_001160130
FAM13A,NM_001015045
SELENOM,NM_080430
TSPAN31,NM_001330168
SYN3,NM_001135774
RPS19BP1,NM_194326
PAPSS2,NM_001015880
RPS23,NM_001025
ZPBP,NM_001159878
EIF4A2,NM_001967
HECA,NM_016217
B4GAT1,NM_006876
RPS15A,NM_001019
CAMK1G,NM_020439
SPINT2,NM_001166103
GNL3,NM_014366
P2RY14,NM_001081455
GABARAPL1,NM_001363598
FGF1,NM_000800
SYCE1L,NM_001129979
OTUB1,NM_017670
MRPS24,NM_032014
SLC39A6,NM_001099406
ABRACL,NM_021243
TMEM167A,NM_174909
NDN,NM_002487
SCRG1,NM_001329597
TTPAL,NM_001039199
HMGN4,NM_006353
SNHG6,NR_002599
EEF1G,NM_001404
RSL24D1,NM_016304
CDK5R1,NM_003885
H2AFZ,NA
RPL7A,NM_000972
FAU,NM_001997
RPL35A,NM_000996
SSR2,NM_003145
LRRC47,NM_020710
CCDC65,NM_001286957
EAF1,NM_033083
LGI2,NM_018176
ARHGAP18,NM_033515
TMEM208,NM_001318217
UBE2L6,NM_004223
ERH,NM_004450
RPS13,NM_001017
RPL11,NM_000975
CWC15,NM_001363371
HERPUD1,NM_001010989
ZFAS1,NR_003604
AGPAT1,NM_001371437
SEC61G,NM_001012456
VPS4A,NM_013245
RAB3A,NM_002866
PFKM,NM_000289
DNAJB9,NM_012328
PNMA1,NM_006029
RNASEK,NM_001004333
RPL36AL,NM_001001
SPDYE5,NM_001099435
DEXI,NM_014015
ATP5MD,NA
RPS27A,NM_001135592
CXXC4,NM_025212
SMDT1,NM_033318
PGRMC1,NM_001282621
RPL19,NM_000981
HEIH,NR_045680
SELENOK,NM_021237
RPS7,NM_001011
TH2LCRR,NR_132124
GAS5,NR_002578
RPL23,NM_000978
CORO2B,NM_001190456
POLR1C,NM_001318876
CTSF,NM_003793
NPIPB5,NM_001135865
SNHG8,NR_003584
RPLP1,NM_001003
GAB1,NM_002039
BEX1,NM_018476
FLRT1,NM_001384466
VIP,NM_003381
SEPHS2,NM_012248
ZNF706,NM_001042510
RPL38,NM_000999
