"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"IKZF1 (human)",1.06202840031053e-06,2.69592550576669,37.0833446993491,"['MCFD2', 'RPL30', 'UBXN1', 'TUSC2', 'ZFAND2A', 'RPLP0', 'TMEM141', 'RPS15', 'RPS14', 'MED11', 'RPS16', 'MAP1LC3A', 'SUMO1', 'RPL18A', 'SNRPD1', 'TMED2', 'CTSF', 'RPS10', 'LRRC47', 'PHYH', 'MRPS26', 'ENDOG', 'RPS7', 'HAUS4', 'NME2', 'ATP1B2', 'CORT', 'TMEM134', 'FNDC4', 'SNRPE', 'RPL27', 'SNRNP25', 'OTUB1', 'SRSF9', 'NECAB2', 'SET', 'RPL10', 'RPL11', 'VPS4A', 'C12ORF57', 'PHKG1', 'GNG4', 'ZNF428', 'RPL13', 'RPS2', 'SERF2', 'ATP6V1F', 'GABBR1', 'SNAPIN', 'SPRYD4', 'TBCC', 'C20ORF27', 'OCEL1', 'SPSB3', 'RPS27', 'PIK3IP1', 'APEX1', 'FAU', 'TOMM6', 'GRINA', 'SCN2B']",0.000303740122488811,0,0,61,"IKZF1",0.000303740122488811,NA,NA,NA,NA,NA,NA,NA
"TFAP2D (human)",6.17522288791312e-06,2.57506011679835,30.8877574697266,"['DAZAP2', 'UBXN1', 'COX4I1', 'FGF1', 'RPL8', 'SRP14', 'RPL9', 'TMEM141', 'SNAPC5', 'RPS14', 'MED11', 'NUDCD2', 'RPL18A', 'C19ORF53', 'SEC61G', 'RPL38', 'SEPHS2', 'RPS12', 'PHYH', 'RPS7', 'GPX4', 'SSR2', 'RPL23', 'AIP', 'HAUS4', 'AMPD3', 'TMEM134', 'RFX5', 'UFC1', 'TMEM126A', 'SNRPE', 'AURKAIP1', 'SET', 'WBP2', 'VPS4A', 'PHB', 'COX7A1', 'LAGE3', 'EIF4H', 'RPL13', 'SERF2', 'ATP6V1F', 'MPDU1', 'SNAPIN', 'SPRYD4', 'NDUFA1', 'LSM5', 'OCEL1', 'AIMP2', 'RPS25', 'DBNDD2', 'RPS27', 'PIK3IP1', 'PPT1', 'BAX', 'GRINA']",0.000883056872971577,0,0,56,"TFAP2D",0.000883056872971577,NA,NA,NA,NA,NA,NA,NA
"CRX (human)",9.33538262558956e-06,2.40218495934959,27.8213826455376,"['MRPS17', 'MCFD2', 'UBXN1', 'RPL3', 'TUSC2', 'RPLP0', 'RPL6', 'TXN2', 'MAP1LC3A', 'SUMO1', 'KAT5', 'RPL18A', 'C19ORF53', 'SPDYE2', 'TMED2', 'CTSF', 'RPS10', 'SLC39A3', 'ATP6V1G1', 'PHYH', 'GABARAPL1', 'GPX4', 'RPS8', 'HAUS4', 'NME2', 'RPS3A', 'ATP1B2', 'COX6B1', 'MZT2B', 'DPM3', 'UFC1', 'VDAC3', 'RPL24', 'HAP1', 'AURKAIP1', 'RPL29', 'OTUB1', 'SET', 'RPL10', 'VPS4A', 'MCHR1', 'LAGE3', 'RPL13', 'GADD45GIP1', 'FIS1', 'RPL41', 'SNAPIN', 'SPRYD4', 'PMM1', 'TAF13', 'GSS', 'OCEL1', 'BCKDK', 'C1ORF216', 'IGSF10', 'RPS27', 'PSMG3', 'BAX', 'FAU', 'RPS24', 'SCN2B']",0.000889973143639538,0,0,61,"CRX",0.000889973143639538,NA,NA,NA,NA,NA,NA,NA
"HIF1A (human)",3.7102266729585e-05,2.14968491113786,21.9307253748356,"['MRPS17', 'POP5', 'MCFD2', 'COX7B', 'UBXN1', 'RPL3', 'ZFAND2A', 'EEF1B2', 'RPS15', 'RPS4X', 'MAP1LC3A', 'SUMO1', 'KAT5', 'SNRPD1', 'TMED2', 'BANF1', 'SEC61B', 'CTSF', 'RPS10', 'RPL39', 'RPS13', 'AIP', 'HAUS4', 'RPSA', 'COX6B1', 'CORT', 'NEIL2', 'TXLNB', 'NDUFS5', 'MRTO4', 'RFX5', 'VDAC3', 'RPL24', 'SNRPE', 'RPL29', 'RPP25', 'BEX4', 'RPS19BP1', 'RPL10', 'WBP2', 'GMPR2', 'NDUFB3', 'MRPL17', 'COX7A2', 'ATP1A1', 'HSD17B12', 'COX7A1', 'PSMB10', 'C12ORF57', 'RPS15A', 'GNG4', 'DDT', 'RPL13', 'GABRD', 'RPL17', 'GDF11', 'TAF13', 'TBCC', 'RPS26', 'C1ORF216', 'POLE2', 'FAU', 'PFKM', 'TMEM9B', 'RPS23', 'BEX5']",0.00265281207116533,0,0,66,"HIF1A",0.00265281207116533,0.000302344691196479,0.00121092221392744,0.61652393386657,0.617317541563475,0.423643696333801,0.484306763894514,0.564965483098805
"NRF1 (mouse)",5.77362499280912e-05,2.1127755794234,20.6198980687192,"['MCFD2', 'RPL30', 'NDUFA13', 'COX7B', 'CD81', 'ZFAND2A', 'COX4I1', 'SAT2', 'PARK7', 'RPL8', 'COX7C', 'TOMM22', 'RPS15', 'RPS14', 'HINT1', 'RPS16', 'RPS19', 'RPL35', 'RPL38', 'ARL16', 'RPS10', 'CHCHD1', 'ATP6V1G1', 'RPS9', 'RPL21', 'RPS8', 'PCDHGA1', 'IMP4', 'RPSA', 'COX6B1', 'MRTO4', 'VDAC3', 'RPL27', 'SNRNP25', 'SRSF9', 'POMP', 'MRPL17', 'COX7A2', 'PHB', 'COX5B', 'PET117', 'PSMB6', 'LDHA', 'PARD6A', 'DPH2', 'EIF4H', 'RPS2', 'ATP6V0E2', 'BTF3', 'TIMM8B', 'FANCI', 'GABBR1', 'NDUFA6', 'GSS', 'RPL23A', 'RPS25', 'LYRM2', 'LSM7', 'RPS28', 'SPCS1', 'UBE2S', 'RPS21', 'TOMM5', 'RPS24', 'RPS23']",0.0031960364107874,0,0,65,"NRF1",0.0031960364107874,3.27021819603819e-06,0.151681117684159,NA,NA,NA,0.291124951068865,0.910530018183984
"PLAU (human)",7.46893752718957e-05,2.17087401762324,20.628019842572,"['POP5', 'COX7B', 'RNH1', 'RPL3', 'CHPF', 'FAM89B', 'DIRAS1', 'RPL9', 'CNDP2', 'LSM10', 'RPS14', 'CHCHD2', 'TMEM147', 'MAP1LC3A', 'RPLP2', 'ATP6V1G1', 'PHYH', 'GABARAPL1', 'RPS9', 'RPL21', 'RPS3A', 'AMPD3', 'VGF', 'ASPHD1', 'PRKAR1A', 'CRH', 'HECA', 'AURKAIP1', 'RPP25', 'CUTA', 'UQCRB', 'NDUFB2', 'RNF7', 'SEZ6L2', 'TSPAN31', 'PARD6A', 'GNG4', 'RPL13', 'RPL18', 'HES4', 'MOAP1', 'RANBP1', 'RPL41', 'SF3A1', 'CCK', 'CWC15', 'OCEL1', 'C1ORF216', 'AIMP2', 'RPS27', 'SST', 'RPS29', 'UBE2S', 'IMPDH2', 'APEX1', 'C18ORF32', 'CYCS', 'INHA', 'SCN2B']",0.0031960364107874,0,0,59,"PLAU",0.0031960364107874,NA,NA,NA,NA,NA,NA,NA
"CEBPD (human)",7.82246673968943e-05,2.11908905758193,20.0379482993684,"['MRPS17', 'DAZAP2', 'RNH1', 'UBXN1', 'RPL3', 'RPLP0', 'SAT2', 'USE1', 'TXN2', 'MED11', 'NUDCD2', 'KAT5', 'RPL18A', 'TMED2', 'BANF1', 'RPL37', 'SLC39A7', 'GPX4', 'VBP1', 'AIP', 'HAUS4', 'NME2', 'NDUFC1', 'MZT2B', 'TMEM134', 'RRAGA', 'NDUFS5', 'VDAC3', 'RPL24', 'SNRPE', 'VDAC1', 'HAP1', 'RPL29', 'SET', 'NDUFB7', 'WBP2', 'RPL11', 'ATP1A1', 'HSD17B12', 'GABARAP', 'DDT', 'DPH2', 'ZNF622', 'MPDU1', 'RPL19', 'FIS1', 'SNAPIN', 'SPRYD4', 'TAF13', 'GSS', 'VEGFB', 'CHCHD10', 'RPL23A', 'KRT10', 'OCEL1', 'HIST3H2A', 'RPL27A', 'POLE2', 'LPCAT2', 'EIF3D', 'TOMM5', 'SCN2B']",0.0031960364107874,0,0,62,"CEBPD",0.0031960364107874,0.10110278929104,0.316887461151997,NA,NA,NA,0.494139213549341,0.493316185961682
"RARA (human)",0.000163614258764889,2.08655788655789,18.1906095294955,"['DAZAP2', 'POP5', 'RNH1', 'RPL3', 'RPLP0', 'MYL6B', 'RPL10A', 'RPL8', 'RPL9', 'USE1', 'RPS15', 'MED11', 'KAT5', 'RPL18A', 'RPS19', 'MED10', 'ACP2', 'CTSF', 'MDP1', 'RPS10', 'RPS12', 'GABARAPL1', 'GPX4', 'COX6B1', 'CORT', 'SFRP1', 'RFX5', 'SNRPE', 'HAP1', 'AURKAIP1', 'OTUB1', 'SET', 'WBP2', 'VPS4A', 'TIMM10', 'OAZ1', 'PHKG1', 'RPL13', 'SERF2', 'ATP6V1F', 'RPL19', 'OST4', 'NDUFA6', 'SPRYD4', 'VEGFB', 'LSM5', 'RPS26', 'AIMP2', 'RPS25', 'LYRM2', 'LSM7', 'RPS27', 'PIK3IP1', 'IMPDH2', 'CYCS', 'RPS21', 'RPS24', 'SCN2B']",0.00584920975084478,0,0,58,"RARA",0.00584920975084478,0.53769392609247,0.726897350146413,NA,NA,NA,0.707907607608786,0.586107931058805
"NR1H3 (human)",0.000375153862308578,2.05375,16.2003380028284,"['DAZAP2', 'POP5', 'RNH1', 'RPL3', 'RPLP0', 'RPL9', 'USE1', 'RPL6', 'TXN2', 'TOMM22', 'RPS15', 'PSMD8', 'MED11', 'RPL18A', 'RPS19', 'SPDYE2', 'TMED2', 'CTSF', 'MDP1', 'NDUFC1', 'TMEM134', 'UFC1', 'VDAC3', 'TMEM126A', 'HAP1', 'AURKAIP1', 'OTUB1', 'SRSF9', 'NECAB2', 'SET', 'WBP2', 'RPL11', 'VPS4A', 'TMEM160', 'TIMM10', 'LAGE3', 'CAMK2N2', 'RPL13', 'SERF2', 'ATP6V1F', 'MPDU1', 'RPL19', 'SPRYD4', 'VEGFB', 'MANBAL', 'RPS25', 'RPS27', 'PIK3IP1', 'IMPDH2', 'BAX', 'RPS21', 'RPS24', 'SCN2B']",0.011921556068917,0,0,53,"NR1H3",0.011921556068917,0.262814860247566,0.0465352974105701,0.652324527234159,0.653707507290102,0.732551910022944,0.881250410367735,0.593880055165205
"GFI1 (human)",0.000424539462188611,1.96635445362718,15.2677701568598,"['MRPS17', 'MCFD2', 'UBXN1', 'RPL3', 'TMEM179B', 'RPLP0', 'SAT2', 'USE1', 'TXN2', 'RPS14', 'MED11', 'SUMO1', 'C19ORF53', 'SPDYE2', 'RPLP2', 'CTSF', 'RPS10', 'RPS13', 'SLC39A3', 'PHYH', 'RPS7', 'GPX4', 'AIP', 'HAUS4', 'NME2', 'RPS3A', 'AMPD3', 'MRTO4', 'RFX5', 'UFC1', 'SNRPE', 'ERH', 'SNRNP25', 'HAP1', 'OTUB1', 'SET', 'RPL11', 'NDUFB3', 'PSMB6', 'PHKG1', 'RPL13', 'SERF2', 'GADD45GIP1', 'RPL41', 'SNAPIN', 'SPRYD4', 'PMM1', 'TAF13', 'LSM4', 'RPS26', 'SPSB3', 'RPS27', 'SPCS1', 'PSMG3', 'BAX', 'FAU', 'EIF3D', 'SCN2B']",0.0121418286185943,0,0,58,"GFI1",0.0121418286185943,NA,NA,NA,NA,NA,NA,NA
"PITX1 (human)",0.000467672430346288,2.00849699398798,15.4006376459796,"['MCFD2', 'COX7B', 'UBXN1', 'RPL3', 'RPL6', 'TXN2', 'PSMD8', 'MED11', 'SUMO1', 'KAT5', 'SPDYE2', 'RPL35', 'TMED2', 'ACP2', 'CTSF', 'RPS10', 'SEPHS2', 'RPL39', 'GPX4', 'ATP6AP1', 'TINF2', 'HAUS4', 'NME2', 'COX6B1', 'UFC1', 'RPL24', 'RPL27', 'RPL29', 'OTUB1', 'SET', 'RPL11', 'COX7A2', 'TMEM160', 'RPS15A', 'PHKG1', 'RPL14', 'RPL13', 'RPL17', 'MPDU1', 'GADD45GIP1', 'SNAPIN', 'PMM1', 'TAF13', 'GSS', 'OCEL1', 'RPS26', 'BCKDK', 'RPS27', 'POLE2', 'LPCAT2', 'PPT1', 'FAU', 'RPS24', 'GRINA']",0.0121594831890035,0,0,54,"PITX1",0.0121594831890035,NA,NA,NA,NA,NA,NA,NA
"FOXF2 (human)",0.000520511567625835,1.96651607759766,14.868235052106,"['MRPS17', 'UBXN1', 'TMEM179B', 'RPLP0', 'USE1', 'RPL6', 'TXN2', 'RPS15', 'PSMD8', 'RPS16', 'MAP1LC3A', 'SUMO1', 'SNRPD1', 'C19ORF53', 'SPDYE2', 'CTSF', 'RPS10', 'RPS13', 'SLC39A3', 'ATP6V1G1', 'RPS9', 'RPS7', 'AIP', 'HAUS4', 'NME2', 'COX6B1', 'MZT2B', 'UFC1', 'SNRPE', 'RPL29', 'OTUB1', 'SET', 'GMPR2', 'RPL11', 'LAGE3', 'RPS15A', 'PHKG1', 'ZNF428', 'RPL13', 'SERF2', 'ATP6V1F', 'GADD45GIP1', 'RPL41', 'SNAPIN', 'SPRYD4', 'H3F3B', 'LSM4', 'OCEL1', 'BCKDK', 'C1ORF216', 'RPS27', 'BAX', 'FAU', 'RPS24', 'GRINA', 'SCN2B']",0.0124055256950824,0,0,56,"FOXF2",0.0124055256950824,NA,NA,NA,NA,NA,NA,NA
"YY1 (mouse)",0.000882682406129668,1.83396372805741,12.8974326256904,"['NDUFA13', 'RPL3', 'RPL32', 'POP4', 'RPL10A', 'HDDC3', 'RPL7', 'RPS15', 'PSMD8', 'RPL7A', 'SUMO1', 'HMGN2', 'RPS10', 'LRRC47', 'PLEKHG3', 'HSP90AA1', 'ENDOG', 'ATP6AP1', 'RPL13A', 'DUSP28', 'NDUFC1', 'PPRC1', 'MRPL46', 'RPP21', 'VDAC3', 'RPL26', 'ATP6V0C', 'CUTA', 'NDUFB7', 'NDUFB11', 'NDUFB2', 'MRPL14', 'COPS7A', 'COX5B', 'SRM', 'TSPAN31', 'CLN5', 'EFNB3', 'RPL14', 'TMEM208', 'RPL15', 'GADD45GIP1', 'FIS1', 'RANBP1', 'SURF1', 'SNAPIN', 'NDUFA6', 'H3F3B', 'RPL35A', 'NSG1', 'BTBD6', 'KRT10', 'TPD52L1', 'DRAP1', 'SPSB3', 'RPS25', 'LSM7', 'RPS28', 'RPL27A', 'PSMG3', 'FAU', 'INHA']",0.0188503679506566,0,0,62,"YY1",0.0188503679506566,0.0472173512656153,0.109903419665039,NA,NA,NA,0.927367548052344,0.443098219003713
