GENE_SYMBOLS,refseq_ids
ETV5,NM_004454
ANKRD55,NM_001039935
SPRED2,NM_001128210
SPRY4,NM_001127496
SHC3,NM_016848
CRH,NM_000756
CBLN4,NM_080617
SLC32A1,NM_080552
ATP6V0E2,NM_001100592
PGAM1,NM_001317079
NSG2,NM_015980
ARL4C,NM_001282431
FXYD6,NM_001164831
PNMA8A,NM_001103149
CORT,NM_001302
HMGN1,NM_004965
CAMK2N2,NM_033259
PCP4L1,NM_001102566
SARAF,NM_001284239
TGOLN2,NM_001206840
GABBR1,NM_001319053
FAM81A,NM_152450
TCIM,NM_020130
SERINC1,NM_020755
ATP6AP2,NM_005765
SULT4A1,NM_014351
DUSP4,NM_001394
CDIPT,NM_001286585
GAD1,NM_000817
HES4,NM_001142467
SLC22A17,NM_001289050
SCN2B,NM_004588
THY1,NM_001311160
SEZ6L2,NM_001114099
ATP1A1,NM_000701
RETREG2,NM_001321109
BEX4,NM_001080425
ATP6AP1,NM_001183
SYNC,NM_001161708
TMEM151B,NM_001039704
SEC62,NM_003262
PER2,NM_003894
GOT1,NM_002079
SPRED1,NM_152594
RPS6KA5,NM_001322227
VGF,NM_003378
SGK1,NM_001143676
GABRD,NM_000815
NFE2L1,NM_001330261
COPS7A,NM_001164093
SERINC3,NM_006811
PSAP,NM_001042465
N4BP2,NM_001318359
NECAB2,NM_001329748
GNL1,NM_005275
TRPC3,NM_001130698
APLP2,NM_001142276
MOAP1,NM_022151
BLOC1S6,NM_001311255
TPD52L1,NM_001003395
ATP1A3,NM_001256213
RIMBP2,NM_001351226
GAD2,NM_000818
ISCU,NM_001301140
BTF3,NM_001037637
CCDC184,NM_001013635
RND3,NM_001254738
PDE10A,NM_001130690
NSG1,NM_001040101
TCEAL7,NM_001348258
DUBR,NR_028301
ALDOC,NM_005165
HELLPAR,NA
FGF9,NM_002010
LAMP5,NM_001199897
MRPL57,NM_024026
TRIB2,NM_021643
ERP29,NM_001034025
B3GALNT1,NM_001038628
SET,NM_001122821
TOMM5,NM_001001790
STRAP,NM_007178
KCTD13,NM_001410898
ATP1B2,NM_001303263
TMED2,NM_001321445
MAP1LC3A,NM_032514
LRP8,NM_001018054
NECAP1,NM_015509
NCBP2AS2,NM_001355243
ACP2,NM_001131064
BEX2,NM_001168399
HDDC2,NM_016063
PPT1,NM_000310
SUMO1,NM_001005781
ACTG1,NM_001199954
RPL15,NM_001253379
NAP1L5,NM_153757
MCFD2,NM_001171506
ITM2C,NM_001012514
FAT1,NM_005245
REEP5,NM_005669
PRPS1,NM_001204402
ASPHD1,NM_181718
HMGN2,NM_005517
SRM,NM_003132
EMC7,NM_020154
SPCS1,NM_014041
CCN3,NM_002514
ATP6V1D,NM_015994
RAB11A,NM_001206836
TAF7,NM_005642
TMX4,NM_021156
CCDC144A,NM_001382000
PCYOX1,NM_016297
RPS27,NM_001030
MARCKSL1,NM_023009
ZNF428,NM_182498
PRKAR1A,NM_001276289
NXPH2,NM_007226
SNHG32,NM_001040437
PNMA2,NM_007257
NPM1,NM_001037738
H3F3B,NA
IGSF10,NM_001178145
SELENOT,NM_016275
PINK1,NM_032409
CYCS,NM_018947
SLC10A4,NM_152679
C18orf32,NM_001035005
LDHA,NM_001135239
SCG2,NM_003469
VDAC1,NM_001401008
TCEAL8,NM_001006684
FARSA,NM_004461
FNDC4,NM_022823
SCG5,NM_001144757
SELENOH,NM_001321335
CHGB,NM_001819
TM2D3,NM_001307960
SNAPC5,NM_001329613
COX20,NM_001312871
CDH18,NM_001167667
DDIT3,NM_001195053
TIMP2,NM_003255
RNPC3,NM_017619
RPS28,NM_001031
CADM4,NM_145296
BACH1,NM_001011545
KCNAB1,NM_001308217
CYB5R1,NM_016243
ARCN1,NM_001142281
RPS25,NM_001028
TUBGCP4,NM_001286414
TMA7,NM_001329417
SALL2,NM_001291446
CD81,NM_001297649
ATP1B1,NM_001001787
RPL18,NM_000979
SYNGR3,NM_004209
ARMCX3,NM_016607
LAPTM4B,NM_018407
CDC14B,NM_001077181
SLC25A5,NM_001152
AP1S2,NM_001272071
RPL41,NM_001035267
RHOBTB1,NM_001242359
CD59,NM_000611
EIF4A2,NM_001967
ATP6V1B2,NM_001693
TOMM20,NM_014765
GRINA,NM_000837
PKM,NM_001206796
PSMD8,NM_002812
CIRBP,NM_001280
BEX3,NM_001282674
KCNQ5,NM_001160130
BACH2,NM_001170794
STMN3,NM_001276310
NDUFB5,NM_001199957
RESF1,NM_018169
SAMD4A,NM_001161576
APEX1,NM_001244249
HLA-A,NM_001242758
RPL10A,NM_007104
RPSA,NM_001304288
IGF1,NM_000618
TMEM167A,NM_174909
CYSTM1,NM_032412
SST,NM_001048
SYN3,NM_001135774
PAPSS2,NM_001015880
SPINT2,NM_001166103
PRKCD,NM_001316327
TSPAN31,NM_001330168
RGS8,NM_001102450
RPL3,NM_000967
RPL17,NM_000985
SPDYE21P,NA
RPS23,NM_001025
TRAF3IP2,NM_001164281
RPS19BP1,NM_194326
RPL14,NM_001034996
ARMCX5-GPRASP2,NM_001199818
PTPN9,NM_002833
HECA,NM_016217
PGM2L1,NM_173582
ATP6V1E1,NM_001039366
MMP24OS,NM_001355003
BCL2L14,NM_001370268
JPH4,NM_001146028
TGFBR3,NM_001195683
OS9,NM_001017956
RPLP0,NM_001002
VBP1,NM_001303543
RPL35A,NM_000996
FGF1,NM_000800
NDN,NM_002487
FRAS1,NM_001166133
SYCE1L,NM_001129979
H2AFZ,NA
RPS15A,NM_001019
SLC39A6,NM_001099406
FAM13A,NM_001015045
SELENOM,NM_080430
ANGPTL1,NM_001376763
EEF1G,NM_001404
LBH,NM_030915
ERH,NM_004450
HSD17B12,NM_016142
SNHG6,NR_002599
CDK5R1,NM_003885
SCRG1,NM_001329597
EAF1,NM_033083
CCDC65,NM_001286957
FAU,NM_001997
SSR2,NM_003145
METAP1D,NM_001322278
B4GAT1,NM_006876
GABARAPL1,NM_001363598
RRAGA,NM_006570
LGI2,NM_018176
HEIH,NR_045680
RPL36AL,NM_001001
ABRACL,NM_021243
RPL7A,NM_000972
FILIP1L,NM_001042459
ATP5MD,NA
HMGN4,NM_006353
ZPBP,NM_001159878
TMEM208,NM_001318217
PGRMC1,NM_001282621
SMDT1,NM_033318
ARHGAP18,NM_033515
CAMK1G,NM_020439
GAS5,NR_002578
TTPAL,NM_001039199
GNG4,NM_001098721
PFKM,NM_000289
HERPUD1,NM_001010989
UBE2L6,NM_004223
DNAJB9,NM_012328
RSL24D1,NM_016304
HIPK1,NM_001369806
RPL11,NM_000975
PNMA1,NM_006029
LRRC47,NM_020710
EIF4G2,NM_001042559
P2RY14,NM_001081455
MRPS24,NM_032014
CAMKV,NM_001320147
PDE5A,NM_001083
NRIP3,NM_020645
RPLP1,NM_001003
VDAC3,NM_001135694
RPS13,NM_001017
CWC15,NM_001363371
RNASEK,NM_001004333
SEC61G,NM_001012456
TIMM10B,NM_012192
ZFAS1,NR_003604
KDELR2,NM_001100603
RPL19,NM_000981
CTSF,NM_003793
AGPAT1,NM_001371437
DEXI,NM_014015
NAA16,NM_001110798
COX7C,NM_001867
