"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","DEseq_DE_BHQ"
"SAMD9L (human)",0.000435510704980918,1.66822859725843,12.9104064022021,"['PTPRR', 'SERPINE3', 'PROS1', 'ARHGAP39', 'ETS1', 'LFNG', 'AIFM3', 'LCNL1', 'GLIPR1', 'C20ORF203', 'COMTD1', 'C1QTNF7', 'RASGEF1B', 'RNF19A', 'ENPP3', 'MAP3K6', 'JUNB', 'CA13', 'APOBEC2', 'MYH15', 'ACTN1', 'MMD2', 'DLEC1', 'EMP3', 'ACTA2', 'TPST1', 'PTP4A3', 'HKDC1', 'S100A6', 'CHI3L1', 'HAP1', 'SHANK2', 'DDR2', 'MATN2', 'SEZ6', 'ATP2C2', 'CYP3A5', 'NT5C', 'HSPH1', 'CDH23', 'HES5', 'PIRT', 'BANP', 'TRPM4', 'EGR1', 'RASL10A', 'GADD45B', 'GADD45A', 'HMGA2', 'LHFPL1', 'SOD2', 'VEGFA', 'POLE4', 'SMTN', 'NEDD4', 'PI15', 'IFT27', 'PSMG4', 'PTPN7']",0.131088722199256,0,0,59,"SAMD9L",0.131088722199256,0.0424381785025376,0.224869163076229,0.963711301310311,0.963146673617783,0.0535378069989845,0.684536173826133,0.577933317015646
"IKZF1 (mouse)",0.00280344534089734,1.56040946694561,9.17037997615784,"['CDKN1A', 'RPL10A', 'ELK3', 'LFNG', 'EDNRA', 'RASSF3', 'GLIPR2', 'COL10A1', 'UTY', 'A4GALT', 'TLE2', 'KCND3', 'PDZK1', 'EMP3', 'IL17RB', 'PTP4A3', 'ACAP1', 'RNF125', 'SYNPO2L', 'SERPING1', 'FAM20C', 'CHI3L1', 'NUPR1', 'CRYAB', 'LXN', 'SHC1', 'LYPD1', 'TNFRSF11B', 'GLRX', 'PLA2G5', 'ATP2C2', 'FUT2', 'COX7A1', 'RPS15A', 'RASD1', 'PDLIM2', 'CDH23', 'SLC19A3', 'EPS8L2', 'PIRT', 'SEMA4A', 'HHATL', 'NEK5', 'WNT7B', 'ARHGEF38', 'PLEKHA5', 'SMAD9', 'SULF1', 'VEGFA', 'SMTN', 'NUDT8', 'FXYD3', 'PAH']",0.42191852380505,0,0,53,"IKZF1",0.42191852380505,NA,NA,NA,NA,NA,NA,NA
"ETS1 (human)",0.00422187326972326,1.30697340043134,7.14584615256156,"['IFITM3', 'OXTR', 'ITPRIP', 'IFITM2', 'TFRC', 'PROS1', 'CXCL17', 'RPL10A', 'ADARB2', 'RPL9', 'ETS1', 'RGS4', 'ZNF608', 'TRIM29', 'RNF19A', 'C1RL', 'ENPP3', 'PDE8B', 'RPS10', 'JUNB', 'IL13RA1', 'CA13', 'ZNF442', 'HES6', 'ST6GAL1', 'COL27A1', 'CCDC78', 'IL1R1', 'MYH15', 'ACTN1', 'ARRDC3', 'C1ORF87', 'NPNT', 'OVOL2', 'RUNX1', 'RPL26', 'CTXN3', 'RASL12', 'CPB2', 'NXPH3', 'GPR87', 'PLD5', 'GMPR', 'PLA2G5', 'FUT2', 'RPS4Y1', 'ART4', 'GRK5', 'INPP5D', 'RRS1', 'SLC19A3', 'GSG1L', 'SLC38A2', 'SLC38A4', 'HHATL', 'SMAD1', 'OST4', 'RASL10A', 'NEK5', 'ST8SIA1', 'FZD4', 'ARHGAP29', 'BTBD11', 'ELL2', 'EFNA1', 'BCL6', 'P4HA3', 'MYO5C', 'IFT27', 'ID3', 'TAB2', 'C6ORF118', 'RADIL', 'MAP3K14', 'BEX5', 'MOXD1', 'CLIC4', 'CDKN1A', 'CIITA', 'PIK3CD', 'PYGM', 'PRSS23', 'SYNE2', 'AIFM3', 'NHSL2', 'C20ORF203', 'ADAMTS1', 'TMSB4X', 'BOC', 'EFHD2', 'MAN1A1', 'CHST6', 'SERPINB1', 'WARS', 'KCND3', 'PCDHGA1', 'ROM1', 'VWA5A', 'FOS', 'ZFY', 'F3', 'ACTA2', 'CEACAM1', 'PLSCR1', 'LRRC7', 'ARHGEF3', 'CHI3L1', 'COL21A1', 'PIGM', 'TLCD1', 'ANGPTL4', 'MAPRE2', 'SHANK2', 'PDZRN4', 'DDR2', 'GLS2', 'C1R', 'LRRC19', 'HAAO', 'GLRX', 'PLN', 'PDLIM2', 'EPS8L2', 'RPS27A', 'POLR2I', 'HES5', 'APOL3', 'NLGN4Y', 'SEMA4A', 'YTHDF1', 'P2RY14', 'PCDH8', 'PLEKHA5', 'SAMD4A', 'FAM189A2', 'PRSS35', 'ZIC4', 'DHRS1', 'VEGFA', 'POLE4', 'NUDT8', 'ZNF618', 'FABP5', 'VEPH1', 'RAB13', 'TRIP10', 'SERHL2', 'SLC25A35']",0.423594618062234,0,0,148,"ETS1",0.423594618062234,0.0140151162613685,0.0838327966776995,0.681524687203566,0.687438546172844,0.462460344767709,0.816050153234019,0.661471409772998
"HMGA1 (human)",0.00705608597243343,1.51696270404584,7.5148281061544,"['CNTNAP3', 'PTPRR', 'CPB2', 'CIITA', 'KDM5D', 'CALCRL', 'LRRC19', 'LYPD1', 'LMOD1', 'TMTC1', 'PLA2G5', 'RND3', 'RGS4', 'HSD11B1', 'C1QTNF7', 'FAM186A', 'GPR171', 'SLC19A3', 'GSG1L', 'FILIP1L', 'RPL17', 'BCL2L14', 'RAI2', 'P2RY12', 'CHST9', 'RPL41', 'EPHA7', 'KCNJ13', 'IL18', 'SAMD4A', 'FAM189A2', 'ARHGAP29', 'BTBD11', 'ABCC9', 'ACTA2', 'TANC1', 'VCAN', 'BCL6', 'FAP', 'PAH', 'SERPINI2', 'ARHGEF3', 'ID3', 'CTXN3', 'PI16', 'ANGPTL4', 'BEX5']",0.530970469425615,0,0,47,"HMGA1",0.530970469425615,0.259735034682751,0.713785508943098,NA,NA,NA,0.364706120136048,0.673150151995397
"NR5A1 (human)",0.0111874893454196,1.44436984164695,6.48949469275663,"['IFITM3', 'TFRC', 'C2CD2', 'RGS4', 'ZFYVE28', 'AIFM3', 'CALB1', 'RPS18', 'LRRTM4', 'C1QTNF7', 'PLCE1', 'TMSB10', 'ARRDC4', 'CCDC78', 'ABCC9', 'EMP3', 'MRPS6', 'CEACAM1', 'MEP1B', 'TLCD1', 'CD44', 'CEBPB', 'KCNE4', 'WDR64', 'TNFRSF11B', 'GLRX', 'SLC5A3', 'PPL', 'CLMP', 'APOL6', 'EFNB3', 'GBP2', 'LDLR', 'APOL3', 'BANP', 'SLC38A4', 'SMAD1', 'DNAH11', 'RASL10A', 'FZD4', 'LIMK2', 'C9ORF153', 'ZIC4', 'TBX6', 'ELL2', 'KLF6', 'RPS27', 'BCL6', 'PDCD4', 'PNPLA3', 'PTPN7', 'PI16']",0.564864956179918,0,0,52,"NR5A1",0.564864956179918,NA,NA,NA,NA,NA,NA,NA
"NR5A2 (human)",0.0112597665683705,1.28206514393837,5.75201012436371,"['OXTR', 'TFRC', 'RPL34', 'IL1RAP', 'RPL10A', 'ETS1', 'LOXL2', 'RGS4', 'ZFYVE28', 'LGALS3', 'HELB', 'EDNRA', 'PAMR1', 'IL13RA1', 'HES6', 'ST6GAL1', 'TLE2', 'ATP6V1G2', 'DAPK2', 'CLEC11A', 'KCTD3', 'SYTL4', 'OVOL2', 'ACAP1', 'RNF125', 'ADAM12', 'NUPR1', 'SLC22A3', 'MAOB', 'KCNE4', 'FUT2', 'PPL', 'UGCG', 'SOCS3', 'CNTNAP3B', 'INPP5D', 'RRS1', 'SLC19A3', 'BARD1', 'HHATL', 'DNAH11', 'RASL10A', 'ST8SIA1', 'SMAD9', 'CDC7', 'BMX', 'ELL2', 'GFAP', 'SMTN', 'BCL6', 'SERPINI2', 'IFT27', 'PSMG4', 'ID3', 'SPINK13', 'RADIL', 'FGFR3', 'GALK1', 'CNTNAP3', 'SYNM', 'DYRK3', 'CLIC4', 'CDKN1A', 'NRARP', 'LFNG', 'AIFM3', 'GLIPR1', 'C20ORF203', 'CALB1', 'C1QTNF7', 'H2AFJ', 'GLIPR2', 'A4GALT', 'CHST9', 'SERPINB1', 'EMP1', 'ANO6', 'EMP3', 'IL17RB', 'CLDN11', 'CEACAM1', 'PLSCR1', 'PTP4A3', 'MYH9', 'SHANK2', 'CD44', 'ITIH4', 'C1R', 'TMPRSS3', 'PON1', 'SEZ6', 'IER5L', 'NLRC5', 'SLC3A1', 'GLRX', 'ATP2C2', 'CRYZ', 'CYP3A7', 'TCEAL7', 'NWD1', 'PDLIM2', 'CLMP', 'DDT', 'ATOH8', 'LDLR', 'FAM189A2', 'ZIC4', 'TBX6', 'RAB11A', 'PML', 'FAM167A', 'KLF6', 'VEPH1', 'PNPLA3', 'CD9', 'FAS', 'SPRY1', 'RPL22L1', 'FAU', 'PTPN7', 'PI16', 'HSPA1B', 'SLC25A35']",0.564864956179918,0,0,123,"NR5A2",0.564864956179918,NA,NA,NA,NA,NA,NA,NA
"Stat3 (mouse)",0.0137942299261379,1.45156774357264,6.21779753581645,"['CNTNAP3', 'CDKN1A', 'CIITA', 'CALCRL', 'PON1', 'PIK3CD', 'WDR64', 'NOD1', 'NRARP', 'IL1RAP', 'RGS4', 'C3', 'UGCG', 'SOCS3', 'AIFM3', 'EDNRA', 'PLN', 'CALB1', 'UTY', 'PDE8B', 'MAP3K6', 'BCL2L14', 'ARRDC4', 'OLAH', 'ST6GAL1', 'TLE2', 'NEK5', 'ST8SIA1', 'COL25A1', 'DUSP1', 'HGF', 'MYH15', 'ARRDC3', 'IL18', 'HMGA2', 'PRSS35', 'ABCC9', 'ZIC4', 'GFAP', 'CYP39A1', 'PLSCR1', 'RPS27', 'BCL6', 'CRISPLD1', 'S100A6', 'PDCD4', 'PSMG4']",0.593151886823931,0,0,47,"Stat3",0.593151886823931,0.000120462363250935,0.0371097973096874,0.983381057301372,0.983029110164458,-0.108369886135233,0.982885488676231,1
"RBPJ (human)",0.0173189109942346,1.37943870041205,5.5949430231819,"['ITPRIP', 'KDM5D', 'SHB', 'ETS1', 'ELK3', 'RPL7A', 'LGALS3', 'CHST6', 'TLE2', 'COL25A1', 'VWA5A', 'ABCC9', 'DLEC1', 'FOS', 'SLC39A14', 'F3', 'SYNPO2L', 'COL21A1', 'RELL1', 'CTXN3', 'PDZRN4', 'ITIH4', 'RGS17', 'KCNE4', 'KCNA1', 'RGS16', 'CNN3', 'RPS15A', 'FAM124A', 'PLN', 'HSPH1', 'INPP5D', 'HES1', 'HES5', 'BCL2L14', 'APOL3', 'SMAD1', 'RPL41', 'DNAH11', 'GINS3', 'P2RY14', 'KCNJ13', 'WNT7A', 'BMX', 'SULF1', 'VEGFA', 'TTLL6', 'RPS28', 'NUDT8', 'BCL6', 'FXYD3', 'PAH', 'VEPH1', 'PI15', 'IFT27', 'CD9', 'RADIL', 'FGFR3']",0.605310926886067,0,0,58,"RBPJ",0.605310926886067,0.145763492272095,0.777291025069538,NA,NA,NA,0.265172480239993,0.350498752679025
"TCF4 (human)",0.0186141217693065,1.24379370629371,4.95506859073912,"['OXTR', 'TFRC', 'SERPINE3', 'RPL34', 'PROS1', 'AVIL', 'C4ORF19', 'ARHGAP39', 'ETS1', 'ICAM1', 'LOXL2', 'RGS4', 'EDNRA', 'SCN11A', 'C1RL', 'GPR171', 'OIP5', 'PIM3', 'ENPP3', 'STK32A', 'TMSB10', 'TRIM22', 'EPHA7', 'ST6GAL2', 'DAPK2', 'ARID5A', 'KCTD3', 'NPNT', 'RNF125', 'PRKCQ', 'NUPR1', 'CTXN3', 'CALCRL', 'MAOB', 'SHC1', 'GPR87', 'TNFRSF11B', 'PLA2G5', 'RPS4Y1', 'NDRG1', 'ART4', 'HSD11B1', 'C3', 'UGCG', 'ZNF829', 'EFNB3', 'HSPH1', 'CDH23', 'ARSF', 'BANP', 'SLC38A4', 'BARD1', 'ST8SIA1', 'ARHGAP29', 'HMGA2', 'BMX', 'CP', 'EFNA1', 'RPS28', 'BCL6', 'RPL27A', 'P4HA3', 'PAH', 'MYO5C', 'IFT27', 'ID3', 'ABCD4', 'MOXD1', 'PTPRR', 'LMOD1', 'PYGL', 'PRSS23', 'SYNE2', 'C1QTNF7', 'H2AFJ', 'A4GALT', 'ARG2', 'SERPINB1', 'APOBEC2', 'VWA5A', 'IL18', 'RPS3A', 'ABCC9', 'F3', 'TNFRSF1A', 'ACTA2', 'ITPKC', 'VCAN', 'CEACAM1', 'PLSCR1', 'MEP1B', 'LRRC7', 'RPL37A', 'TMBIM1', 'ARHGEF3', 'HAP1', 'SHANK2', 'PDZRN4', 'DDR2', 'TMPRSS3', 'KCNA1', 'PKD1L1', 'GLRX', 'ATP2C2', 'CYP3A5', 'CRYZ', 'GNA14', 'NT5E', 'NWD1', 'PLN', 'IFI16', 'FSD2', 'HES1', 'FILIP1L', 'GBP2', 'LDLR', 'PIRT', 'APOL3', 'P2RY12', 'NLGN4Y', 'KCNJ13', 'USP9Y', 'PCDH8', 'PLEKHA5', 'FAM189A2', 'ZIC4', 'SULF1', 'HIPK3', 'TMEM158', 'FAP', 'SPAG1', 'PI15', 'SPRY1', 'FAU', 'SYCP3', 'PI16']",0.605310926886067,0,0,136,"TCF4",0.605310926886067,5.21069000539725e-05,0.155510271656542,0.709805213989,0.717857104995526,-0.657464190606464,0.169617493863555,0.623325365480139
"IRF8 (mouse)",0.0232105816695173,1.37647511924395,5.17987821259821,"['SYNM', 'PTPRR', 'SLC44A3', 'CDKN1A', 'OXTR', 'ARHGAP39', 'ELK3', 'GLIPR1', 'CALB1', 'H2AFJ', 'RASGEF1B', 'ENPP3', 'STK32A', 'PAQR6', 'ST6GAL2', 'APOBEC2', 'WARS', 'MRPS6', 'RUNX1', 'ACAP1', 'NUP210L', 'SLC9A7', 'TXNIP', 'CHI3L1', 'DSC2', 'CALCRL', 'KCNA1', 'LYPD1', 'PLA2G5', 'ATP2C2', 'HSD17B7', 'NDRG1', 'ART4', 'TCEAL7', 'UGCG', 'PLN', 'SLC19A3', 'SRGAP2', 'GBP2', 'HHATL', 'RBPMS', 'P2RY14', 'PCDH8', 'WNT7A', 'PRSS35', 'PML', 'EFNA1', 'TMEM158', 'FABP5', 'PAH', 'SPAG1', 'PDCD4']",0.605310926886067,0,0,52,"IRF8",0.605310926886067,NA,NA,NA,NA,NA,NA,NA
