"Ensembl","Gene_Symbols","p_mesor","p_wilcox","p_ttest","mesor_CTL","mesor_AD","BHQ","Bonf","BHQ_wilcox","BHQ_ttest"
"ENSG00000188976","NOC2L","0.00347622380884964","0.05524352747917","0.100953466000744","27.9725736230391","26.3460460484209",0.00955764075517222,1,0.162172772551335,0.235726945623843
"ENSG00000187961","KLHL17","0.000464995803451206","0.000554813663288098","0.00162908747708506","7.20265406419829","8.12062248285258",0.00171016693670504,1,0.0107178082124305,0.0184150451821027
"ENSG00000188290","HES4","9.45701402761366e-12","3.4110989425878e-10","3.94057006781653e-09","20.643144011201","15.3053676158396",9.83381693027639e-10,1.25872856707538e-07,4.54017269258436e-06,8.741497933773e-06
"ENSG00000187608","ISG15","0.0193459915461946","0.0378088682105368","0.0589101153023721","4.86660987354898","4.15772508779425",0.041199223596776,1,0.128376539765879,0.166297695583154
"ENSG00000188157","AGRN","0.587637189215383","0.941466735743319","0.867946510249251","16.5170083404726","16.5001708007947",0.676771739072142,1,0.965476712592925,0.923524506468745
"ENSG00000131591","C1orf159","0.366922669602468","0.028357468932328","0.044535831383899","30.2637247252487","29.8474918702233",0.472132708082835,1,0.10747093151745,0.138765285044181
"ENSG00000078808","SDF4","0.00399656117836094","0.0997684472750417","0.139685045932946","36.5763758369947","34.8712047608867",0.010772423913322,1,0.23387073498253,0.289370888928796
"ENSG00000176022","B3GALT6","0.000535447099559436","0.255074282024344","0.203549091852352","8.02361636402744","7.29705783280792",0.00192981340241974,1,0.42737143677543,0.370114537234263
"ENSG00000160087","UBE2J2","0.0205624986906944","0.0974505822209512","0.118551177979799","26.7257671604161","25.9771717889653",0.0433735115012904,1,0.230630734239129,0.261157924348084
"ENSG00000162572","SCNN1D","0.413926019775026","0.888079995396868","0.831714967410724","9.79643763621148","10.0968887328003",0.517456121274124,1,0.933750275593042,0.900376268095708
"ENSG00000131584","ACAP3","0.663766482565978","0.892916093053018","0.752486468985315","74.5167428578363","74.7257694208343",0.741106608753726,1,0.937132408022053,0.846174872054523
"ENSG00000169972","PUSL1","0.0167686214344097","0.28190588846745","0.163559555449763","3.6543581550163","3.34625399514483",0.0363620644007809,1,0.455968814619244,0.320190863808846
"ENSG00000127054","INTS11","0.068937578525321","0.0853819482452716","0.0776898002411351","32.8684315026235","33.9760309039137",0.120306484685277,1,0.21221918415398,0.198932520432764
"ENSG00000224051","CPTP","0.0024556008889459","0.1267370819184","0.167056359049479","9.74939926463836","8.92760065964246",0.00714717862057073,1,0.272471419856874,0.324838588597307
"ENSG00000107404","DVL1","0.0225768629332331","0.561042948114525","0.492839606699489","25.5255856443925","24.4772690101698",0.0469968792057136,1,0.706345217499464,0.654856260873535
"ENSG00000175756","AURKAIP1","1.20711334333926e-05","0.0235751266101991","0.00572486652517172","23.9737481471212","20.5193945663247",7.5359655721602e-05,0.160666785998456,0.0955496148543697,0.0391360931946767
"ENSG00000221978","CCNL2","0.11566430842333","0.119929818731236","0.0947633710923022","50.8952293254793","49.7859185565534",0.184768596389165,1,0.262630122953727,0.225918049299399
"ENSG00000242485","MRPL20","5.77373262062652e-06","0.00296686242835829","0.000903757861998979","23.9007679297397","20.8232552668111",4.05532354514718e-05,0.076848381180539,0.0281862519068157,0.0128652589766913
"ENSG00000235098","ANKRD65","1.12868841029719e-09","0.00693036602566639","0.00118710371785606","8.79767553095864","6.77238314123339",4.03848388121313e-08,1.50228427410556e-05,0.0460525071400997,0.0152090993746638
"ENSG00000179403","VWA1","0.936609367625399","0.355191207632315","0.380892972935803","1.99780529586664","2.08098110230537",0.957691532848895,1,0.531250137497035,0.556069482261219
"ENSG00000215915","ATAD3C","0.168492989731709","0.141833419152806","0.256825538845302","1.63782158862597","1.75162126012536",0.251671908514386,1,0.293000591172412,0.431065311731522
"ENSG00000160072","ATAD3B","0.295098538666023","0.961654979366893","0.78010227900723","19.3533455251202","20.030939031806",0.396944067675065,1,0.97677257138075,0.866149912065708
"ENSG00000197785","ATAD3A","0.436231506579303","0.135207119463692","0.24436281462365","13.2585860466707","13.623891298639",0.539062422483569,1,0.283715396509812,0.417357764999459
"ENSG00000205090","TMEM240","6.43349181527237e-06","0.00156375630570079","0.00274015695619026","25.0681487501302","22.2054244739663",4.42074218179015e-05,0.0856297760612753,0.0194519592793248,0.0250802593330222
"ENSG00000160075","SSU72","0.0740512453288515","0.83724449822257","0.794166842043789","59.4992296637203","57.4327076167405",0.127671253280701,1,0.902325851930559,0.875972542272548
"ENSG00000228594","FNDC10","0.111607767607808","0.583639495110917","0.64731741883519","18.5923814266457","17.8597224752431",0.179235269068344,1,0.724717014640013,0.772749820049132
"ENSG00000197530","MIB2","0.0441938763947049","0.0164579364831482","0.0727517280045554","35.4028486900741","37.3122040411398",0.0831407059807099,1,0.0770236056929334,0.190727890435421
"ENSG00000248333","CDK11B","0.862471584246198","0.5534109267128","0.579425838426306","12.9508027419533","12.8654248637127",0.900493943074749,1,0.70131385647409,0.724329148146909
"ENSG00000189339","SLC35E2B","0.415083114682108","0.308924471552133","0.328280919362294","25.6722831468758","26.3712822808883",0.518421349444334,1,0.484765941565538,0.505836887787929
